Name,Publications,publication,Citation,h-index
"194. Hussain, Aatif",2,2016,1,1
"210. Naithani, Rekha",2,2012,1,1
"211. Prajapati, Darshana J.",2,2015,1,1
"228. Singh, Pratap",2,2016,1,1
"231. Tiwari, Deepti",2,2015,1,1
"239. Aggarwal, Apoorva",1,2014,1,1
"248. Badhani, Amit",1,2012,1,1
"253. Bali, Rajander Singh",1,2013,1,1
"264. Bhatt, Raghavendra P.",1,2013,1,1
"285. Chauhan, Anita",1,2016,1,1
"291. Chettri, Samir",1,2012,1,1
"302. Dobhal, Yogita",1,2014,1,1
"333. Jugran, Vandana",1,2011,1,1
"334. Kainthola, Anup",1,2011,1,1
"341. Khan, Amir",1,2012,1,1
343. Kirti,1,2015,1,1
"348. Kumar Dwivedi, Arvind",1,2013,1,1
"370. Mamgain, Madhuri Godiyal",1,2012,1,1
"382. Nainwal, Atul",1,2013,1,1
"391. Negi, Gauri",1,2015,1,1
"406. Pant, Nee",1,2011,1,1
"408. Parmar, M. K.",1,2012,1,1
"414. Prakash Sati, Om",1,2016,1,1
"426. Rawat, Awaneendra Singh",1,2013,1,1
"440. Saleem, Sajed",1,2014,1,1
"443. Sati, M. S.",1,2012,1,1
"457. Sharma, Mukesh",1,2012,1,1
"459. Sharma, Rajnikant K.",1,2011,1,1
"461. Sharma, Ramesh C.",1,2016,1,1
"464. Sharma, Vintesh",1,2014,1,1
"466. Shrivastava, Swapnil Kumar",1,2014,1,1
"473. Singh, Khushboo",1,2015,1,1
"476. Singh, Neetu",1,2016,1,1
"477. Singh, Pushpi",1,2013,1,1
"Singh, Swati",1,2014,1,1
"Sundriyal, Ankush",1,2014,1,1
"Tiwari, Alka",1,2013,1,1
"107. Krishan, Ram",4,2016,0,1
"150. Rana, D. K.",3,2016,0,1
"161. Singh, Krishan Kumar",3,2016,0,1
"168. Alam, Pravez",2,2015,0,1
"201. Kumar, Pramod C Rajesh",2,2012,0,1
"234. Uniyal, Akshat K.",2,2016,0,1
"251. Bahuguna, Sandeep K.",1,2011,0,1
"257. Bamola, Amita",1,2011,0,1
"275. Butola, D. S.",1,2011,0,1
"296. Das, Amar Jyoti",1,2012,0,1
"330. Joshi, Mayank S.",1,2011,0,1
"336. Kamra, Anita",1,2013,0,1
"394. Negi, Vandana Jugran",1,2013,0,1
"409. Petwal, Kailash C.",1,2011,0,1
"420. Rana, Renu S.",1,2016,0,1
"429. Rawat, J. M S",1,2017,0,1
"437. Saklani, Kishor Prakash",1,2012,0,1
"450. Shankar, Brajesh",1,2015,0,1
"Singh, Yashpal",1,2016,0,1
"Soni, Shashank",1,2016,0,1
"103. Gairola, Keshav Chandra",4,2016,0,0
"112. Pant, Preeti",4,2016,0,0
"134. Dewan, Saurabh",3,2016,0,0
"137. Gairola, U. C.",3,2015,0,0
"146. Nautiyal, Ashish",3,2014,0,0
"163. Singh, Sandeep",3,2015,0,0
"169. Bagri, D. S.",2,2016,0,0
"170. Bamrara, Atul",2,2013,0,0
"174. Bhatt, J. P.",2,2016,0,0
"175. Bhatt, Mamta",2,2013,0,0
"196. Jat, Dev Kishan",2,2016,0,0
"198. Jugran, J.",2,2016,0,0
"206. Mehta, S. K.",2,2016,0,0
"209. Naithani, Dinesh Chandra",2,2016,0,0
"212. Rana, Madan Singh",2,2016,0,0
"213. Rana, Y. S.",2,2016,0,0
"214. Rawat, Arvind Kumar",2,2016,0,0
"219. Saha, Supriyo",2,2016,0,0
"221. Sarswat, Manisha",2,2016,0,0
"222. Sati, Pramod",2,2011,0,0
"225. Sharma, Sandeep B.",2,2011,0,0
"232. Tiwari, Om Prakash",2,2016,0,0
"238. Adhikari, Lokesh",1,2016,0,0
"244. Arfath, Umer",1,2013,0,0
"246. Arya, Prashant",1,2016,0,0
"247. Athar, Mohammad",1,2012,0,0
"252. Bahuguna, Vivek",1,2016,0,0
"254. Ballabh, K.",1,2013,0,0
"256. Baluni, Pratibha",1,2014,0,0
"258. Belwal, Nidhi S.",1,2016,0,0
"261. Bharadwaj, Rajesh",1,2016,0,0
"262. Bhatt, Bharat Bhusan",1,2016,0,0
"263. Bhatt, Gaurav",1,2016,0,0
"265. Bhatt, Upendra P.",1,2015,0,0
"271. Bisht, M. P S",1,2016,0,0
"272. Bisht, Pinky",1,2016,0,0
"273. Bist, Vijay Singh",1,2016,0,0
"277. Chand, Manesh",1,2016,0,0
"278. Chandra, Harish",1,2016,0,0
"280. Chandra, Kailash",1,2013,0,0
"281. Chandra, Keshav",1,2015,0,0
282. Charulata,1,2014,0,0
"284. Chauhan, Amit Singh",1,2015,0,0
"293. Chowdhary, Ashish Kumar",1,2016,0,0
"294. Dangwal, Divya",1,2016,0,0
"299. Dimri, Suchita",1,2014,0,0
"301. Dobhal, Srishti",1,2016,0,0
"305. Dutt, Sanjay",1,2016,0,0
"306. Fartyal, Prachi",1,2015,0,0
"312. Gangwar, Soni",1,2012,0,0
"313. Ganjoo, Reetika",1,2016,0,0
"316. Ghildiyal, Namrata",1,2017,0,0
"322. Gupta, S. K.",1,2016,0,0
"331. Joshi, Subodh",1,2016,0,0
"337. Kanawjia, Animesh",1,2013,0,0
"339. Kaur, Gurpreet",1,2015,0,0
"345. Kishore, Roop",1,2017,0,0
"346. Kotnala, Gunjan",1,2016,0,0
"351. Kumar, Bhuvnesh",1,2017,0,0
"359. Kumar, Shiv",1,2016,0,0
"360. Kumar, Singh Santosh",1,2011,0,0
"361. Kumar, Sudhir",1,2015,0,0
"365. Kunwar, Shakuntala",1,2011,0,0
"366. Mahato, Subhasis",1,2013,0,0
"367. Mahato, Subhasis K.",1,2016,0,0
"368. Maher, Madhuri",1,2016,0,0
"369. Mamgain, Anubhuti",1,2016,0,0
"371. Meena, Dhanraj",1,2017,0,0
"372. Mehmood, Tahir",1,2016,0,0
"373. Mehta, Jagat Prakash",1,2016,0,0
"377. Mohan Bhatt, Rakesh",1,2012,0,0
