University,World Rank-15,World Rank-16,,,,,,,
University of Colorado at Boulder,34,38,,,-4,-0.1176470588,0.0138408304,,0.1176470588
University of Copenhagen,35,30,,,5,0.1428571429,0.0204081633,,0.1428571429
Pierre and Marie  Curie University - Paris 6,36,39,,,-3,-0.0833333333,0.0069444444,,0.0833333333
The University of Texas at Austin,37,44,,,-7,-0.1891891892,0.0357925493,,0.1891891892
"University of California, Santa Barbara",38,42,,,-4,-0.1052631579,0.0110803324,,0.1052631579
University of North Carolina at Chapel Hill,39,35,,,4,0.1025641026,0.0105193951,,0.1025641026
University of British Columbia,40,34,,,6,0.15,0.0225,,0.15
The University of Manchester,41,35,,,6,0.1463414634,0.0214158239,,0.1463414634
University of Paris-Sud (Paris 11),41,46,,,-5,-0.1219512195,0.0148720999,,0.1219512195
"University of Maryland, College Park",43,52,,,-9,-0.2093023256,0.0438074635,,0.2093023256
The University of Melbourne,44,40,,,4,0.0909090909,0.0082644628,,0.0909090909
The University of Texas Southwestern Medical Center at Dallas,44,43,,,1,0.0227272727,0.0005165289,,0.0227272727
Heidelberg University,46,47,,,-1,-0.0217391304,0.0004725898,,0.0217391304
The University of Edinburgh,47,41,,,6,0.1276595745,0.016296967,,0.1276595745
Karolinska Institute,48,44,,,4,0.0833333333,0.0069444444,,0.0833333333
University of Southern California,49,49,,,0,0,0,,0
"University of California, Irvine",50,58,,,-8,-0.16,0.0256,,0.16
Technical University Munich,51,47,,,4,0.0784313725,0.0061514802,,0.0784313725
University of Munich,52,51,,,1,0.0192307692,0.0003698225,,0.0192307692
Vanderbilt University,53,60,,,-7,-0.1320754717,0.0174439302,,0.1320754717
University of Zurich,54,54,,,0,0,0,,0
King's College London,55,50,,,5,0.0909090909,0.0082644628,,0.0909090909
Utrecht University,56,65,,,-9,-0.1607142857,0.0258290816,,0.1607142857
"University of California, Davis",57,75,,,-18,-0.3157894737,0.0997229917,,0.3157894737
University of Geneva,58,53,,,5,0.0862068966,0.007431629,,0.0862068966
University of Oslo,58,67,,,-9,-0.1551724138,0.024078478,,0.1551724138
Pennsylvania State University - University Park,60,77,,,-17,-0.2833333333,0.0802777778,,0.2833333333
Uppsala University,61,60,,,1,0.0163934426,0.000268745,,0.0163934426
Purdue University - West Lafayette,61,63,,,-2,-0.0327868852,0.0010749798,,0.0327868852
Carnegie Mellon University,61,68,,,-7,-0.1147540984,0.0131685031,,0.1147540984
McGill University,64,63,,,1,0.015625,0.0002441406,,0.015625
"Rutgers, The State University of New Jersey - New Brunswick",64,96,,,-32,-0.5,0.25,,0.5
University of Bristol,66,57,,,9,0.1363636364,0.0185950413,,0.1363636364
University of Helsinki,67,56,,,11,0.1641791045,0.0269547783,,0.1641791045
The Ohio State University - Columbus,67,79,,,-12,-0.1791044776,0.0320784139,,0.1791044776
The Hebrew University of Jerusalem,67,87,,,-20,-0.2985074627,0.0891067053,,0.2985074627
"University of Pittsburgh, Pittsburgh Campus",70,70,,,0,0,0,,0
Ghent University,71,62,,,9,0.1267605634,0.0160682404,,0.1267605634
Ecole Normale Superieure - Paris,72,87,,,-15,-0.2083333333,0.0434027778,,0.2083333333
Aarhus University,73,65,,,8,0.1095890411,0.0120097579,,0.1095890411
Boston University,73,75,,,-2,-0.0273972603,0.0007506099,,0.0273972603
