Name,,Publications,publication,Citations,h-index
"213. Chakravarty, Chandrima",,4,2017,2,1
"214. Chandra, Swapan Kumar",,4,2014,8,11
"215. Chatterjee, Prasanta K.",,4,2017,1,1
"216. Chatterjee, Priyajit K.",,4,2015,53,3
"217. Chattopadhyay, Soumyadip",,4,2015,4,2
"218. Conte, Eric",,4,2011,109,57
"219. Das, Manoj P.",,4,2016,3,4
"220. Dasgupta, Suman",,4,2012,282,7
"221. Dattagupta, Sushanta",,4,2015,2,11
"222. De, Sanchari",,4,2017,1,1
"223. Deb, B.",,4,2017,6,14
"224. Drouhin, F.",,4,2011,109,57
"225. Fontaine, Jean Ch",,4,2011,109,58
"226. Ghosh, Pritha T.",,4,2016,5,9
"227. Ghosh, Srabani",,4,2016,11,1
"228. Gupta, Sampad Narayan",,4,2013,9,2
"229. Hajra, Sudip",,4,2016,5,1
"230. Hossain, Aslam",,4,2016,15,2
"231. Karim, M.",,4,2011,109,44
"232. Krajczár, Krisztián",,4,2011,186,57
"233. Kundu, Shrishnu Kumar",,4,2015,12,5
"234. Mahmoud, M. A.",,4,2012,169,57
"235. Mamon, Abdulla Al",,4,2017,7,1
"236. Mandal, Dipak Kumar Umar",,4,2014,6,3
"237. Mandal, Puspajit K.",,4,2013,64,10
"238. Mandal, Sikha K.",,4,2014,29,4
"239. Maulik, Sankar Ray",,4,2014,11,6
"240. Mishra, Swasti Vardhan",,4,2016,0,0
"241. Mitra, Suranjita",,4,2015,9,4
"242. Mondal, Avijit",,4,2015,24,4
"243. Mondal, Maloy Kr",,4,2017,4,2
"244. Mondal, Palash",,4,2013,26,6
"245. Mondal, Palash",,4,2017,3,1
"246. Mondal, Pallab K.",,4,2016,24,10
"247. Mondal, Sandhimita",,4,2013,12,2
"248. Mukherjee, Sayani N.",,4,2015,17,5
"249. Mukhopadhyay, Bidhan Chandra",,4,2015,9,2
"250. Nandi, Sudarshana",,4,2015,5,2
"251. Nandi, Suranjana",,4,2016,4,1
"252. Nath, Panchanan",,4,2016,4,5
"253. Nayak, Ananya K.",,4,2014,53,6
"254. Pal, Palash Kumar",,4,2017,1,1
"255. Patra, Pulak Kumar",,4,2013,15,2
"256. Raha, Swapan",,4,2015,8,6
"257. Roy, Anupam Singha",,4,2014,34,17
"258. Roy, Debasis R.",,4,2016,8,5
"259. Roy, Kousik J.",,4,2013,28,6
"260. Roy, Madhumita",,4,2012,5,4
"260. Roy, Madhumita",,4,2012,5,4
"261. Roychowdhury, Rajib",,4,2014,144,3
"262. Sarkar, Pranab",,4,2017,0,0
"263. Sen, Subhrangsu",,4,2013,64,5
"264. Al Mamon, Abdulla",,3,2016,15,2
"265. Alam, Nasir",,3,2016,3,1
"266. Balachandran, Srinivasan",,3,2016,7,2
"267. Bandyopadhyay, Sibasis",,3,2016,1,1
"268. Banerjee, Dibyendu",,3,2013,3,1
"269. Barik, Arun Kumar",,3,2016,4,4
"270. Barman, Arnab",,3,2015,4,1
"271. Bhagat, Minakshi",,3,2014,5,4
"272. Bhattacharya, Shelley",,3,2017,0,0
"273. Bhattacharya, Sushmita S.",,3,2012,37,10
"274. Biswas, Santu",,3,2017,3,1
"275. Bondyopadhaya, Nilanjan",,3,2016,22,5
"276. Chakrabarti, Sakuntala",,3,2013,15,2
"277. Chakraborty, Amit Kumar",,3,2016,3,1
"278. Chatterjee, Anirban",,3,2016,10,1
"279. Chattopadhyay, Anirban B.",,3,2016,4,3
"280. Chattopadhyay, Gunindra Nath",,3,2016,26,7
"281. Chaudhuri, Abira",,3,2015,6,3
"282. Choudhuri, Tathagata",,3,2016,13,21
"283. Choudhury, Sourav",,3,2017,1,1
"284. Das, Bhaskar K.",,3,2016,3,1
"285. Das, Mousumi",,3,2012,4,1
"286. Das, Nilanjana",,3,2016,2,10
"287. Dey, Amrita",,3,2017,0,0
"288. Dhibar, Subhendu",,3,2016,1,1
"289. Ghosal, Nirnita Chakraborty",,3,2016,2,1
"290. Ghosh, Chandan",,3,2016,6,2
"291. Ghosh, Dulal Chandra",,3,2016,6,5
"292. Ghosh, Tirthankar",,3,2013,40,5
"293. Gorai, Dilip",,3,2013,20,6
"294. Guha, Arun",,3,2013,18,3
"295. Hussain, Mir Musaraf",,3,2014,6,2
"296. Juin, Subir Kumar Umar",,3,2016,2,1
"297. Karmakar, Joydip",,3,2014,6,2
"298. Khan, Pragyaparamita",,3,2017,18,2
"299. Kole, Paresh Chandra",,3,2012,2,4
"300. Kumar Ghosh, Deb",,3,2013,22,3
"301. Kundu, Sanjib Kumar",,3,2012,43,3
"302. Kundu, Tapanendu K.",,3,2013,4,12
"303. Mahapatra, Tapas Ray",,3,2012,32,8
"304. Mahesh, Dabbugalla",,3,2016,8,1
"305. Maiti, Saran Ishika",,3,2017,0,0
"306. Maity, Sulata K.",,3,2016,19,4
"307. Majhi, Sasadhar",,3,2011,15,2
"308. Majumdar, Pinaki",,3,2014,39,4
"309. Mandal, Arkajit",,3,2016,15,3
"310. Mandal, Arunava",,3,2017,2,1
"311. Mitra, Payel",,3,2016,1,4
"312. Mondal, Ganesh",,3,2013,8,4
"313. Mondal, Samiran",,3,2014,81,7
"314. Mondal, Samiran",,3,2016,10,1
"315. Mondal, Sananda K.",,3,2016,0,3
