Rank,Name,Overall,Teaching,Research,Citations,Industry Income,International Outlook
801–1000,Hallym UniversitySouth KoreaExplore,15.6–21.4,18.8,13.4,14.8,32.9,20
801–1000,Hamamatsu University School of MedicineJapanExplore,15.6–21.4,27.5,6,21.2,37.2,17.4
801–1000,Hosei UniversityJapanExplore,15.6–21.4,17,8,30.4,32.5,23.2
801–1000,Huaqiao UniversityChinaExplore,15.6–21.4,16,9,19.6,38.8,45.3
801–1000,University of IbadanNigeriaExplore,15.6–21.4,25.9,11.4,7.4,40.3,32
801–1000,University of IndonesiaIndonesiaExplore,15.6–21.4,23.9,10.4,18.9,40.8,49.6
801–1000,University of IsfahanIranExplore,15.6–21.4,24.8,20.2,9.1,41.4,16.1
801–1000,I-Shou UniversityTaiwanExplore,15.6–21.4,16.1,14.4,15.5,49,28.7
801–1000,Istanbul UniversityTurkeyExplore,15.6–21.4,26.4,18.1,14.9,52.6,24.4
801–1000,Iwate UniversityJapanExplore,15.6–21.4,20.7,10.4,16.4,41.7,21.3
801–1000,Izmir Institute of TechnologyTurkeyExplore,15.6–21.4,18.8,9.2,32.3,42.4,29.8
801–1000,Jamia Millia IslamiaIndiaExplore,15.6–21.4,29.2,7.5,25.4,33.8,20.8
801–1000,Jiangsu UniversityChinaExplore,15.6–21.4,21.5,9.9,16.6,51.5,27.6
801–1000,Jikei University School of MedicineJapanExplore,15.6–21.4,25.5,8.6,28.3,35.1,18.6
801–1000,Jinan UniversityChinaExplore,15.6–21.4,21.4,13.8,19.1,37.2,44.1
801–1000,University of JordanJordanExplore,15.6–21.4,19.3,9.1,11.5,34.8,62.8
801–1000,Kagoshima UniversityJapanExplore,15.6–21.4,21.2,10.9,20.4,38.6,20.8
801–1000,Kansai Medical UniversityJapanExplore,15.6–21.4,26.9,7,28.4,32.2,16.8
801–1000,Kasetsart UniversityThailandExplore,15.6–21.4,18.4,10.7,10.5,40.4,36.3
801–1000,University of KeralaIndiaExplore,15.6–21.4,31.5,11.8,12.3,31.8,13.6
801–1000,Khon Kaen UniversityThailandExplore,15.6–21.4,19.8,9.3,16.9,53.5,30.9
801–1000,Kindai UniversityJapanExplore,15.6–21.4,15.6,9.4,35.4,37,20.4
801–1000,King Mongkut’s Institute of Technology LadkrabangThailandExplore,15.6–21.4,16.8,18,10.2,88.6,19.3
801–1000,Kitasato UniversityJapanExplore,15.6–21.4,23.5,8.8,19.6,43.3,15.7
801–1000,Kyoto Institute of TechnologyJapanExplore,15.6–21.4,23.1,13.9,8,40.4,20.6
801–1000,Kyushu Institute of TechnologyJapanExplore,15.6–21.4,20.2,11.9,18.2,46.4,24.8
801–1000,University of LatviaLatviaExplore,15.6–21.4,18.8,9.3,20,32.3,40.1
801–1000,Lobachevsky State University of Nizhni NovgorodRussian FederationExplore,15.6–21.4,24.4,11,10.7,41.9,27.3
801–1000,London South Bank UniversityUnited KingdomExplore,15.6–21.4,16.4,8.9,12.1,32.7,69.7
801–1000,Mansoura UniversityEgyptExplore,15.6–21.4,17.4,6.5,29.3,40,36.2
801–1000,Marmara UniversityTurkeyExplore,15.6–21.4,19.4,22.7,16.5,31.7,20.5
801–1000,University of Marrakech Cadi AyyadMoroccoExplore,15.6–21.4,18.1,7.2,25,34.1,41.6
801–1000,Meiji UniversityJapanExplore,15.6–21.4,16.3,10,18.1,53.3,22
801–1000,Metropolitan Autonomous UniversityMexicoExplore,15.6–21.4,17,15.9,16.4,38.9,25.3
801–1000,Mie UniversityJapanExplore,15.6–21.4,21.6,13.1,16.4,47.5,19.3
801–1000,University of MiyazakiJapanExplore,15.6–21.4,21.1,8.8,19.4,33.8,21.1
801–1000,Mohammed V University of RabatMoroccoExplore,15.6–21.4,24.4,7.9,20,37.8,30
801–1000,Nagaoka University of TechnologyJapanExplore,15.6–21.4,23,12.8,11.3,39.1,32
801–1000,Nagasaki UniversityJapanExplore,15.6–21.4,24.9,12.3,19.2,35.3,25.7
801–1000,Nagoya Institute of TechnologyJapanExplore,15.6–21.4,19.2,18.7,17.1,47.7,20.8
801–1000,University of NairobiKenyaExplore,15.6–21.4,15.1,9.4,21.1,32.2,46.6
801–1000,Nara Medical UniversityJapanExplore,15.6–21.4,25.4,9.6,13.8,38,14.5
801–1000,National Chung Cheng UniversityTaiwanExplore,15.6–21.4,20.2,19.5,13.4,38.3,19.4
801–1000,National University of ColombiaColombiaExplore,15.6–21.4,21,14.4,6.5,31.9,34.7
801–1000,National University of CórdobaArgentinaExplore,15.6–21.4,18.3,8.6,20.2,5,30.9
801–1000,National Dong Hwa UniversityTaiwanExplore,15.6–21.4,18.3,13.7,21.2,60.8,32
801–1000,National Research Saratov State UniversityRussian FederationExplore,15.6–21.4,20.6,13.2,13.3,36.3,29.8
801–1000,National University of TainanTaiwanExplore,15.6–21.4,20.6,15.8,26.1,35.3,15.5
801–1000,National Taipei UniversityTaiwanExplore,15.6–21.4,18,7.3,27.2,33.8,22.8
801–1000,National Taipei University of TechnologyTaiwanExplore,15.6–21.4,19,18.3,19.9,89.6,20.9
801–1000,National Taiwan Ocean UniversityTaiwanExplore,15.6–21.4,19.1,22.3,18.6,52.5,23.5
801–1000,Nicolaus Copernicus University in ToruńPolandExplore,15.6–21.4,19.2,8.9,20.9,32.9,24.2
801–1000,Niigata UniversityJapanExplore,15.6–21.4,22.7,10.7,25.6,36.2,23.5
801–1000,Northeastern UniversityChinaExplore,15.6–21.4,21.7,22.7,9.2,98.9,24.3
801–1000,Northwest UniversityChinaExplore,15.6–21.4,19.4,11.6,31.8,38.2,16.4
801–1000,NorthWest A&F UniversityChinaExplore,15.6–21.4,20.6,11.2,25.8,40,20.5
801–1000,Novosibirsk State Technical UniversityRussian FederationExplore,15.6–21.4,22.5,10.6,20.6,35.8,30.4
801–1000,Oakland UniversityUnited StatesExplore,15.6–21.4,19.6,12.3,26,32.8,25.2
801–1000,Ocean University of ChinaChinaExplore,15.6–21.4,21,13.6,26.1,50.9,18.8
801–1000,Osaka Prefecture UniversityJapanExplore,15.6–21.4,23.8,12.3,17.9,39.2,20.5
801–1000,Osmania UniversityIndiaExplore,15.6–21.4,33.9,8.4,14.5,32,15.1
801–1000,University of OstravaCzech RepublicExplore,15.6–21.4,16,11.4,24.1,31.9,39.4
801–1000,University of PardubiceCzech RepublicExplore,15.6–21.4,18.4,13.4,14.2,32.4,23.9
801–1000,Paris Nanterre UniversityFranceExplore,15.6–21.4,21.3,12.9,18.7,31.7,48.2
801–1000,Pondicherry UniversityIndiaExplore,15.6–21.4,35.3,10.1,11.3,31.8,13.8
801–1000,Pontifical Catholic University of ParanáBrazilExplore,15.6–21.4,17.1,8.6,27.7,34.5,23
801–1000,Pontifical Catholic University of Rio Grande do Sul (PUCRS)BrazilExplore,15.6–21.4,22.7,12.6,25.7,45.4,25
801–1000,Pontifical Catholic University of ValparaísoChileExplore,15.6–21.4,17.4,12.9,13.2,49,47.7
801–1000,Prince of Songkla UniversityThailandExplore,15.6–21.4,16.4,8.1,20.3,34,32.2
801–1000,Riga Technical UniversityLatviaExplore,15.6–21.4,18.3,11.3,14.8,39,32.7
801–1000,Rio de Janeiro State University (UERJ)BrazilExplore,15.6–21.4,21.4,9.9,12.8,40.4,19.7
801–1000,Ritsumeikan UniversityJapanExplore,15.6–21.4,18.6,9,13.9,32.7,31.8
801–1000,Robert Gordon UniversityUnited KingdomExplore,15.6–21.4,16.9,9.8,17.2,33,68.3
801–1000,Saga UniversityJapanExplore,15.6–21.4,21.1,11.3,17.8,48.1,22.3
801–1000,Saitama UniversityJapanExplore,15.6–21.4,19,11.7,24.9,33,27.7
801–1000,Saitama Medical UniversityJapanExplore,15.6–21.4,23.7,7.8,18.3,36.3,14.3
801–1000,"University of Santiago, Chile (USACH)ChileExplore",15.6–21.4,17.4,10,12.1,32.4,40.9
801–1000,Seoul National University of Science and Technology (SeoulTech)South KoreaExplore,15.6–21.4,25.3,18.9,13.7,36.2,18.2
801–1000,Shaanxi Normal UniversityChinaExplore,15.6–21.4,18.3,9.6,29.5,36.2,18.2
801–1000,Shahid Beheshti UniversityIranExplore,15.6–21.4,21.8,19.8,19.1,46.7,16.4
801–1000,University of SharjahUnited Arab EmiratesExplore,15.6–21.4,18.1,8.9,16.5,36.3,99.3
801–1000,Sheffield Hallam UniversityUnited KingdomExplore,15.6–21.4,18.3,10.8,24.9,32.1,48.8
801–1000,Shiga University of Medical ScienceJapanExplore,15.6–21.4,24.8,9.4,27.7,40.9,21
801–1000,Shimane UniversityJapanExplore,15.6–21.4,21.8,10,12.6,34.4,18.2
801–1000,Shinshu UniversityJapanExplore,15.6–21.4,21.3,8.9,28,40,22.5
801–1000,Shiraz UniversityIranExplore,15.6–21.4,22.9,20.5,18.4,45.3,16.6
801–1000,Shizuoka UniversityJapanExplore,15.6–21.4,19.1,12.5,11.4,36.1,24.3
801–1000,Showa UniversityJapanExplore,15.6–21.4,27.1,8.8,13.2,34.7,15.9
801–1000,University of Silesia in KatowicePolandExplore,15.6–21.4,18.5,7.8,20.4,31.8,22.9
801–1000,Simón Bolívar UniversityVenezuelaExplore,15.6–21.4,19,6.3,14.9,46.7,41.6
801–1000,Slovak University of Technology in BratislavaSlovakiaExplore,15.6–21.4,21.6,13.2,11.5,34.7,26.5
801–1000,Sophia UniversityJapanExplore,15.6–21.4,23.6,10.7,11.2,32.6,37.1
801–1000,University of South AfricaSouth AfricaExplore,15.6–21.4,18.3,10.8,13.5,32.3,37.5
801–1000,Southern Federal UniversityRussian FederationExplore,15.6–21.4,22.4,8.2,14.8,39.2,23.4
801–1000,University of Southern MississippiUnited StatesExplore,15.6–21.4,20.4,9.2,25.1,48.8,22.4
801–1000,South Valley UniversityEgyptExplore,15.6–21.4,14.7,6.5,18.7,31.7,44.5
801–1000,Sri Venkateswara UniversityIndiaExplore,15.6–21.4,34,9.4,20.2,32.5,18.5
801–1000,State University of Ponta GrossaBrazilExplore,15.6–21.4,20.1,17.8,13.2,31.7,15.5
801–1000,Suez Canal UniversityEgyptExplore,15.6–21.4,18.2,7,31.9,0.5,45.4
801–1000,Sultan Qaboos UniversityOmanExplore,15.6–21.4,22.2,10,15.7,47.9,71.4
801–1000,University of TalcaChileExplore,15.6–21.4,15.7,10.4,20.7,1,49.2
801–1000,Taras Shevchenko National University of KyivUkraineExplore,15.6–21.4,27.3,10.1,7.6,32.5,33.5
801–1000,Technical University of KošiceSlovakiaExplore,15.6–21.4,21.4,12.4,23.5,41.9,19.5
801–1000,Universiti Tenaga Nasional (UNITEN)MalaysiaExplore,15.6–21.4,17.1,11.7,28.6,73.4,30.7
801–1000,Texas State UniversityUnited StatesExplore,15.6–21.4,21.2,12,25.2,32.6,17.5
801–1000,Thapar UniversityIndiaExplore,15.6–21.4,19.1,7.7,28.5,32.1,13.4
801–1000,University of TlemcenAlgeriaExplore,15.6–21.4,27.9,8,4.8,31.9,40
801–1000,TOBB University of Economics and TechnologyTurkeyExplore,15.6–21.4,15.6,10.2,31.1,32.4,26.9
801–1000,Tokai UniversityJapanExplore,15.6–21.4,19.6,8.3,17.5,34.3,22.9
801–1000,Tokushima UniversityJapanExplore,15.6–21.4,23.7,18.1,16,55.8,20.4
801–1000,Tokyo University of Marine Science and TechnologyJapanExplore,15.6–21.4,23.8,12.8,11.6,50.9,28.6
801–1000,Tomas Bata University in ZlínCzech RepublicExplore,15.6–21.4,17.9,13,13.4,33.6,33.6
801–1000,University of ToyamaJapanExplore,15.6–21.4,20.5,11.6,17.2,39.9,26.2
801–1000,Toyohashi University of TechnologyJapanExplore,15.6–21.4,21.1,16.7,16.1,46.1,24.2
801–1000,University of ValparaísoChileExplore,15.6–21.4,15.9,8.2,19.2,32.1,46.3
801–1000,VIT UniversityIndiaExplore,15.6–21.4,17.8,8.9,24.5,33,22.6
801–1000,VŠB - Technical University of OstravaCzech RepublicExplore,15.6–21.4,18.6,13.1,12.8,39.5,30.4
801–1000,University of West BohemiaCzech RepublicExplore,15.6–21.4,18.5,11.8,13.6,35.7,26.4
801–1000,West University of TimişoaraRomaniaExplore,15.6–21.4,20.1,7.8,26.3,31.8,30.7
801–1000,University of WrocławPolandExplore,15.6–21.4,20.1,10.9,25.8,33.8,32.5
801–1000,Wuhan University of TechnologyChinaExplore,15.6–21.4,19,11.2,22.9,54.8,19
801–1000,Xiangtan UniversityChinaExplore,15.6–21.4,15.3,10.6,35.6,36.2,15.9
801–1000,Xidian UniversityChinaExplore,15.6–21.4,19.7,13.9,16.4,75.8,16.5
801–1000,Yamagata UniversityJapanExplore,15.6–21.4,21,10.3,23.2,49.9,20.3
801–1000,Yamaguchi UniversityJapanExplore,15.6–21.4,21.8,9.3,12.6,38.9,22.3
801–1000,University of YamanashiJapanExplore,15.6–21.4,24.2,10.5,21.7,34.4,21.2
801–1000,Yıldız Technical UniversityTurkeyExplore,15.6–21.4,18.7,7.7,26.6,42.6,20.5
801–1000,Yokohama National UniversityJapanExplore,15.6–21.4,22.8,21.8,14.6,45.5,24.2
801–1000,Yuan Ze UniversityTaiwanExplore,15.6–21.4,18.8,15,25.9,47.1,22.6
801–1000,University of ZagrebCroatiaExplore,15.6–21.4,21,11.1,20.3,41.6,28.5
1001+,Akita UniversityJapanExplore,9.2–15.5,21.9,9.1,9.2,35.1,19
1001+,Alzahra UniversityIranExplore,9.2–15.5,18,9.2,14.3,33.3,13.8
1001+,Amity UniversityIndiaExplore,9.2–15.5,16.7,7.6,13.2,32.7,17.9
1001+,Anadolu UniversityTurkeyExplore,9.2–15.5,13.8,9.7,15.5,32.3,15.9
1001+,"University of the Andes, VenezuelaVenezuelaExplore",9.2–15.5,16.4,7.5,11.3,31.7,43.2
1001+,Ankara UniversityTurkeyExplore,9.2–15.5,18.9,8.9,11.4,32.4,20.8
1001+,Autonomous University of Baja CaliforniaMexicoExplore,9.2–15.5,14.7,7.8,5.5,32.6,29.4
1001+,Autonomous University of Hidalgo State (UAEH)MexicoExplore,9.2–15.5,17,7,3,33.8,21.2
1001+,Autonomous University of Nuevo LeónMexicoExplore,9.2–15.5,14.9,6.8,11.3,32.7,29.1
1001+,Autonomous University of PueblaMexicoExplore,9.2–15.5,15.5,7.2,11.6,34.6,28.5
1001+,Autonomous University of the State of MexicoMexicoExplore,9.2–15.5,16.4,7.7,8.8,32,25
1001+,Autonomous University of YucatánMexicoExplore,9.2–15.5,15.6,8.3,15.1,32.8,28.5
1001+,Bahauddin Zakariya UniversityPakistanExplore,9.2–15.5,14.9,10.4,18.2,0.1,28.8
1001+,University of BirjandIranExplore,9.2–15.5,15.5,7.6,8.7,32,14.6
1001+,Bogor Agricultural UniversityIndonesiaExplore,9.2–15.5,18.4,8.7,8.9,68.2,36.6
1001+,Chaoyang University of TechnologyTaiwanExplore,9.2–15.5,13.5,11.2,6.1,39.7,20.6
1001+,Chiba Institute of TechnologyJapanExplore,9.2–15.5,15,8.2,7.4,34,15.6
1001+,University of DhakaBangladeshExplore,9.2–15.5,20.4,6.8,9,31.7,41.9
1001+,Dokuz Eylül UniversityTurkeyExplore,9.2–15.5,16.1,7.6,14.5,32.8,16.9
1001+,Doshisha UniversityJapanExplore,9.2–15.5,16.4,6.4,6.2,33.4,24.2
1001+,Far Eastern Federal UniversityRussian FederationExplore,9.2–15.5,21.2,9.6,7.9,36.2,33.8
1001+,Federal University of GoiásBrazilExplore,9.2–15.5,18.7,7.3,13.6,31.7,17.6
1001+,Federal University of LavrasBrazilExplore,9.2–15.5,25.1,11.3,7,33.7,17.1
1001+,Federal University of Ouro PretoBrazilExplore,9.2–15.5,16.6,5.5,18,32.4,19.5
1001+,Federal University of Paraná (UFPR)BrazilExplore,9.2–15.5,19.6,5.3,9.2,31.7,20.4
1001+,Federal University of Santa MariaBrazilExplore,9.2–15.5,22.3,5.1,9.3,33.3,15.8
1001+,Federal University of ViçosaBrazilExplore,9.2–15.5,25.8,7.4,8.7,50.3,19.1
1001+,Fluminense Federal UniversityBrazilExplore,9.2–15.5,17.8,8.6,12.2,32,24.1
1001+,University of FukuiJapanExplore,9.2–15.5,20.5,10.2,8.4,37.2,20.3
1001+,Gazi UniversityTurkeyExplore,9.2–15.5,18.8,9.1,11.2,36.2,15.7
1001+,"G.B. Pant University of Agriculture & Technology, PantnagarIndiaExplore",9.2–15.5,22.3,7.3,2.2,32.3,12.5
1001+,University of GdańskPolandExplore,9.2–15.5,17.5,9.3,14.8,32.2,28.8
1001+,GITAM UniversityIndiaExplore,9.2–15.5,16,6.7,9.6,31.9,13.7
1001+,Government College University LahorePakistanExplore,9.2–15.5,17.5,7.9,4,0,35.3
1001+,University of GuadalajaraMexicoExplore,9.2–15.5,16.8,3,8.4,31.7,28.9
1001+,Guangxi UniversityChinaExplore,9.2–15.5,16,8.8,9.1,35.6,19.3
1001+,Hashemite UniversityJordanExplore,9.2–15.5,11.1,7.9,9.7,31.7,46.1
1001+,University of HyogoJapanExplore,9.2–15.5,17.1,11.6,10.2,38.1,16.9
1001+,Ibaraki UniversityJapanExplore,9.2–15.5,17.4,5.4,11.2,36.1,22.6
1001+,Ivane Javakhishvili Tbilisi State UniversityGeorgiaExplore,9.2–15.5,16.2,8.7,2.7,32.2,40.9
1001+,Ivan Franko National University of LvivUkraineExplore,9.2–15.5,20.2,3.1,3.7,1.4,36.4
1001+,Jawaharlal Nehru Technological University Anantapur (JNTUA)IndiaExplore,9.2–15.5,23.6,9.7,5.3,32.5,12.7
1001+,Kanagawa UniversityJapanExplore,9.2–15.5,15,8.6,14.3,31.7,24
1001+,Kansai UniversityJapanExplore,9.2–15.5,23.8,7.3,5.9,32.9,21.2
1001+,Kaunas University of TechnologyLithuaniaExplore,9.2–15.5,18.1,11.7,3.3,35.7,23.7
1001+,King Mongkut's University of Technology North BangkokThailandExplore,9.2–15.5,18.4,7.6,13.8,33,21.2
1001+,Kogakuin UniversityJapanExplore,9.2–15.5,17,8.2,9.5,37.7,18.3
1001+,Kwansei Gakuin UniversityJapanExplore,9.2–15.5,16.2,7.1,7,32.4,25
1001+,University of LahorePakistanExplore,9.2–15.5,15,7,14.1,31.7,34.2
1001+,University of ŁódźPolandExplore,9.2–15.5,17.4,9.5,13.8,31.9,23
1001+,Łodz University of TechnologyPolandExplore,9.2–15.5,17,10.4,12.8,36.4,19.4
1001+,Londrina State UniversityBrazilExplore,9.2–15.5,23.8,9.4,10.6,31.8,16.3
1001+,Lviv Polytechnic National UniversityUkraineExplore,9.2–15.5,18.2,7.6,3.7,31.8,25
1001+,Maharaja Sayajirao University of BarodaIndiaExplore,9.2–15.5,14.5,7.5,13.6,32.2,13.3
1001+,Manipal UniversityIndiaExplore,9.2–15.5,20.7,9.4,3.5,31.9,25.6
1001+,Meijo UniversityJapanExplore,9.2–15.5,15.4,8.1,10.2,33.1,21.8
1001+,Ming Chuan UniversityTaiwanExplore,9.2–15.5,15.3,10.2,7.7,32.4,27
1001+,University of MonastirTunisiaExplore,9.2–15.5,17.5,7.3,9.6,31.7,40.9
1001+,University of MysoreIndiaExplore,9.2–15.5,28.5,7.7,2.9,31.9,28.4
1001+,National Chiayi UniversityTaiwanExplore,9.2–15.5,14.6,11,7.8,65,16.6
1001+,National University of KaohsiungTaiwanExplore,9.2–15.5,15.1,15.9,8.9,35.8,21.7
1001+,National Polytechnic University (IPN)MexicoExplore,9.2–15.5,19.9,8.8,9.7,32.9,21.2
1001+,National Research University of Electronic Technology (MIET)Russian FederationExplore,9.2–15.5,18.5,14.9,4.1,33.8,23.3
1001+,National Technical University of Ukraine – Kyiv Polytechnic InstituteUkraineExplore,9.2–15.5,22,8.2,1.9,32.6,18.2
1001+,Oita UniversityJapanExplore,9.2–15.5,21,7.6,11.8,33.5,17.8
1001+,Ondokuz Mayis UniversityTurkeyExplore,9.2–15.5,16.7,7.3,4.3,33.2,16.8
1001+,Perm State UniversityRussian FederationExplore,9.2–15.5,18,9.5,3.9,36.7,17.9
1001+,University of PeshawarPakistanExplore,9.2–15.5,23.4,7.5,6.8,31.7,27.8
1001+,PMAS Arid Agriculture University RawalpindiPakistanExplore,9.2–15.5,17.9,9,9.8,31.7,28.3
1001+,PSG College of TechnologyIndiaExplore,9.2–15.5,16.6,8.4,7.2,32.2,12.8
1001+,RUDN UniversityRussian FederationExplore,9.2–15.5,21.2,9.5,5.6,35.3,45.1
1001+,SASTRA UniversityIndiaExplore,9.2–15.5,16.2,8.2,15,32.4,12.6
1001+,Sathyabama UniversityIndiaExplore,9.2–15.5,17,7.9,2.1,32.2,13.3
1001+,Sechenov UniversityRussian FederationExplore,9.2–15.5,23.4,8.4,0.8,33.8,23.9
1001+,Shanghai Maritime UniversityChinaExplore,9.2–15.5,15.2,8.1,16.8,33.8,28.8
1001+,Shibaura Institute of Technology TokyoJapanExplore,9.2–15.5,17.1,8.5,8.4,35.1,20.6
1001+,Siberian Federal UniversityRussian FederationExplore,9.2–15.5,19.6,9,6.2,35.8,16
1001+,Sidi Mohamed Ben Abdellah UniversityMoroccoExplore,9.2–15.5,25.6,6.3,9.7,31.8,22
1001+,University of the Sinos ValleyBrazilExplore,9.2–15.5,23,12,5.6,33.2,17.9
1001+,Sofia UniversityBulgariaExplore,9.2–15.5,19.6,8.6,9,33,39.2
1001+,Southwest Jiaotong UniversityChinaExplore,9.2–15.5,18.6,12,9,76,20.2
1001+,SRM UniversityIndiaExplore,9.2–15.5,16.4,7.3,8.9,31.9,15.9
1001+,State University of MaringáBrazilExplore,9.2–15.5,18.8,9.3,6,32,15.2
1001+,State University of Western Paraná (Unioeste)BrazilExplore,9.2–15.5,22.4,4.6,2.4,31.9,13.6
1001+,Tamil Nadu Agricultural UniversityIndiaExplore,9.2–15.5,24.9,8.8,2.8,35.3,14.8
1001+,Tamkang UniversityTaiwanExplore,9.2–15.5,16,11.1,9.3,33.5,25
1001+,Technical University of LiberecCzech RepublicExplore,9.2–15.5,18.5,10.2,4.7,37.1,30.9
1001+,Tokyo City UniversityJapanExplore,9.2–15.5,18.5,9.6,11.5,39.3,18.4
1001+,Tokyo Denki UniversityJapanExplore,9.2–15.5,15.5,7.9,2.9,0.6,17
1001+,Tottori UniversityJapanExplore,9.2–15.5,22.4,8.1,10.8,32.8,18.3
1001+,Toyo UniversityJapanExplore,9.2–15.5,15.7,9.3,8.1,32.7,21.2
1001+,University of Tunis El ManarTunisiaExplore,9.2–15.5,22.7,9.3,7.3,32.1,38.3
1001+,Ural Federal UniversityRussian FederationExplore,9.2–15.5,22.3,11.9,5.8,38.4,27.8
1001+,Universiti Utara MalaysiaMalaysiaExplore,9.2–15.5,24.2,10.3,2.9,32.2,45.3
1001+,Utsunomiya UniversityJapanExplore,9.2–15.5,18.5,9.2,7.2,33.2,22
1001+,"University of Veterinary and Animal Sciences, LahorePakistanExplore",9.2–15.5,15.7,9.1,4.4,35.1,29.3
1001+,V.N. Karazin Kharkiv National UniversityUkraineExplore,9.2–15.5,21.3,7.9,3.1,32,51.4
1001+,Volgograd State Technical UniversityRussian FederationExplore,9.2–15.5,17.7,6.9,2,41.5,17.7
1001+,Voronezh State UniversityRussian FederationExplore,9.2–15.5,20.8,7.1,1.9,33.2,24.4
1001+,Yazd UniversityIranExplore,9.2–15.5,14.6,9.9,14.8,0.4,15.5
1001+,Yeditepe UniversityTurkeyExplore,9.2–15.5,15.4,8,9.7,0.2,23.4
1001+,University of ZanjanIranExplore,9.2–15.5,16.2,9.4,15.7,38.3,17.3
