Name,,Publications,publication,citations,h-index
"235. Baruah, Swati",,5,2011,1,1
"236. Bora, Plaban",,5,2016,15,2
"237. Borah, Kunal",,5,2014,10,3
"238. Bordoloi, Neonjyoti",,5,2017,13,1
"239. Chatterjee, Bijoy Chand",,5,2013,92,6
"240. Deka, Harekrishna",,5,2013,61,10
"241. Deka, Pangkita",,5,2016,52,2
"242. Deka, Pratibha",,5,2016,21,2
"243. Duarah, Rituparna",,5,2017,8,2
"244. Dutta, Nipu",,5,2015,32,5
"245. Gogoi, Prasanta",,5,2014,84,5
"246. Hussain, Iftak",,5,2017,7,2
"247. Hussain, Karishma",,5,2016,23,3
"248. Jha, Deepak K.",,5,2017,26,3
"249. Kalita, Bhargab",,5,2017,5,1
"250. Kalita, Gautam",,5,2013,35,4
"251. Kalita, Ranjan Dutta",,5,2014,67,8
"252. Kalita, Rupam",,5,2016,10,2
"253. Lourembam, Sonia D.",,5,2013,19,4
"254. Mahanta, Abhijit",,5,2017,16,3
"255. Mallick, Ashis",,5,2014,42,7
"256. Mattaparthi, Venkata Satish Kumar",,5,2016,1,1
"257. Mohan, Kiran Jyoti",,5,2017,4,1
"258. Nath, Dhrubajyoti",,5,2016,15,2
"259. Nath, Rajat Kanti",,5,2015,4,3
"260. Patel, Arbind Kumar",,5,2016,23,2
"260. Patel, Arbind Kumar",,5,2016,23,2
"261. Paul, Sreyashi",,5,2017,5,1
"262. Paul, Susmita C.",,5,2015,32,9
"263. Roy, Sanchita S.",,5,2013,11,6
"264. Saha, Sougata",,5,2015,58,9
"265. Saharia, Barnam Jyoti",,5,2017,0,1
"266. Saharia, Navanath",,5,2014,3,3
"267. Saikia, Devabrata",,5,2016,12,2
"268. Saikia, Jyoti Prasad Rasad",,5,2013,40,11
"269. Saikia, Lakhinath",,5,2016,23,3
"270. Saikia, Susmita",,5,2017,1,1
"271. Sarmah, Bipul Kumar",,5,2015,10,3
"272. Sarmah, Satyajit",,5,2013,44,5
"273. Sarmah, Smritimala",,5,2013,57,5
"274. Sawian, Clara Ermine",,5,2013,38,4
"275. Singh, Pritpal J.",,5,2014,84,6
"276. Singha, Thockchom Birjit",,5,2014,2,1
"277. Ahmed, Taslima",,4,2015,0,0
"278. Banerjee, Sanjib",,4,2012,18,10
"279. Baruah, Rupam",,4,2013,1,1
"280. Bashir, Yasir",,4,2016,6,1
"281. Begum, Pakiza",,4,2017,11,2
"282. Bora, Jayanta",,4,2016,13,2
"283. Borah, Biraj Jyoti",,4,2017,27,3
"284. Borah, Munindra",,4,2013,15,7
"285. Boruah, Bornali",,4,2013,45,6
"286. Boruah, Kuntala",,4,2016,0,0
"287. Daimari, Rebecca",,4,2016,1,1
"288. Das, Aparna",,4,2016,5,2
"289. Das, Beauty",,4,2015,46,6
"290. Das, Diganta Kr",,4,2016,12,6
"291. Das, Monoj Kumar",,4,2017,1,1
"292. Das, Pallavi K.",,4,2016,5,1
"293. Das, Sajal Kumar",,4,2016,3,1
"294. Deb, Pramil Chandra",,4,2016,19,13
