University,N&S-14,N&S
The University of Queensland,21.7,24
"University of California, Riverside",27.2,23.9
Karolinska Institute,22.4,23.5
Technical University Munich,23.7,23.2
University of Hawaii at Manoa,23.8,22.9
The Ohio State University - Columbus,25.5,22.8
Rice University,24.6,22.8
Texas A&M University,23.2,22.7
Monash University,22.9,22.6
Georgia Institute of Technology,22.2,22.4
University of Helsinki,20,22.4
University of Southern California,22.8,22.1
Oregon Health and Science University,22.3,22.1
Leiden University,23.7,22
Emory University,23.7,22
University of Lausanne,23.3,22
Joseph Fourier University (Grenoble 1),22.4,21.9
Indiana University Bloomington,21.4,21.9
Vanderbilt University,22.8,21.8
Michigan State University,21.3,21.8
Yeshiva University,21.8,21.7
University of Hamburg,20,21.7
The Hebrew University of Jerusalem,21.3,21.5
Peking University,20.2,21.5
The University of Texas M. D. Anderson Cancer Center,21.2,21.4
University of Basel,20.8,21.4
University of Frankfurt,21.8,21.2
Oregon State University,20.8,21.2
University of Bonn,21.9,21.1
University of Vienna,21.9,21.1
University of Florida,22,21
Tohoku University,21.8,21
University of Groningen,19.9,21
University of Rochester,24,20.8
National University of Singapore,20.2,20.3
Aix Marseille University,19.5,20.3
Paul Sabatier University (Toulouse 3),20.6,20.2
The Australian National University,22.8,20.1
University of Goettingen,17.9,20
University of Wageningen,19.9,19.8
University of Southampton,21.3,19.5
Ecole Normale Superieure - Paris,16.8,19.5
Stockholm University,20.3,19.4
Radboud University Nijmegen,18.1,19.3
University of Koeln,17.5,19.3
University of Bern,21.7,19.2
University of Alberta,20.1,19.2
University of Pittsburgh-Pittsburgh Campus,19.2,19.2
Case Western Reserve University,22,19
University of Strasbourg,17.7,19
University of Iowa,21.2,18.8
Brandeis University,20.3,18.8
University of Amsterdam,19.5,18.8
Claude Bernard University Lyon 1,17.4,18.8
University of Liverpool,19.4,18.6
KU Leuven,19.1,18.6
University of Innsbruck,17.1,18.6
University of Leicester,18.8,18.5
The University of Glasgow,18.7,18.5
University of Leeds,20.5,18.4
Stony Brook University,18.9,18.4
University of Exeter,18.8,18.4
Ghent University,19.6,18.3
Technion-Israel Institute of Technology,19.1,18.3
King's College London,19.3,18.2
University of Oslo,16.5,18.2
Delft University of Technology,18.3,18.1
University of Sydney,17.9,18.1
VU University Amsterdam,17.5,18
Seoul National University,18.9,17.9
University of Bordeaux,16.6,17.9
Cardiff University,18.8,17.8
The University of New South Wales,17.3,17.8
Nagoya University,18,17.7
University of St Andrews,17.7,17.5
The University of Sheffield,17.4,17.5
University of Tuebingen,18.7,17.4
University of Paris Sud (Paris 11),18.5,17.4
University of Montreal,17.5,17.3
Iowa State University,20,17.1
University of Massachusetts Amherst,17.3,16.9
The University of Dundee,16,16.9
The University of New Mexico - Albuquerque,16.8,16.8
The University of Georgia,20.6,16.7
Northeastern University,18.1,16.5
University of Bergen,14.6,16.5
University of Nice Sophia Antipolis,14.9,16.3
Lund University,14.7,16.3
