Institution,Rank 2016,Rank 2015,Rank 2014,Rank 2013,Rank 2012,Rank 2011
Brown UniversityUnited States of America,51,54,52,51,49,55
Australian National UniversityAustralia,52,45,48,37,38,43
Technical University of MunichGermany,53,98,87,105,88,101
École Normale SupérieureFrance,54,78,65,59,59,42
Nanyang Technological UniversitySingapore,55,61,76,86,169,174
University of ManchesterUnited Kingdom,56,52,58,49,48,87
University of SydneyAustralia,56,60,72,62,58,71
University of AmsterdamNetherlands,58,77,83,83,92,165
Hong Kong University of Science and TechnologyHong Kong,59,51,57,65,62,41
The University of QueenslandAustralia,60,65,63,65,74,81
Washington University in St LouisUnited States of America,60,42,42,44,41,38
Utrecht UniversityNetherlands,62,79,74,67,68,143
University of North Carolina at Chapel HillUnited States of America,63,46,47,42,43,30
Boston UniversityUnited States of America,64,57,50,54,54,59
Delft University of TechnologyNetherlands,65,71,69,77,104,151
University of MinnesotaUnited States of America,65,46,46,47,42,52
Leiden UniversityNetherlands,67,64,67,64,79,124
University of Southern CaliforniaUnited States of America,68,75,70,56,55,73
University of BristolUnited Kingdom,69,74,79,74,66,68
Durham UniversityUnited Kingdom,70,83,80,80,83,85
Erasmus University RotterdamNetherlands,71,72,73,72,157,159
Free University of BerlinGermany,72,81,86,128,151,
Monash UniversityAustralia,73,83,91,99,117,178
University of GroningenNetherlands,74,117,98,89,134,170
Pennsylvania State UniversityUnited States of America,75,58,49,61,51,109
University of GlasgowUnited Kingdom,76,94,117,139,102,128
University of HelsinkiFinland,76,103,100,109,91,102
University of TübingenGermany,78,113,,,187,189
University of PittsburghUnited States of America,79,91,78,76,59,64
University of WarwickUnited Kingdom,80,103,141,124,157,
Uppsala UniversitySweden,81,98,111,106,87,147
University of CopenhagenDenmark,82,160,150,130,135,177
University of New South WalesAustralia,82,109,114,85,173,152
University of FreiburgGermany,84,163,152,144,189,132
Seoul National UniversitySouth Korea,85,50,44,59,124,109
University of St AndrewsUnited Kingdom,86,111,117,108,85,103
Vanderbilt UniversityUnited States of America,87,96,88,106,70,51
Kyoto UniversityJapan,88,59,52,54,52,57
Maastricht UniversityNetherlands,88,101,98,115,197,
Emory UniversityUnited States of America,90,93,80,79,75,61
Lund UniversitySweden,90,119,123,82,80,89
Ohio State UniversityUnited States of America,90,68,59,53,57,66
University of ExeterUnited Kingdom,93,154,148,153,156,184
University of BonnGermany,94,195,181,171,,178
Georgetown UniversityUnited States of America,94,173,160,174,138,164
McMaster UniversityCanada,94,94,92,88,65,93
University of SheffieldUnited Kingdom,97,121,112,110,101,137
Queen Mary University of LondonUnited Kingdom,98,107,114,145,127,120
University of GöttingenGermany,99,67,63,70,69,43
Michigan State UniversityUnited States of America,99,82,83,94,96,122
University of BaselSwitzerland,101,75,74,142,111,95
