University,Citations per Faculty-17,Citations per Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
University of Nebraska-Lincoln,38.7,33.1,,,0.144702842,0.020938913,0.144702842
Lincoln University,37.9,33.3,,,0.121372032,0.01473117,0.121372032
Universitat de Barcelona,32.4,33.4,,,-0.030864198,0.000952599,0.030864198
Vanderbilt University,35.8,33.4,,,0.067039106,0.004494242,0.067039106
Kent State University,30.9,33.6,,,-0.087378641,0.007635027,0.087378641
Humboldt-Universität zu Berlin,35.1,33.6,,,0.042735043,0.001826284,0.042735043
University of the Witwatersrand,30.3,33.7,,,-0.112211221,0.012591358,0.112211221
University of Oulu,35.5,33.7,,,0.050704225,0.002570918,0.050704225
George Washington University,29.6,33.8,,,-0.141891892,0.020133309,0.141891892
University of Eastern Finland,27.6,34,,,-0.231884058,0.053770216,0.231884058
University of Saskatchewan,34.9,34.1,,,0.022922636,0.000525447,0.022922636
Aberystwyth University,33.3,34.4,,,-0.033033033,0.001091181,0.033033033
Tokyo Metropolitan University,67.7,34.6,,,0.488921713,0.239044442,0.488921713
Ruprecht-Karls-Universitaet Heidelberg,36.4,34.8,,,0.043956044,0.001932134,0.043956044
University of Tehran,37.6,34.8,,,0.074468085,0.005545496,0.074468085
University of St.Gallen (HSG),61.9,34.9,,,0.436187399,0.190259447,0.436187399
Curtin University,33.4,35,,,-0.047904192,0.002294812,0.047904192
Hokkaido University,38.1,35.1,,,0.078740157,0.006200012,0.078740157
Oregon State University,35.7,35.6,,,0.00280112,7.84628E-06,0.00280112
McMaster University,37.9,35.7,,,0.058047493,0.003369511,0.058047493
Clemson University,38.2,35.7,,,0.065445026,0.004283051,0.065445026
University of Cape Town,42.3,35.9,,,0.151300236,0.022891762,0.151300236
The University of Georgia,35.8,36,,,-0.005586592,3.121E-05,0.005586592
Copenhagen Business School,34.4,36.2,,,-0.052325581,0.002737966,0.052325581
Beijing Institute of Technology,37.7,36.2,,,0.039787798,0.001583069,0.039787798
Universität Duisburg-Essen,34.4,36.3,,,-0.055232558,0.003050635,0.055232558
Utah State University,36.8,36.5,,,0.008152174,6.64579E-05,0.008152174
University College Cork,38.1,36.7,,,0.036745407,0.001350225,0.036745407
Swinburne University of Technology,30.2,36.8,,,-0.218543046,0.047761063,0.218543046
Queensland University of Technology (QUT),31.4,36.8,,,-0.171974522,0.029575236,0.171974522
Alma Mater Studiorum - University of Bologna,29.8,36.9,,,-0.238255034,0.056765461,0.238255034
Nagoya University,38.2,37,,,0.031413613,0.000986815,0.031413613
National Taiwan University of Science and Technology (Taiwan Tech),46.2,37.1,,,0.196969697,0.038797062,0.196969697
University of Bayreuth,33,37.3,,,-0.13030303,0.01697888,0.13030303
National Yang Ming University,38.9,37.4,,,0.038560411,0.001486905,0.038560411
"City, University of London",33.3,37.5,,,-0.126126126,0.0159078,0.126126126
Heriot-Watt University,36.2,37.5,,,-0.035911602,0.001289643,0.035911602
Wuhan University,39.8,37.5,,,0.057788945,0.003339562,0.057788945
University of Lisbon,40.8,37.5,,,0.080882353,0.006541955,0.080882353
Sungkyunkwan University (SKKU),36.9,37.9,,,-0.027100271,0.000734425,0.027100271
Université Paris Diderot - Paris 7,51.3,38.1,,,0.257309942,0.066208406,0.257309942
Université Grenoble-Alpes,36.5,38.2,,,-0.046575342,0.002169263,0.046575342
Rhodes University,43.1,38.2,,,0.113689095,0.01292521,0.113689095
University of Utah,49.8,38.2,,,0.232931727,0.054257189,0.232931727
Xi’an Jiaotong University,38.5,38.5,,,0,0,0
University of Alabama,38.4,38.7,,,-0.0078125,6.10352E-05,0.0078125
University of Liverpool,43.2,38.7,,,0.104166667,0.010850694,0.104166667
Beihang University (former BUAA),45,38.8,,,0.137777778,0.018982716,0.137777778
Deakin University,35.7,38.9,,,-0.089635854,0.008034586,0.089635854
University of Florida,40.7,39.2,,,0.036855037,0.001358294,0.036855037
Michigan Technological University,41.5,39.2,,,0.055421687,0.003071563,0.055421687
Cardiff University,45,39.5,,,0.122222222,0.014938272,0.122222222
Università di Padova,24.3,39.6,,,-0.62962963,0.396433471,0.62962963
University of Milano-Bicocca,38.8,39.6,,,-0.020618557,0.000425125,0.020618557
University of Cincinnati,38.7,39.7,,,-0.025839793,0.000667695,0.025839793
Stevens Institute of Technology,43.3,40,,,0.076212471,0.005808341,0.076212471
Sapienza University of Rome,38.1,40.1,,,-0.052493438,0.002755561,0.052493438
Northeastern University,40,40.1,,,-0.0025,6.25E-06,0.0025
Università degli Studi di Pavia,40.7,40.1,,,0.014742015,0.000217327,0.014742015
Griffith University,36.5,40.2,,,-0.101369863,0.010275849,0.101369863
Aston University,38.3,40.2,,,-0.049608355,0.002460989,0.049608355
The Ohio State University,40.1,40.3,,,-0.004987531,2.48755E-05,0.004987531
National Central University,43.8,40.3,,,0.079908676,0.006385396,0.079908676
Università degli Studi di Perugia,36.8,40.5,,,-0.100543478,0.010108991,0.100543478
University of Guelph,40.1,40.9,,,-0.019950125,0.000398007,0.019950125
University of Milan,34.4,41.1,,,-0.194767442,0.037934356,0.194767442
Loughborough University,47.9,41.4,,,0.135699374,0.01841432,0.135699374
University of Helsinki,31.2,41.5,,,-0.330128205,0.108984632,0.330128205
University of Iowa,43.7,41.6,,,0.04805492,0.002309275,0.04805492
University of South Australia,37.3,41.9,,,-0.123324397,0.015208907,0.123324397
University of Houston,43.9,42,,,0.043280182,0.001873174,0.043280182
RWTH Aachen University,44.9,42.1,,,0.062360802,0.00388887,0.062360802
Iowa State University,57.8,42.1,,,0.271626298,0.073780846,0.271626298
Université de Montpellier,39.5,42.3,,,-0.070886076,0.005024836,0.070886076
University of Leeds,47.3,42.3,,,0.105708245,0.011174233,0.105708245
University of Rochester,49.2,42.6,,,0.134146341,0.017995241,0.134146341
University of Stirling,56.5,42.6,,,0.246017699,0.060524708,0.246017699
Newcastle University,46.6,42.9,,,0.079399142,0.006304224,0.079399142
University of Kentucky,45.7,43.2,,,0.054704595,0.002992593,0.054704595
"Stony Brook University, State University of New York",41.9,43.3,,,-0.033412888,0.001116421,0.033412888
Queen Mary University of London,47.7,43.3,,,0.092243187,0.008508805,0.092243187
Université Paris Descartes,37.5,43.4,,,-0.157333333,0.024753778,0.157333333
Boston College,56.3,43.4,,,0.229129663,0.052500402,0.229129663
University of Calgary,46.3,43.5,,,0.060475162,0.003657245,0.060475162
Universitat Autònoma de Barcelona,42.4,43.7,,,-0.030660377,0.000940059,0.030660377
Tongji University,38.5,43.8,,,-0.137662338,0.018950919,0.137662338
Xiamen University,42.4,43.8,,,-0.033018868,0.001090246,0.033018868
Norwegian University of Science And Technology,45.7,43.9,,,0.039387309,0.00155136,0.039387309
Virginia Polytechnic Institute and State University,42.2,44.1,,,-0.045023697,0.002027133,0.045023697
Florida State University,46.7,44.1,,,0.055674518,0.003099652,0.055674518
Brandeis University,51.6,44.1,,,0.145348837,0.021126284,0.145348837
Universite libre de Bruxelles,25.7,44.4,,,-0.727626459,0.529440264,0.727626459
Beijing Normal University,40.3,44.5,,,-0.104218362,0.010861467,0.104218362
Bar-Ilan University,34.7,44.7,,,-0.288184438,0.08305027,0.288184438
University of Patras,47.3,44.7,,,0.054968288,0.003021513,0.054968288
University of Connecticut,53.6,44.7,,,0.166044776,0.027570868,0.166044776
University at Albany SUNY,44.2,45.5,,,-0.029411765,0.000865052,0.029411765
Southeast University,49.4,45.5,,,0.078947368,0.006232687,0.078947368
University of Technology Sydney,37.7,45.8,,,-0.214854111,0.046162289,0.214854111
Victoria University of Wellington,47.8,45.8,,,0.041841004,0.00175067,0.041841004
University of Tasmania,35.7,46.2,,,-0.294117647,0.08650519,0.294117647
