University,Faculty Student-17,Faculty Student-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Queen's University Belfast,42.7,41.7,,,0.023419204,0.000548459,0.023419204
Utrecht University,41.8,41.8,,,0,0,0
Vasyl` Stus Donetsk National University,44.5,41.8,,,0.060674157,0.003681353,0.060674157
National Taipei University of Technology,35.5,42,,,-0.183098592,0.033525094,0.183098592
University of Notre Dame,41,42.3,,,-0.031707317,0.001005354,0.031707317
Universidad Anahuac,42.8,42.3,,,0.011682243,0.000136475,0.011682243
Universität Innsbruck,33.1,42.6,,,-0.287009063,0.082374202,0.287009063
University of Twente,42.1,42.7,,,-0.014251781,0.000203113,0.014251781
SOAS University of London,45.8,43.1,,,0.058951965,0.003475334,0.058951965
Sumy State University,54.3,43.1,,,0.20626151,0.042543811,0.20626151
Carnegie Mellon University,35.1,43.2,,,-0.230769231,0.053254438,0.230769231
Universidad Autónoma de Madrid,34.7,43.4,,,-0.250720461,0.06286075,0.250720461
University of East Anglia (UEA),35.2,43.4,,,-0.232954545,0.05426782,0.232954545
Westfälische Wilhelms-Universität Münster,45,43.5,,,0.033333333,0.001111111,0.033333333
Institut National des Sciences Appliquées de Lyon (INSA),49.6,43.6,,,0.120967742,0.014633195,0.120967742
Universidade Federal de São Carlos (UFSCAR),37.8,43.7,,,-0.156084656,0.02436242,0.156084656
"University of California, Los Angeles (UCLA)",61.6,43.7,,,0.290584416,0.084439303,0.290584416
Voronezh State University,36,43.8,,,-0.216666667,0.046944444,0.216666667
Universitas Indonesia,42.4,44.3,,,-0.044811321,0.002008054,0.044811321
Sogang University,50.4,44.8,,,0.111111111,0.012345679,0.111111111
Konkuk University,34.6,45.1,,,-0.303468208,0.092092953,0.303468208
University of Amsterdam,42.8,45.2,,,-0.056074766,0.003144379,0.056074766
Koc University,40.2,45.6,,,-0.134328358,0.018044108,0.134328358
University of Gothenburg,47.2,45.8,,,0.029661017,0.000879776,0.029661017
Virginia Commonwealth University,48.3,46.1,,,0.045548654,0.00207468,0.045548654
Lancaster University,42.3,46.2,,,-0.092198582,0.008500578,0.092198582
Uppsala University,48.5,46.2,,,0.04742268,0.002248911,0.04742268
University of Baghdad,49.2,46.2,,,0.06097561,0.003718025,0.06097561
University of Leicester,56.9,46.2,,,0.188049209,0.035362505,0.188049209
