University,Employer Reputation-17,Employer Reputation-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
La Trobe University,30.8,39.9,,,-0.295454545,0.087293388,0.295454545
Technion - Israel Institute of Technology,32.4,40,,,-0.234567901,0.0550221,0.234567901
Tallinn University of Technology,32.9,40,,,-0.215805471,0.046572001,0.215805471
"University of Economics, Prague",43.9,40,,,0.088838269,0.007892238,0.088838269
Friedrich-Alexander-Universität Erlangen-Nürnberg,37.2,40.2,,,-0.080645161,0.006503642,0.080645161
Virginia Polytechnic Institute and State University,40.2,40.4,,,-0.004975124,2.47519E-05,0.004975124
King Fahd University of Petroleum & Minerals,40.3,40.5,,,-0.004962779,2.46292E-05,0.004962779
Charles University,44.9,40.6,,,0.095768374,0.009171581,0.095768374
Nottingham Trent University,31.5,40.9,,,-0.298412698,0.089050139,0.298412698
Vrije Universiteit Brussel (VUB),48.4,41.3,,,0.146694215,0.021519193,0.146694215
University of Geneva,31.4,41.4,,,-0.318471338,0.101423993,0.318471338
Universitat Autònoma de Barcelona,37.5,41.5,,,-0.106666667,0.011377778,0.106666667
University of Oslo,39.6,41.5,,,-0.047979798,0.002302061,0.047979798
Indiana University Bloomington,42.2,41.6,,,0.014218009,0.000202152,0.014218009
Victoria University of Wellington,42.9,41.6,,,0.03030303,0.000918274,0.03030303
Universidad de Costa Rica,41.8,41.7,,,0.002392344,5.72331E-06,0.002392344
Pontifícia Universidade Católica de São Paulo,45.2,41.7,,,0.077433628,0.005995967,0.077433628
National Cheng Kung University (NCKU),34.3,42,,,-0.224489796,0.050395668,0.224489796
Leiden University,43.9,42.1,,,0.041002278,0.001681187,0.041002278
Gadjah Mada University,32.8,42.2,,,-0.286585366,0.082131172,0.286585366
Universidad Torcuato Di Tella,42.1,42.2,,,-0.002375297,5.64204E-06,0.002375297
American University in Dubai,46.3,42.5,,,0.082073434,0.006736049,0.082073434
University of Dhaka,45.4,42.6,,,0.061674009,0.003803683,0.061674009
University of Lausanne,49.9,42.8,,,0.142284569,0.020244899,0.142284569
WHU - Otto Beisheim School of Management,41.9,42.9,,,-0.023866348,0.000569603,0.023866348
University of Bern,33.6,43.2,,,-0.285714286,0.081632653,0.285714286
Copenhagen Business School,64.3,43.3,,,0.32659409,0.1066637,0.32659409
Universidad Anahuac,46.5,43.4,,,0.066666667,0.004444444,0.066666667
Université de Montpellier,32.5,43.5,,,-0.338461538,0.114556213,0.338461538
Warsaw University of Technology,49.7,43.5,,,0.124748491,0.015562186,0.124748491
Vrije Universiteit Amsterdam,50.7,43.5,,,0.142011834,0.020167361,0.142011834
Novosibirsk State University,34.2,43.6,,,-0.274853801,0.075544612,0.274853801
University of the Witwatersrand,34.2,43.6,,,-0.274853801,0.075544612,0.274853801
Utrecht University,52.5,43.6,,,0.16952381,0.028738322,0.16952381
Alexandria University,34.4,43.7,,,-0.270348837,0.073088494,0.270348837
University of Colorado Boulder,44,43.7,,,0.006818182,4.64876E-05,0.006818182
Universiti Sains Malaysia (USM),34.7,43.8,,,-0.262247839,0.068773929,0.262247839
Indian Institute of Technology Kanpur (IITK),49.9,43.8,49.9,43.8,0.122244489,0.014943715,0.122244489
Universität Hamburg,39.2,44,,,-0.12244898,0.014993753,0.12244898
