University,International Students-17,International Students-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
University Duesseldorf,34.5,31.5,,,0.086956522,0.007561437,0.086956522
Universitat Pompeu Fabra,34.5,31.6,,,0.084057971,0.007065742,0.084057971
University of Tsukuba,29.3,32,,,-0.092150171,0.008491654,0.092150171
American University,35.2,32,,,0.090909091,0.008264463,0.090909091
Ecole Normale Supérieure de Cachan,43.3,32,,,0.260969977,0.068105329,0.260969977
University of Lisbon,23.1,32.1,,,-0.38961039,0.151796256,0.38961039
University of South Florida,26.1,32.4,,,-0.24137931,0.058263971,0.24137931
Tallinn University of Technology,26.5,32.5,,,-0.226415094,0.051263795,0.226415094
Université Grenoble-Alpes,38.3,32.5,,,0.151436031,0.022932872,0.151436031
Yonsei University,30.6,32.6,,,-0.065359477,0.004271861,0.065359477
University of Oregon,37.3,32.7,,,0.123324397,0.015208907,0.123324397
Sumy State University,47.5,32.7,,,0.311578947,0.09708144,0.311578947
Smith College,35.8,32.8,,,0.083798883,0.007022253,0.083798883
Universität Konstanz,33,32.9,,,0.003030303,9.18274E-06,0.003030303
Laval University,35,32.9,,,0.06,0.0036,0.06
Leiden University,30.6,33,,,-0.078431373,0.00615148,0.078431373
University of Jordan,53.4,33,,,0.382022472,0.145941169,0.382022472
"University of Maryland, College Park",33.2,33.1,,,0.003012048,9.07243E-06,0.003012048
University of Gothenburg,26.7,33.2,,,-0.243445693,0.059265805,0.243445693
"University of California, Davis",47.6,33.3,,,0.300420168,0.090252277,0.300420168
Tufts University,60.1,33.3,,,0.445923461,0.198847733,0.445923461
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),36.5,33.5,,,0.082191781,0.006755489,0.082191781
Politécnica de Madrid,33.4,33.6,,,-0.005988024,3.58564E-05,0.005988024
Universitat de Barcelona,36.1,33.7,,,0.066481994,0.004419856,0.066481994
University Complutense Madrid,36.8,33.8,,,0.081521739,0.006645794,0.081521739
University of Southern Queensland,63.2,33.8,,,0.465189873,0.216401618,0.465189873
University Ulm,33.7,34.1,,,-0.011869436,0.000140884,0.011869436
Plymouth University,34,34.1,,,-0.002941176,8.65052E-06,0.002941176
Waseda University,37.2,34.2,,,0.080645161,0.006503642,0.080645161
Khazar University,35.9,34.6,,,0.036211699,0.001311287,0.036211699
Kuwait University,35.5,34.7,,,0.022535211,0.000507836,0.022535211
Stockholm School of Economics,50.6,34.7,,,0.314229249,0.098740021,0.314229249
University College Cork,47,34.9,,,0.257446809,0.066278859,0.257446809
Ruhr-Universität Bochum,36.6,35.3,,,0.035519126,0.001261608,0.035519126
Vanderbilt University,34.5,36,,,-0.043478261,0.001890359,0.043478261
Aix-Marseille University,33.6,36.2,,,-0.077380952,0.005987812,0.077380952
Technische Universität Braunschweig,34.3,36.4,,,-0.06122449,0.003748438,0.06122449
Corvinus University of Budapest,39.2,36.4,,,0.071428571,0.005102041,0.071428571
Korea University,35.1,36.7,,,-0.045584046,0.002077905,0.045584046
Fordham University,35.1,36.7,,,-0.045584046,0.002077905,0.045584046
Université Paul Sabatier Toulouse III,39.8,36.8,,,0.075376884,0.005681675,0.075376884
Eberhard Karls Universität Tübingen,28.4,36.9,,,-0.299295775,0.089577961,0.299295775
