University,International Students-17,International Students-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Universidad de Belgrano,89.9,86.5,,,0.0378198,0.001430337,0.0378198
University of Bradford,95,86.5,,,0.089473684,0.00800554,0.089473684
Massey University,73.4,86.6,,,-0.179836512,0.032341171,0.179836512
Aston University,82.1,87.2,,,-0.062119367,0.003858816,0.062119367
The University of Queensland,84.6,87.3,,,-0.031914894,0.00101856,0.031914894
Delft University of Technology,74.8,87.4,,,-0.168449198,0.028375132,0.168449198
Concordia University,88.3,87.5,,,0.009060023,8.2084E-05,0.009060023
Rice University,88.8,87.7,,,0.012387387,0.000153447,0.012387387
Durham University,87.6,87.8,,,-0.002283105,5.21257E-06,0.002283105
"Nanyang Technological University, Singapore (NTU)",93.9,88.2,,,0.060702875,0.003684839,0.060702875
Wageningen University,88.6,88.8,,,-0.002257336,5.09557E-06,0.002257336
California Institute of Technology (Caltech),87.7,89.2,,,-0.017103763,0.000292539,0.017103763
"Trinity College Dublin, The University of Dublin",85.9,89.5,,,-0.041909197,0.001756381,0.041909197
University of Kent,90.7,89.5,,,0.01323043,0.000175044,0.01323043
The University of Auckland,89.5,89.6,,,-0.001117318,1.2484E-06,0.001117318
V. N. Karazin Kharkiv National University,97.7,89.9,,,0.079836233,0.006373824,0.079836233
University of Rochester,83.9,90,,,-0.072705602,0.005286105,0.072705602
Central Queensland University,86.1,90,,,-0.045296167,0.002051743,0.045296167
University of Tasmania,75.9,90.1,,,-0.187088274,0.035002022,0.187088274
Institut National des Sciences Appliquées de Lyon (INSA),83.3,90.2,,,-0.082833133,0.006861328,0.082833133
CentraleSupélec,92.7,90.2,,,0.026968716,0.000727312,0.026968716
University of Bath,91.7,90.4,,,0.014176663,0.000200978,0.014176663
Ecole Polytechnique,90.9,90.8,,,0.00110011,1.21024E-06,0.00110011
University of Leicester,97.1,91.1,,,0.061791967,0.003818247,0.061791967
Vienna University of Technology,88.1,91.2,,,-0.035187287,0.001238145,0.035187287
Simon Fraser University,92.7,91.9,,,0.008629989,7.44767E-05,0.008629989
University of Toronto,93.1,92.1,,,0.010741139,0.000115372,0.010741139
University of Reading,93.8,92.5,,,0.013859275,0.00019208,0.013859275
University of East London,93.7,92.8,,,0.009605123,9.22584E-05,0.009605123
The Hong Kong University of Science and Technology,98.7,93,,,0.05775076,0.00333515,0.05775076
ESSEC Business School,92.3,93.2,,,-0.009750813,9.50783E-05,0.009750813
Lincoln University,93.9,93.2,,,0.007454739,5.55731E-05,0.007454739
University of Vienna,94.4,93.8,,,0.006355932,4.03979E-05,0.006355932
Bond University,92.5,94.4,,,-0.020540541,0.000421914,0.020540541
Queen's University Belfast,94.5,94.5,,,0,0,0
University of Technology Sydney,94.6,94.5,,,0.001057082,1.11742E-06,0.001057082
Columbia University,93.7,94.9,,,-0.01280683,0.000164015,0.01280683
La Trobe University,95.1,95.3,,,-0.002103049,4.42282E-06,0.002103049
University of Southampton,96,95.3,,,0.007291667,5.31684E-05,0.007291667
Universite libre de Bruxelles,96,95.3,,,0.007291667,5.31684E-05,0.007291667
Universidad de Palermo (UP),95.5,95.4,,,0.00104712,1.09646E-06,0.00104712
McGill University,95.2,95.6,,,-0.004201681,1.76541E-05,0.004201681
University of Greenwich,96.3,95.7,,,0.00623053,3.88195E-05,0.00623053
EBS Business School,95.2,95.9,,,-0.007352941,5.40657E-05,0.007352941
University of St.Gallen (HSG),97,95.9,,,0.011340206,0.0001286,0.011340206
Massachusetts Institute of Technology (MIT),96.6,96.1,,,0.005175983,2.67908E-05,0.005175983
James Cook University,83.9,96.2,,,-0.146603099,0.021492469,0.146603099
University of Macau,96.8,96.3,,,0.005165289,2.66802E-05,0.005165289
Northeastern University,96.2,96.5,,,-0.003118503,9.72506E-06,0.003118503
University of Liverpool,97.1,96.5,,,0.006179197,3.81825E-05,0.006179197
University of Glasgow,96.9,96.6,,,0.003095975,9.58506E-06,0.003095975
"Kingston University, London",97,96.8,,,0.002061856,4.25125E-06,0.002061856
The University of Sheffield,97.1,96.8,,,0.003089598,9.54562E-06,0.003089598
Paris Lodron University of Salzburg,92.1,97,,,-0.05320304,0.002830563,0.05320304
The New School,96.4,97.2,,,-0.008298755,6.88693E-05,0.008298755
"Goldsmiths, University of London",97.9,97.2,,,0.007150153,5.11247E-05,0.007150153
University of Aberdeen,97.6,97.5,,,0.00102459,1.04979E-06,0.00102459
City University of Hong Kong,98.4,97.5,,,0.009146341,8.36556E-05,0.009146341
Monash University,96.4,97.7,,,-0.013485477,0.000181858,0.013485477
University of Cambridge,97.8,97.7,,,0.001022495,1.0455E-06,0.001022495
The University of New South Wales (UNSW Sydney),95.2,97.8,,,-0.027310924,0.000745887,0.027310924
University of Sussex,97.9,97.9,,,0,0,0
Lancaster University,98.1,98,,,0.001019368,1.03911E-06,0.001019368
The University of Sydney,94.9,98.1,,,-0.033719705,0.001137019,0.033719705
The University of Manchester,98.6,98.3,,,0.003042596,9.25739E-06,0.003042596
Sciences Po,98,98.5,,,-0.005102041,2.60308E-05,0.005102041
University of Oxford,98.2,98.5,,,-0.00305499,9.33296E-06,0.00305499
The University of Edinburgh,99.1,98.6,,,0.005045409,2.54561E-05,0.005045409
The Australian National University,96.3,98.8,,,-0.02596054,0.00067395,0.02596054
ETH Zurich - Swiss Federal Institute of Technology,98.8,98.8,,,0,0,0
The University of Adelaide,99.2,98.8,,,0.004032258,1.62591E-05,0.004032258
Stevens Institute of Technology,98.1,98.9,,,-0.008154944,6.65031E-05,0.008154944
University of Geneva,99.5,98.9,,,0.006030151,3.63627E-05,0.006030151
Heriot-Watt University,99.6,98.9,,,0.007028112,4.93944E-05,0.007028112
The University of Warwick,99,99,,,0,0,0
Royal Holloway University of London,99.1,99,,,0.001009082,1.01825E-06,0.001009082
University of Groningen,98.4,99.1,,,-0.007113821,5.06065E-05,0.007113821
University of Surrey,98.5,99.1,,,-0.006091371,3.71048E-05,0.006091371
"Birkbeck, University of London",99.2,99.1,,,0.001008065,1.01619E-06,0.001008065
Universität Innsbruck,99.2,99.1,,,0.001008065,1.01619E-06,0.001008065
Charles Darwin University,98.1,99.2,,,-0.011213048,0.000125732,0.011213048
King's College London,99.3,99.2,,,0.001007049,1.01415E-06,0.001007049
Brunel University London,99.6,99.3,,,0.003012048,9.07243E-06,0.003012048
The University of Hong Kong,99.3,99.4,,,-0.001007049,1.01415E-06,0.001007049
London Metropolitan University,98.5,99.5,,,-0.010152284,0.000103069,0.010152284
Queen Mary University of London,99.8,99.6,,,0.002004008,4.01605E-06,0.002004008
Ecole des Ponts ParisTech,98.6,99.7,,,-0.011156187,0.00012446,0.011156187
Auckland University of Technology (AUT),99.2,99.7,,,-0.005040323,2.54049E-05,0.005040323
The University of Melbourne,99.3,99.7,,,-0.004028197,1.62264E-05,0.004028197
University of Essex,99.8,99.8,,,0,0,0
Coventry University,99.8,99.8,,,0,0,0
University of St Andrews,99.9,99.9,,,0,0,0
Qatar University,99.9,99.9,,,0,0,0
ESCP Europe - Paris,99.9,99.9,,,0,0,0
Carnegie Mellon University,99.8,100,,,-0.002004008,4.01605E-06,0.002004008
Maastricht University,99.9,100,,,-0.001001001,1.002E-06,0.001001001
UCL (University College London),100,100,,,0,0,0
Imperial College London,100,100,,,0,0,0
Ecole Polytechnique Fédérale de Lausanne (EPFL),100,100,,,0,0,0
London School of Economics and Political Science (LSE),100,100,,,0,0,0
SOAS University of London,100,100,,,0,0,0
"City, University of London",100,100,,,0,0,0
Illinois Institute of Technology,100,100,,,0,0,0
American University of Sharjah,100,100,,,0,0,0
Arabian Gulf University,100,100,,,0,0,0
American University in Dubai,100,100,,,0,0,0
University of Sharjah,100,100,,,0,0,0
Abu Dhabi University,100,100,,,0,0,0
INSEAD,100,100,,,0,0,0
London Business School,100,100,,,0,0,0
Cranfield University,100,100,,,0,0,0
HEC Paris School of Management,100,100,,,0,0,0
King Abdullah University of Science & Technology,100,100,,,0,0,0
,,,,,,11.10147737,42.06776712
,,,,,,0.023670527,0.089696732
,,,,,,0.153852291,
