University,Rank14
Rheinische Friedrich-Wilhelms-Universitt Bonn,177
Universidad Autónoma de Madrid,178
École Normale Supérieure de Lyon,179
University of Bath,179
Vrije Universiteit Brussel (VUB),181
Alma Mater Studiorum - University of Bologna,182
Stockholm University,182
University of Colorado Boulder,182
Vanderbilt University,182
"University of Illinois, Chicago (UIC)",186
Queen`s University at Kingston,187
Aalto University,187
Case Western Reserve University,189
Technion - Israel Institute of Technology,190
The University of Western Ontario,191
Technische Universität Berlin,192
University Hamburg,192
University of Florida,192
Michigan State University,195
Tel Aviv University,195
Keio University,197
Universidad de Buenos Aires (UBA),198
University of Tsukuba,198
University of Sussex,200
Georgetown University,200
Sapienza University of Rome,202
University of Reading,202
National Chiao Tung University,202
Universidade Estadual de Campinas (Unicamp),206
University of Gothenburg,206
University of Turku,208
Université Paris-Sud,209
Université Paris Diderot - Paris 7,210
University of Leicester,211
University Complutense Madrid,212
University of Twente,212
Tufts University,214
Université Joseph Fourier - Grenoble 1,215
The University of Arizona,215
Universität Frankfurt am Main,217
University of Ottawa,218
Hanyang University,219
Universidad de Chile,220
Waseda University,220
Indian Institute of Technology Bombay (IITB),222
Simon Fraser University,222
Sciences Po Paris,222
King Fahd University of Petroleum & Minerals,225
Université de Strasbourg,226
Université Paris-Sorbonne (Paris IV),227
Université Paris 1 Panthéon-Sorbonne,228
Politecnico di Milano,229
University College Cork,230
University of Dundee,230
National Cheng Kung University,232
Saint-Petersburg State University,233
Technische Universität Dresden,234
Indian Institute of Technology Delhi (IITD),235
Dalhousie University,235
University of Notre Dame,237
University of Milan,238
University of Miami,239
Beijing Normal University,240
University of East Anglia (UEA),240
University of Canterbury,242
Chulalongkorn University,243
Charles University in Prague,244
University of Pisa,245
Norwegian University of Science And Technology,246
Vienna University of Technology,246
University of Strathclyde,246
Westfälische Wilhelms-Universitat Münster,249
King Saud University,249
American University of Beirut (AUB),249
University Ulm,249
Instituto Tecnológico y de Estudios Superiores de Monterrey,253
Macquarie University,254
University of Navarra,254
National Yang Ming University,256
Mahidol University,257
"The University of Newcastle, Australia (UoN)",257
Universiti Kebangsaan Malaysia (UKM),259
University of Oulu,259
"University of California, Riverside",261
Università di Padova,262
Universidad de los Andes,262
University of Technology Sydney,264
Loughborough University,265
"University of California, Santa Cruz",265
Umea University,267
University of Eastern Finland,267
Technische Universität Darmstadt,269
University of Iowa,269
Universidade Federal do Rio de Janeiro,271
Indiana University Bloomington,272
Université de Liège,272
Universität Stuttgart,274
Victoria University of Wellington,275
Kyung Hee University,275
Royal Holloway University of London,275
Université Paris Descartes,278
"Rutgers, The State University of New Jersey, New Brunswick",279
"National University of Ireland, Galway",280
Yeshiva University,280
University of Massachusetts Amherst,282
Linköping University,283
University of Wollongong,283
Queensland University of Technology (QUT),285
Friedrich-Alexander-Universität Erlangen-Nürnberg,285
Universidad Austral,287
Universität Innsbruck,288
Universität  Leipzig,289
University of Victoria,290
École des Ponts ParisTech,290
Ben Gurion University of The Negev,292
University of Porto,293
Arizona State University,294
Kobe University,294
Universiti Teknologi Malaysia,294
Tokyo Medical and Dental University (TMDU),294
Universitat Pompeu Fabra,298
Laval University,298
Indian Institute of Technology Kanpur (IITK),300
George Washington University,300
Johannes Gutenberg Universität Mainz,300
University at Buffalo SUNY,300
RMIT University,304
"University of Rome ""Tor Vergata""",305
University of Cologne,305
Al-Farabi Kazakh National University,305
University of Southern Denmark,308
Universiti Sains Malaysia (USM),309
University of Indonesia,310
Universität Konstanz,310
Universidade Nova de Lisboa,312
University of Utah,313
Hiroshima University,314
University of Surrey,314
Universidad Nacional de Colombia,316
Brandeis University,316
University of the Witwatersrand,318
University of Jyväskylä,318
Hong Kong Baptist University,318
Sun Yat-sen University,321
Indian Institute of Technology Madras (IITM),322
Bauman Moscow State Technical University,322
"Indian Institute of Technology, Kharagpur",324
Griffith University,324
L.N. Gumilyov Eurasian National University (ENU),324
University of Hawai'i at Mañoa,324
Nankai University,328
Novosibirsk State University,328
Universität Mannheim,328
"SOAS, University of London",331
Curtin University,331
University of South Australia,333
King Abdulaziz University (KAU),334
University of Warsaw,335
Wuhan University,335
Universitat Politècnica de Catalunya,337
Ecole Normale Supérieure de Cachan,338
University of Tromsø The Arctic University of Norway,338
Wake Forest University,338
Aix-Marseille University,341
City University London,341
Boston College,341
Julius-Maximilians-Universität Würzburg,341
University of Naples - Federico II,345
Massey University,346
Pontificia Universidad Javeriana,347
