Rank,Overall,University
314,41.1,Universidad Carlos III de Madrid (UC3M)
317,41,Novosibirsk State University
318,40.5,Heriot-Watt University
319,40.4,University of Victoria
319,40.4,Universität Konstanz
319,40.4,University of Jyväskylä
319,40.4,Umea University
323,40.3,Universidade Federal do Rio de Janeiro
324,40.1,Oxford Brookes University
324,40.1,Deakin University
324,40.1,Laval University
327,40,George Washington University
327,40,University of Hawai'i at Mañoa
329,39.9,University of St.Gallen (HSG)
329,39.9,Griffith University
331,39.7,Brunel University London
331,39.7,Universiti Putra Malaysia (UPM)
331,39.7,University of Cologne
331,39.7,University of the Witwatersrand
331,39.7,Xi’an Jiaotong University
337,39.4,Massey University
338,39.2,University of Waikato
338,39.2,University at Buffalo SUNY
338,39.2,University Ulm
338,39.2,Virginia Polytechnic Institute and State University
338,39.2,National Yang Ming University
338,39.2,Bauman Moscow State Technical University
344,39,University of Warsaw
345,38.9,Tongji University
345,38.9,The American University in Cairo
346,38.8,Aston University
347,38.8,University of Eastern Finland
348,38.5,Rensselaer Polytechnic Institute
348,38.5,Hiroshima University
350,38.4,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA
351,38.2,Universität Bremen
351,38.2,Universidade Nova de Lisboa
353,38.1,Dublin City University
354,38,Ewha Womans University
355,37.9,Iowa State University
356,37.8,Aalborg University
356,37.8,Tampere University of Technology
358,37.7,University of Oulu
358,37.7,University of Indonesia
360,37.6,University of Kent
361,37.5,University of Southern Denmark
361,37.5,Aix-Marseille University
361,37.5,Washington State University
361,37.5,Kobe University
365,37.4,Northeastern University
366,37.2,Leibniz Universität Hannover
367,37.1,University of Coimbra
367,37.1,University of Pisa
369,36.9,Université Paris Dauphine
369,36.9,University of Utah
371,36.8,L.N. Gumilyov Eurasian National University
372,36.7,"Stony Brook University, State University of New York"
373,36.6,Lincoln University
373,36.6,American University
375,36.5,Johannes Gutenberg Universität Mainz
376,36.4,National Taiwan Normal University
376,36.4,Université de Montpellier
376,36.4,National Technical University of Athens
379,36.2,University of Tasmania
379,36.2,National Sun Yat-sen University
381,36.1,Brandeis University
381,36.1,Universität Jena
381,36.1,Beihang University (former BUAA)
384,36,University of Stirling
384,36,Universität Leipzig
384,36,Yeshiva University
387,35.9,Institut National des Sciences Appliquées de Lyon (INSA)
387,35.9,Université Paris Descartes
387,35.9,James Cook University
390,35.8,University of Connecticut
391,35.7,Tokyo Medical and Dental University (TMDU)
391,35.7,Indian Institute of Technology Roorkee (IITR)
393,35.6,University of Kansas
394,35.5,La Trobe University
394,35.5,Universität Mannheim
394,35.5,Bilkent University
397,35.1,Moscow State Institute of International Relations (MGIMO University)
397,35.1,Université Paul Sabatier Toulouse III
397,35.1,National Central University
400,35,Swansea University
400,35,University of Tartu
401-410,,Beijing Institute of Technology
401-410,,Christian-Albrechts-University zu Kiel
401-410,,Florida State University
401-410,,Julius-Maximilians-Universität Würzburg
401-410,,Pontificia Universidad Javeriana
401-410,,The University of Georgia
401-410,,"University of Rome ""Tor Vergata"""
401-410,,University of Texas Dallas
401-410,,University of the Philippines
401-410,,Xiamen University
411-420,,American University of Sharjah
411-420,,Bangor University
411-420,,Colorado State University
411-420,,Concordia University
411-420,,Jagiellonian University
411-420,,Shanghai University
411-420,,Universidad de Belgrano
411-420,,Universidad Politècnica de València
411-420,,University of Florence
411-420,,"University of Colorado, Denver"
421-430,,Belarus State University
421-430,,Ruhr-Universität Bochum
421-430,,Sogang University
421-430,,Taipei Medical University
421-430,,Taras Shevchenko National University of Kyiv
421-430,,Tianjin University
421-430,,United Arab Emirates University
421-430,,University of Delaware
421-430,,University of Tromsø The Arctic University of Norway
431-440,,Bandung Institute of Technology (ITB)
431-440,,Illinois Institute of Technology
431-440,,Karl-Franzens-Universitaet Graz
431-440,,Middle East Technical University
431-440,,Moscow Institute of Physics and Technology State University
431-440,,Oregon State University
431-440,,University of Trento
431-440,,Université du Québec
431-440,,"University of Maryland, Baltimore County"
431-440,,University of New Mexico
441-450,,Abo Akademi University
441-450,,Bogaziçi Üniversitesi
441-450,,Huazhong University of Science and Technology
441-450,,Pusan National University
441-450,,Renmin (People’s) University of China
441-450,,Sabanci University
441-450,,Universidad Externado de Colombia
441-450,,University of Naples - Federico II
441-450,,University of Bordeaux
441-450,,University of Tampere
