Column 2,Column
Universidade Estadual de Campinas (Unicamp),215
King Fahd University of Petroleum & Minerals,216
University Complutense Madrid,216
Université Paris-Sorbonne (Paris IV),216
University of Dundee,219
Université Joseph Fourier - Grenoble 1,220
Waseda University,220
Indian Institute of Technology Delhi (IITD),222
Universidad de Chile,223
University of Notre Dame,224
Université Paris 1 Panthéon-Sorbonne,225
Université de Strasbourg,226
University of Ottawa,227
University of Twente,228
University of East Anglia (UEA),229
National Chiao Tung University,230
Politecnico di Milano,230
University of Miami,232
Charles University in Prague,233
Indian Institute of Technology Bombay (IITB),233
University of Milan,235
University of Iowa,236
Westfälische Wilhelms-Universitat Münster,236
University of Canterbury,238
Chulalongkorn University,239
Indiana University Bloomington,240
Saint-Petersburg State University,240
Université de Liège,240
University of Cologne,243
Dalhousie University,244
Loughborough University,244
Simon Fraser University,244
National Cheng Kung University,247
Universität Stuttgart,248
Hanyang University,249
American University of Beirut (AUB),250
Norwegian University of Science And Technology,251
Beijing Normal University,252
King Saud University,253
University of Oulu,253
Kyung Hee University,255
"Rutgers, The State University of New Jersey, New Brunswick",255
University of Strathclyde,257
University Ulm,258
University of Pisa,259
Technische Universität Darmstadt,260
University of Massachusetts Amherst,261
Technische Universität Dresden,262
Macquarie University,263
Vienna University of Technology,264
Royal Holloway University of London,265
Victoria University of Wellington,265
Università di Padova,267
"University of California, Riverside",268
Universiti Kebangsaan Malaysia (UKM),269
Yeshiva University,269
University of Utah,271
University of Technology Sydney,272
Universität Konstanz,273
Universidad de los Andes,274
Université Paris Descartes,274
Tokyo Medical and Dental University (TMDU),276
University of Wollongong,276
Friedrich-Alexander-Universität Erlangen-Nürnberg,278
Queensland University of Technology (QUT),279
Instituto Tecnológico y de Estudios Superiores de Monterrey,279
Universität Mannheim,281
Universitat Pompeu Fabra,281
Mahidol University,283
Curtin University,284
"National University of Ireland, Galway",284
Universidade Federal do Rio de Janeiro,284
University of Surrey,284
Hong Kong Baptist University,288
Umea University,289
Universität Innsbruck,289
RMIT University,291
University of Eastern Finland,291
Arizona State University,293
Christian-Albrechts-University zu Kiel,293
Indian Institute of Technology Kanpur (IITK),295
National Yang Ming University,295
Johannes Gutenberg Universität Mainz,297
"The University of Newcastle, Australia (UoN)",298
Al-Farabi Kazakh National University,299
École des Ponts ParisTech,299
University of Jyväskylä,299
University at Buffalo SUNY,302
L.N. Gumilyov Eurasian National University (ENU),303
Kobe University,304
North Carolina State University,304
University of Tromsø The Arctic University of Norway,306
Hiroshima University,307
"University of California, Santa Cruz",307
University of Bordeaux,309
University of Indonesia,309
Universität  Leipzig,311
University of Southern Denmark,311
Indian Institute of Technology Madras (IITM),313
University of the Witwatersrand,313
University of Navarra,315
Virginia Polytechnic Institute and State University,316
Universidad Austral,317
Universidad Carlos III de Madrid (UC3M),317
University of Mississippi,317
"University of Rome ""Tor Vergata""",320
Iowa State University,321
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,321
University of Victoria,321
Brandeis University,324
Julius-Maximilians-Universität Würzburg,325
Universidad Nacional de Colombia,325
George Washington University,327
University of Hawai'i at Mañoa,327
Laval University,329
Wake Forest University,329
Ben Gurion University of The Negev,331
Boston College,331
Linköping University,331
Aalborg University,334
Bauman Moscow State Technical University,334
Ecole Normale Supérieure de Cachan,334
"SOAS, University of London",337
"Stony Brook University, State University of New York",338
University of Essex,338
University of Warsaw,338
Griffith University,341
University of South Australia,341
Massey University,343
University of Porto,343
Universitat Politècnica de Catalunya,345
"Indian Institute of Technology, Kharagpur",346
City University London,347
The American University in Cairo,348
Dublin City University,349
Pontificia Universidad Javeriana,349
James Cook University,351
Novosibirsk State University,352
Rensselaer Polytechnic Institute,353
Universidade Nova de Lisboa,353
Aix-Marseille University,355
Universiti Sains Malaysia (USM),355
Universiti Teknologi Malaysia,355
Université Paris Dauphine,358
University of Coimbra,358
Brunel University London,360
King Abdulaziz University (KAU),360
Ewha Womans University,362
Nankai University,363
Taipei Medical University,363
Universität Jena,363
