390,33.5,Université Paul Sabatier Toulouse III
390,33.5,"The University of Tennessee, Knoxville"
394,33.4,Colorado State University
394,33.4,Karl-Franzens-Universitaet Graz
394,33.4,Universität Düsseldorf
397,33.3,Northeastern University
397,33.3,University of Naples - Federico II
399,33.2,Aston University
399,33.2,University of Turin
401-410,,Beihang University (former BUAA)
401-410,,Indian Institute of Technology Roorkee (IITR)
401-410,,National Central University
401-410,,Oregon State University
401-410,,Sogang University
401-410,,Universität Regensburg
401-410,,"Université Lille 1, Sciences et Technologies"
401-410,,University of Tasmania
401-410,,University of Waikato
401-410,,Wuhan University
401-410,,York University
411-420,,National Taiwan University of Science and Technology (Taiwan Tech)
411-420,,The University of Georgia
411-420,,Universidade Federal de São Paulo (UNIFESP)
411-420,,Università degli Studi di Pavia
411-420,,Universität Bayreuth
411-420,,Université Claude Bernard Lyon 1
411-420,,Université du Québec
411-420,,Universiti Putra Malaysia (UPM)
411-420,,University of Kent
411-420,,University of St.Gallen (HSG)
421-430,,Bond University
421-430,,Florida State University
421-430,,United Arab Emirates University
421-430,,Universidad de San Andrés - UdeSA
421-430,,Universidad Nacional de La Plata
421-430,,Universität des Saarlandes
421-430,,"University of Missouri, Columbia (Mizzou)"
421-430,,University of New Mexico
421-430,,University of Saskatchewan
431-440,,American University of Sharjah
431-440,,Bilkent University
431-440,,Flinders University
431-440,,Hankuk (Korea) University of Foreign Studies
431-440,,Middle East Technical University
431-440,,Philipps-Universität Marburg
431-440,,Swansea University
431-440,,Tampere University of Technology
431-440,,Universität Bielefeld
431-440,,University of Manitoba
441-450,,Chiba University
441-450,,Illinois Institute of Technology
441-450,,Moscow Institute of Physics and Technology State University
441-450,,Tallinn University of Technology
441-450,,Taras Shevchenko National University of Kyiv
441-450,,Tokyo University of Science
441-450,,University of Salamanca
441-450,,University of Trento
441-450,,Université de Sherbrooke
441-450,,Université Panthéon-Assas (Paris 2)
441-450,,University of Delhi
451-460,,Abo Akademi University
451-460,,Czech Technical University in Prague
451-460,,Leibniz Universität Hannover
451-460,,Pusan National University
451-460,,Shanghai University
451-460,,Peter the Great Saint-Petersburg Polytechnic University
451-460,,Università Cattolica del Sacro Cuore
451-460,,University of Genoa
451-460,,University of Delaware
461-470,,Bandung Institute of Technology (ITB)
461-470,,Bogaziçi Üniversitesi
461-470,,"Goldsmiths, University of London"
461-470,,National Sun Yat-sen University
461-470,,Renmin (People’s) University of China
461-470,,Universidad de Costa Rica
461-470,,Universidad de Santiago de Chile (USACH)
461-470,,University of Cincinnati
461-470,,University of Guelph
