,Rank 13,Rank 14
Universidade Federal de São Paulo (UNIFESP),,
Università degli Studi di Pavia,,371
Universität Bayreuth,,
Université Claude Bernard Lyon 1,,
Université du Québec,,
Universiti Putra Malaysia (UPM),,376
University of Kent,,
University of St.Gallen (HSG),,
Bond University,,
Florida State University,,
United Arab Emirates University,,385
Universidad de San Andrés - UdeSA,,
Universidad Nacional de La Plata,,
Universität des Saarlandes,,
"University of Missouri, Columbia (Mizzou)",,
University of New Mexico,,397
University of Saskatchewan,,
American University of Sharjah,,390
Bilkent University,,399
Flinders University,,
Hankuk (Korea) University of Foreign Studies,,
Middle East Technical University,,
Philipps-Universität Marburg,,
Swansea University,,
Tampere University of Technology,,362
Universität Bielefeld,,
University of Manitoba,,
Chiba University,,
Illinois Institute of Technology,,
Moscow Institute of Physics and Technology State University,,
Tallinn University of Technology,,
Taras Shevchenko National University of Kyiv,,
Tokyo University of Science,,
University of Salamanca,,
University of Trento,,
Université de Sherbrooke,,
Université Panthéon-Assas (Paris 2),,
University of Delhi,,
Abo Akademi University,,
Czech Technical University in Prague,,
Leibniz Universität Hannover,,
Pusan National University,,
Shanghai University,,
Peter the Great Saint-Petersburg Polytechnic University,,
Università Cattolica del Sacro Cuore,,377
University of Genoa,,
University of Delaware,,
Bandung Institute of Technology (ITB),,
Bogaziçi Üniversitesi,,399
East China Normal University,,
"Goldsmiths, University of London",,
National Sun Yat-sen University,,
Renmin (People’s) University of China,,
Universidad de Costa Rica,,
Universidad de Santiago de Chile (USACH),,
University of Cincinnati,,
University of Guelph,,
University of Tartu,,379
American University,,
Aristotle University of Thessaloniki,,
Arabian Gulf University,,
Auckland University of Technology (AUT),,
Bangor University,,
Charles Darwin University,,
Kansas State University,,
"Kingston University, London",,
Universitat de Valencia,,
Université Montpellier 1,,
University of Pretoria,,
Concordia University,,
Drexel University,,
Lincoln University,,
National Taiwan Normal University,,
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),,
National University of Sciences And Technology (NUST) Islamabad,,
Swinburne University of Technology,,
Tongji University,,393
Universidad de Zaragoza,,
Universidade Federal de Minas Gerais,,
Universität Duisburg-Essen,,
University of Kentucky,,
University of Oklahoma,,
Al-Imam Mohamed Ibn Saud Islamic University,,
Harbin Institute of Technology,,
Peoples' Friendship University of Russia,,
UNESP,,
Université Nice Sophia-Antipolis,,
University of Crete,,
University of Milano-Bicocca,,
University of Nebraska - Lincoln,,
Ateneo de Manila University,,
Beijing Institute of Technology,,
Carleton University,,
Chang Gung University,,
Chung-Ang University(CAU),,
City University of New York,,
College of William & Mary,,
Dublin Institute of Technology,,
Huazhong University of Science and Technology,,
International Islamic University Malaysia (IIUM),,
Johannes Kepler University Linz,,
Justus-Liebig-University Giessen,,
Kanazawa University,,
Keele University,,
Koc University,,
Louisiana State University,,
National and Kapodistrian University of Athens,,
Higher School of Economics (HSE),,
Khalifa University,,
National Technical University of Athens,,
Okayama University,,
Sabanci University,,
Southeast University,,
Sultan Qaboos University,,
Technische Universität Braunschweig,,
TU Dortmund University,,
The Catholic University of Korea,,
Tianjin University,,
Tokyo Metropolitan University,,
Universidad de Antioquia,,
University of Granada,,
Universidad de Palermo (UP),,
Universidad Nacional de Córdoba - UNC,,
Universidade de Santiago de Compostela,,
Universidade Federal do Rio Grande Do Sul,,
University of Siena,,
University of Trieste,,
Universitas Gadjah Mada,,
University of  Lorraine,,
Université de Rennes 1,,
University of Alabama,,
University of Bradford,,
University of Hull,,
University of Kwazulu-Natal,,
University of Limerick,,
University of South Florida,,
University of Stirling,,
University of Sharjah,,
University of Szeged,,
University of Vermont,,
Ural Federal University named after Boris Yeltsin (merger: Ural State and Ural State Technical University),,
Xiamen University,,
Yokohama City University,,
Aberystwyth University,,
V. N. Karazin Kharkiv National University,,
Belarus State University,,
Cairo University,,
Chiang Mai University,,
Chonbuk National University,,
