Name,Publications,publication,Citation,h-index
"107. Hussain, Mohammed Ejaz",12,2016,34,3
"167. Rub, Abdur",9,2016,34,5
"259. Rahman, Safikur",6,2016,34,3
"72. Zargar, Rayees Ahmad",18,2016,33,3
"123. Rather, Luqman Jameel",11,2017,33,3
"152. Bashir, Faisal I.",9,2017,33,11
"421. Agrawal, Basant K.",3,2013,33,2
"94. Qureshi, Tabish M.",14,2016,32,7
"165. Rasool, Raza",9,2015,32,4
"334. Shareef, Mohd Yakub",5,2016,32,3
"337. Singh, Upendra Kumar Umar",5,2016,32,4
"362. Bagheri, Rita",4,2016,32,3
"429. Alam, Rizwan",3,2014,32,5
"82. Ganaie, Mohsin",15,2016,31,3
"166. Rizvi, Moshahid Alam",9,2017,31,5
"295. Hussain, Afzal",5,2013,31,7
"180. Idrees, Danish",8,2017,30,2
"347. Aarya, Suveda",4,2012,30,3
"369. Hasan, Mushirul",4,2012,30,3
"417. Tasleem, Munazzah",4,2016,30,2
"480. Muneer, Sowbiya",3,2013,30,8
"136. Hussain, Mohammad Ejaz",10,2017,29,7
"199. Bablani, Deepika",7,2014,29,4
"210. Murshid, Asim Majeed",7,2017,29,3
"250. Lone, Irfan H.",6,2017,29,2
"367. Ghosal, Anujit",4,2015,29,3
"483. Nikhat, Manzoor",3,2012,29,3
58. Zaheeruddin,20,2017,28,5
"103. Muzakkir, S. M.",13,2016,28,6
"176. Chowdhry, Aman",8,2016,28,3
"313. Lone, Mohammad Nadeem Adeem",5,2016,28,2
"444. Dev, Kapil Lini",3,2014,28,10
"187. Naz, Huma",8,2017,27,4
"430. Alyasiri, Nisreen Sherif",3,2013,27,3
"306. Khan, Shamimahmad",5,2012,26,4
"320. Parveen, Shadma",5,2012,26,10
"239. Khan, Anwarulla",6,2015,25,2
"405. Sarwar, Abu Hasnath Md Golam",4,2015,25,2
"419. Zafar, Sana",4,2015,25,2
"466. Khan, Md Khurshid Alam",3,2015,25,3
"Rahaman, Hamidur",3,2015,25,5
"105. Abid, Mohammad",12,2016,24,13
"153. Bidhuri, Priyanka",9,2017,24,3
"264. Siddiqui, Masood Ahsan",6,2014,24,2
"286. Bhushan, Vidiksha",5,2013,24,3
"315. Mehdi, Syed Sajjad",5,2014,24,3
