Name,Publications,publication,Citation,h-index
"345. Saharan, Vikas Anand",2,2016,7,6
"169. Vyas, Deepak N.",4,2016,5,6
"79. Pandey, Archna",7,2016,4,6
"267. Gupta, Praveen Kumar",2,2013,3,6
"234. Abraham, Renny",2,2014,2,6
"388. Ahirwar, Dheeraj Kumar",1,2011,2,6
"Singh, Balvinder R.",1,2013,0,6
"46. Vaidya, Ankur",11,2017,176,5
"66. Paliwal, Rishi",8,2013,117,5
"142. Gaba, Monika",4,2016,82,5
"77. Jain, Ashay K.",7,2016,79,5
"99. Tiwari, Sweety",6,2012,76,5
"44. Mody, Nishi",11,2016,69,5
"65. Negi, Jeetendra Singh Ingh",8,2014,67,5
"86. Ganaie, Mohd Anis",6,2017,57,5
"40. Gajbhiye, Asmita",11,2016,51,5
"91. Lodhi, Santram",6,2014,43,5
"218. Saraogi, Gauravkant Kant",3,2013,41,5
"94. Ram, Veerma Anand",6,2016,38,5
"222. Sharma, Simant K.",3,2013,38,5
"59. War, Javeed Ahmad",9,2017,31,5
"115. Pawar, Ashish Y.",5,2013,26,5
"255. Dhamija, Isha",2,2014,17,5
"375. Tiwari, Prashant",2,2011,11,5
"121. Shrivastava, Birendra",5,2016,10,5
"90. Limaye, Sudhir N.",6,2015,6,5
"217. Sahu, Ram Kumar Umar",3,2013,6,5
"475. Shah, Viral H.",1,2011,6,5
"437. Kumar, Manoj Shiva",1,2011,5,5
"Tabassum, Nahida",1,2011,5,5
"398. Bhalodia, Yagnik S.",1,2011,4,5
"450. Mueen Ahmed, K. K.",1,2011,4,5
"334. Pradhan, Debasish",2,2016,3,5
"387. Agrawal, Shyama Charan",1,2012,3,5
"413. Gupta, Roop Narayan",1,2012,3,5
"422. Jayaram Kumar, K.",1,2011,3,5
"441. Laddha, Kirti",1,2013,1,5
"458. Panda, Maheswar",1,2015,1,5
"466. Raghunandan, Nerella",1,2016,1,5
"Srivastava, Rupesh K.",1,2016,1,5
"248. Chanda, Anupama",2,2016,0,5
"302. Kushnoor, Ashok S.",2,2012,0,5
"423. Joshi, Garima",1,2016,0,5
"469. Rao, Tirukkovallurisiva",1,2013,0,5
"471. Sahoo, Sunit Kumar",1,2015,0,5
"Valecha, Rekha",1,2016,0,5
"193. Kayat, Jitendra",3,2016,115,4
"58. Tomar, Priti",9,2013,62,4
"104. Gupta, Uma Shanker Hanker",5,2014,55,4
"111. Khurana, Navneet",5,2017,45,4
"21. Samadhiya, Pushkal",17,2016,41,4
"226. Sudheesh, M. S.",3,2011,41,4
"117. Saini, Vinay",5,2014,34,4
"Thomas, Annu Cinu",1,2011,30,4
"306. Manigauha, Ashish",2,2015,22,4
"411. Gupta, Girish D.",1,2011,19,4
"332. Patra, Sradhanjali",2,2014,18,4
"444. Masoodi, Mubashir Hussain",1,2011,18,4
"166. Singh, Siddhartha P.",4,2015,16,4
"273. Jadon, Rajesh S.",2,2015,16,4
"361. Shukla, Shraddha K.",2,2013,16,4
"69. Shrivastava, Satya P.",8,2016,15,4
"92. Naikoo, Gowhar Ahmad",6,2016,11,4
"150. Kumar, Rakesh Manoj",4,2016,11,4
"246. Bansal, Divya Bhargava",2,2015,11,4
"72. Bohre, Ashish",7,2014,10,4
"320. Narkhede, Minal Raghunath",2,2011,10,4
"210. Pavan Kumar, Kota V T S",3,2011,8,4
"192. Jain, Shweta J.",3,2017,7,4
"429. Khan, Firoj",1,2011,7,4
"431. Khanam, Afroza",1,2011,7,4
"167. Tiwari, Gaurav",4,2012,6,4
"168. Tiwari, Ruchi",4,2012,6,4
"286. Jha, Arvind Kumar",2,2013,6,4
"221. Sharma, Jai D.",3,2012,5,4
"303. Lariya, Narendra K.",2,2015,4,4
"350. Sampath Kumar, Kokilampal Perumal",2,2014,4,4
"455. Omray, Lavakesh K.",1,2012,4,4
"448. Mitra Mazumder, Papiya",1,2012,3,4
"377. Tripathy, Gitanjali",2,2016,2,4
"424. Kashaw, Varsha",1,2011,2,4
"262. Gautam, Rajesh K.",2,2015,1,4
"426. Kathal, P. K.",1,2011,1,4
"434. Khokra, Sukhbir Lal",1,2011,1,4
"Sumithra, Mohan",1,2014,1,4
"297. Khedlekar, Uttam Kumar",2,2016,0,4
"394. Awasthi, Shubhra K.",1,2013,0,4
"397. Bhadra, Dipankar",1,2015,0,4
"416. Ibrahim, Mohammed D.",1,2012,0,4
"442. Lal, Sukhbir M.",1,2011,0,4
"Tiwari, Vivek K.",1,2013,0,4
"402. Bhide, Mangla",1,2011,69,3
"161. Pawar, Dilip",4,2016,60,3
"87. Ghanghoria, Raksha",6,2016,55,3
"374. Thakur, Shrikant",2,2015,46,3
200. Maheshwary,3,2016,42,3
"140. Dubey, Adesh N.",4,2013,41,3
"62. Chourasia, O. P.",8,2015,39,3
"146. Jain, Nilesh Kumar",4,2012,39,3
"259. Gaba, Punam",2,2015,23,3
"321. Nath, Bipul Kumar",2,2013,20,3
"143. Gambhire, Makarand Suresh",4,2012,15,3
"188. Jain, Neha K.",3,2011,15,3
"191. Jain, Sanjay K.",3,2016,15,3
"183. Gupta, Anjali",3,2012,14,3
"190. Jain, Pushpendra Kumar",3,2013,14,3
"127. Yadava, Raj Nath",5,2014,12,3
"118. Saklani, Sarla",5,2014,11,3
"356. Sharma, Rajeev",2,2015,11,3
"81. Soni, Hemant",7,2017,10,3
"296. Kharya, Murlidhar Dhar",2,2013,10,3
"312. Mishra, Rudra K.",2,2012,10,3
"324. Nehete, Jitendra Yadav",2,2011,10,3
"199. Maheshwari, Rahul G S",3,2015,9,3
"215. Ramakrishna, D.",3,2011,8,3
"83. Bano, Mustri",6,2016,7,3
"89. Khan, Farid",6,2016,7,3
"120. Sheikh, Mehraj Ud Din",5,2016,6,3
"124. Thomas, Molly",5,2016,6,3
"195. Khan, M. U.",3,2014,6,3
"265. Girotra, Priti",2,2016,6,3
"436. Kumar, Atul",1,2013,6,3
"291. Kataria, Sandeep",2,2013,4,3
"472. Saini, Dinesh Kumar",1,2011,4,3
"125. Upadhyay, Niraj",5,2016,3,3
"245. Banerjee, Lopamudra",2,2013,3,3
"165. Shukla, Diwakar P.",4,2016,2,3
"258. Doshi, Gaurav M.",2,2016,2,3
"358. Shilakari, Gyati",2,2015,2,3
"136. Chandra, Vimlesh",4,2016,1,3
"409. Gaur, Ajay",1,2011,1,3
"Singh, Dhirendra B.",1,2014,1,3
"145. Harindran, Jyoti",4,2016,0,3
