University,Research,Research-16
University of TrentoItaly,20.3,27.4
Indiana UniversityUnited States of America,35.1,27.3
Macquarie UniversityAustralia,24.8,27.2
Koç UniversityTurkey,24.4,27.1
San Diego State UniversityUnited States of America,24.8,27
University of Duisburg-EssenGermany,13.7,27
University of ManitobaCanada,29.4,26.9
University of DundeeUnited Kingdom,22.5,26.9
Wuhan UniversityChina,17.4,26.8
University of IowaUnited States of America,33.5,26.7
City University of Hong KongHong Kong,32.9,26.7
University of Texas at DallasUnited States of America,28.2,26.7
University of South AustraliaAustralia,24,26.7
University of NewcastleAustralia,29.9,26.5
University of HoustonUnited States of America,25.8,26.5
Istanbul Technical UniversityTurkey,36.9,25.8
Norwegian University of Science and TechnologyNorway,29.6,25.8
Brandeis UniversityUnited States of America,29.1,25.7
University of ConnecticutUnited States of America,27.1,25.6
University of JyväskyläFinland,24,25.5
University of Milan-BicoccaItaly,23,25.5
"National University of Ireland, GalwayRepublic of Ireland",24.8,25.4
Umeå UniversitySweden,25.7,25
Sun Yat-sen UniversityChina,25.2,24.6
Western Sydney UniversityAustralia,22.4,24.6
Vrije Universiteit BrusselBelgium,17.9,24.5
University of MilanItaly,22.9,24.2
Carleton UniversityCanada,24.5,24
Ulm UniversityGermany,22,23.9
University College CorkRepublic of Ireland,22.2,23.8
Yeshiva UniversityUnited States of America,23.9,23.7
George Washington UniversityUnited States of America,25.1,23.5
University of StirlingUnited Kingdom,25.1,23.5
University of StrasbourgFrance,23.4,23.4
Brunel University LondonUnited Kingdom,21.4,23.3
Isfahan University of TechnologyIran,27.3,23
Paris Diderot University – Paris 7France,19.7,22.9
University of PaduaItaly,18.2,22.6
Charles Darwin UniversityAustralia,17.8,22.6
University of CanterburyNew Zealand,23.4,22.5
University of PaviaItaly,19.2,22.5
University of MiamiUnited States of America,27.2,22.3
University of TurinItaly,20.3,22.3
Bangor UniversityUnited Kingdom,23,22.1
Stony Brook UniversityUnited States of America,24.4,22
Deakin UniversityAustralia,20.6,21.9
Joseph Fourier UniversityFrance,29.3,21.6
University of Bari Aldo MoroItaly,18.1,21.6
University of South CarolinaUnited States of America,27.5,21.5
Charles University in PragueCzech Republic,24.3,21.5
University of TurkuFinland,21.8,21.2
George Mason UniversityUnited States of America,20.3,21.2
University of MissouriUnited States of America,22,21
University of Rome IIIItaly,11.8,21
Syracuse UniversityUnited States of America,24.4,20.8
University of NavarraSpain,22.3,20.8
University of Eastern FinlandFinland,21.6,20.7
Northeastern UniversityUnited States of America,21.9,20.6
University of KielGermany,24.3,20.5
University of CincinnatiUnited States of America,22.4,20.4
Aston UniversityUnited Kingdom,21.6,20.4
University of FlorenceItaly,17.3,20.4
Curtin UniversityAustralia,17.1,20.2
Swinburne University of TechnologyAustralia,16.3,20.2
Royal College of Surgeons in IrelandRepublic of Ireland,18.9,20.1
University of MinhoPortugal,16.2,20.1
Murdoch UniversityAustralia,17.8,19.6
Wake Forest UniversityUnited States of America,23.5,19.5
Tulane UniversityUnited States of America,20.7,19.3
University of CreteGreece,16.8,19.2
Linköping UniversitySweden,27.6,18.9
Aberystwyth UniversityUnited Kingdom,20.6,18.9
University of PisaItaly,18.8,18.9
