University,International Outlook,International Outlook-16
Northeastern UniversityUnited States of America,54.7,58.7
Joseph Fourier UniversityFrance,57.3,58.6
"University of California, DavisUnited States of America",52.9,58.4
University of KonstanzGermany,57,58.3
University of GothenburgSweden,46.8,58.3
York UniversityCanada,59.7,58.2
Ulm UniversityGermany,54.1,58.2
University of TübingenGermany,53,58.2
University of Illinois at ChicagoUnited States of America,53.4,58.1
Lomonosov Moscow State UniversityRussian Federation,60.4,57.8
University of ManitobaCanada,43.4,57.8
Brown UniversityUnited States of America,37,57.8
Linköping UniversitySweden,50.9,57.7
Carnegie Mellon UniversityUnited States of America,59.3,57.1
Karlsruhe Institute of TechnologyGermany,60.1,56.7
Duke UniversityUnited States of America,50.5,56.5
Michigan State UniversityUnited States of America,55,56.4
University of GöttingenGermany,53.9,56.4
"University of California, Los AngelesUnited States of America",49.2,56.4
University of Southern CaliforniaUnited States of America,42.7,56.3
Umeå UniversitySweden,50.3,56.1
University of TrentoItaly,57.3,55.9
University of RochesterUnited States of America,55.5,55.8
Utrecht UniversityNetherlands,52.9,55.8
Hebrew University of JerusalemIsrael,53.3,55.6
VU University AmsterdamNetherlands,50.6,54.9
Technical University of DarmstadtGermany,59.6,54.4
Montpellier UniversityFrance,56.6,54.4
Hanyang UniversitySouth Korea,48.4,54.3
Ghent UniversityBelgium,49.1,54.2
RWTH Aachen UniversityGermany,56.8,54.1
Federico Santa María Technical UniversityChile,48.7,54.1
Western Sydney UniversityAustralia,50.1,54
Northwestern UniversityUnited States of America,36.7,53.9
University of MichiganUnited States of America,49.8,53.7
Koç UniversityTurkey,49.8,53.5
Stony Brook UniversityUnited States of America,60.5,53.2
University of CologneGermany,52.1,53.1
Lappeenranta University of TechnologyFinland,59.1,53
Ohio State UniversityUnited States of America,51.5,53
Charles University in PragueCzech Republic,53.9,52.8
University of StuttgartGermany,59.3,52.7
Georgetown UniversityUnited States of America,43.3,52.7
Bayreuth UniversityGermany,53.9,52.6
University of NavarraSpain,46.2,52.6
University of Texas at DallasUnited States of America,55.4,52.3
University of HelsinkiFinland,49.7,51.8
"University of the Andes, ColombiaColombia",54.6,51.7
Ruhr University BochumGermany,53.6,51.7
University of WashingtonUnited States of America,47.9,51.2
Boston UniversityUnited States of America,47.8,51
Emory UniversityUnited States of America,42.9,51
University of WürzburgGermany,50.2,50.9
Claude Bernard University Lyon 1France,52.1,50.5
Nanjing UniversityChina,50.2,50.4
Autonomous University of BarcelonaSpain,46.4,50.3
University of BremenGermany,53,50
Stellenbosch UniversitySouth Africa,47.8,49.8
University of PennsylvaniaUnited States of America,43.8,49.5
Tufts UniversityUnited States of America,51.1,49.4
University of KielGermany,44.2,49.4
New York UniversityUnited States of America,41.2,49.3
Peking UniversityChina,53.7,49.2
University of BarcelonaSpain,47.8,49.2
University of MassachusettsUnited States of America,40.3,48.9
Polytechnic University of MilanItaly,42.9,48.8
Autonomous University of MadridSpain,48.8,48.6
Stockholm UniversitySweden,53.2,48.5
University of Duisburg-EssenGermany,49.2,48.5
George Washington UniversityUnited States of America,39.9,48.1
Texas A&M UniversityUnited States of America,49.1,47.8
TU Dresden Germany,44.7,47.7
University of Notre DameUnited States of America,51.4,47.6
Tel Aviv UniversityIsrael,46.1,47.5
Bilkent UniversityTurkey,44.6,47.5
University of TriesteItaly,50.7,47.3
University of JyväskyläFinland,47.2,47.1
Brandeis UniversityUnited States of America,54.7,47
University of Erlangen-NurembergGermany,49,47
University of CreteGreece,47,47
University of LisbonPortugal,46.8,46.6
Scuola Normale Superiore di PisaItaly,50.1,46.3
University of MünsterGermany,48.2,46.3
Drexel UniversityUnited States of America,42.2,46.3
University of Eastern FinlandFinland,44.1,46.1
University of Nebraska-LincolnUnited States of America,47.8,45.8
University of Illinois at Urbana-ChampaignUnited States of America,43.9,45.8
"University of California, Santa CruzUnited States of America",54.6,45.6
Bielefeld UniversityGermany,48.6,45.4
University of South FloridaUnited States of America,41,45.1
Washington University in St LouisUnited States of America,46.5,44.9
University of MinhoPortugal,49.7,43.6
"University of Maryland, College ParkUnited States of America",44.8,43.5
University of VirginiaUnited States of America,31.8,43.4
University of ConnecticutUnited States of America,38.8,43.1
"University of California, San DiegoUnited States of America",37,42.9
Oregon State UniversityUnited States of America,36.7,42.8
University of Marrakech Cadi AyyadMorocco,45.1,42.7
Sabancı UniversityTurkey,44.6,42.7
University of TampereFinland,45.6,41.9
University of FerraraItaly,42.1,41.8
Kansas State UniversityUnited States of America,41.5,41.7
University of WarsawPoland,41.6,41.6
University of DelawareUnited States of America,40.6,41.6
Yonsei UniversitySouth Korea,35.7,41.5
Indiana UniversityUnited States of America,37.1,41.2
Pennsylvania State UniversityUnited States of America,37.4,40.8
University of ValenciaSpain,43.7,40.5
University of PaviaItaly,43.5,40.5
Case Western Reserve UniversityUnited States of America,34.4,40.5
Rensselaer Polytechnic InstituteUnited States of America,42.8,40.3
Korea UniversitySouth Korea,35.9,40.2
Swedish University of Agricultural SciencesSweden,49.6,40.1
Renmin University of ChinaChina,44.4,40.1
University of BolognaItaly,43.1,39.9
Washington State UniversityUnited States of America,36,39.6
Tsinghua UniversityChina,44.6,39.5
University of GeorgiaUnited States of America,35.3,39.2
University of North Carolina at Chapel HillUnited States of America,35.3,39
University of TurinItaly,39.3,38.8
University of ArizonaUnited States of America,38.8,38.6
Fudan UniversityChina,37.4,38.6
University of FlorenceItaly,37.4,38.5
Boğaziçi UniversityTurkey,54.1,38.3
Syracuse UniversityUnited States of America,41.2,38.3
Dartmouth CollegeUnited States of America,33.1,38.3
University of PaduaItaly,40.4,37.9
University of MilanItaly,37.4,37.7
University of Nebraska Medical CenterUnited States of America,34.8,37.7
Sun Yat-sen UniversityChina,37,37
George Mason UniversityUnited States of America,35.8,36.9
Sungkyunkwan University (SKKU)South Korea,35.8,36.7
Wuhan UniversityChina,33.1,36.7
University of Colorado BoulderUnited States of America,39.1,36.6
Lehigh UniversityUnited States of America,34.5,36
University of Rome IIIItaly,48,35.9
Colorado School of MinesUnited States of America,52.6,35.5
Iowa State UniversityUnited States of America,40.6,35.4
University of MinnesotaUnited States of America,33.8,35.3
Tulane UniversityUnited States of America,29.7,35.3
Sapienza University of RomeItaly,37.5,34.7
"Rutgers, the State University of New JerseyUnited States of America",34.3,34.7
Colorado State UniversityUnited States of America,30.4,34.5
University of TsukubaJapan,36.1,34.4
University of Milan-BicoccaItaly,40.6,34.3
Ewha Womans UniversitySouth Korea,36,34.3
Korea Advanced Institute of Science and Technology (KAIST)South Korea,34.9,33.9
University of HoustonUnited States of America,33.1,33.9
University of PittsburghUnited States of America,32.2,33.9
Pohang University of Science and TechnologySouth Korea,36,33.7
University of FloridaUnited States of America,32.2,33.3
University of Wisconsin-MadisonUnited States of America,33.6,33
Novosibirsk State UniversityRussian Federation,43.8,32.4
University of IowaUnited States of America,31.7,32.3
National Chiao Tung UniversityTaiwan,30.7,32
Tokyo Institute of TechnologyJapan,37,31.9
Arizona State UniversityUnited States of America,29.5,31.9
University of Bari Aldo MoroItaly,38.1,31.7
University of Texas at AustinUnited States of America,33.1,31.7
State University of New York AlbanyUnited States of America,39.6,31.4
University of PisaItaly,36.7,31.1
University of MissouriUnited States of America,29.6,31
Seoul National UniversitySouth Korea,30.3,30.9
