University,Alumini-16,Alumini-17,,,,,,,
The University of Manchester,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
The University of Texas Southwestern Medical Center at Dallas,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
"University of Pittsburgh, Pittsburgh Campus",18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
Tufts University,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
University of Birmingham,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
University of Freiburg,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
University of Cape Town,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
University of the Witwatersrand,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
Istanbul University,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
University of Stuttgart,18.5,18.3,,,0.2,0.0108108108,0.0001168736,,0.0108108108
Uppsala University,17.8,17.6,,,0.2,0.0112359551,0.0001262467,,0.0112359551
Leiden University,17.8,17.6,,,0.2,0.0112359551,0.0001262467,,0.0112359551
The University of Sheffield,17.8,17.6,,,0.2,0.0112359551,0.0001262467,,0.0112359551
Weizmann Institute of Science,17.8,17.6,,,0.2,0.0112359551,0.0001262467,,0.0112359551
Queen Mary University of London,17.8,17.6,,,0.2,0.0112359551,0.0001262467,,0.0112359551
Dartmouth College,17.8,17.6,,,0.2,0.0112359551,0.0001262467,,0.0112359551
Queen's University Belfast,17.8,17.6,,,0.2,0.0112359551,0.0001262467,,0.0112359551
Rockefeller University,17,16.8,,,0.2,0.0117647059,0.0001384083,,0.0117647059
The University of Melbourne,17,16.8,,,0.2,0.0117647059,0.0001384083,,0.0117647059
University of Florida,17,16.8,,,0.2,0.0117647059,0.0001384083,,0.0117647059
University of Leeds,17,16.8,,,0.2,0.0117647059,0.0001384083,,0.0117647059
University of Liverpool,17,16.8,,,0.2,0.0117647059,0.0001384083,,0.0117647059
University of Milan,17,16.8,,,0.2,0.0117647059,0.0001384083,,0.0117647059
University of Nebraska - Lincoln,17,16.8,,,0.2,0.0117647059,0.0001384083,,0.0117647059
The University of Texas at Austin,16.2,16.1,,,0.1,0.0061728395,3.81039475689665E-005,,0.0061728395
Rice University,16.2,16.1,,,0.1,0.0061728395,3.81039475689665E-005,,0.0061728395
Radboud University Nijmegen,16.2,16.1,,,0.1,0.0061728395,3.81039475689665E-005,,0.0061728395
Technical University of Berlin,16.2,16.1,,,0.1,0.0061728395,3.81039475689665E-005,,0.0061728395
Duke University,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
Northwestern University,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
University of British Columbia,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
Vanderbilt University,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
University of Bonn,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
Trinity College Dublin,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
Beijing Normal University,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
University of Turin,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
Flinders University,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
Osaka City University,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
University of Warsaw,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
"University of California, Santa Barbara",14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
University of Sydney,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
Brown University,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
The University of Adelaide,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
Tohoku University,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
University of Arizona,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
University of Buenos Aires,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
Kobe University,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
Technical University Darmstadt,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
Purdue University - West Lafayette,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
The Australian National University,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
The University of Western Australia,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
Aix Marseille University,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
Norwegian University of Science and Technology - NTNU,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
The University of Auckland,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
University of Massachusetts Amherst,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
University of Vienna,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
University of East Anglia,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
University of Pisa,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
Vrije Universiteit Brussel (VUB),13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
The University of Texas at Dallas,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
University of Vermont,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
MINES ParisTech,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
Novosibirsk State University,13.6,13.4,,,0.2,0.0147058824,0.000216263,,0.0147058824
University of Colorado at Boulder,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
The University of Queensland,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
The Ohio State University - Columbus,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
McMaster University,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
Georgia Institute of Technology,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
University of Bern,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
National Autonomous University of Mexico,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
"University of California, Riverside",12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
Tokyo Institute of Technology,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
University of Notre Dame,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
Dalhousie University,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
National Tsing Hua University,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
University of Tehran,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
Tokyo University of Science,12.6,12.4,,,0.2,0.0158730159,0.0002519526,,0.0158730159
University of Helsinki,12.6,18.3,,,-5.7,-0.4523809524,0.2046485261,,0.4523809524
Aarhus University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Peking University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Boston University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Alberta,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Nottingham,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University Paris Diderot - Paris 7,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Delft University of Technology,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Hokkaido University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
National Taiwan University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Sapienza University of Rome,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Leipzig,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Montreal,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Paris Descartes (Paris 5),11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Hamburg,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Lorraine,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
The George Washington University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Connecticut,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Victoria University of Wellington,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Virginia Polytechnic Institute and State University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Bangor University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Duesseldorf,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Oulu,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Kansas,11.5,17.6,,,-6.1,-0.5304347826,0.2813610586,,0.5304347826
Tsinghua University,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
Pennsylvania State University - University Park,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
"Rutgers, The State University of New Jersey - New Brunswick",10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
Indiana University Bloomington,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
Catholic University of Louvain,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
Oregon State University,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
University of Delaware,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
University of Kiel,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
Claude Bernard University Lyon 1,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
Virginia Commonwealth University,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
University of Kentucky,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
University of Marburg,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
University of Montpellier,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
University of St Andrews,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
University of Tennessee - Knoxville,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
Jagiellonian University,10.3,10.2,,,0.1,0.0097087379,9.42595909133781E-005,,0.0097087379
University of North Carolina at Chapel Hill,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
Osaka University,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
Michigan State University,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
Charles University in Prague,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
Medical University of Vienna,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
University of Missouri - Columbia,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
University of Oregon,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
Brigham Young University,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
University of Saskatchewan,8.9,8.8,,,0.1,0.0112359551,0.0001262467,,0.0112359551
University of Bristol,7.3,7.2,,,0.1,0.0136986301,0.0001876525,,0.0136986301
London School of Hygiene & Tropical Medicine,7.3,7.2,,,0.1,0.0136986301,0.0001876525,,0.0136986301
The University of Glasgow,7.3,7.2,,,0.1,0.0136986301,0.0001876525,,0.0136986301
Polytechnic Institute of Milan,7.3,7.2,,,0.1,0.0136986301,0.0001876525,,0.0136986301
ESPCI ParisTech,7.3,7.2,,,0.1,0.0136986301,0.0001876525,,0.0136986301
University of Chile,7.3,7.2,,,0.1,0.0136986301,0.0001876525,,0.0136986301
,,,,,,,,,
,,,,,,,0.6094457659,,
,,,,,,,0.0030472288,,3.8106552029
,,,,,,,0.0552017104,,0.019053276
