University,Rank11,Rank12,R11-R12,D2/ R11,E2^2,,ABS
Ã‰cole Polytechnique FÃ©dÃ©rale de LausanneSwitzerland,48,46,2,0.0416666667,0.0017361111,,0.0416666667
"University of California, IrvineUnited States of America",49,86,-37,-0.7551020408,0.570179092,,0.7551020408
University of Science and Technology of ChinaChina,49,192,-143,-2.9183673469,8.5168679717,,2.9183673469
Vanderbilt UniversityUnited States of America,51,70,-19,-0.3725490196,0.138792772,,0.3725490196
University of MinnesotaUnited States of America,52,42,10,0.1923076923,0.0369822485,,0.1923076923
Tufts UniversityUnited States of America,53,77,-24,-0.4528301887,0.2050551798,,0.4528301887
"University of California, DavisUnited States of America",54,38,16,0.2962962963,0.0877914952,,0.2962962963
Brown UniversityUnited States of America,55,49,6,0.1090909091,0.0119008264,,0.1090909091
University of MassachusettsUnited States of America,56,64,-8,-0.1428571429,0.0204081633,,0.1428571429
Kyoto UniversityJapan,57,52,5,0.0877192982,0.0076946753,,0.0877192982
Tsinghua UniversityChina,58,71,-13,-0.224137931,0.0502378121,,0.224137931
Boston UniversityUnited States of America,59,54,5,0.0847457627,0.0071818443,,0.0847457627
New York UniversityUnited States of America,60,44,16,0.2666666667,0.0711111111,,0.2666666667
LMU MunichGermany,61,45,16,0.262295082,0.06879871,,0.262295082
Emory UniversityUnited States of America,61,75,-14,-0.2295081967,0.0526740124,,0.2295081967
University of Notre DameUnited States of America,63,89,-26,-0.4126984127,0.1703199798,,0.4126984127
University of PittsburghUnited States of America,64,59,5,0.078125,0.0061035156,,0.078125
Case Western Reserve UniversityUnited States of America,65,93,-28,-0.4307692308,0.1855621302,,0.4307692308
Ohio State UniversityUnited States of America,66,57,9,0.1363636364,0.0185950413,,0.1363636364
University of Colorado BoulderUnited States of America,67,77,-10,-0.1492537313,0.0222766763,,0.1492537313
University of BristolUnited Kingdom,68,66,2,0.0294117647,0.0008650519,,0.0294117647
"University of California, Santa CruzUnited States of America",68,110,-42,-0.6176470588,0.3814878893,,0.6176470588
Yeshiva UniversityUnited States of America,68,154,-86,-1.2647058824,1.5994809689,,1.2647058824
University of SydneyAustralia,71,58,13,0.1830985915,0.0335250942,,0.1830985915
University of VirginiaUnited States of America,72,135,-63,-0.875,0.765625,,0.875
University of Southern CaliforniaUnited States of America,73,55,18,0.2465753425,0.0607993995,,0.2465753425
William & MaryUnited States of America,75,146,-71,-0.9466666667,0.8961777778,,0.9466666667
Trinity College DublinRepublic of Ireland,76,117,-41,-0.5394736842,0.291031856,,0.5394736842
Kingâ€™s College LondonUnited Kingdom,77,56,21,0.2727272727,0.0743801653,,0.2727272727
Stony Brook UniversityUnited States of America,78,114,-36,-0.4615384615,0.2130177515,,0.4615384615
Korea Advanced Institute of Science and Technology (KAIST)South Korea,79,94,-15,-0.1898734177,0.0360519148,,0.1898734177
University of SussexUnited Kingdom,79,99,-20,-0.253164557,0.0640922929,,0.253164557
The University of QueenslandAustralia,81,74,7,0.0864197531,0.0074683737,,0.0864197531
University of YorkUnited Kingdom,81,121,-40,-0.4938271605,0.2438652644,,0.4938271605
Heidelberg UniversityGermany,83,73,10,0.1204819277,0.0145158949,,0.1204819277
University of UtahUnited States of America,83,113,-30,-0.3614457831,0.1306430541,,0.3614457831
Durham UniversityUnited Kingdom,85,83,2,0.0235294118,0.0005536332,,0.0235294118
London School of Economics and Political ScienceUnited Kingdom,86,47,39,0.4534883721,0.2056517036,,0.4534883721
University of ManchesterUnited Kingdom,87,48,39,0.4482758621,0.2009512485,,0.4482758621
"Royal Holloway, University of LondonUnited Kingdom",88,107,-19,-0.2159090909,0.0466167355,,0.2159090909
Lund UniversitySweden,89,80,9,0.1011235955,0.0102259816,,0.1011235955
University of ZurichSwitzerland,90,61,29,0.3222222222,0.1038271605,,0.3222222222
University of SouthamptonUnited Kingdom,90,127,-37,-0.4111111111,0.1690123457,,0.4111111111
Wake Forest UniversityUnited States of America,90,162,-72,-0.8,0.64,,0.8
McMaster UniversityCanada,93,65,28,0.3010752688,0.0906463175,,0.3010752688
University College DublinRepublic of Ireland,94,159,-65,-0.6914893617,0.4781575373,,0.6914893617
University of ArizonaUnited States of America,95,97,-2,-0.0210526316,0.0004432133,,0.0210526316
