Name,,Publications,publication,Citation,h-index
"191. Chingthankhomba Singh, H.",,1,2013,0,0
"192. Chirangini, Pukhrambam",,1,2011,5,3
"193. Chongtham, Ishworani",,1,2016,0,0
"194. Damayanti Devi, M.",,1,2012,12,1
"195. Desai, Fanny Sharadkumar",,1,2016,0,0
"196. Devchandra Singh, M.",,1,2013,20,1
"197. Devi Maibam, Damayanti",,1,2012,0,0
"198. Devi, Bembem Y.",,1,2016,0,0
"199. Devi, Ch Victory Ictory",,1,2011,10,1
"200. Devi, G. A Shantibala",,1,2012,2,2
"201. Devi, Khoirom Ratipiyari",,1,2016,0,0
"202. Devi, Konsam Reenabati",,1,2016,1,1
"203. Devi, L. Supriya",,1,2015,0,0
"204. Devi, Laishram Martina",,1,2012,0,0
"205. Devi, Lakhshmi Nirmala",,1,2011,3,1
"206. Devi, Mangijaobi",,1,2013,0,0
"207. Devi, Moirangthem Medhapati",,1,2016,0,0
"208. Devi, N. Dayabati",,1,2016,0,0
"209. Devi, N. Pramodini",,1,2016,0,0
"210. Devi, Nameirakpam Nirjanta",,1,2015,0,3
"211. Devi, Ngasham Nandarani",,1,2014,4,1
"212. Devi, Ningthoujam Sandhyarani",,1,2012,0,0
"213. Devi, T. Indira",,1,2014,6,1
"214. Devi, Th Nandita",,1,2011,3,3
"215. Devi, Thangjam Promila",,1,2014,0,0
"216. Devi, Usharani Akoijam",,1,2015,0,0
"217. Devi, W. Bembee",,1,2012,11,2
"218. Devi, Wangkhem Indira",,1,2011,3,1
"219. Doni, Thingujam",,1,2015,0,0
"220. Dorendrajit Singh, Sh",,1,2013,11,3
"221. Florence, Ng",,1,2014,2,1
"222. Gambhir, R. K.",,1,2013,0,0
"223. Gupta, Asha K.",,1,2011,2,15
"224. Gurumayum, Jitendra S.",,1,2015,0,0
"225. Hei, Abdul",,1,2015,0,0
"226. Hemananda, Thounaojam",,1,2012,4,2
"227. Homendra, Naorem",,1,2012,0,2
"228. Ibotombi, Soibam",,1,2012,0,1
"229. Ingobi Singh, M.",,1,2011,2,2
"230. Jibankumar Singh, S.",,1,2011,0,0
"231. Kadam, Rishika M.",,1,2011,0,1
"232. Keisam, Nepoleon",,1,2012,0,0
"233. Kh, Devikarani",,1,2011,0,0
"234. Khomdram, Sushma",,1,2014,0,0
"235. Khuman, Pulingba",,1,2014,1,1
"236. Khuman, Victor",,1,2015,0,0
"237. Khwairakpam, Nirupama",,1,2017,0,0
"238. Kom, Thangkhoijam",,1,2015,0,0
"239. Kongbrailatpam, Brajeshwari D.",,1,2012,0,2
