Name,,Publications,publication,citation,h-index
"205. Vasanthavel, Subramaniyan",,9,2017,28,3
"206. Vasuki, Gnanasambandam",,9,2016,18,5
"207. Vendamani, V. S.",,9,2015,31,3
"208. Akila, V.",,8,2016,3,1
"209. Anuradha, J.",,8,2015,31,4
"210. Arjunan, V.",,8,2017,9,16
"211. Arumugam, Neelakantan",,8,2016,55,15
"212. Arunkumar, P.",,8,2016,17,2
"213. Babu, K. Suresh",,8,2016,15,3
"214. Baskaran, Ramaiya",,8,2016,57,3
"215. D'Cruz, Shereen Cynthia Ynthia",,8,2015,146,8
"216. Durai, S. Raja Sethu",,8,2016,3,4
"217. Elumalai, Perumal E R U M A L",,8,2017,9,19
"218. Ganesha, K. N.",,8,2015,58,5
"219. Madugundu, Anil Kumar",,8,2017,16,7
"220. Mohankumar, Kumaravel",,8,2016,48,4
"221. Muthuramalingam, A.",,8,2017,8,4
"222. Padmavati, Gadi",,8,2017,5,5
"223. Parthipan, Krishnan",,8,2013,17,3
"224. Poyyamoli, Gopalsamy G.",,8,2015,11,3
"225. Sambasivam, G.",,8,2015,22,2
"226. Sangeetha, Balasubramanian",,8,2015,21,3
"227. Saranya, K. M.",,8,2017,107,6
"228. Saraswatula, Viswanadha G.",,8,2016,53,4
"229. Sathian, Dananjayan",,8,2016,5,2
"230. Satishkumar, Ramraj",,8,2013,21,3
"231. Selvakumar, Jayaraman",,8,2016,35,4
"232. Sheeba, J. I.",,8,2016,2,1
"233. Singh, Ramesh Kishore",,8,2016,33,4
"234. Subastri, Ariraman",,8,2017,27,3
"235. Subramaniam, N. P.",,8,2016,6,1
"236. Subramanian, R. K.",,8,2014,29,5
"237. Sundaramoorthy, Sitanandam",,8,2014,60,5
"238. Thirusakthimurugan, P.",,8,2016,4,3
"239. Venkatesan, Rengarajan",,8,2016,120,5
"240. Vijayakumar, E.",,8,2015,48,5
"241. Ampasala, Dinakara Rao",,7,2016,16,7
"242. Anbarashan, Munisamy",,7,2013,29,4
"243. Arunkumar, Alphonse I.",,7,2014,25,17
"244. Balaji, Sakamuri",,7,2016,8,6
"245. Balakrishnan, Kirubasankar",,7,2017,22,2
"246. Balakrishnarajan, Musiri M.",,7,2016,12,11
"247. Dhayalan, Arunkumar",,7,2016,183,11
"248. Francis Raj, S.",,7,2017,8,2
"249. Francis, Fredy Sagayaraj",,7,2015,0,1
"250. Gopu, Venkadesaperumal",,7,2016,20,2
"251. Hussain, Naseer",,7,2016,22,3
"252. Janani, Narayanasamy",,7,2015,138,6
"253. Jayachandran, Seetharaman S.",,7,2014,46,11
"254. Jayakumar, L.",,7,2016,3,1
"255. John, James",,7,2016,9,5
"256. Kamalraj, Mani",,7,2015,45,3
"257. Mata, Rani",,7,2016,53,4
"258. Mohan, Arun K.",,7,2015,3,1
"259. Mohanraju, Raju",,7,2017,5,1
"260. Murali, Ayaluru",,7,2016,13,13
"260. Murali, Ayaluru",,7,2016,13,13
"261. Muthumanickam, K.",,7,2015,5,1
"262. Nakkala, Jayachandra Reddy",,7,2016,37,4
"263. Nandha Kumar, P.",,7,2017,27,4
"264. Pal, Anil Kumar",,7,2017,12,2
"265. Pancharatna, Pattath D.",,7,2016,12,7
"266. Pandian, Mohanraj Soundara",,7,2015,20,4
"267. Prithiviraj, Venkatapathy",,7,2013,7,4
"268. Rajesh, Rajendiran Justin",,7,2016,125,9
"269. Rajkumar, Kanniah",,7,2016,11,2
"270. Ramadas, Krishna",,7,2016,22,3
"271. Ramaswamy, Amutha",,7,2014,24,7
"272. Reddy, N. Dastagiri",,7,2015,42,11
"273. Samantaraya, Amaresh",,7,2016,1,1
"274. Saranya, M. R.",,7,2015,3,1
"275. Saravanan, Vijayakumar",,7,2015,37,3
"276. Shanmugavelu, B.",,7,2017,70,4
"277. Sreekumar, Ambili",,7,2016,42,5
"278. Thirumalaivasan, K.",,7,2012,4,1
"279. Usha, Km M.",,7,2016,1,7
"280. Vanidha, D.",,7,2014,25,3
"281. Venkadesan, Arunachalam",,7,2014,19,3
"282. Yogamoorthi, A.",,7,2015,3,2
"283. Baluchamy, Sudhakar",,6,2014,60,12
"284. Chithralekha, T.",,6,2016,0,2
"285. Das, Bidhu Bhusan Hushan",,6,2017,1,1
"286. Desai, Avinash",,6,2015,24,3
"287. Dharanirajan, K.",,6,2015,0,3
"288. Dhivya, P.",,6,2013,11,2
