World Rank-10,University,National Rank-10,Overall-10,Alumini-10,Award-10,HiCi-10,N&S-10,PUB-10,PCP-10
81,Arizona State University - Tempe,46,26.1,0,19.9,24.9,26.9,44.3,21.1
82,University of Rochester,47,25.8,0,11.5,30.5,27,46.6,19.2
82,University of Utah,47,25.8,28.2,8.9,26.9,20.6,43.3,21.9
84,Tohoku University,5,25.7,16,0,21.6,20.8,60.3,27.4
84,University of Nottingham,9,25.7,13.1,19.9,23.9,16.1,47.6,20.9
86,Michigan State University,49,25.5,10.7,0,37.4,19.1,52.4,18.7
86,University of Basel,3,25.5,22,17,22.8,19.4,36.2,34.5
88,McMaster University,4,25.2,14.1,18.9,22.8,14.8,47.3,22.8
88,The University of Sheffield,10,25.2,19.9,14.1,21,21.3,44.3,22.6
90,Ghent University,1,25.1,7.5,15.4,17.6,15.1,54.4,30.4
90,Indiana University Bloomington,50,25.1,11.9,22.7,24.9,18.5,39.9,19.6
92,University of Sydney,3,25,16.9,0,20.4,18.4,61.4,25.1
93,University of Bonn,4,24.9,16.9,19.9,14.4,23.3,42.5,24.3
93,University of Goettingen,4,24.9,32.9,19.9,14.4,17.2,40.7,24.3
95,Texas A&M University - College Station,51,24.8,0,0,34.5,21,54,21
96,University of Virginia,52,24.5,0,0,34.5,26.8,47.5,19.5
97,Case Western Reserve University,53,24.3,34.5,11.5,21.6,14.3,41.9,22.7
98,Aarhus University,2,24.2,13.1,18.9,7.2,23.5,48.4,25.4
99,Rice University,54,24,18.5,21.8,21.6,18.8,30.2,29.6
99,University of Birmingham,11,24,21.3,10.9,21.6,16.2,46.4,20.7
101-150,Baylor College of Medicine,55-69,,0,0,19,32.1,41,20
101-150,Catholic University of Leuven,2-4,,0,0,21.6,15,53.8,25.5
101-150,Catholic University of Louvain,2-4,,11.9,13.6,17.6,13.8,41.9,28.3
101-150,Emory University,55-69,,0,0,30.5,24.1,50.5,18.1
101-150,Georgia Institute of Technology,55-69,,14.1,0,26,23.8,45.2,27.1
101-150,Lund University,4,,25,0,24.9,17,50.1,21.8
101-150,Mayo Medical School,55-69,,0,0,24.9,16.1,48,24.7
101-150,National Taiwan University,1,,13.1,0,16.1,11.6,59.6,19.7
101-150,National University of Singapore,1,,0,0,10.2,14.6,59.1,27
101-150,North Carolina State University - Raleigh,55-69,,0,0,27.9,15.9,42.9,19.2
101-150,Oregon State University,55-69,,13.1,0,26.9,24.7,36.5,23.8
101-150,Seoul National University,1,,0,0,7.2,13.1,66.5,20.3
101-150,Swiss Federal Institute of Technology of Lausanne,4-5,,0,0,23.9,20.1,40.4,34
101-150,Technion-Israel Institute of Technology,2-4,,16,23,16.1,14,36.9,21.7
101-150,Tel Aviv University,2-4,,0,0,23.9,15.9,50.9,25.5
101-150,The University of Georgia,55-69,,0,0,26.9,19.8,44.2,18.5
101-150,The University of Queensland,4-5,,14.1,0,12.5,24,57.3,25.9
101-150,The University of Western Australia,4-5,,15.1,14.1,21.6,13.1,42.6,26.4
101-150,Tokyo Institute of Technology,6,,14.1,0,21.6,22.8,44.4,29.5
101-150,Tufts University,55-69,,16,16.6,22.8,13,37.4,25.9
101-150,University Libre Bruxelles,2-4,,18.5,18.9,12.5,13.1,32,25.6
101-150,University of Alberta,5-6,,13.1,0,20.4,21.3,56.9,21.8
101-150,University of Amsterdam,3-6,,7.5,0,19,20.9,51.9,26.3
101-150,"University of California, Riverside",55-69,,14.1,0,27.9,26.6,34.4,27.9
101-150,"University of California, Santa Cruz",55-69,,0,0,27.9,32,30.8,31.7
101-150,University of Frankfurt,6-10,,34.1,8.9,19,16.6,39.6,23.4
101-150,University of Freiburg,6-10,,21.3,20.9,16.1,18,37.4,22.5
101-150,University of Geneva,4-5,,25,0,20.4,24.9,37.2,24.5
101-150,University of Groningen,3-6,,0,19.9,17.6,16.3,46.2,26.7
101-150,University of Hawaii at Manoa,55-69,,0,0,26,27.9,37.6,18.8
101-150,University of Iowa,55-69,,0,0,33,23.6,46.7,19.2
101-150,University of Leeds,12-14,,19.2,0,14.4,22.8,44,19.3
101-150,University of Liverpool,12-14,,19.9,15.4,12.5,17.6,40.3,20.1
101-150,University of Massachusetts Amherst,55-69,,15.1,0,33,17.5,36,22.3
101-150,University of Massachusetts Medical School - Worcester,55-69,,0,19.9,14.4,26.7,28.2,21.2
101-150,University of Miami,55-69,,0,0,23.9,20.7,43.2,16.2
101-150,University of Milan,1-3,,19.2,0,19,13.2,48.6,19.4
101-150,University of Montreal,5-6,,13.1,0,14.4,18,53.4,20.8
101-150,University of Muenster,6-10,,21.3,15.4,12.5,15,35.8,20.2
101-150,University of Paris Diderot (Paris 7),4-5,,15.5,13.8,14.4,21.9,42,16.5
101-150,University of Pisa,1-3,,16,23.5,16.1,4.1,38.9,18.5
101-150,University of Roma - La Sapienza,1-3,,14.1,15.4,10.2,13.7,50.6,14
101-150,University of Sao Paulo,1,,0,0,10.2,13.3,76.3,15.4
101-150,University of Strasbourg,4-5,,25,22.4,17.6,15.9,36.6,19.3
101-150,University of Sussex,12-14,,0,22.7,19,15.7,27.1,25.2
101-150,University of Tuebingen,6-10,,25,0,14.4,17.4,42,22.2
101-150,University of Wageningen,3-6,,0,0,28.8,14.3,39.3,30.3
101-150,University of Wuerzburg,6-10,,21.3,8.9,23.3,13.7,35,20.8
101-150,VU University Amsterdam,3-6,,0,0,23.9,13.4,51.8,28.2
101-150,Weizmann Institute of Science,2-4,,14.1,16.2,23.9,28,29.4,22.2
151-200,Cardiff University,15-19,,0,16.2,7.2,20.3,42.2,17.5
151-200,Colorado State University,70-89,,0,0,27.9,13.8,37.1,20.4
151-200,Dartmouth College,70-89,,20.6,0,22.8,18.1,30.7,22.6
151-200,Delft University of Technology,7-9,,13.1,0,7.2,21.5,40.3,21.5
151-200,Erasmus University,7-9,,0,15.4,21.6,5.2,33.5,25.6
151-200,Florida State University,70-89,,0,0,20.4,18.4,39.5,19
151-200,George Mason University,70-89,,0,32.1,10.2,7.1,28.5,17.8
151-200,Hokkaido University,7-9,,0,0,16.1,16.1,47.7,20.3
151-200,Iowa State University,70-89,,0,0,22.8,13.7,42.9,20.2
151-200,Joseph Fourier University (Grenoble 1),6-7,,0,15.4,10.2,19.8,37.9,17.3
151-200,Kyushu University,7-9,,0,0,14.4,17.6,49.7,20.7
151-200,Louisiana State University - Baton Rouge,70-89,,0,0,19,16,38,15.3
151-200,Monash University,6-7,,0,0,10.2,16.2,52.4,20.7
151-200,Mount Sinai School of Medicine,70-89,,0,0,19,19.3,35.4,17.8
151-200,National Autonomous University of Mexico,1,,14.1,0,7.2,12.7,50.6,23.4
151-200,Oregon Health and Science University,70-89,,0,0,19,19.7,35.4,20.6
151-200,Peking University,1-2,,0,0,0,13.5,59,17.1
151-200,Radboud University Nijmegen,7-9,,0,0,10.2,19.4,48.5,29.9
151-200,State University of New York at Stony Brook,70-89,,0,0,19,22.8,37.9,18.2
151-200,Technical University of Denmark,3,,7.5,12.6,17.6,13.9,36.5,19.7
151-200,The Chinese University of Hong Kong,1,,0,14.1,14.4,6.1,43.1,21.5
151-200,The University of Alabama at Birmingham,70-89,,0,0,16.1,18.5,42.4,15.3
151-200,The University of Calgary,7-8,,0,0,10.2,17,46.2,17.2
151-200,The University of Connecticut - Storrs,70-89,,13.1,0,16.1,13.5,37,17
151-200,The University of Glasgow,15-19,,10.7,0,21.6,15.5,42.8,17.8
151-200,The University of Texas Health Science Center at Houston,70-89,,0,15.4,17.6,16.4,30.4,18.6
151-200,The University of Texas M. D. Anderson Cancer Center,70-89,,0,0,21.6,15.6,42.8,27.5
151-200,Tsinghua University,1-2,,11.9,0,0,11.8,57.8,17
151-200,University of Bern,6,,14.1,0,10.2,20.8,39.1,25.4
151-200,University of Buenos Aires,1,,18.5,25.2,0,6.3,37.9,20.9
151-200,University of Delaware,70-89,,11.9,0,22.8,13.3,32.8,18.3
151-200,University of Durham,15-19,,0,0,19,18.6,33.3,20.5
151-200,University of Hamburg,11-14,,14.1,0,17.6,16.4,34.3,18.8
151-200,University of Illinois at Chicago,70-89,,0,0,26.9,9.6,46.1,17.6
151-200,University of Kiel,11-14,,13.1,15.4,10.2,12.2,32.9,17.8
151-200,University of Koeln,11-14,,0,12.6,7.2,20.8,37.9,19.9
151-200,University of Mainz,11-14,,0,8.1,17.6,19.6,38.1,20.6
151-200,"University of Maryland, Baltimore",70-89,,0,0,22.8,16.5,38.6,17.8
151-200,University of Nebraska - Lincoln,70-89,,19.9,0,16.1,14.8,33.4,15.9
151-200,University of New South Wales,6-7,,0,0,19,11.3,52.2,20.9
151-200,University of Padua,4,,0,0,12.5,18.8,48.8,18.7
151-200,University of Paris Descartes (Paris 5),6-7,,13.7,11.9,10.2,16.5,41.1,15.3
151-200,University of Southampton,15-19,,0,0,19,17.9,42.6,18.2
151-200,University of Tennessee - Knoxville,70-89,,11.9,0,21.6,17,39.1,14.8
151-200,University of Tsukuba,7-9,,0,19.9,12.5,8.7,39.1,20
151-200,University of Vienna,1,,17.7,0,10.2,19.3,37.3,20.7
151-200,University of Warwick,15-19,,0,0,24.4,14.8,37.5,20.3
151-200,University of Waterloo,7-8,,0,0,19,10.3,41.7,21.1
151-200,Virginia Commonwealth University,70-89,,11.9,14.1,17.6,9.9,34.2,14.5
151-200,Virginia Polytechnic Institute and State University,70-89,,13.1,0,21.6,15,40.8,17.4
201-300,Autonomous University of Madrid,1-4,,0,0,12.5,14.3,38.6,16.6
201-300,Brandeis University,90-111,,21.3,0,7.2,18.1,19.8,23.9
201-300,Chalmers University of Technology,5-9,,0,0,16.1,11.6,28.4,20.6
201-300,Charles University in Prague,1,,13.1,0,0,12.3,43.1,18.5
201-300,City University of New York City College,90-111,,33.7,0,10.2,9.7,18,20.2
201-300,Claude Bernard University Lyon 1,8-13,,13.1,0,0,19.7,40.2,14
201-300,Complutense University of Madrid,1-4,,16.9,0,0,9,43.3,11.1
201-300,Dalhousie University,9-18,,0,0,14.4,15.6,34.5,17.4
201-300,Ecole Polytechnique,8-13,,19.2,0,7.2,9.2,28.6,21.2
201-300,Fudan University,3-7,,0,0,0,9.2,48.8,17.4
201-300,Industrial Physics and Chemistry Higher Educational Institution - Paris,8-13,,9.2,18.9,0,11.1,16.8,29
201-300,Keio University,10,,0,0,10.2,11.8,35.5,16.9
201-300,Korea Advanced Institute of Science and Technology,2-4,,0,0,7.2,15.7,40.5,29.7
201-300,Korea University,2-4,,0,0,0,7,48.1,19.2
201-300,Lancaster University,20-30,,0,0,17.6,11.9,28.7,19.7
201-300,Laval University,9-18,,0,0,16.1,10.6,39,16
201-300,London School of Economics and Political Science,20-30,,16.9,0,16.1,,26,24.8
201-300,Macquarie University,8-9,,0,0,16.1,13.2,29.3,22.1
201-300,Medical University of Vienna,2-3,,11.9,15.4,7.2,7.9,33,18.4
201-300,Nanjing University,3-7,,0,0,0,12.2,45.9,16.9
201-300,National and Kapodistrian University of Athens,1,,0,0,12.5,5.1,42.6,19.5
201-300,National Cheng Kung University (NCKU),2,,0,0,10.2,2.1,48.4,19.5
201-300,Newcastle University,20-30,,0,0,14.4,17.5,36.8,17.2
201-300,Norwegian University of Science and Technology,2-3,,16,0,10.2,15.1,36.7,17.6
201-300,Paul Sabatier University (Toulouse 3),8-13,,0,6.3,0,16.9,38.1,12.6
201-300,Polytechnic Institute of Milan,5-8,,9.2,15.4,0,7.7,30.4,14.8
201-300,"Queen Mary, U. of London",20-30,,20.6,0,16.1,16.9,27,17.3
201-300,Queen's University,9-18,,0,0,16.1,15.3,36.8,20.3
201-300,Queen's University,20-30,,19.9,0,0,14.8,33.3,16.2
201-300,Rensselaer Polytechnic Institute,90-111,,14.1,0,17.6,11.3,25.1,22.8
201-300,Royal Institute of Technology,5-9,,0,15.4,0,9.2,36.2,22.3
201-300,RWTH Aachen University,15-23,,5.3,0,7.2,10.3,39.2,18.1
201-300,Shanghai Jiao Tong University,3-7,,0,0,0,7.2,58.1,18
201-300,Simon Fraser University,9-18,,0,0,14.4,9.2,34.7,18.2
201-300,State University of Campinas,2,,0,0,7.2,7.8,44.3,19.9
201-300,State University of New York at Buffalo,90-111,,0,0,16.1,7.5,39.5,15.1
201-300,Swedish University of Agricultural Sciences,5-9,,0,0,12.5,12.1,28.6,22.7
201-300,Technical University of Berlin,15-23,,19.9,0,16.1,7.7,29.4,16.2
201-300,The George Washington University,90-111,,13.1,0,12.5,10.8,32.5,16.2
201-300,The Hong Kong Polytechnic University,2-4,,0,0,14.4,1.5,39.6,18.2
201-300,The Hong Kong University of Science and Technology,2-4,,0,0,16.1,5.7,32.7,23.6
201-300,The University of Adelaide,8-9,,16.9,0,10.2,11.1,37.4,22.7
201-300,The University of Auckland,1-2,,15.1,0,10.2,14.4,36.9,18.7
201-300,The University of Hong Kong,2-4,,0,0,14.4,10.4,43.9,22
201-300,The University of New Mexico - Albuquerque,90-111,,0,0,12.5,18.3,35.8,15.1
201-300,The University of Reading,20-30,,0,0,14.4,16.3,27.8,18.5
201-300,The University of Texas Health Science Center at San Antonio,90-111,,0,0,22.8,6.9,30,17.7
201-300,Trinity College Dublin,1,,13.1,14.1,7.2,10.5,30.3,16.1
201-300,Umea University,5-9,,0,0,14.4,12.8,32.9,17.2
201-300,University of Aberdeen,20-30,,0,0,10.2,15.8,32.9,19.8
201-300,University of Antwerp,5-6,,0,0,12.5,11.7,34.4,25.8
201-300,University of Barcelona,1-4,,0,0,7.2,14,51.4,15.9
201-300,University of Bergen,2-3,,0,0,7.2,15.1,36.9,18.4
201-300,University of Bochum,15-23,,0,0,12.5,12.5,38.9,18.7
201-300,University of Bologna,5-8,,0,0,10.2,8.6,48.3,15.8
201-300,University of Cape Town,1,,21.3,0,10.2,14.2,32.8,17.5
201-300,University of Central Florida,90-111,,0,0,18.4,9.5,30.1,16.8
201-300,University of Cincinnati,90-111,,0,0,22.8,10.4,40.2,14.5
201-300,University of Colorado at Denver,90-111,,0,0,17.6,13.6,41.1,16.4
201-300,University of Duesseldorf,15-23,,13.1,0,11.4,12,31.4,16
201-300,University of East Anglia,20-30,,15.1,0,16.1,17.4,28.7,21.1
201-300,University of Erlangen-Nuremberg,15-23,,0,0,14.4,13.3,40.6,19.7
201-300,University of Florence,5-8,,0,0,16.1,11.4,39.7,15.8
201-300,University of Gothenburg,5-9,,0,15.4,7.2,7.6,39.9,17.1
201-300,University of Guelph,9-18,,0,0,16.1,14.7,33.4,19.4
201-300,University of Halle-Wittenberg,15-23,,5.3,8.9,7.2,12.2,28.2,14.4
201-300,University of Houston,90-111,,0,0,20.4,11.1,34.8,19.4
201-300,University of Innsbruck,2-3,,0,10.9,7.2,15.1,25.1,23.1
201-300,University of Kansas - Lawrence,90-111,,13.1,0,12.5,12.9,33.1,12.6
201-300,University of Kentucky,90-111,,11.9,0,7.2,12.1,42.3,14.2
201-300,University of Lausanne,7,,0,0,12.5,20.7,32.4,19.9
201-300,University of Leicester,20-30,,0,0,19,18,33,19.9
201-300,University of Leipzig,15-23,,15.1,15.4,0,8.7,35,17.8
201-300,University of Liege,5-6,,9.2,0,10.2,12.4,30.6,23
201-300,University of Manitoba,9-18,,0,0,16.1,8.5,35.6,15.9
201-300,University of Marburg,15-23,,15.1,0,14.4,14.6,29.9,16.5
201-300,University of Medicine and Dentistry New Jersey,90-111,,0,0,22.8,13.1,32.4,15
201-300,University of Missouri - Columbia,90-111,,10.7,0,7.2,14.3,40.9,14.4
201-300,University of Montpellier 2,8-13,,11.9,0,12.5,15.6,32.4,17.5
201-300,University of Notre Dame,90-111,,14.1,0,12.5,13.6,30.3,18
201-300,University of Oregon,90-111,,11.9,0,10.2,20.2,26.4,19
201-300,University of Otago,1-2,,0,0,10.2,8.3,34.1,24.4
201-300,University of Ottawa,9-18,,0,0,7.2,13.2,41.7,17.8
201-300,University of Saskatchewan,9-18,,10.7,0,14.4,6.6,33.8,16.1
201-300,University of Science and Technology of China,3-7,,0,0,7.2,12.5,44.5,22.9
201-300,University of South Carolina - Columbia,90-111,,0,0,16.1,11.9,34.9,14.8
201-300,University of South Florida,90-111,,0,0,12.5,9.8,38.4,14.4
201-300,University of St Andrews,20-30,,11.9,0,7.2,21.1,29.8,23.2
201-300,University of Stuttgart,15-23,,20.6,0,10.2,13.6,28.1,15.7
201-300,University of the Mediterranean (Aix-Marseille 2),8-13,,0,0,14.4,17.1,27.6,13.1
201-300,University of Turin,5-8,,18.5,0,12.5,9.5,39.7,17.6
201-300,University of Valencia,1-4,,0,0,7.2,10.1,40.9,13.2
201-300,University of Vermont,90-111,,15.1,0,14.4,8.4,27.9,15.3
201-300,University of Victoria,9-18,,0,0,14.4,11.3,31.1,18.7
201-300,University of York,20-30,,0,0,17.6,13,32.7,19.6
201-300,Washington State University - Pullman,90-111,,0,0,20.4,13.6,31.3,16
201-300,Western University,9-18,,0,0,8.8,13.5,45.5,18.5
201-300,Yeshiva University,90-111,,0,0,12.5,16.2,34.6,21.1
201-300,Yonsei University,2-4,,0,0,7.2,10.6,51.8,18.2
201-300,Zhejiang University,3-7,,0,0,0,8.5,61.9,16.2
301-400,Aristotle University of Thessaloniki,2,,0,0,7.2,3.5,37.5,16.8
301-400,Autonomous University of Barcelona,5-7,,0,0,0,7.7,42.4,16.2
301-400,Bar-Ilan University,5-6,,0,0,12.5,9,28,14
301-400,Ben-Gurion University of the Negev,5-6,,0,0,7.2,10.2,35.8,16.6
301-400,Brigham Young University,112-137,,10.7,0,12.5,3.7,26.7,11.8
301-400,City University of Hong Kong,5,,0,0,12.5,0,38.2,22.3
301-400,Clemson University,112-137,,0,0,12.5,6,29.1,14.3
301-400,Technical University Darmstadt,24-33,,16.9,0,7.2,7.9,29.3,14.6
301-400,Dresden University of Technology,24-33,,0,0,7.2,11,37.3,17.3
301-400,Drexel University,112-137,,0,0,7.2,9.6,28.8,14.2
301-400,Eotvos Lorand University,1-2,,16.9,0,10.2,9,24.2,13.2
301-400,Federal University of Minas Gerais,3-5,,0,0,7.2,5.8,36.6,16.5
301-400,Federal University of Rio de Janeiro,3-5,,0,0,0,12.3,41.9,19.1
301-400,Flinders University,10-13,,16.9,0,7.2,4,24.8,19.6
301-400,Georgetown University,112-137,,0,0,12.5,7.2,33,17.6
301-400,Hanyang University,5-7,,0,0,0,6.2,39.7,17.3
301-400,Henri Poincare University (Nancy 1),14-18,,13.1,18.9,0,10.1,16.7,10.8
301-400,Hiroshima University,11-17,,0,0,7.2,11.6,35.1,17.5
301-400,Indian Institute of Science,1,,0,0,12.5,6.3,34.6,16.3
301-400,Jagiellonian University,1-2,,11.9,0,7.2,5.5,31.8,14.9
301-400,James Cook University,10-13,,0,0,10.2,14.1,24.1,21.8
301-400,Kanazawa University,11-17,,0,0,10.2,6.9,27.6,17.1
301-400,Kansas State University,112-137,,0,0,14.4,8.9,29.7,14
301-400,King Saud University,1,,0,0,24.4,0,21.2,14.1
301-400,Kobe University,11-17,,0,0,10.2,12.6,32.8,16.4
301-400,London School of Hygiene and Tropical Medicine,31-35,,9.2,0,0,5.5,29.7,28.7
301-400,Medical University of Graz,4-6,,0,10.9,7.2,3.3,21.4,20.2
301-400,Medical University of Innsbruck,4-6,,0,0,12.5,5.7,24.6,22.9
301-400,Medical University of South Carolina,112-137,,0,0,14.4,7.3,30,19.5
301-400,Nagasaki University,11-17,,13.1,0,10.2,4.1,24.4,17
301-400,Nanyang Technological University,2,,0,0,0,6.5,46.5,20.5
301-400,National Chiao Tung University,3-4,,0,0,7.2,6.4,38.3,20.7
301-400,National Tsing Hua University,3-4,,14.1,0,0,8.9,35.4,21.2
301-400,Okayama University,11-17,,0,0,7.2,12,33.4,17.8
301-400,Pohang University of Science and Technology,5-7,,0,0,7.2,9.8,29.3,28.8
301-400,Polytechnic University of Valencia,5-7,,0,0,7.2,11.5,31.4,15.4
301-400,Saint Louis University,112-137,,0,12.6,10.2,4.7,24.4,12.4
301-400,Saint Petersburg State University,2,,26.1,0,0,4.8,29.6,15.4
301-400,San Diego State University,112-137,,0,0,14.4,12.3,27.6,16.2
301-400,Sao Paulo State University,3-5,,0,0,0,5.4,43.9,19.3
301-400,Scuola Normale Superiore - Pisa,9-13,,0,0,14.4,5.7,16.4,44.7
301-400,Shandong University,8-10,,0,0,0,4,43,12.2
301-400,Sichuan University,8-10,,0,0,0,2.1,46,12.6
301-400,State University of New York at Albany,112-137,,0,0,16.1,5.3,27.3,17.4
301-400,State University of New York Health Science Center at Brooklyn,112-137,,0,15.4,10.2,5.8,17.2,17.1
301-400,Stockholm School of Economics,10,,0,16.6,0,,10.7,39
301-400,Sun Yat-sen University,8-10,,0,0,0,3.2,42.3,13.7
301-400,Sungkyunkwan University,5-7,,0,0,0,10.9,43.2,17.2
301-400,Syracuse University,112-137,,0,0,16.1,8.7,24.7,13.9
301-400,Temple University,112-137,,0,0,14.4,5.1,30.9,12.5
301-400,Texas Tech University,112-137,,0,0,10.2,6.6,30.6,14.5
301-400,The Open University,31-35,,0,0,12.5,13.8,21.7,12.5
301-400,The University of Dundee,31-35,,0,0,16.1,12,27,18.1
301-400,The University of Montana - Missoula,112-137,,7.5,0,12.5,11.7,17.1,14.9
301-400,The University of Texas at Dallas,112-137,,0,0,10.2,14.1,25.2,21.2
301-400,The University of Texas Medical Branch at Galveston,112-137,,0,0,17.6,7.8,25.7,15.4
