University ,National Rank-14,Overall-14,Alumini-14,Award-14,HiCi-14,N&S-14,PUB-14,PCP-14,World Rank-14
University of Massachusetts Medical School - Worcester,,,0,20,14.3,28.4,27.7,24.4,
University of Montreal,05-Jun,,11.8,0,15.9,17.5,50.9,21.4,
University of Nottingham,Sep-17,,11.8,20,17,17.3,46.5,19.9,
University of Sao Paulo,1,,0,0,12.2,12,72.9,15.4,
University of Southampton,Sep-17,,0,0,24.6,21.3,46.8,24.4,
University of Sydney,05-Jul,,14.9,0,9.6,17.9,64.1,24.7,
University of Virginia,,,0,0,27,27.9,43.4,18.8,
University of Wageningen,05-Jul,,0,0,22.8,19.9,41.8,32.1,
University Paris Diderot - Paris 7,05-Jul,,11.8,9.4,14.9,32.2,44.5,19.4,
Weizmann Institute of Science,3,,18.2,16.3,17,34.4,27.3,24.1,
Erasmus University,8,,0,14.9,22,7.5,34.8,26.4,
Fudan University,04-Jun,,0,0,12.2,15,56.3,21.3,
George Mason University,,,0,31.9,5.1,9.3,27.9,18.1,
Icahn School of Medicine at Mount Sinai,,,0,0,26,25.2,35.9,20.8,
Iowa State University,,,0,0,18.5,20,38.9,19.6,
King Abdulaziz University,01-Feb,,0,0,33.1,5.1,39,12.2,
King Saud University,01-Feb,,0,0,34.5,6,40.5,13.8,
KTH Royal Institute of Technology,,,,,,,,,
Kyushu University,07-Aug,,0,0,13.1,14.8,45.8,18,
Nanyang Technological University,2,,0,0,11.2,10.6,50.4,25,
North Carolina State University - Raleigh,,,0,0,24,14.6,41.5,18.9,
Oregon Health and Science University,,,0,0,20.8,22.3,34.5,22,
Oregon State University,,,10.5,0,23,20.8,35.3,22.4,
Tel Aviv University,4,,0,0,20.7,14.4,47.4,24.9,
The Chinese University of Hong Kong,01-Feb,,0,14.1,15.1,5.1,43.3,21.7,
The University of Adelaide,8,,14.9,0,15.1,10.9,41.4,24.5,
The University of Calgary,7,,0,0,13.8,15.3,45,18,
The University of Georgia,,,0,0,20.6,20.6,42.1,18.3,
The University of Hong Kong,01-Feb,,0,0,17.5,15.5,44,22.4,
Tokyo Institute of Technology,07-Aug,,12.9,0,15.9,17.6,38.4,24.4,
Trinity College Dublin,1,,10.5,13.3,10.7,13.2,32,18.3,
University of Barcelona,1,,0,0,15.1,11.5,51.8,18.4,
University of Bern,06-Jul,,12.9,0,16.3,21.7,40.3,26.5,
University of Bologna,01-Jun,,0,0,13.8,11.2,48.1,18.4,
University of Buenos Aires,1,,14.9,24,0,9,36.3,21.2,
University of Delaware,,,10.5,16.3,20.1,11.7,32.2,19.4,
University of East Anglia,,,13.9,0,19.2,15.4,29.9,23.5,
University of Gothenburg,5,,0,15.4,12.3,13.9,42.7,19.7,
University of Hamburg,Aug-13,,11.8,0,13.9,20,36.6,20.8,
University of Hawaii at Manoa,,,0,0,20.1,23.8,36.3,18.7,
University of Illinois at Chicago,,,0,0,18.9,14.4,43.9,17.4,
University of Iowa,,,0,0,20.3,21.2,45.3,17.7,
University of Kiel,Aug-13,,10.5,13.3,12.2,13.4,31.2,18.2,
University of Koeln,Aug-13,,0,11.5,8.6,17.5,37.2,20.2,
University of Lausanne,06-Jul,,0,0,14.9,23.3,33.9,21.5,
University of Miami,,,0,0,22,18.9,41,15.3,
University of Milan,01-Jun,,17.5,0,14.2,10.5,46,20.8,
University of Muenster,Aug-13,,19.7,13.3,13.2,15.2,36.5,21.3,
University of Padua,01-Jun,,0,0,11.3,17.7,48.7,22,
University of Paris Descartes (Paris 5),8,,11.8,9.4,12.2,16.2,42,16.3,
University of Pisa,01-Jun,,13.9,23.1,7.2,6.7,38.1,22.2,
University of Roma - La Sapienza,01-Jun,,11.8,13.3,5.1,11.6,53.4,17.9,
University of Science and Technology of China,04-Jun,,0,0,15.9,15.2,47.5,23.9,
University of Sussex,,,0,22.4,15.2,13.5,29,25.6,
University of Tuebingen,Aug-13,,22.9,0,12.2,18.7,42.5,23.5,
University of Turin,01-Jun,,15.8,0,16.2,9.5,40.3,20.1,
University of Vienna,1,,13.9,0,17.2,21.9,37,24.2,
University of Warwick,,,0,0,22.5,13.1,38.9,21.9,
University of Wuerzburg,Aug-13,,19.7,0,18.9,15,34.4,20.7,
Virginia Commonwealth University,,,10.5,14.1,15.9,11.8,34,14.6,
Zhejiang University,04-Jun,,0,0,7.1,12.5,66.5,19,
Autonomous University of Barcelona,02-Apr,,0,0,5,13.7,45.3,20.3,
Autonomous University of Madrid,02-Apr,,0,0,11.3,12,39,17.1,
Beijing Normal University,07-Dec,,15.8,0,5,7.8,37.2,15.4,
Charles University in Prague,1,,9.1,0,0,10.4,43.6,19.3,
City University of Hong Kong,03-Apr,,0,0,18.1,1.5,37.9,21.5,
Claude Bernard University Lyon 1,Sep-14,,10.5,0,0,17.4,41,14.5,
Colorado State University,,,0,0,20.3,13.6,35.5,19.5,
Dalhousie University,Aug-16,,0,0,12.2,15.2,34.1,17.9,
