Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Mondal, Shyamal P.",14,2016,24,1.7,0.37,3.0,46161407000,http://www.scopus.com/authid/detail.url?authorId=46161407000
"Mukherjee, Anirban",14,2017,61,4.4,0.67,8.0,55796079000,http://www.scopus.com/authid/detail.url?authorId=55796079000
"Nag, Ahindra",14,2017,52,3.7,0.36,10.0,56277709200,http://www.scopus.com/authid/detail.url?authorId=56277709200
"Nath, Sankar Kumar",14,2017,82,5.9,0.56,16.0,35183768700,http://www.scopus.com/authid/detail.url?authorId=35183768700
"Pradhan, Suresh Chandra",14,2016,219,15.6,1.61,23.0,35171115500,http://www.scopus.com/authid/detail.url?authorId=35171115500
"Pruseth, Kamal Lochan",14,2017,41,2.9,1.27,7.0,6602967190,http://www.scopus.com/authid/detail.url?authorId=6602967190
"Ray, Subhabrata",14,2017,112,8.0,0.90,13.0,24312971800,http://www.scopus.com/authid/detail.url?authorId=24312971800
"RoyChowdhury, Dipanwita",14,2014,49,3.5,0.81,6.0,56247762400,http://www.scopus.com/authid/detail.url?authorId=56247762400
"Santra, Sumita",14,2017,178,12.7,2.16,17.0,7006693520,http://www.scopus.com/authid/detail.url?authorId=7006693520
"Sarkar, Anirban R.",14,2014,31,2.2,0.50,22.0,26642259200,http://www.scopus.com/authid/detail.url?authorId=26642259200
"Sen, Soumitrakumar",14,2016,61,4.4,0.82,11.0,56063610400,http://www.scopus.com/authid/detail.url?authorId=56063610400
"Sengupta, Sonali P.",14,2016,98,7.0,1.01,15.0,8863573200,http://www.scopus.com/authid/detail.url?authorId=8863573200
"Singh, Chandrani",14,2017,51,3.6,0.69,4.0,16053615700,http://www.scopus.com/authid/detail.url?authorId=16053615700
"Singh, Purnima",14,2015,63,4.5,0.43,6.0,55386654800,http://www.scopus.com/authid/detail.url?authorId=55386654800
"Singha Roy, Atanu",14,2016,122,8.7,0.99,7.0,54382399600,http://www.scopus.com/authid/detail.url?authorId=54382399600
"Sinhamahapatra, Kalyan Prasad",14,2016,30,2.1,0.65,7.0,6507645478,http://www.scopus.com/authid/detail.url?authorId=6507645478
"Upadhyay, Dewashish",14,2017,147,10.5,1.11,13.0,35786337700,http://www.scopus.com/authid/detail.url?authorId=35786337700
"Bag, Sourav",13,2016,368,28.3,3.14,10.0,36620125800,http://www.scopus.com/authid/detail.url?authorId=36620125800
"Bhattacharjee, Shrutilipi",13,2016,32,2.5,1.29,3.0,36095875600,http://www.scopus.com/authid/detail.url?authorId=36095875600
"Dash, Jatindra Kumar",13,2017,37,2.8,1.18,4.0,55247508200,http://www.scopus.com/authid/detail.url?authorId=55247508200
"Dhak, Prasanta",13,2016,62,4.8,0.33,7.0,22834367900,http://www.scopus.com/authid/detail.url?authorId=22834367900
"Dhara, Ashis Kumar",13,2017,28,2.2,1.23,3.0,54897503900,http://www.scopus.com/authid/detail.url?authorId=54897503900
"Dutta, Debajyoti",13,2015,79,6.1,0.57,7.0,25227523900,http://www.scopus.com/authid/detail.url?authorId=25227523900
"Ghosh, Sudipto S.",13,2017,26,2.0,0.74,6.0,56693380400,http://www.scopus.com/authid/detail.url?authorId=56693380400
"Gupta, Saibal",13,2016,67,5.2,0.86,10.0,7407275129,http://www.scopus.com/authid/detail.url?authorId=7407275129
"Harikrishnan, G.",13,2016,50,3.8,1.08,8.0,25636014700,http://www.scopus.com/authid/detail.url?authorId=25636014700
"Hati, Manas Kumar",13,2017,30,2.3,1.19,3.0,37090833500,http://www.scopus.com/authid/detail.url?authorId=37090833500
"Ikbal, Mohammed",13,2015,74,5.7,0.61,5.0,55181680600,http://www.scopus.com/authid/detail.url?authorId=55181680600
"Jana, Sanjay Kumar",13,2016,26,2.0,1.16,2.0,56121454400,http://www.scopus.com/authid/detail.url?authorId=56121454400
"Khatua, Manas",13,2016,51,3.9,1.34,5.0,55877658000,http://www.scopus.com/authid/detail.url?authorId=55877658000
"Khilari, Santimoy",13,2017,136,10.5,1.93,6.0,55697034600,http://www.scopus.com/authid/detail.url?authorId=55697034600
"Kumar, B. N. Prashanth",13,2017,287,22.1,2.39,9.0,7401972859,http://www.scopus.com/authid/detail.url?authorId=7401972859
"Kundu, Souvik",13,2015,96,7.4,0.86,8.0,37097213800,http://www.scopus.com/authid/detail.url?authorId=37097213800
"Kundu, Subhadip",13,2014,29,2.2,0.92,4.0,7201407148,http://www.scopus.com/authid/detail.url?authorId=7201407148
"Mahanty, Biswajit",13,2016,75,5.8,1.35,8.0,16424519900,http://www.scopus.com/authid/detail.url?authorId=16424519900
"Majumdar, Bandana",13,2013,26,2.0,0.75,5.0,7101634796,http://www.scopus.com/authid/detail.url?authorId=7101634796
"Majumder, Arun Kumar",13,2017,54,4.2,0.82,9.0,54998065300,http://www.scopus.com/authid/detail.url?authorId=54998065300
"Meikap, Bhim Charan",13,2012,151,11.6,0.88,4.0,55159247400,http://www.scopus.com/authid/detail.url?authorId=55159247400
"Midya, Anupam",13,2017,94,7.2,2.65,10.0,24332265800,http://www.scopus.com/authid/detail.url?authorId=24332265800
"Mishra, Debasish",13,2015,149,11.5,1.06,10.0,55963119800,http://www.scopus.com/authid/detail.url?authorId=55963119800
"Mukherjee, Gargi",13,2014,328,25.2,2.02,10.0,7101861367,http://www.scopus.com/authid/detail.url?authorId=7101861367
"Nagarajan, Vishwanath",13,2017,14,1.1,0.13,4.0,14024885400,http://www.scopus.com/authid/detail.url?authorId=14024885400
"Neogi, Swati",13,2017,45,3.5,0.60,4.0,7003444886,http://www.scopus.com/authid/detail.url?authorId=7003444886
"Ojha, Tamoghna P.",13,2017,63,4.8,2.15,5.0,7003801100,http://www.scopus.com/authid/detail.url?authorId=7003801100
"Pal, Samir Kumar",13,2016,19,1.5,0.19,10.0,7402277643,http://www.scopus.com/authid/detail.url?authorId=7402277643
"Pradhan, Narayan C.",13,2016,59,4.5,0.68,38.0,7005082357,http://www.scopus.com/authid/detail.url?authorId=7005082357
"Pramanik, Rajib",13,2012,229,17.6,1.30,15.0,26640526400,http://www.scopus.com/authid/detail.url?authorId=26640526400
"Roy, Bibhas",13,2017,89,6.8,1.10,7.0,7201660322,http://www.scopus.com/authid/detail.url?authorId=7201660322
"Roy, Debasis K Singha",13,2016,49,3.8,0.60,8.0,24537825000,http://www.scopus.com/authid/detail.url?authorId=24537825000
"Sahoo, Banalata N.",13,2016,334,25.7,2.56,10.0,37063654800,http://www.scopus.com/authid/detail.url?authorId=37063654800
"Sarkar, Souravi K.",13,2012,229,17.6,1.30,16.0,55455896300,http://www.scopus.com/authid/detail.url?authorId=55455896300
"Singh, Randhir P.",13,2016,36,2.8,0.84,14.0,35741995700,http://www.scopus.com/authid/detail.url?authorId=35741995700
"Singha, Rajkumar Kumar",13,2013,165,12.7,1.19,11.0,23036384600,http://www.scopus.com/authid/detail.url?authorId=23036384600
"Som, Sibendu K.",13,2017,66,5.1,0.98,21.0,7005914749,http://www.scopus.com/authid/detail.url?authorId=7005914749
"Srivastava, Samanvaya Krishna",13,2016,29,2.2,0.32,11.0,24361388100,http://www.scopus.com/authid/detail.url?authorId=24361388100
"Thakkar, Jitesh J.",13,2016,63,4.8,1.29,10.0,12752722100,http://www.scopus.com/authid/detail.url?authorId=12752722100
"Yadav, Jainath",13,2016,56,4.3,1.64,5.0,37089964200,http://www.scopus.com/authid/detail.url?authorId=37089964200
"Adhikari, Rajdeep",12,2014,26,2.2,0.54,5.0,56150117200,http://www.scopus.com/authid/detail.url?authorId=56150117200
"Ahmed, Atiur",12,2015,68,5.7,0.82,6.0,55466643800,http://www.scopus.com/authid/detail.url?authorId=55466643800
"Bhowmick, Anil Kumar",12,2016,47,3.9,1.16,4.0,56896216200,http://www.scopus.com/authid/detail.url?authorId=56896216200
"Chakraborty, Apurba",12,2016,13,1.1,0.34,2.0,55429395000,http://www.scopus.com/authid/detail.url?authorId=55429395000
"Chakraborty, Snehasis",12,2016,67,5.6,1.42,5.0,55627877424,http://www.scopus.com/authid/detail.url?authorId=55627877424
"Chatterjee, Subarna",12,2016,56,4.7,1.71,4.0,56148870800,http://www.scopus.com/authid/detail.url?authorId=56148870800
"Chouhan, Rajlaxmi",12,2016,38,3.2,1.02,3.0,54394945300,http://www.scopus.com/authid/detail.url?authorId=54394945300
"Das Mandal, Shyamal Kr",12,2016,0,0.0,0.00,1.0,6507160620,http://www.scopus.com/authid/detail.url?authorId=6507160620
"Das, Palash S.",12,2016,9,0.8,0.41,2.0,7403033145,http://www.scopus.com/authid/detail.url?authorId=7403033145
"Dinara, Syed Mukulika",12,2016,11,0.9,0.62,2.0,56121418700,http://www.scopus.com/authid/detail.url?authorId=56121418700
"Fatima, Shahab",12,2015,93,7.8,1.55,4.0,36672871200,http://www.scopus.com/authid/detail.url?authorId=36672871200
"Jacob, Chacko",12,2015,68,5.7,0.66,17.0,7202047265,http://www.scopus.com/authid/detail.url?authorId=7202047265
"Kabi, Sanjib",12,2015,34,2.8,1.27,5.0,24398784700,http://www.scopus.com/authid/detail.url?authorId=24398784700
"Kastha, Debaprasad",12,2016,52,4.3,1.02,7.0,55995466000,http://www.scopus.com/authid/detail.url?authorId=55995466000
"Koolagudi, Shashidhar G.",12,2013,200,16.7,3.57,9.0,23397105900,http://www.scopus.com/authid/detail.url?authorId=23397105900
"Mandal, Avinandan",12,2014,121,10.1,1.37,7.0,55455785600,http://www.scopus.com/authid/detail.url?authorId=55455785600
"Mohapatra, Soumya S.",12,2015,151,12.6,3.23,7.0,55156323600,http://www.scopus.com/authid/detail.url?authorId=55156323600
"Paul, Soumitra",12,2016,24,2.0,0.23,21.0,7401979405,http://www.scopus.com/authid/detail.url?authorId=7401979405
"Rajasekar, Rathanasamy",12,2013,69,5.8,0.57,14.0,57190244140,http://www.scopus.com/authid/detail.url?authorId=57190244140
"Rameshbabu, Arun Prabhu",12,2016,42,3.5,1.36,5.0,54790089000,http://www.scopus.com/authid/detail.url?authorId=54790089000
"Rao, Venkatesh",12,2014,29,2.4,0.42,10.0,21735722500,http://www.scopus.com/authid/detail.url?authorId=21735722500
"Ray, Ajoy Kumar",12,2016,46,3.8,1.75,4.0,55511748894,http://www.scopus.com/authid/detail.url?authorId=55511748894
"Roy, Sudip",12,2014,118,9.8,7.09,8.0,56308762500,http://www.scopus.com/authid/detail.url?authorId=56308762500
"Sarangi, Mihir",12,2017,45,3.8,0.53,7.0,6506399353,http://www.scopus.com/authid/detail.url?authorId=6506399353
"Sen, Debabrata",12,2016,41,3.4,0.75,11.0,7202365183,http://www.scopus.com/authid/detail.url?authorId=7202365183
"Singh, Sukhjit N.",12,2016,1,0.1,0.03,6.0,35173551200,http://www.scopus.com/authid/detail.url?authorId=35173551200
"Talukdar, Sarmistha",12,2016,343,28.6,2.14,9.0,37121160200,http://www.scopus.com/authid/detail.url?authorId=37121160200
"Baidya, Dilip Kumar",11,2016,11,1.0,0.31,8.0,6602686897,http://www.scopus.com/authid/detail.url?authorId=6602686897
"Basu, Mrinmoyee Ali",11,2013,198,18.0,1.18,17.0,7101877119,http://www.scopus.com/authid/detail.url?authorId=7101877119
"Chatterjee, Dheeman",11,2016,46,4.2,0.60,6.0,7102524797,http://www.scopus.com/authid/detail.url?authorId=7102524797
"Maka, Srinivasu",11,2014,9,0.8,0.22,4.0,6506685877,http://www.scopus.com/authid/detail.url?authorId=6506685877
"Mohanty, Aruna Kumar",11,2015,138,12.5,1.56,11.0,7102044437,http://www.scopus.com/authid/detail.url?authorId=7102044437
"Roy Chaudhuri, Partha",11,2016,27,2.5,1.15,5.0,6507676216,http://www.scopus.com/authid/detail.url?authorId=6507676216

"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
