Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Mandal, Chittaranjan R.",45,2016,82,1.8,1.79,9.0,56032490800,http://www.scopus.com/authid/detail.url?authorId=56032490800
"Pal, Anjali",45,2016,460,10.2,1.55,33.0,55967362100,http://www.scopus.com/authid/detail.url?authorId=55967362100
"Das, Debabrata",44,2017,498,11.3,1.64,28.0,56994099900,http://www.scopus.com/authid/detail.url?authorId=56994099900
"Mandal, S. M.",44,2016,352,8.0,0.88,18.0,16175269200,http://www.scopus.com/authid/detail.url?authorId=16175269200
"Pan, Sudip",44,2016,346,7.9,1.46,12.0,54405920300,http://www.scopus.com/authid/detail.url?authorId=54405920300
"Nando, Golok Bihari",43,2017,250,5.8,1.54,19.0,7005489395,http://www.scopus.com/authid/detail.url?authorId=7005489395
"Ray, Goshaidas G.",43,2017,254,5.9,0.96,12.0,55485780000,http://www.scopus.com/authid/detail.url?authorId=55485780000
"Chattopadhyay, Santanu",42,2017,264,6.3,1.18,15.0,55069524100,http://www.scopus.com/authid/detail.url?authorId=55069524100
"Pradhan, Debabrata K.",42,2016,907,21.6,3.37,24.0,7102992814,http://www.scopus.com/authid/detail.url?authorId=7102992814
"Samanta, Debasis",42,2017,37,0.9,0.35,15.0,24069596900,http://www.scopus.com/authid/detail.url?authorId=24069596900
"Chakrabarti, Indrajit",41,2017,45,1.1,0.40,6.0,6701546680,http://www.scopus.com/authid/detail.url?authorId=6701546680
"Pradhan, Rudra Prakash",41,2017,105,2.6,0.95,6.0,24491031600,http://www.scopus.com/authid/detail.url?authorId=24491031600
"Mukherjee, Animesh",40,2016,104,2.6,1.67,7.0,23091291000,http://www.scopus.com/authid/detail.url?authorId=23091291000
"Ray, Jayanta Kumar",40,2016,184,4.6,0.63,23.0,56231242400,http://www.scopus.com/authid/detail.url?authorId=56231242400
"Ray, K. K.",40,2017,237,5.9,0.95,24.0,7203056042,http://www.scopus.com/authid/detail.url?authorId=7203056042
"Ray, Manas Chandra",40,2017,245,6.1,1.00,19.0,56225614700,http://www.scopus.com/authid/detail.url?authorId=56225614700
"Chaudhuri, Partha Roy",39,2016,106,2.7,0.53,12.0,35821232800,http://www.scopus.com/authid/detail.url?authorId=35821232800
"Datta, Prasanta Kumar",39,2016,69,1.8,0.30,26.0,24744182800,http://www.scopus.com/authid/detail.url?authorId=24744182800
"Goswami, Adrijit K.",39,2016,194,5.0,1.65,13.0,7201750983,http://www.scopus.com/authid/detail.url?authorId=7201750983
"Jana, Amiya Kumar",39,2016,295,7.6,1.08,14.0,8879437600,http://www.scopus.com/authid/detail.url?authorId=8879437600
"Pradhan, Ashok Kumar",39,2017,330,8.5,1.50,16.0,55546251600,http://www.scopus.com/authid/detail.url?authorId=55546251600
"Das, Suvra Sekhar",38,2016,46,1.2,0.74,8.0,55235184000,http://www.scopus.com/authid/detail.url?authorId=55235184000
"Dey, Subhasish",38,2016,125,3.3,0.56,23.0,7402866337,http://www.scopus.com/authid/detail.url?authorId=7402866337
"Ghosh, Surajit P.",38,2015,482,12.7,1.50,18.0,55317438100,http://www.scopus.com/authid/detail.url?authorId=55317438100
"Sengupta, Somnath",38,2017,95,2.5,0.64,8.0,55167244300,http://www.scopus.com/authid/detail.url?authorId=55167244300
"Deb, Debasis L.",37,2017,68,1.8,0.55,11.0,7003789739,http://www.scopus.com/authid/detail.url?authorId=7003789739
"Kumar, Jitendra Prathap",37,2017,92,2.5,0.79,13.0,7201861862,http://www.scopus.com/authid/detail.url?authorId=7201861862
"Mahadevappa, Manjunatha",37,2017,97,2.6,0.78,13.0,6604071152,http://www.scopus.com/authid/detail.url?authorId=6604071152
"Biligiri, Krishna Prapoorna",36,2017,44,1.2,1.31,8.0,23484132000,http://www.scopus.com/authid/detail.url?authorId=23484132000
"Chakraborty, Sudipto",36,2017,268,7.4,1.74,14.0,9732536100,http://www.scopus.com/authid/detail.url?authorId=9732536100
