University,# RANK2018,OVERALL SCORE-18,Academic Reputation-18,Citations per Faculty-18,Employer Reputation-18,Faculty Student-18,International Faculty-18,International Students-18
Baylor College of Medicine,,,,,35.5,100,,31.3
BI Norwegian Business School,,,,,,,82.3,22
Copenhagen Business School,,,,36.2,43.3,,83.3,75
Cranfield University,,,,49.4,48.5,99.9,94.6,100
ESCP Europe - Paris,,,,,84.4,,100,99.9
ESSEC Business School,,,,32.2,93,,99.6,93.2
EBS Business School,,,,22.6,33.5,,72.3,95.9
HEC Paris School of Management,,,,60.2,99.6,,100,100
King Abdullah University of Science & Technology,,,,100,,84.5,100,100
Stockholm School of Economics,,,,62.2,60.8,,87.8,34.7
Bocconi University,,,33.4,,98,,28.5,28.2
Université de Technologie de Compiègne (UTC),,,,23.9,48.4,32.4,,50.3
"University of Economics, Prague",,,,,40,,,73.2
WHU - Otto Beisheim School of Management,,,,58.9,42.9,,80.5,41.8
