University,# RANK2018,OVERALL SCORE-18,Academic Reputation-18,Citations per Faculty-18,Employer Reputation-18,Faculty Student-18,International Faculty-18,International Students-18
Uppsala University,112,61.4,75.7,56.5,49.4,46.2,46.7,64.1
Korea University,90,65.5,76.8,32.8,88.1,82.8,,36.7
"Trinity College Dublin, The University of Dublin",88,65.7,73.8,68.3,68.9,30.7,98.4,89.5
"KIT, Karlsruhe Institute of Technology",107,61.9,57.2,69.8,96.8,47,61.1,55.5
Leiden University,109,61.5,77.9,70.9,42.1,33.7,69.2,33
The University of Western Australia,93,65.2,71.6,82.3,64.1,,100,72.9
Utrecht University,109,61.5,74.6,75.5,43.6,41.8,57.2,
University of Science and Technology of China,97,64.9,62.9,96.7,57.9,67.6,,
Sungkyunkwan University (SKKU),108,61.6,62.4,37.9,96.5,85.1,,27.6
Washington University in St. Louis,100,64.6,51,78.3,,99.6,57.8,62.4
Lomonosov Moscow State University,95,65,82,,79.6,99.7,,48.7
Technical University of Denmark,116,60.7,35.4,69.3,38.5,99.8,99.2,75.7
Zhejiang University,87,65.9,74,80.2,87.1,37.2,54.2,25.9
The Hong Kong Polytechnic University,95,65,70.2,54.5,52.4,58,100,80.2
Yonsei University,106,62.3,71.8,31.8,87.7,79.6,,32.6
University of Oslo,142,55.5,62.8,48.9,41.5,51.7,78.4,42.4
University of Groningen,113,61.3,60.9,53.6,36.3,65.3,89.7,99.1
Nanjing University,114,60.8,69.5,85.3,66.2,,69.7,
Nagoya University,116,60.7,68.9,37,51.5,93.5,,
Aarhus University,119,59.3,66.1,74.6,54.6,34.3,72.1,37.9
"University of California, Santa Barbara (UCSB)",134,56.9,75.7,97.5,,,47.2,
Wageningen University,124,58.7,45.2,56.7,35.3,97.9,32.8,88.8
Universidade de São Paulo,121,59.1,94.8,25.7,90.2,31.4,,
Humboldt-Universität zu Berlin,120,59.2,94,33.6,73.4,,55.2,38.4
Eindhoven University of Technology,104,63.6,39.1,83.3,54.4,93.1,98.4,43.8
Freie Universitaet Berlin,125,58.4,88.7,48.3,61.4,,60.2,51.1
Queen Mary University of London,127,58.3,56.2,43.3,49.7,61,98,99.6
The University of Adelaide,109,61.5,73,55.2,58.5,28.5,93.3,98.8
Université de Montréal,130,57.7,67.2,49.9,73.5,,91.3,79.4
University of York,135,56.3,52.2,53,50.2,58.9,90.9,66.2
Universidad Nacional Autónoma de México  (UNAM),122,59,95.8,,89.6,50.9,,
Lancaster University,135,56.3,50.2,63.2,47.1,46.2,91.2,98
Hokkaido University,122,59,68.5,35.1,59.5,85,,
Ghent University,125,58.4,62.4,55.3,47.3,69.4,49.7,22.9
"University of Maryland, College Park",129,58.1,63.8,75.8,33.2,55,26.1,33.1
Universiti Malaya (UM),114,60.8,65.7,24.3,57.5,87.8,65.4,59.7
Aalto University,137,56,46.5,63.8,53.5,65.1,81,41
Kyushu University,128,58.2,63.6,31.9,62,91.1,,
University of Southern California,132,57.2,64.8,70.4,55,27.8,44.6,75.8
University of Minnesota,163,52.2,76.8,63.1,34.9,,,24.6
University of Lausanne,146,54.5,41.9,30.9,42.8,91.2,99.6,79.6
Chalmers University of Technology,133,57.1,42.1,70.3,75.7,60.5,84.9,44.2
Cardiff University,137,56,57.1,39.5,63,56.6,70.9,79.6
Université Pierre et Marie Curie (UPMC),131,57.5,63,81,53.5,34.5,23.3,50.7
University of Basel,149,54.3,40.9,94.4,39.1,29.1,100,84.9
University of Aberdeen,158,52.7,39.6,59,45.7,53.7,95.5,97.5
Erasmus University Rotterdam,147,54.4,46.8,74.3,70.3,34.7,62.1,71.7
University of Pittsburgh,142,55.5,51,51.3,,97.7,24.3,25.2
RWTH Aachen University,141,55.6,71.3,42.1,98.4,,32.6,58.8
Pontificia Universidad Católica de Chile (UC),137,56,92.4,,94.6,30.3,,
The Hebrew University of Jerusalem,145,54.7,55.6,50.4,36.4,77,53.4,
McMaster University,140,55.8,51.8,35.7,57.2,77.2,92.8,40.5
Emory University,147,54.4,35.5,70.5,,97.5,49,48.3
National Tsing Hua University,161,52.4,56.4,90.2,50.8,,24.9,
University of Waterloo,152,53.7,48.8,80.9,82.4,,77.6,80.7
Indian Institute of Science (IISc) Bangalore,190,49,38.3,100,,56.1,,
Université catholique de Louvain (UCL),153,53.6,62.7,54.6,63,,88.7,55.4
University of Vienna,154,53.3,75.2,,51.2,,97.1,93.8
"University of California, Irvine",164,52.1,54,89.2,,,51.3,84.4
University of Liverpool,173,50.3,45.4,38.7,47.5,53,82.3,96.5
Dartmouth College,169,51.3,31.4,70.5,49.1,86.3,,41.5
University of Bath,160,52.6,45.3,56.9,80.9,28.2,94.5,90.4
Universitat de Barcelona,156,52.9,80,33.4,60.7,30.6,,33.7
Texas A&M University,195,48.1,69.7,57,54.1,,,
Michigan State University,149,54.3,68.6,59.5,60.7,,61.7,47.2
Albert-Ludwigs-Universitaet Freiburg,171,50.8,61.6,53.8,37.8,31.2,56.2,48.4
Technische Universität Berlin (TU Berlin),144,55.2,64.2,27.2,84.9,53.1,34.6,63.2
The University of Exeter,158,52.7,47.2,58.6,70.6,31.1,89.8,84.3
CentraleSupélec,177,50,,31.8,100,79.4,64.4,90.2
Eberhard Karls Universität Tübingen,164,52.1,55.8,,49.8,80.1,55.2,36.9
Newcastle University,161,52.4,42.6,42.9,66.4,56.5,90.4,83.9
University of Otago,151,54.2,63.9,57.2,49.9,,100,65.7
University of Colorado Boulder,182,49.5,47,52,43.7,65.6,36.7,
Hanyang University,155,53.2,53.5,29.7,72.6,76.3,25.3,38.8
University of Virginia,173,50.3,47.7,53.3,49.2,60.6,50.7,
Maastricht University,200,47.9,30.8,73.3,39,35.4,95.9,100
National Chiao Tung University,207,46.9,33.3,76.8,38.4,49.5,35.2,53.1
