University,# RANK2017,OVERALL SCORE-17,Academic Reputation-17,Employer Reputation-17,Faculty Student-17,Citations per Faculty-17,International Faculty-17,International Students-17
"Stony Brook University, State University of New York",390,30.7,,,40.4,41.9,,86.6
Swansea University,390,30.7,,,40.1,32.2,67.9,70.1
University of Southern Denmark,390,30.7,,,37.9,25.5,76,49.6
University of Iowa,393,30.6,28.8,,36,43.7,,33.4
Qatar University,393,30.6,,,53.7,,100,99.9
Stellenbosch University,395,30.5,32.2,,,44.7,74.4,
Washington State University,395,30.5,31.7,,,33.2,68,
National Sun Yat-sen University,395,30.5,28.2,,,58.2,16.6,
National Technical University of Athens,395,30.5,,58.7,,48.7,,
Indian Institute of Technology Roorkee (IITR),399,30.4,,32,,80.4,,
Leibniz Universität Hannover,400,30.3,,,,83.4,,26.6
National Research Tomsk Polytechnic University,400,30.3,,,94.6,,20.8,76.3
Bandung Institute of Technology (ITB),,,47.4,51.3,,,17.6,
Brandeis University,,,,,25.7,51.6,16.3,80.9
Illinois Institute of Technology,,,,,26.9,39.4,17.3,100
Johannes Gutenberg Universität Mainz,,,,,47.5,,36.5,26.1
Khalifa University,,,,,80.6,,100,47.3
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),,,,,93.4,,28,43
Taipei Medical University,,,,,74,,20,
Universidad Externado de Colombia,,,,47.8,99.8,,,
Wake Forest University,,,,,100,24.2,,
Aix-Marseille University,,,44.6,,,22.2,20.9,33.6
Bilkent University,,,28.8,38.4,,30.1,58.8,
Sogang University,,,27.3,41.2,50.4,,,
Bangor University,,,,,,54.9,61.8,80
Kazakh National Research Technical University after K.I.Satpayev,,,,,93,,,
National Central University,,,,,32.9,43.8,16.4,
"National Research University Higher School of Economics (HSE, Moscow)",,,,,92.7,,,
Peter the Great Saint-Petersburg Polytechnic University,,,,,94.1,,,41.6
United Arab Emirates University,,,,,38.6,,100,85.6
Universität Mannheim,,,,79.1,,25.1,33.4,
University of Delaware,,,,,,80.9,34.8,27.9
University of Oulu,,,,,48.9,35.5,30.5,
University of Utah,,,,,46.2,49.8,,24.7
Renmin (People's) University of China,,,38.3,34.6,38.8,,,
Julius-Maximilians-Universität Würzburg,,,28.4,,,53,32.6,
Iowa State University,,,27.8,,,57.8,,29.1
Christian-Albrechts-University zu Kiel,,,,,57.1,22.6,,
"Goldsmiths, University of London",,,,,,,86.1,97.9
Institut National des Sciences Appliquées de Lyon (INSA),,,,53.5,49.6,,32.6,83.3
University of Connecticut,,,,,,53.6,71.8,24.3
University of Pisa,,,47.5,,,24.6,,
Pontificia Universidad Javeriana,,,40.5,70.8,,,,
Jagiellonian University,,,34.4,40.9,42.7,,,
Florida State University,,,31.5,,,46.7,,
Taras Shevchenko National University of Kyiv,,,30.7,,65.9,,,
The University of Georgia,,,28.8,,,35.8,50.2,
Beihang University (former BUAA),,,,,32.2,45,,
HUFS - Hankuk (Korea) University of Foreign Studies,,,,33.6,75,,37.2,32.3
Sharif University of Technology,,,,,,92.2,,
Singapore Management University,,,,55.1,,33.7,100,55.4
Universitat Politècnica de València,,,,35.7,49.9,,,
Universität Bremen,,,30.3,,33.5,,31,23.3
Huazhong University of Science and Technology,,,30.2,,,48.8,,
University of Trento,,,28.2,,,48.5,44,
American University of Sharjah,,,,48.5,,,100,100
Auckland University of Technology (AUT),,,,31.1,,,99,99.2
Chang Gung University,,,,,70.2,50.1,,
Dongguk University,,,,,77.1,,,25.3
Sabanci University,,,,,45.2,,48,
Swinburne University of Technology,,,,31.1,,30.2,92,94.2
Universidad de Palermo (UP),,,,45.3,56.2,,37.1,95.5
"University of Maryland, Baltimore County",,,,,,81.3,,
University of Florence,,,43.7,,,,,
University of Coimbra,,,35.2,,,31,,
Shanghai University,,,32.4,32.4,29.6,22.5,,
Pusan National University,,,30.9,,36.2,22,,
York University,,,29.5,44.9,,,33.1,45.5
Ruhr-Universität Bochum,,,28.1,,,42.3,22,36.6
Xiamen University,,,27.6,,25.2,42.4,,
Koc University,,,,34.9,40.2,,43.7,
Oregon State University,,,,,28.7,35.7,60.2,28.5
Sultan Qaboos University,,,,,62.1,,100,
Universidade Federal do Rio Grande Do Sul,,,35.2,,,,84.8,
Université Paul Sabatier Toulouse III,,,33.3,,41.1,,,39.8
Karl-Franzens-Universitaet Graz,,,31.2,,,,54.9,35.8
Arabian Gulf University,,,,,64.6,,100,100
Bond University,,,,,49,,98.4,92.5
Concordia University,,,,43.6,,29.3,69.7,88.3
Universität Potsdam,,,,,,,,
University of New Mexico,,,,,50.9,32.8,,
University of Oklahoma,,,,,61.8,,32.6,
"The University of Tennessee, Knoxville",,,,,28.8,56.5,,
Wayne State University,,,,,76.6,,21.8,21.5
Universidad de Santiago de Chile (USACH),,,42.1,61.1,,,,
Universidad de Costa Rica,,,39.3,41.8,28.8,,,
Middle East Technical University,,,33.9,54.7,,,,
Bogaziçi Üniversitesi,,,27.8,48.2,,33.4,26.8,21.9
Lappeenranta University of Technology,,,,,32.9,,42.1,30.4
Clark University,,,,,35.4,50.5,,83
East China University of Science and Technology,,,,,,77.8,,
Technische Universität Braunschweig,,,,32.4,65.1,,,34.3
Tokyo Metropolitan University,,,,,,67.7,,
University of Saskatchewan,,,,,26.7,34.9,61.7,55
Pontificia Universidad Católica del Perú,,,42,47.7,,,,
"University of Rome ""Tor Vergata""",,,36.9,,,28.7,,21.1
University of Naples - Federico II,,,32.8,,,47.3,,
Hitotsubashi University,,,30.7,53.9,,,22.7,28.8
Dalian University of Technology,,,,,,71.9,,
Indian Institute of Technology Guwahati (IITG),,,,,25.6,62.3,,
Lehigh University,,,,,32.1,55.3,,50.7
Tianjin University,,,,,28,47.8,,
Universidad de Zaragoza,,,,,47,,,
Vilnius University,,,,34.9,58.9,,,
Aristotle University of Thessaloniki,,,34.8,33.3,,29.7,,21
Università Cattolica del Sacro Cuore,,,29.2,66.3,,,17.7,
Aberystwyth University,,,,,,33.3,68.8,68.9
Iran University of Science and Technology,,,,,,97.7,,
Jilin University,,,,,40,22.5,,
Graz University of Technology,,,,,,,,
The Catholic University of Korea,,,,,89,,,
Saint Joseph University of Beirut (USJ),,,,,80.3,,61.6,
University of Nebraska-Lincoln,,,,,24.9,38.7,77.4,30.6
University of South Florida,,,,,,53.3,49.5,26.1
Yokohama City University,,,,,99.6,,,
Gadjah Mada University,,,40.9,32.8,,,18,
University of Delhi,,,40.1,56.4,,,,
City University of New York,,,39,,,,,
University of Bordeaux,,,38.2,,,,26.9,22.8
Pontifícia Universidade Católica do Rio de Janeiro,,,36.5,36.4,,,18.8,
University of Granada,,,36.1,,,,,24.3
Université de Fribourg,,,,,,,,
Université du Québec,,,31.5,35.2,,,25.9,
University of Hohenheim,,,,,,,,
Universität  Leipzig,,,31.2,,,29.3,,31.9
Université Claude Bernard Lyon 1,,,30.6,,,30.2,,24.3
Ateneo de Manila University,,,30.4,45.2,33,,,
UNESP,,,28.8,,35.8,,,
Abo Akademi University,,,,,32.9,30.2,46.5,46
Amirkabir University of Technology,,,,,,94.3,,
Chonbuk National University,,,,,51,,,
Czech Technical University in Prague,,,,53.9,,,,39
Drexel University,,,,,40.3,27.6,38.1,55.3
Instituto Tecnológico de Buenos Aires (ITBA),,,,48.2,65.7,,,
Kazakh National Pedagogical University named after Abay,,,,,86.7,,,
Kazan (Volga region) Federal University,,,,,74.3,,,
King Khalid University,,,,,67.6,,100,27.1
"Kingston University, London",,,,43.3,,,70.1,97
Martin-Luther-Universität Halle-Wittenberg,,,,,70.9,,,22.4
Michigan Technological University,,,,,34,41.5,21.5,33.7
Missouri University of Science and Technology,,,,,,57.3,71.8,39.5
Murdoch University,,,,,,27.8,96.9,42.1
Nagasaki University,,,,,85.4,,,
National Chung Hsing University,,,,,,50.2,,
National University of Sciences And Technology (NUST) Islamabad,,,,38.1,63.9,,,
Okayama University,,,,,76.1,,,
Pontifícia Universidade Católica de São Paulo,,,,45.2,55.2,,,
Sejong University,,,,31.3,,23.9,17.5,
Shandong University,,,,,29,28.7,,
Southeast University,,,,,31.8,49.4,,
Tulane University,,,,,63.2,23,,25.2
Umm Al-Qura University,,,,,57.7,,99.4,22.3
Universidad de San Andrés - UdeSA,,,,47.7,67.8,,,
Universidade Federal de São Paulo,,,,,68.7,,,
University of Bayreuth,,,,,27.3,33,38.5,
Universität des Saarlandes,,,,,35.5,23.3,46.8,47.8
Universität Regensburg,,,,,28.5,35.1,39.3,
"Université Lille 1, Sciences et Technologies",,,,,,25.5,21.8,65.9
University of Guelph,,,,,,40.1,49.1,
University of Kentucky,,,,,,45.7,20.2,
University of Limerick,,,,31.2,,25,97.9,24.6
University of Macau,,,,,,23,100,96.8
University of Manitoba,,,,,42.7,24.2,,56.2
University of Mons,,,,,,77.2,31.8,52.5
University of Szeged,,,,,43.9,,,42.5
University of Tampere,,,,,35.2,,17.4,
Universidad Nacional de La Plata (UNLP),,,40.6,36.5,,,,
Chiang Mai University,,,37.4,,,,,
Universidade Federal de Minas Gerais,,,35.4,,,,,
Cairo University,,,33.9,57.3,,,,
Universitat de Valencia,,,33.2,,,,,
University of Pretoria,,,31,38.4,,,38.3,
University of Turin,,,30.5,,,29.6,,
Universidade de Santiago de Compostela,,,29.4,,,23.5,,
American University in Dubai,,,,46.3,,,100,100
Anna University,,,,,,,,
Beijing Foreign Studies University,,,,,,,,
Carleton University,,,,,,31.3,29.1,54.7
Charles Darwin University,,,,,,38.1,66.3,98.1
Chiba University,,,,,48.4,,,
College of William & Mary,,,,,35,28.2,,
East China Normal University,,,,,28,29.2,,42.2
Far Eastern Federal University,,,,,77.2,,,37.7
Flinders University,,,,,,24.9,,55.3
Howard University,,,,,71.4,,,
Indiana University-Purdue University Indianapolis,,,,,,,,
Inha University,,,,,70.4,,,
Johannes Kepler University Linz,,,,,,23.3,73.9,21.6
Kagoshima University,,,,,72.6,,,
Kanazawa University,,,,,55.9,22.1,,
Keele University,,,,,,31.3,57.7,65.1
Kumamoto University,,,,,62.6,,,
Lanzhou University,,,,,,58.7,,
National Research Saratov State University,,,,,100,,,
National Taipei University of Technology,,,,,35.5,31.6,26.6,
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",,,,,65.9,,,
Philipps-Universität Marburg,,,,,27.7,23.4,23.1,25.8
Politécnica de Madrid,,,,43.1,27.2,,,33.4
Rhodes University,,,,,,43.1,,80.6
Sichuan University,,,,,26.2,29.3,,
South China University of Technology,,,,,,65.2,,
Southern Federal University,,,,,81.2,,,
Syracuse University,,,,,,28.9,,66.4
TU Dortmund University,,,,45.6,,,19.3,
Tokyo University of Agriculture and Technology,,,,,25.1,46.6,,
Università degli Studi di Pavia,,,,,,40.7,,
University of Bradford,,,,,,23.1,55.5,95
University of Canberra,,,,,,,51.7,72.3
University of Cincinnati,,,,,28.8,38.7,,
University of Hull,,,,,,30.1,61.8,59.3
University of Jordan,,,,37.5,,,34.2,53.4
University of Massachusetts - Boston,,,,,,27.3,,
"University of Missouri, Columbia",,,,,26.2,24.7,44.2,
University of Oregon,,,,,,31.5,,37.3
University of Science and Technology Beijing,,,,,,44.3,,
University of South Carolina,,,,,,38,,
University of Tehran,,,,,,37.6,,
University of Ulsan,,,,,66.2,25.4,,
University of Vermont,,,,,66.8,26.7,,
Western Sydney University,,,,,,23.3,79.8,37.2
Universidad de Antioquia,,,37.6,31.8,,,,
Universidad Nacional de Córdoba - UNC,,,33.8,42.3,,,,
Universidad de Sevilla,,,33.4,,,,,
Universidad Católica Andres Bello,,,29.6,67.8,,,,
Pontificia Universidad Católica de Valparaíso,,,28.2,39.7,,,22.9,
Universidade de Brasília,,,27.6,32.8,,,,
Universidad de Concepción,,,27.5,34.5,,,,
Thammasat University,,,27.5,31.5,,,,
Universität Bielefeld,,,27.1,,,,22.2,
Ajou University,,,,,55.5,,,
Bar-Ilan University,,,,,,34.7,39.1,
Central Queensland University,,,,,34.6,,98.3,86.1
Chonnam National University,,,,,47,,,
Clarkson University,,,,,,55.3,41.8,
Eötvös Lorànd University,,,,,30.8,,,
Hallym University,,,,,76.8,,,
Instituto Tecnológico Autónomo de México (ITAM),,,,53.4,,,57.2,
Hunan University,,,,,,,,
International Islamic University Malaysia (IIUM),,,,,27.8,,46.9,69.9
"Lingnan University, Hong Kong",,,,,27.3,,98.2,44.8
Auezov South Kazakhstan State University (SKSU),,,,,69.5,,17.4,
Masaryk University,,,,,,,20.8,71.1
Middlesex University,,,,,,,83.5,93.7
The National University of Science and Technology MISIS,,,,,62.6,,,63.4
The New School,,,,,53.8,,,96.4
RUDN University,,,,,57.9,,,84.7
Tallinn University of Technology,,,,32.9,33.2,,22.1,26.5
Universidad de Alcalá,,,,,27.1,,21.7,74
Universidad de Montevideo (UM),,,,30.8,41.5,,,
Universidad del Pais Vasco,,,,,,,,
Universidad Torcuato Di Tella,,,,42.1,30,,,
Universität Duisburg-Essen,,,,,,34.4,23.7,55.5
University Duesseldorf,,,,,25.9,21.6,,34.5
Université de Rennes 1,,,,,,,18.1,23.5
Université de Sherbrooke,,,,,31,,63.6,
Université Nice Sophia Antipolis,,,,,,,42.7,67.7
Université Panthéon-Assas (Paris 2),,,,,52.4,,,40.8
Universiti Teknologi Petronas (Petronas),,,,,,,85.1,69.8
University of Alabama,,,,,,38.4,,
University of Aveiro,,,,,,,,
University of Baghdad,,,,,49.2,,,
University of Houston,,,,,,43.9,,26.3
University of Hyderabad,,,,,,,,
University of Johannesburg,,,,,28.6,,61.2,
University of Ljubljana,,,,,36.1,,,
University of Mississippi,,,,,40.8,33.7,21.6,
University of New Hampshire,,,,,51.9,30.8,,
University of Portsmouth,,,,,,,66.6,82.6
University of Minho,,,,,,,,
University of Seoul,,,,,33.9,,,
Ulster University,,,,,,21.9,97.1,24
Ural Federal University,,,,,57.8,,,
Warsaw University of Technology,,,,49.7,,,,
Worcester Polytechnic Institute,,,,,25.2,35.5,,74.3
Al-Imam Muhammed Ibn Saud Islamic University,,,,,46.4,,97.8,32
Beijing University of Technology,,,,,25,,,
Brigham Young University,,,,40.3,,23.9,,
Brno University of Technology,,,,40.2,,,,56.7
Comenius University in Bratislava,,,,,37.2,,,22.4
Coventry University,,,,,,,63.7,99.8
Dublin Institute of Technology,,,,,,,39,64.2
George Mason University,,,,,25.2,,,
Gifu University,,,,,68.4,,,
Istanbul Technical University,,,,51.8,,,,
ITMO University,,,,,,,,
Jadavpur University,,,,,,,,
Jordan University of Science & Technology,,,,36.1,,,16.7,70.3
Justus-Liebig-University Giessen,,,,,,40.6,,
Kazakh-British Technical University,,,,,35.7,,56.6,
Kyungpook National University,,,,,,21.5,,
Lebanese American University,,,,,,,89.3,59.6
London Metropolitan University,,,,,,,66.2,98.5
Louisiana State University,,,,,,49.7,,
Manipal Academy of Higher Education,,,,,,,,
Maynooth University,,,,,,,88,24.1
Memorial University of Newfoundland,,,,,43.4,,,43
National and Kapodistrian University of Athens,,,,34.1,,23.8,,
Osaka City University,,,,,50.3,,,
Osaka Prefecture University,,,,,49.4,22.1,,
Palacký University in Olomouc,,,,,29.4,,27.7,21.1
Riga Technical University,,,,,,,,
"Rutgers - The State University of New Jersey, Newark",,,,,26.7,,28.4,
Sofia University St. Kliment Ohridski,,,,,48.8,,,
Shanghai International Studies University,,,,,,,,
Stevens Institute of Technology,,,,,,43.3,17.3,98.1
Temple University,,,,,28.1,21.2,,
Universidad Adolfo Ibàñez,,,,76,,,41.2,
Universidad Anahuac,,,,46.5,42.8,,23.1,
Universidad Central de Venezuela,,,,43.9,,,,
Universidad de La Sabana,,,,44.8,,,,
University of Salamanca,,,,,,,,27.7
Universidad Iberoamericana (UIA),,,,51.3,,,,
Universidade Federal de São Carlos (UFSCAR),,,,,37.8,,,
University of Modena and Reggio Emilia,,,,,,49.3,,
Universität Rostock,,,,,,47.6,,
University at Albany SUNY,,,,,,44.2,,
University of Calcutta,,,,,,28,,
University of Crete,,,,,,45.4,,
University of Debrecen,,,,,25,,,53.6
University of Denver,,,,,34.1,,,27.4
University of Haifa,,,,,,32.1,,
University of Kwazulu-Natal,,,,,,,68.7,
University of Latvia,,,,,36.4,,,
University of Milano-Bicocca,,,,,,38.8,,
University of Patras,,,,,,47.3,,
Plymouth University,,,,,,32.7,56,34
University of Sharjah,,,,,,,100,100
University of Windsor,,,,,,70.9,,32.9
University of Zagreb,,,,,34.4,,,
Victoria University,,,,,,25,,93.2
Virginia Commonwealth University,,,,,48.3,,,
Yeungnam University,,,,,,,21.6,
Kasetsart University,,,29.7,,,,,
Universidad Nacional de Rosario (UNR),,,27.5,,,,,
Abu Dhabi University,,,,,,,100,100
Ain Shams University,,,,41.5,,,,
Airlangga University,,,,,,,,
Adam Mickiewicz University,,,,,,,,
AGH University of Science and Technology,,,,,,,,
Al Azhar University,,,,,,,,67
Alexandria University,,,,34.4,,,,
Alexandru Ioan Cuza University,,,,,,,,
Alpen-Adria-Universitaet Klagenfurt,,,,,,,86.2,64.3
"Aligarh Muslim University (AMU), Aligarh",,,,,,,,
Ankara Üniversitesi,,,,,,,,
Aoyama Gakuin University,,,,,,,,
Athens University of Economics and Business,,,,39.7,,,,
Auburn University,,,,,,27.2,,
Australian Catholic University,,,,,,,,
Babes-Bolyai University,,,,,,,,
Baku State University,,,,,30.5,,,
Banaras Hindu University,,,,,,23.7,,
Baylor University,,,,,,,,
Beijing Jiaotong University,,,,,,,,
BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,,,,,38.3,,,
Benemérita Universidad Autónoma de Puebla,,,,,,,,
Binghamton University SUNY,,,,,,27.8,,42.8
Bogor Agricultural University,,,,,,,,
Budapest University of Technology and Economics,,,,40.3,,,,
"Birla Institute of Technology and Science, Pilani",,,,,,,,
Birzeit university,,,,,,,,
Central South University,,,,,,,,
Charles Sturt University,,,,,,,44,27.8
Chongqing University,,,,,,,,
Chungnam National University,,,,,28.5,,,
Bournemouth University,,,,,,,,
China Agricultural University,,,,,,,,
Clemson University,,,,,,38.2,,
Corvinus University of Budapest,,,,49.5,,,,39.2
Cukurova University,,,,,,,,
Dankook University,,,,,54.8,,,
De La Salle University,,,,42.7,,,,
Diponegoro University,,,,,,,,
Vasyl` Stus Donetsk National University,,,,,44.5,,,
Doshisha University,,,,,,,21.2,
Karaganda State University named after academician E.A.Buketov,,,,,56.2,,,
Edith Cowan University,,,,,,,50.6,53.6
Edinburgh Napier University,,,,,,,,
Feng Chia University,,,,,,,,
Fordham University,,,,,26.1,,,35.1
Fu Jen Catholic University,,,,,,,,
Gazi Üniversitesi,,,,,,,,
Florida International University,,,,,,,,
Georgia State University,,,,,,31.2,,
Gunma University,,,,,47.3,,17.2,
Hacettepe University,,,,,,,,
Instituto Politécnico Nacional (IPN),,,,47.1,,,,
Istanbul University,,,,,,,,
Kansas State University,,,,,,21.3,,
Kaunas University of Technology,,,,,37,,,
Kazakh Ablai Khan University of International Relations and World Languages,,,,,42.8,,,
Kent State University,,,,,,30.9,22,21.3
Khazar University,,,,,38.7,,61.2,35.9
Khon Kaen University,,,,,,,,
King Faisal University,,,,,,,99.7,
King Mongkut's University of Technology Thonburi,,,,,,,,
Konkuk University,,,,,34.6,,,
Kuwait University,,,,,,,63,35.5
Lahore University of Management Sciences (LUMS),,,,42.9,,,,
Lobachevsky University,,,,,44.8,,,
Kyushu Institute of Technology,,,,,,,,
University of Lodz,,,,,,,,
Loyola University Chicago,,,,,32.2,,,
London South Bank University,,,,,,,,
Makerere University,,,,,,,,21.1
Manchester Metropolitan University,,,,,,,30.9,41.4
Marquette University,,,,,35.4,,,
Meiji University,,,,,,,,
Miami University,,,,,,,,
National Chengchi University,,,,,,,,
"National Technical University  ""Kharkiv Polytechnic Institute""",,,,,52.9,,,
New Jersey Institute of Technology (NJIT),,,,,,28.3,,65.6
Nicolaus Copernicus University,,,,,32,,,
Niigata University,,,,,55.1,,,
Nagoya Institute of Technology (NIT),,,,,,,,
Northumbria University at Newcastle,,,,,,,37.8,45.7
North-West University,,,,,,,,
Nottingham Trent University,,,,31.5,,,39.6,23.6
Novosibirsk State Technical University,,,,,,,,47.2
Ochanomizu University,,,,,,,,
Ohio University,,,,,,,,
Oklahoma State University,,,,,,22.4,,
Panjab University,,,,,,,,
Paris Lodron University of Salzburg,,,,,,,,92.1
Plekhanov Russian University of Economics,,,,,36.1,,,
Pontificia Universidad Católica del Ecuador (PUCE),,,,,32.7,,,
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),,,,,,,,
Prince of Songkla University,,,,,,,,
Baku Engineering University,,,,,,,75.4,
Quaid-i-Azam University,,,,,,48.3,,
Ritsumeikan University,,,,,,,28.2,
Ryerson University,,,,,,29.6,,
Saitama University,,,,,25.1,,,
Samara National Research University (Samara University),,,,,,,,
San Diego State University,,,,,,37.9,,
Seoul National University of Science and Technology,,,,,,,,
Institute of Technology Sepuluh Nopember,,,,,,,,
Shahid Beheshti University (SBU),,,,,,23.6,,
Shinshu University,,,,,,29.4,,
Smith College,,,,,44.5,,,35.8
Sophia University,,,,,,,,
Southern Methodist University,,,,,43.4,,,24.1
Southern Cross University,,,,,,,,
Sumy State University,,,,,54.3,,,47.5
Robert Gordon University,,,,,,,43.6,74.1
Tokai University,,,,,,,,
Texas Tech University,,,,,,,,
Tokyo University of Science,,,,,,30.1,,
Universidad Austral de Chile,,,,,,,17.6,
Universidad Autónoma de Nuevo León,,,,,,,,
Universidad Autónoma del Estado de México (UAEMex),,,,,,,,
Universidad Autónoma Metropolitana (UAM),,,,,,,,
Universidad de Castilla-La Mancha,,,,,,,,
Universidad de Guadalajara (UDG),,,,,29.8,,,
Universidad de la Habana,,,,,32.6,,,
Universidad de la República (UdelaR),,,,,28.4,,,
Universidad de las Américas Puebla (UDLAP),,,,32.2,,,40.6,
Universidad de los Andes - (ULA) Mérida,,,,,,,,
Universidad de Monterrey (UDEM),,,,,,,,
University of Murcia,,,,,,,,
Universidad de Oviedo,,,,,,,,
Universidad de Puerto Rico,,,,,,,,
Universidad San Francisco de Quito (USFQ),,,,,,,63.2,
Universidad de Talca,,,,,,,24.3,
Universidad de Valparaíso (UV),,,,,,,,
Universidad del Norte,,,,,,,,
Universidad del Rosario,,,,40.8,,,22.2,
Universidad del Valle,,,,,,,,
Universidad Diego Portales (UDP),,,,36.7,,,18.1,
Universidad Industrial de Santander - UIS,,,,,,,,
"ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica",,,,,,,,
Universidad Metropolitana,,,,,,,18,
Universidad Nacional Costa Rica,,,,,,,,
Universidad Nacional de Cuyo,,,,,,,,
Universidad Nacional de Mar del Plata,,,,,28.8,,,
Universidad Nacional de Tucumà¡n,,,,,,,,
Universidad Nacional del Sur,,,,,,,,
Universidad Nacional Mayor de San Marcos,,,,,,,,
Universidad Panamericana (UP),,,,,50.4,,,
Universidad Peruana Cayetano Heredia (UPCH),,,,,,,58.3,
Universidad Rey Juan Carlos,,,,,,,,23.8
Universidad Simón Bolívar (USB),,,,,,,,
Universidad Técnica Federico Santa María (USM),,,,37.8,,,17.8,
Universidad Tecnológica Nacional (UTN),,,,49.9,,,,
Universidade Católica Portuguesa - UCP,,,,45.6,,,,
Universidade da Coruña,,,,,30.8,,,
Universidade do Estado do Rio de Janeiro (UERJ),,,,,44.9,,,
Universidade Estadual de Londrina,,,,,43.5,,,
Universidade Federal da Bahia,,,,,44.9,,,
Universidade Federal de Santa Catarina,,,,,,,,
Universidade Federal de Santa Maria,,,,,,,,
Universidade Federal de Viçosa-UFV,,,,,35.6,,,
Universidade Federal do Ceará (UFC),,,,,,,,
Universidade Federal do Paraná - UFPR,,,,,,,,
Universidade Federal de Pernambuco (UFPE),,,,,,,,
Universidade Federal Fluminense,,,,,35.7,,,
Ca' Foscari University of Venice,,,,,,,19.4,
Catania University,,,,,,22.1,,
Universita' degli Studi di Ferrara,,,,,,54.7,,
University of Genoa,,,,,,21.7,,21
Università degli Studi di Perugia,,,,,,36.8,,
University of Siena,,,,,,22.2,,
University of Trieste,,,,,,,,
Università degli studi Roma Tre,,,,,,,,
University of Palermo,,,,,,,,
Universitas Muhammadiyah Surakarta,,,,,,,,
Université Charles-de-Gaulle Lille 3,,,,,,,56.3,
Université de Caen Basse-Normandie,,,,,,,,
Université de Cergy-Pontoise,,,,,,,28.8,33.1
University of  Lorraine,,,,,,,,42.1
Université de Nantes,,,,,,,,24.4
Université de Poitiers,,,,,,,,46.3
Université Jean Moulin Lyon 3,,,,,,,19.8,41.1
Université Lille 2 Droit et Santé,,,,,,,,
Université Lumière Lyon 2,,,,,,,23.9,37.4
Université Mohammed V de Rabat,,,,,,,,
Université Paris Ouest Nanterre La Défense,,,,,,,17.6,55.4
Universit Paul-Valery Montpellier 3,,,,,,,28.5,34.1
Université Toulouse 1 Capitole,,,,,,,42,72.7
Universiti Teknologi MARA - UiTM,,,,,28.4,,,
Universiti Utara Malaysia (UUM),,,,,,,54.9,55
University of Arkansas,,,,,,,,
University of Bahrain,,,,31.2,,,90.4,26.1
University of Bari,,,,,,,,
University of Belgrade,,,,,,,,
University of Brawijaya,,,,,,,,
University of Brescia,,,,,,48.9,,
University of Brighton,,,,,,,,
University of Bucharest,,,,39,,,,
University of Central Florida,,,,,,32,,
University of Central Lancashire,,,,,,,29.4,56.5
University of Colombo,,,,,,,,
University of Dhaka,,,,45.4,,,,
University of East London,,,,,,,81.5,93.7
University of Engineering & Technology (UET) Lahore,,,,,,,,
University of Ghana,,,,,,,,
University of Greenwich,,,,,,,72.7,96.3
University of Hertfordshire,,,,,,,59.7,83.8
University of Huddersfield,,,,,,,45.2,73.9
University of Karachi,,,,,,,,
University of Kufa,,,,,40.6,,,
The University of Lahore,,,,,,,,
University of Maribor,,,,,32.5,,,
University of Montana Missoula,,,,,,,,
University of Mumbai,,,,39.6,,,,
University of Nairobi,,,,,,,,
University of New England Australia,,,,,,25.3,,
University of Pécs,,,,,,,,
University of Pune,,,,,,,,
University of Salford,,,,,,,23.1,83.2
University of San Diego,,,,,25.3,,,
University of San Francisco,,,,,,,,50.4
University of Santo Tomas,,,,,,,,
University of Southern Queensland,,,,,,,68,63.2
University of the Pacific,,,,,37.4,,,
University of the Sunshine Coast,,,,,,,,
University of the Western Cape,,,,,,,38.8,
University of Tulsa,,,,,34.2,,,84.9
University of Wroclaw,,,,,25.5,,,
University of Wyoming,,,,,37.5,27.8,,
Université de Toulouse II-Le Mirail,,,,,,,22.4,59
Utah State University,,,,,,36.8,,
Verona University,,,,,,,,
University of Westminster,,,,,,,,
Vilnius Gediminas Technical University,,,,,29.7,,,23.2
Voronezh State University,,,,,36,,,
Vytautas Magnus University,,,,,,,21,
Universitatea de Vest din Timisoara /  West University of Timisoara,,,,,,,,
Yamaguchi University,,,,,56.4,,,
Yokohama National University,,,,,30.7,,,
"University of California, San Francisco",,,61.5,,100,71.9,43.3,
Karolinska Institutet,,,51.9,,99.4,88.7,83,86.1
Jawaharlal Nehru University,,,41.2,,44.2,,,
INSEAD,,,36.8,99.9,52.5,61.4,100,100
London Business School,,,33,100,,94.1,100,100
Weizmann Institute of Science,,,30.4,,100,100,,
Wroclaw University of Technology,,,,,,,,
Baylor College of Medicine,,,,31,100,35.8,,38.8
BI Norwegian Business School,,,,31,,,81.4,
Copenhagen Business School,,,,64.3,33,34.4,69.1,74.8
Cranfield University,,,,53.7,99.5,53.7,95.1,100
ESCP Europe - Paris,,,,78,,,100,99.9
ESSEC Business School,,,,88.7,,28.9,98,92.3
EBS Business School,,,,43,,,66.3,95.2
HEC Paris School of Management,,,,99.3,,58.2,100,100
King Abdullah University of Science & Technology,,,,,82.5,100,100,100
Stockholm School of Economics,,,,68.9,,63.4,88.7,50.6
Bocconi University,,,,98.1,,,30.4,31
Université de Technologie de Compiègne (UTC),,,,38.6,28.5,25.1,,53.2
