Rank,University,Fac_Stud
179,University of Virginia,70.9
180,Hankuk (Korea) University of Foreign Studies,70.7
181,Lincoln University,70.6
182,Universidad de Belgrano,70.3
183,King Abdulaziz University (KAU),70.3
184,Universität Jena,70.1
185,University of Colorado Boulder,70.1
186,Tulane University,69.6
187,University of Mississippi,69.4
188,The Chinese University of Hong Kong,69.3
189,Jawaharlal Nehru University,69.3
190,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,69
191,The Australian National University,68.9
192,Universidade Federal da Bahia,68.6
193,University of Florida,68.2
194,Kagoshima University,68
195,The National University of Science and Technology “MISiS”,67.8
196,KTH Royal Institute of Technology,67.7
197,Howard University,67.6
198,University of Hawai'i at Mañoa,67.6
199,University of Tartu,67.5
200,Peoples' Friendship University of Russia,67.4
201,Sultan Qaboos University,66.9
202,University of Liverpool,66.8
203,"University of California, San Diego (UCSD)",66.8
204,Cardiff University,66.8
205,Université Paris-Sud,66.4
206,Universidade do Estado do Rio de Janeiro (UERJ),66.4
207,The University of Sheffield,66.3
208,University of Oklahoma,65.8
209,The Hong Kong University of Science and Technology,65.8
210,Erasmus University Rotterdam,65.7
211,University of Aberdeen,65.3
212,Kobe University,65.2
213,London School of Economics and Political Science (LSE),65
214,National Chiao Tung University,64.9
215,Umm Al-Qura University,64.7
216,Universität Stuttgart,64.7
217,Pontificia Universidade Católica de São Paulo (PUC -SP),64.7
218,Technische Universität Braunschweig,64.6
219,McMaster University,64.6
220,University of Glasgow,64.4
221,Martin-Luther-Universität Halle-Wittenberg,64.3
222,New School University,64
223,University of Leicester,64
224,Tufts University,64
225,Yamaguchi University,63.6
226,Ajou University,63.5
227,University of Ulsan,63.5
228,Copenhagen Business School,63.4
229,Taipei Medical University,63.3
230,"University of Maryland, College Park",63.3
231,Vilnius University,62.9
232,University of Science and Technology of China,62.8
233,American University of Beirut (AUB),62.7
234,Niigata University,62.7
235,Boston University,62.5
236,King Khalid University,62.4
237,Université Panthéon-Assas (Paris 2),62.4
238,The University of Warwick,62.4
239,Gunma University,62.4
240,University of Geneva,62.3
241,"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",62.1
242,Universitat Politècnica de Catalunya,62.1
243,Universidad Carlos III de Madrid (UC3M),62
244,Newcastle University,61.8
244,Université Paul Sabatier Toulouse III,61.9
245,University of Oulu,61.4
246,Universidad de Buenos Aires (UBA),61.4
247,Fudan University,61.3
248,University of Oslo,61.3
249,The University of Nottingham,61.1
250,Sumy State University,60.8
251,Trinity College Dublin,60.7
252,University of Birmingham,60.4
253,Rheinische Friedrich-Wilhelms-Universitt Bonn,60.3
254,Radboud University,60
255,Auezov South Kazakhstan State University (SKSU),59.7
256,Institut National des Sciences Appliquées de Lyon (INSA),59.5
257,Albert-Ludwigs-Universitaet Freiburg,59.3
258,Kumamoto University,59
259,Universidad de Palermo (UP),58.8
260,Georgetown University,58.7
261,Lund University,58.1
262,University of Tampere,58
263,University of Leeds,57.9
264,University of Baghdad,57.6
265,Keio University,57.5
266,Kanazawa University,57.3
267,Universidade Federal Fluminense,57
268,Universidade Federal de Viçosa-UFV,56.9
269,Chonbuk National University,56.9
270,Xi’an Jiaotong University,56.9
271,Christian-Albrechts-University zu Kiel,56.8
272,University of Alberta,56.7
273,Virginia Commonwealth University,56.5
274,Osaka Prefecture University,56.2
275,University of New Mexico,56.2
276,Comenius University in Bratislava,55.8
277,China Medical University Taichung,55.8
278,University of New Hampshire,55.5
279,Universidad ANAHUAC,55.2
280,Université Catholique de Louvain (UCL),55.2
281,Dankook University,54.8
282,Karaganda State University named after academician E.A.Buketov,54.4
283,Plekhanov Russian University of Economics,54.3
284,University of Amsterdam,54.3
285,University of Washington,54.1
286,Westfälische Wilhelms-Universitat Münster,54
287,UNESP,53.8
288,Universität Bremen,53.7
289,Sabanci University,53.4
290,University of Gothenburg,53.4
291,National Taiwan Normal University,53.3
292,Qatar University,53.3
