RANK,Score,University,Column 3,Column 4
328,38.7,Virginia Polytechnic Institute and State University,,
329,38.5,Shanghai University,,
330,38.5,Karl-Franzens-Universitaet Graz,,
331,38.4,Kobe University,,
332,38.4,Friedrich-Alexander-Universität Erlangen-Nürnberg,,
333,38.2,University of Turin,,
334,38.1,INSEAD,,
335,38.1,Université Claude Bernard Lyon 1,,
336,37.9,University of Pretoria,,
337,37.8,Renmin (People’s) University of China,,
338,37.8,Université Paris Descartes,,
339,37.6,Laval University,,
340,37.5,Maastricht University,,
341,37.5,National Chiao Tung University,,
342,37.4,University of Twente,,
343,37.4,University of Strathclyde,,
344,37.2,Tongji University,,
345,37.2,King Fahd University of Petroleum & Minerals,,
346,37.2,"Indian Institute of Technology, Kharagpur",,
347,37.1,Florida State University,,
348,37,Dalhousie University,,
349,36.8,Sciences Po Paris,,
350,36.8,The American University in Cairo,,
351,36.7,University of East Anglia (UEA),,
352,36.6,Ruhr-Universität Bochum,,
353,36.5,Universidad Austral,,
354,36.4,Johannes Gutenberg Universität Mainz,,
355,36.4,Iowa State University,,
356,36.1,North Carolina State University,,
357,36.1,Universidad Católica Andres Bello,,
358,35.9,Chiang Mai University,,
359,35.9,Università Commerciale Luigi Bocconi,,
360,35.7,Universidade Nova de Lisboa,,
361,35.6,Université Paris Dauphine,,
362,35.6,Universität Bielefeld,,
363,35.5,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA,,
364,35.3,"Goldsmiths, University of London",,
365,35.1,Novosibirsk State University,,
366,34.9,American University,,
367,34.8,Universidade de Brasilia,,
368,34.8,Griffith University,,
369,34.8,University of Surrey,,
370,34.8,Taras Shevchenko National University of Kyiv,,
371,34.8,National Taiwan University of Science and Technology (Taiwan Tech),,
372,34.7,Bilkent University,,
373,34.7,Boston College,,
374,34.7,University of Salamanca,,
375,34.5,University of Dundee,,
376,34.4,The University of Georgia,,
377,34.4,Kasetsart University,,
378,34.4,King Abdulaziz University (KAU),,
379,34.4,"National University of Ireland, Galway",,
380,34.4,University of Navarra,,
381,34.3,Pusan National University,,
382,34.2,Technische Universität Darmstadt,,
383,34.1,Xiamen University,,
384,34,University of South Australia,,
385,34,Kyung Hee University,,
386,33.8,Hiroshima University,,
387,33.5,Aalborg University,,
388,33.4,UNESP,,
389,33.1,Xi’an Jiaotong University,,
390,33.1,Universidad Politècnica de València,,
391,33,National Technical University of Athens,,
392,32.9,Czech Technical University in Prague,,
393,32.8,University of Leicester,,
394,32.8,Università Cattolica del Sacro Cuore,,
395,32.8,Ateneo de Manila University,,
396,32.8,Universiti Teknologi Malaysia,,
397,32.7,University of Trento,,
398,32.7,National Sun Yat-sen University,,
399,32.6,Universidad de Concepción,,
400,32.6,Pontificia Universidad Católica de Valparaíso,,
