Citation,Research,University
94.5,98,"University of California, San Diego (UCSD)"
95.7,63.3,"University of California, Irvine"
96.1,83.9,Delft University of Technology
96.2,55.3,Indian Institute of Technology Delhi (IITD)
96.4,94,Northwestern University
96.5,37.5,National Chiao Tung University
96.6,81.9,Brown University
96.6,54.5,University of Basel
97.1,99.9,Cornell University
97.2,39.2,Weizmann Institute of Science
97.4,84.1,University of Minnesota
97.5,-,Sharif University of Technology
97.5,98.5,University of Texas at Austin
97.5,37.4,University of Twente
97.9,72.1,University of Science and Technology of China
98.1,-,Rensselaer Polytechnic Institute
98.2,97.7,University of Illinois at Urbana-Champaign
98.5,38.4,Friedrich-Alexander-Universität Erlangen-Nürnberg
98.8,99.9,ETH Zurich - Swiss Federal Institute of Technology
98.9,58,Tel Aviv University
99,43.2,London Business School
99.3,89.1,EPFL (Ecole Polytechnique Fédérale de Lausanne)
99.3,52.5,Indian Institute of Science (IISc) Bangalore
99.7,50.5,Rice University
99.8,65.2,National Tsing Hua University
99.9,43.8,University of Bern
99.9,100,Stanford University
99.9,100,"University of California, Berkeley (UCB)"
99.9,88.1,Carnegie Mellon University
100,-,King Abdullah University of Science & Technology
100,-,Gwangju Institute of Science and Technology (GIST)
100,99.8,California Institute of Technology (Caltech)
100,100,Princeton University
100,84.4,"University of California, Santa Barbara (UCSB)"
100,56.1,Pohang University of Science And Technology (POSTECH)
100,89.6,"Ecole normale supérieure, Paris"
100,100,Harvard University
100,100,Massachusetts Institute of Technology (MIT)
100,89.4,KAIST - Korea Advanced Institute of Science & Technology
