Rank,Teaching,University
156,70,Singapore Management University
157,69.8,Westfälische Wilhelms-Universitat Münster
158,69.5,University of Liverpool
159,69.5,University of Strathclyde
160,69.2,Lancaster University
161,69,Utrecht University
162,69,Loughborough University
163,68.8,Maastricht University
164,68.7,University of Alberta
165,68.7,Institut National des Sciences Appliquées de Lyon (INSA)
166,68.7,Czech Technical University in Prague
167,68.6,Universidad Autonoma de Madrid
168,68.3,Texas A&M University
169,68.3,University of Glasgow
170,68.2,University of Reading
171,68.2,University of St Andrews
172,67.8,Technische Universität Dresden
173,67.8,Universidad Católica Andres Bello
174,67.8,Hanyang University
175,67.6,University of Calgary
176,67.5,University of Cologne
177,67.5,Queen`s University at Kingston
178,67,Universidad de Belgrano
179,66.9,Indian Institute of Technology Madras (IITM)
180,66.8,Vrije Universiteit Amsterdam
181,66.5,Georgetown University
182,66.4,Kyushu University
183,65.6,Uppsala University
184,65.5,Bauman Moscow State Technical University
185,65.4,Universidad Austral
186,65.3,Dartmouth College
187,65.3,Universidad de Santiago de Chile (USACH)
188,65.3,University of Turku
189,65.1,University of Southern California
190,65,Corvinus University of Budapest
191,64.9,Pohang University of Science And Technology (POSTECH)
192,64.7,University of Helsinki
193,64.7,Hokkaido University
194,64.4,National Technical University of Athens
195,64.4,University of Warsaw
196,64.4,American University of Sharjah
197,64.1,Vrije Universiteit Brussel (VUB)
198,64.1,Universität Frankfurt am Main
199,64.1,Politecnico di Torino
200,64,University of Southampton
201,63.8,Aarhus University
202,63.7,Universidad Carlos III de Madrid (UC3M)
203,63.6,Macquarie University
204,63.6,Nanjing University
205,63.3,University of Aberdeen
206,63,Heriot-Watt University
207,62.9,Alma Mater Studiorum - University of Bologna
208,62.7,Freie Universitaet Berlin
209,62.6,Universität Stuttgart
210,62.4,University of the Philippines
211,62.3,American University in Dubai
212,62.3,Universite libre de Bruxelles
213,62.3,The University of Western Ontario
214,62.1,University of Wisconsin-Madison
215,62,"University of California, Davis"
216,61.7,"Indian Institute of Technology, Kharagpur"
217,61.3,University of Indonesia
218,60.7,University College Cork
219,60.6,Linköping University
220,60.6,University of Cape Town
221,60.3,Kyung Hee University
222,60.2,"University of Economics, Prague"
223,60.2,McMaster University
224,59.8,Hitotsubashi University
225,59.7,Indian Institute of Technology Kanpur (IITK)
226,59.6,The Hong Kong Polytechnic University
227,59.5,Michigan State University
228,59.3,"The University of Newcastle, Australia (UoN)"
229,59.1,"Kingston University, London"
230,59.1,EBS Business School
231,59,Chulalongkorn University
232,59,Bandung Institute of Technology (ITB)
233,58.5,Aalto University
234,58.5,University of Groningen
235,58.4,Victoria University of Wellington
236,58.3,Instituto Tecnológico Autónomo de México (ITAM)
237,58,Nagoya University
238,57.9,University of South Australia
239,57.9,University of Vienna
240,57.8,University of Canterbury
241,57.7,Middle East Technical University
242,57.6,Aalborg University
243,57.4,The Ohio State University
244,57.4,Queen Mary University of London
245,57.3,Eindhoven University of Technology
246,56.8,Universiti Malaya (UM)
247,56.6,Queen's University Belfast
248,56.6,Cranfield University
249,56.4,Istanbul Technical University
250,56.1,Universidad Iberoamericana (UIA)
251,55.9,Warsaw University of Technology
252,55.9,Concordia University
253,55.9,Charles University in Prague
254,55.8,University of Washington
255,55.8,Brno University of Technology
256,55.7,University of Mumbai
257,55.7,Boston College
258,55.4,University Hamburg
259,55.3,Ateneo de Manila University
260,55.3,WHU - Otto Beisheim School of Management
261,55.3,TU Dortmund University
262,55.2,Leiden University
263,55.2,Ain Shams University
264,55.1,Universidad Tecnológica Nacional (UTN)
265,55,University of Lausanne
266,55,Indiana University Bloomington
267,54.9,Ghent University
268,54.7,University of Bucharest
269,54.5,Instituto Tecnológico de Buenos Aires (ITBA)
270,54.5,Deakin University
271,54.4,Sapienza University of Rome
272,54.3,Curtin University
273,54.1,University of Dhaka
274,53.9,Tilburg University
275,53.8,University of Otago
276,53.8,University of Jordan
277,53.7,Politécnica de Madrid
278,53.5,Aston University
279,52.9,Norwegian University of Science And Technology
280,52.9,Technical University of Denmark
281,52.8,Athens University of Economics and Business
282,52.6,Renmin (People’s) University of China
283,52.5,Bogaziçi Üniversitesi
284,52.3,Université Pierre et Marie Curie (UPMC)
285,51.8,Jordan University of Science & Technology
286,51.7,Universidade Nova de Lisboa
287,51.7,King Fahd University of Petroleum & Minerals
288,51.6,University of Colorado Boulder
289,51.4,Instituto Politécnico Nacional (IPN)
290,51.4,Eberhard Karls Universität Tübingen
291,51.2,Jagiellonian University
292,51.1,De La Salle University
293,50.8,Stockholm University
294,50.8,Universidad ANAHUAC
295,50.8,Universidad Externado de Colombia
296,50.8,George Washington University
297,50.7,City University of Hong Kong
298,50.4,Lahore University of Management Sciences (LUMS)
299,50.2,Universidad Nacional de Córdoba - UNC
300,50,Universidad de Palermo (UP)
301,49.7,University of Virginia
302,49.7,Sogang University
303,49.6,University of Waikato
304,49.5,York University
305,49,National Tsing Hua University
306,49,Dublin City University
307,49,Universidad de San Andrés - UdeSA
308,49,Northeastern University
309,48.9,Brigham Young University
310,48.7,Pontificia Universidade Católica de São Paulo (PUC -SP)
311,48.7,University of Science and Technology of China
312,48.7,Beijing Normal University
313,48.6,University of Pretoria
314,48.3,Pontificia Universidad Católica del Perú
315,48.3,University of Basel
316,48.2,Universidad de La Sabana
317,48.2,University of Notre Dame
318,47.9,Universidad de Costa Rica
319,47.9,Griffith University
320,47.9,Moscow State Institute of International Relations (MGIMO University)
321,47.9,Tel Aviv University
