Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Sampoorna, M.",142,Indian Institute of Astrophysics,24,0.4,197,100.0
"Kanekar, N.",144,Tata Institute of Fundamental Research,9,1.18,196,88.89
"Modak, Sujoy Kumar",144,SN Bose National Centre for Basic Science,5,2.26,196,100.0
"Mohan, V.",146,Inter-University Centre for Astronomy & Astrophysics,14,0.71,194,100.0
"Thongkool, I.",146,Jamia Millia Islamia,5,1.53,194,100.0
"Dadhich, Naresh",148,Inter-University Centre for Astronomy & Astrophysics,22,0.67,192,95.45
"Kothawala, Dawood",149,Inter-University Centre for Astronomy & Astrophysics,5,1.88,188,100.0
"Ray, Alak",149,Tata Institute of Fundamental Research,15,0.69,188,100.0
"Shaw, G.",151,Tata Institute of Fundamental Research,4,0.96,187,100.0
"Kohli, J. M.",151,Panjab University,4,3.41,187,100.0
"Soma, A. K.",151,Banaras Hindu University,5,2.82,187,100.0
"Das, Upasana",154,Indian Institute of Science (IISC) - Bangalore,12,1.34,186,100.0
"Choudhury, T. Roy",154,Tata Institute of Fundamental Research,13,1.36,186,100.0
"Naik, Sachindra",154,Physical Research Laboratory - India,21,0.45,186,90.48
"Mohanty, Subhendra",157,Physical Research Laboratory - India,17,0.71,183,100.0
"Sharma, Prateek",157,Indian Institute of Science (IISC) - Bangalore,12,1.34,183,100.0
"Srianand, Raghunathan",159,Inter-University Centre for Astronomy & Astrophysics,18,0.75,182,94.44
"Tripathi, Durgesh",159,Inter-University Centre for Astronomy & Astrophysics,16,0.86,182,100.0
"Sen, A. K.",161,Assam University,19,0.49,181,89.47
"Sharma, A.",161,Panjab University,3,4.52,181,100.0
Gopal-Krishna,161,Tata Institute of Fundamental Research,21,0.43,181,95.24
"Mehta, M. Z.",161,Panjab University,3,4.52,181,100.0
"Saini, L. K.",161,Panjab University,3,4.52,181,100.0
"Singh, J. B.",166,Panjab University,4,5.39,178,100.0
"Ishwara-Chandra, C. H.",166,Tata Institute of Fundamental Research,20,0.63,178,90.0
"Saha, S.",168,Saha Institute of Nuclear Physics,1,11.8,175,100.0
"Das, H. K.",168,Inter-University Centre for Astronomy & Astrophysics,8,1.86,175,100.0
"Ghosh, Sushant G.",170,Jamia Millia Islamia,17,0.77,174,100.0
"Rao, N. Kameswara",170,Indian Institute of Astrophysics,13,0.67,174,100.0
"Govindarajan, T. R.",170,Institute of Mathematical Sciences (IMSc) India,6,1.64,174,100.0
"Maheswar, G.",173,Aryabhatta Research Institute of Observational Sciences,17,0.49,173,100.0
"Lakhina, Gurbax S.",174,Indian Institute of Geomagnetism,9,1.23,172,100.0
"Ganesh, S.",174,Physical Research Laboratory - India,14,0.53,172,92.86
"Chandra, R.",174,Kumaun University,15,1.05,172,100.0
"Kathiravan, C.",177,Indian Institute of Astrophysics,19,0.48,171,100.0
"Ghosh, Dilip Kumar",178,Indian Association for the Cultivation of Science,11,1.35,169,90.91
"Ghosh, Dilip Kumar",178,Indian Association for the Cultivation of Science (IACS) - Jadavpur,11,1.35,169,90.91
"Uddin, W.",180,Aryabhatta Research Institute of Observational Sciences,7,1.2,168,100.0
"Singh, L.",180,Banaras Hindu University,6,2.74,168,100.0
"Subramaniam, A.",180,Indian Institute of Astrophysics,11,0.78,168,100.0
"Chakrabarti, S. K.",180,SN Bose National Centre for Basic Science,11,0.75,168,100.0
"Joshi, V.",184,Physical Research Laboratory - India,5,3.27,167,100.0
"Patra, Sudhanwa",184,Siksha 'O' Anusandhan University,6,3.72,167,100.0
"Nandy, Dibyendu",186,Indian Institute of Science Education & Research (IISER) - Kolkata,10,1.15,166,100.0
"Gupta, G. R.",186,Indian Institute of Science (IISC) - Bangalore,8,0.83,166,100.0
"Gupta, G. R.",186,Indian Institute of Astrophysics,8,0.83,166,100.0
"Kembhavi, Ajit K.",189,Inter-University Centre for Astronomy & Astrophysics,13,0.6,165,100.0
"Pandey, J. C.",189,Aryabhatta Research Institute of Observational Sciences,19,0.44,165,94.74
"Jain, Deepak",191,University of Delhi,10,0.77,164,100.0
"Gupta, Kumar S.",192,Saha Institute of Nuclear Physics,7,1.17,163,100.0
"Sivarani, T.",193,Indian Institute of Astrophysics,3,2.27,161,100.0
"Venkataraman, V.",193,Physical Research Laboratory - India,6,2.69,161,100.0
"Mishra, C.",195,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,8,2.23,157,100.0
"Dwarakanath, K. S.",196,Raman Research Institute,20,0.62,156,95.0
"Singh, Harinder P.",197,University of Delhi,22,0.49,155,95.45
"Singh, M. K.",197,Banaras Hindu University,5,2.89,155,100.0
"Gupta, A. C.",199,Aryabhatta Research Institute of Observational Sciences,10,1.03,154,100.0
"Singh, T. P.",199,Tata Institute of Fundamental Research,10,0.81,154,90.0
"Saripalli, L.",199,Raman Research Institute,11,0.65,154,100.0
"Malu, S. S.",202,Raman Research Institute,1,7.07,151,100.0
"Bagchi, J.",202,Inter-University Centre for Astronomy & Astrophysics,7,1.21,151,100.0
"Roshi, A.",204,Raman Research Institute,6,1.43,150,100.0
"Prabu, Thiagaraj",204,Raman Research Institute,7,1.86,150,100.0
"Chowdhury, Partha",206,University of Calcutta,12,0.69,149,100.0
"Jindal, M.",207,Panjab University,2,5.53,148,100.0
"Choudhury, R. K.",207,Bhabha Atomic Research Center,2,5.53,148,100.0
"Singh, S. P.",207,Panjab University,2,5.53,148,100.0
"Banerjee, S.",210,Tata Institute of Fundamental Research,7,2.71,147,71.43
"Goswami, Srubabati",210,Physical Research Laboratory - India,7,1.43,147,100.0
"Kumar, Pankaj",210,Aryabhatta Research Institute of Observational Sciences,4,1.49,147,100.0
"Ghosh, Amit",213,Saha Institute of Nuclear Physics,8,1.38,146,100.0
"Hasan, S. S.",213,Indian Institute of Astrophysics,8,0.78,146,100.0
"Tiwari, Sanjiv Kumar",215,Physical Research Laboratory - India,9,0.67,145,100.0
"Jhingan, Sanjay",216,Jamia Millia Islamia,15,0.64,144,86.67
"Singh, S. V.",216,Indian Institute of Geomagnetism,7,0.98,144,100.0
"Burse, Mahesh P.",218,Inter-University Centre for Astronomy & Astrophysics,6,2.15,143,100.0
"Joshi, U. C.",218,Physical Research Laboratory - India,11,0.5,143,90.91
"Kumar, Brajesh",220,Aryabhatta Research Institute of Observational Sciences,10,0.98,142,100.0
"Bhattacharya, D.",221,Inter-University Centre for Astronomy & Astrophysics,14,0.51,141,92.86
"Sengupta, Soumitra",221,Indian Association for the Cultivation of Science,24,0.39,141,91.67
"Sengupta, Soumitra",221,Indian Association for the Cultivation of Science (IACS) - Jadavpur,24,0.39,141,91.67
"Samanta, Saurav",221,SN Bose National Centre for Basic Science,1,6.31,141,100.0
"Sharan, M.",225,Saha Institute of Nuclear Physics,3,6.29,140,100.0
"Ravindran, Sudha",226,Vikram Sarabhai Space Center (VSSC),15,0.43,139,100.0
"Ravindra, B.",226,Indian Institute of Astrophysics,25,0.37,139,84.0
"Raychaudhuri, Amitava",228,University of Calcutta,11,0.9,138,100.0
"Kuriakose, V. C.",229,Cochin University Science & Technology,25,0.44,137,88.0
"Singh, K. P.",230,Tata Institute of Fundamental Research,26,0.31,136,76.92
"Bhardwaj, A.",231,Vikram Sarabhai Space Center (VSSC),11,0.71,135,100.0
"Singh, V.",231,Banaras Hindu University,3,3.26,135,100.0
"Singh, A. K.",233,Banaras Hindu University,22,0.37,133,77.27
"Pathan, B. M.",233,Indian Institute of Geomagnetism,10,0.68,133,80.0
"Anusha, L. S.",235,Indian Institute of Astrophysics,12,0.5,132,100.0
"Sharma, Saurabh",235,Aryabhatta Research Institute of Observational Sciences,11,0.56,132,100.0
"Ambastha, A.",237,Physical Research Laboratory - India,10,0.66,131,90.0
"Acharyya, Kinsuk",237,SN Bose National Centre for Basic Science,6,1.1,131,100.0
"Durgapal, A. K.",239,Kumaun University,3,1.9,130,100.0
"Yadav, R. K. S.",239,Aryabhatta Research Institute of Observational Sciences,12,0.53,130,91.67
"Joy, Minu",241,Inter-University Centre for Astronomy & Astrophysics,2,2.96,129,100.0
"Das, R. K.",242,Physical Research Laboratory - India,6,0.83,128,100.0
"Ali, Amna",242,Jamia Millia Islamia,4,1.67,128,100.0
"Singh, Jagdev",244,Indian Institute of Astrophysics,19,0.33,127,84.21
"Joshipura, Anjan S.",244,Physical Research Laboratory - India,6,1.52,127,100.0
"Oberoi, Divya",244,Tata Institute of Fundamental Research,5,2.26,127,100.0
"Varadarajan, Madhavan",247,Raman Research Institute,6,1.13,126,100.0
"Srivastava, Nandita",248,Physical Research Laboratory - India,14,0.63,125,100.0
"Misra, Ranjeev",249,Inter-University Centre for Astronomy & Astrophysics,20,0.35,124,80.0
"Subramanian, S.",249,Indian Institute of Astrophysics,6,1.2,124,100.0
"Baliyan, K. S.",251,Physical Research Laboratory - India,12,0.5,123,91.67
"Iyer, K. N.",251,Saurashtra University,8,0.71,123,75.0
"Vemareddy, P.",251,Physical Research Laboratory - India,7,1.03,123,100.0
"Sarkar, Sudipta",254,Inter-University Centre for Astronomy & Astrophysics,3,1.95,122,100.0
"Murthy, Jayant",254,Indian Institute of Astrophysics,27,0.24,122,81.48
"Dwivedi, Bhola N.",256,Banaras Hindu University,12,0.44,121,83.33
"Parihar, P. S.",257,Indian Institute of Astrophysics,3,1.59,120,100.0
"Roychowdhury, Sambit",258,Tata Institute of Fundamental Research,6,0.87,119,100.0
"Rani, Bindu",259,Aryabhatta Research Institute of Observational Sciences,4,1.0,118,100.0
"Guchait, Monoranjan",260,Tata Institute of Fundamental Research,8,1.09,117,100.0
"Sahu, Narendra",260,Indian Institute of Technology (IIT) - Hyderabad,5,2.13,117,100.0
"Manoj, P.",262,Tata Institute of Fundamental Research,7,1.71,116,100.0
"Gaur, Naveen",262,University of Delhi,2,3.37,116,100.0
