Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Ramachandra, B. S.",2750,Indian Institute of Astrophysics,1,0.15,3,100.0
"Kajuri, Nirmalya",2750,Institute of Mathematical Sciences (IMSc) India,1,0.25,3,100.0
"Srivastava, V. K.",2750,Indian Institute of Technology (Indian School of Mines) Dhanbad,1,0.61,3,100.0
"Mondal, S.",2750,Aryabhatta Research Institute of Observational Sciences,2,0.06,3,100.0
"Ganesan, Vidhya",2750,Indian Institute of Astrophysics,1,0.46,3,100.0
"Roy, Saswati",2750,Assam University,1,0.42,3,100.0
"Modgil, Moninder Singh",2750,Indian Institute of Technology (IIT) - Kanpur,1,0.2,3,100.0
"Dhara, Surajit",2750,University of Hyderabad,1,0.97,3,100.0
"Srinivasan, M. Arunachalam",2750,Sri Venkateswara University,1,0.37,3,100.0
"Naidu, Arun",2750,Tata Institute of Fundamental Research,1,0.42,3,100.0
"Paulson, Sonu Tabitha",2750,University of Madras,1,0.46,3,100.0
"Gajjar, Vishal",2750,Tata Institute of Fundamental Research,2,0.11,3,100.0
"Devi, E. Savithri",2750,Mahatma Gandhi University,1,0.16,3,100.0
"Chaudhary, Kalpana",2750,Banaras Hindu University,1,0.15,3,100.0
"Lotekar, Ajay",2750,University of Mumbai,1,0.29,3,100.0
"Merchant, S. N.",2750,Indian Institute of Technology (IIT) - Bombay,1,0.26,3,100.0
"Dewangan, G.",2750,Inter-University Centre for Astronomy & Astrophysics,1,0.42,3,100.0
"Mittal, Vikas",2750,National Institute of Technology Kurukshetra,1,0.63,3,100.0
"Venkatesham, K.",2750,Indian Institute of Geomagnetism,1,0.42,3,100.0
"Lakshmi, G. V. Vijaya",2750,Andhra University,3,0.12,3,66.67
"Biswas, Ritabrata",2750,Indian Institute of Engineering Science Technology Shibpur (IIEST),2,0.13,3,100.0
"Husain, Akmal",2750,Banaras Hindu University,1,0.14,3,100.0
"Kalita, Nibedita",2750,Gauhati University,1,0.42,3,100.0
"Kalita, Nibedita",2750,Aryabhatta Research Institute of Observational Sciences,1,0.42,3,100.0
"Choudhary, Arpita",2750,Lucknow University,1,0.33,3,100.0
"Tiwary, Rishikesh Dutta",2750,Indian Institute of Technology (Indian School of Mines) Dhanbad,1,0.42,3,100.0
"Devi, Minakshi",2750,Gauhati University,1,0.37,3,100.0
"Venugopal, Chandu",2750,Mahatma Gandhi University,3,0.13,3,66.67
"Srivastava, Vineet K.",2750,Indian Institute of Technology (Indian School of Mines) Dhanbad,1,0.63,3,100.0
"Ramachandra, T. V.",2750,Indian Institute of Science (IISC) - Bangalore,1,0.26,3,100.0
"Bhattacharjee, C.",2750,Assam University,1,0.14,3,100.0
"Sett, S.",2750,University of Calcutta,1,0.17,3,100.0
"Choudary, Sayantan",2750,Indian Statistical Institute Kolkata,1,0.18,3,100.0
"Islam, Sayeedul",2750,Jadavpur University,1,0.42,3,100.0
"Prasanna, A. R.",2750,Physical Research Laboratory - India,1,0.15,3,100.0
"Gokani, Sneha A.",2750,Indian Institute of Geomagnetism,1,0.42,3,100.0
"Bose, Smarajit",2750,Indian Statistical Institute Kolkata,1,0.26,3,100.0
"Mandal, B. N.",2750,Indian Statistical Institute Kolkata,2,0.08,3,50.0
"Sahayanathan, Sunder",2750,Bhabha Atomic Research Center,1,0.26,3,100.0
"Faisal, Mohammad",2750,Lucknow University,1,0.12,3,100.0
"Kannan, B. A. M.",2750,India Meteorological Department (IMD),1,0.17,3,100.0
"Abraham, Noble P.",2750,Mahatma Gandhi University,3,0.13,3,66.67
"Sharma, Rachana",2750,Indian Institute of Technology (IIT) - Roorkee,1,0.4,3,100.0
"Rao, J. V. S. V.",2750,Indian Institute of Astrophysics,1,0.11,3,100.0
"Mukherjee, R.",2750,Physical Research Laboratory - India,1,0.42,3,100.0
"Armas, Jay",2750,Tata Institute of Fundamental Research,1,0.18,3,100.0
"Lal, S.",2750,Physical Research Laboratory - India,1,0.16,3,100.0
"Sanfui, Minu",2750,University of Calcutta,1,0.14,3,100.0
"Tripathi, Sachchida Nand",2750,Indian Institute of Technology (IIT) - Kanpur,2,0.08,3,100.0
"Sen, Abhijit",2750,Institute for Plasma Research (IPR),1,0.63,3,100.0
Hameeda,2750,University of Kashmir,1,0.12,3,100.0
Hameeda,2750,Inter-University Centre for Astronomy & Astrophysics,1,0.12,3,100.0
"Mitra, Subhadip",2750,International Institute of Information Technology Hyderabad,1,0.46,3,100.0
"Nazir, Aasifa",2750,University of Kashmir,1,0.14,3,100.0
"Khadekar, G. S.",2750,Rashtrasant Tukadoji Maharaj Nagpur University,3,0.19,3,66.67
"Devi, A. Sumati",2750,Manipur University,2,0.06,3,50.0
"Tripathi, S.",2750,Inter-University Centre for Astronomy & Astrophysics,1,0.42,3,100.0
"Tavanfar, Alireza",2750,Tata Institute of Fundamental Research,1,0.21,3,100.0
"Sarma, J. K.",2750,Tezpur University,1,0.42,3,100.0
"Sengupta, Sandipan",2750,Raman Research Institute,1,0.29,3,100.0
"Dhal, S.",2750,Birla Institute of Technology Science,1,0.2,3,100.0
"Venketswarlu, S.",2750,India Meteorological Department (IMD),1,0.17,3,100.0
"Satyanarayana, K.",2750,Osmania University,1,0.26,3,100.0
"Bhattacharyya, Archana",2750,Indian Institute of Geomagnetism,1,0.42,3,100.0
"Bhonsle, R. V.",2750,Shivaji University,3,0.09,3,66.67
"Sudha, V. Jaya",2750,Andhra University,1,0.42,3,100.0
"Rastogi, R. G.",2750,Physical Research Laboratory - India,1,0.12,3,100.0
"Jain, Ruchika",2750,Banasthali Vidyapith,2,0.13,3,100.0
"Deb, Argha",2750,Jadavpur University,1,0.29,3,100.0
"Shah, Urmi",2750,Osmania University,1,0.11,3,100.0
"Das, J.",2750,Indian Statistical Institute Kolkata,1,0.17,3,100.0
"Chakradhari, N. K.",2750,Indian Institute of Astrophysics,1,0.11,3,100.0
"Muthu, C.",2750,Aryabhatta Research Institute of Observational Sciences,1,0.1,3,100.0
"Mukherjee, S.",2750,Indian Institute of Technology (IIT) - Kharagpur,1,0.26,3,100.0
"Samanta, G. C.",2750,Birla Institute of Technology Science,1,0.2,3,100.0
"Devi, Y. Bembem",2750,Manipur University,1,0.2,3,100.0
"Kumar, G. Kishore",2750,Sri Venkateswara University,1,0.13,3,100.0
"Suresh, R.",2750,India Meteorological Department (IMD),1,0.37,3,100.0
"Zuhail, K. P.",2750,University of Hyderabad,1,0.97,3,100.0
"Mhaskey, Mukul",2750,Tata Institute of Fundamental Research,2,0.08,3,100.0
"Singh, Nishant K.",2750,Indian Institute of Science (IISC) - Bangalore,1,0.42,3,100.0
"Singh, Nishant K.",2750,Raman Research Institute,1,0.42,3,100.0
"Prasad, B. R.",2750,Indian Institute of Astrophysics,2,0.07,3,100.0
"Roy, Rakesh",2750,National Institute of Technology Agartala,3,0.13,3,66.67
"Ghosh, Dipak",2750,Jadavpur University,2,0.15,3,50.0
"Noterdaeme, Pasquier",2750,Inter-University Centre for Astronomy & Astrophysics,1,0.04,3,100.0
"Srinivas, V. Satya",2750,Osmania University,1,0.26,3,100.0
"Sen, G. K.",2750,Jadavpur University,1,0.17,3,100.0
"Ambastha, Ashok",2750,Physical Research Laboratory - India,3,0.04,3,66.67
"Sharma, Som",2750,Physical Research Laboratory - India,1,0.16,3,100.0
"Dutta, Parikshit",2750,Indian Institute of Technology (IIT) - Kanpur,1,0.16,3,100.0
"Buragohain, Mridusmita",2750,Tezpur University,1,0.42,3,100.0
"Renuka, G.",2750,University of Kerala,2,0.08,3,50.0
"Babu, A. Narendra",2750,Sri Venkateswara University,1,0.13,3,100.0
"Nadkarni-Ghosh, Sharvari",2750,National Centre for Biological Sciences (NCBS),1,0.2,3,100.0
"Nagarajan, Nandini",2750,Council of Scientific & Industrial Research (CSIR) - India,1,0.1,3,100.0
"Nagarajan, Nandini",2750,National Geophysical Research Institute - India,1,0.1,3,100.0
"Bhasin, Lalita",2750,Lucknow University,1,0.12,3,100.0
"Krishna, G.",2750,University of Pune,1,0.11,3,100.0
"Koul, Maharaj Krishna",2750,Bhabha Atomic Research Center,1,0.26,3,100.0
"Charan, Kali",2750,Kumaun University,2,0.18,3,100.0
"Bhattacharya, A.",2750,Physical Research Laboratory - India,1,0.16,3,100.0
"Das Gupta, Srirupa",2750,Saha Institute of Nuclear Physics,1,0.13,3,100.0
"Mondal, Arindam",2750,Jadavpur University,1,0.29,3,100.0
"Saha, L. M.",2750,University of Delhi,1,0.11,3,100.0
"Kaur, R.",2750,Aryabhatta Research Institute of Observational Sciences,1,0.12,3,100.0
"Chattopadhyay, Asis Kumar",2750,Indian Statistical Institute Kolkata,1,0.11,3,100.0
"Mahulikar, Shripad P.",2750,Indian Institute of Technology (IIT) - Bombay,1,0.16,3,100.0
"Kulshrestha, Shivali",2750,Jai Narain Vyas University Jodhpur,1,0.63,3,100.0
"Patidar, V.",2750,Indian Institute of Technology (IIT) - Bombay,1,0.42,3,100.0
"Basu, Chinmay",2750,Saha Institute of Nuclear Physics,1,0.19,3,100.0
"Bhaskar, M. K.",2750,Jai Narain Vyas University Jodhpur,1,0.63,3,100.0
"Ahluwalia, Dharam Vir",2750,Indian Institute of Technology (IIT) - Kanpur,1,0.26,3,100.0
"Char, Prasanta",2750,Saha Institute of Nuclear Physics,1,0.42,3,100.0
"Mishra, Sanjay",2750,Institute for Plasma Research (IPR),1,0.63,3,100.0
"Venkataratnam, K. K.",2750,University of Hyderabad,3,0.04,3,66.67
"Chattopadhyay, Goutami",2750,University of Calcutta,1,0.14,3,100.0
"Kumar, Uttam",2750,Indian Institute of Science (IISC) - Bangalore,1,0.26,3,100.0
"Saini, L. M.",2750,National Institute of Technology Kurukshetra,1,0.63,3,100.0
"Vadawale, S.",2750,Physical Research Laboratory - India,1,0.15,3,100.0
"Mukhopadhyay, Chiranjit",2750,Indian Institute of Science (IISC) - Bangalore,1,0.26,3,100.0
"Chakrabarti, Soumya",2750,Indian Institute of Science Education & Research (IISER) - Kolkata,1,0.26,3,100.0
"Samuel, George",2750,Mahatma Gandhi University,1,0.16,3,100.0
"Sarkar, Anjishnu",2750,Physical Research Laboratory - India,1,0.23,3,100.0
"Das, A. C.",2750,Physical Research Laboratory - India,3,0.04,3,33.33
"Ahmed, K.",2750,Indian Institute of Geomagnetism,1,0.12,3,100.0
"Das, Ashok",2750,Saha Institute of Nuclear Physics,4,0.03,3,25.0
"Kaur, Bhavneet",2750,University of Delhi,3,0.06,3,66.67
"Ghosh, Tanwi",2750,Saha Institute of Nuclear Physics,1,0.2,3,100.0
"Pandita, P. N.",2750,Indian Institute of Science (IISC) - Bangalore,1,0.46,3,100.0
"Maurya, Ram Ajor",2750,Physical Research Laboratory - India,2,0.06,3,100.0
"Gupta, V.",2750,Aligarh Muslim University,1,0.12,3,100.0
"Goyal, Ashok",2750,University of Delhi,1,0.13,3,100.0
"Nayak, Alekha Chandra",2750,Indian Institute of Technology (IIT) - Kanpur,1,0.26,3,100.0
"Kumar, Anand",2750,Indian Institute of Technology (IIT) - Roorkee,1,0.4,3,100.0
"De, Soumen",2750,Indian Statistical Institute Kolkata,1,0.17,3,100.0
"Haloi, A.",2750,Tezpur University,1,0.42,3,100.0
"Joshi, Yogesh C.",2750,Aryabhatta Research Institute of Observational Sciences,1,0.42,3,100.0
"Banik, Sarmistha",2750,Bhabha Atomic Research Center,1,0.15,3,100.0
"Sharma, M.",2750,Jiwaji University,3,0.09,3,33.33
"Jayapal, R.",2750,Mahatma Gandhi University,1,0.16,3,100.0
"Uberoi, Chanchal",2750,Indian Institute of Science (IISC) - Bangalore,1,0.17,3,100.0
"Swamy, K. C. T.",2750,Osmania University,1,0.26,3,100.0
"Nayak, Jitadeepa",2750,Indian Statistical Institute Kolkata,1,0.26,3,100.0
"Kaw, Predhiman",2750,Institute for Plasma Research (IPR),1,0.63,3,100.0
"Banyal, Ravinder K.",2750,Indian Institute of Astrophysics,1,0.14,3,100.0
"Adhikari, Sucheta",2750,Saha Institute of Nuclear Physics,1,0.19,3,100.0
"Jain, S. L.",2750,University of Rajasthan,1,0.42,3,100.0
"Pal, Barun Kumar",2750,Indian Statistical Institute Kolkata,5,0.04,3,60.0
"Sharma, Mradul",2750,Bhabha Atomic Research Center,1,0.26,3,100.0
"Choudhury, Rumpa",2750,University of Calicut,1,0.12,3,100.0
"Tiwari, Sanat",2750,Institute for Plasma Research (IPR),1,0.63,3,100.0
"Rao, Mayuri Sathyanarayana",2750,Raman Research Institute,1,0.42,3,100.0
"Pandey, Kanhaiya L.",2750,Tata Institute of Fundamental Research,1,0.42,3,100.0
"Pranav, Pratyush",2750,Indian Institute of Science (IISC) - Bangalore,1,0.12,3,100.0
"Jingade, Naveen",2750,Indian Institute of Science (IISC) - Bangalore,1,0.42,3,100.0
"Diwakar, A. K.",2750,Pt. Ravishankar Shukla University,2,0.07,3,100.0
"Chattopadhyay, S.",2750,Indian Institute of Engineering Science Technology Shibpur (IIEST),1,0.26,3,100.0
"Dutta, Sukanta",2750,University of Delhi,1,0.13,3,100.0
"Banerjee, Sambaran",2750,Tata Institute of Fundamental Research,1,0.11,3,100.0
"Madhav, Vaibhav P.",2931,Tata Institute of Fundamental Research,1,0.09,2,100.0
"Saha, Satyajit",2931,Saha Institute of Nuclear Physics,1,0.31,2,100.0
"Catherine, J. K.",2931,Council of Scientific & Industrial Research (CSIR) - India,1,0.28,2,100.0
"Catherine, J. K.",2931,National Geophysical Research Institute - India,1,0.28,2,100.0
"Chaubey, U. S.",2931,Aryabhatta Research Institute of Observational Sciences,1,0.08,2,100.0
"Jain, B. K.",2931,University of Mumbai,1,0.16,2,100.0
"Sarkar, Sreemoyee",2931,Saha Institute of Nuclear Physics,1,0.15,2,100.0
"Sahay, A.",2931,Indian Institute of Technology (Indian School of Mines) Dhanbad,1,0.17,2,100.0
"Priya, D. Shanti",2931,Osmania University,1,0.13,2,100.0
"Sharma, S. K.",2931,SN Bose National Centre for Basic Science,1,0.08,2,100.0
"Gajbhiye, S. C.",2931,Indian Institute of Technology (IIT) - Roorkee,1,0.24,2,100.0
"Mazumdar, Arindam",2931,Saha Institute of Nuclear Physics,1,0.31,2,100.0
"Kala, D.",2931,University of Calcutta,1,0.17,2,100.0
"Roy, A. K.",2931,Indian Statistical Institute Kolkata,1,0.08,2,100.0
"Panda, Srikumar",2931,Indian Institute of Technology (IIT) - Ropar,1,0.27,2,100.0
"Sreenivasan, Binod",2931,Indian Institute of Science (IISC) - Bangalore,1,0.44,2,100.0
"Shukla, K. K.",2931,Banaras Hindu University,1,0.17,2,100.0
"Minwalla, Shiraz",2931,Tata Institute of Fundamental Research,1,0.08,2,100.0
"Pal, P. S.",2931,SN Bose National Centre for Basic Science,1,0.17,2,100.0
"Ohri, A.",2931,Banaras Hindu University,1,0.42,2,100.0
"Kulkarni, M.",2931,Inter-University Centre for Astronomy & Astrophysics,1,0.13,2,100.0
"Singh, Raghvendra",2931,Lucknow University,1,0.17,2,100.0
"Bandyopadhyay, Atanu",2931,Tata Institute of Fundamental Research,1,0.19,2,100.0
"Jaiswal, S.",2931,Aryabhatta Research Institute of Observational Sciences,1,0.13,2,100.0
"Reddy, B. Eswar",2931,Indian Institute of Astrophysics,1,0.13,2,100.0
"Saha, S. K.",2931,Indian Institute of Astrophysics,1,0.17,2,100.0
"Pathak, Neha",2931,Indian Institute of Technology (IIT) - Delhi,1,0.28,2,100.0
"Panda, Sampad Kumar",2931,Indian Institute of Technology (IIT) - Bombay,1,0.17,2,100.0
"Das, Santu",2931,Indian Institute of Technology (IIT) - Guwahati,1,0.27,2,100.0
"Mitra, A. K.",2931,India Meteorological Department (IMD),1,0.17,2,100.0
"Saha, La M.",2931,Shiv Nadar University,1,0.11,2,100.0
"Surya, A.",2931,Indian Institute of Astrophysics,1,0.17,2,100.0
"Martha, S. C.",2931,Indian Institute of Technology (IIT) - Ropar,1,0.27,2,100.0
"Gharat, S. M.",2931,Tata Institute of Fundamental Research,1,0.11,2,100.0
"Nandy, D. K.",2931,Indian Institute of Technology (IIT) - Gandhinagar,2,0.14,2,100.0
"Girish, V.",2931,Tata Institute of Fundamental Research,2,0.04,2,50.0
"Bahl, M.",2931,Council of Scientific & Industrial Research (CSIR) - India,1,0.12,2,100.0
"Bahl, M.",2931,National Physics Laboratory - India,1,0.12,2,100.0
"Harsha, S. P.",2931,Indian Institute of Technology (IIT) - Roorkee,1,0.24,2,100.0
"Kapil, L.",2931,Manipur University,1,0.08,2,100.0
"Srivastava, V.",2931,Banaras Hindu University,1,0.42,2,100.0
"Borkar, M. S.",2931,Rashtrasant Tukadoji Maharaj Nagpur University,1,0.28,2,100.0
"Baskar, Ramanathan",2931,Guru Jambheshwar University of Science & Technology,1,0.16,2,100.0
"Venkateshmurthy, B. L.",2931,Tata Institute of Fundamental Research,1,0.1,2,100.0
"Kilambi, G. C.",2931,Osmania University,1,0.08,2,100.0
"Panja, Subhash Chandra",2931,Jadavpur University,1,0.09,2,100.0
"Gopinath, Venkatesh",2931,Indian Institute of Science (IISC) - Bangalore,1,0.44,2,100.0
"Shukla, Anjani Kumar",2931,Banaras Hindu University,1,0.17,2,100.0
"Singh, Koijam Manihar",2931,Manipur University,1,0.08,2,100.0
"Manchanda, R. K.",2931,Tata Institute of Fundamental Research,2,0.04,2,50.0
"Omar, A.",2931,Aryabhatta Research Institute of Observational Sciences,1,0.13,2,100.0
"Borah, B.",2931,Tezpur University,2,0.17,2,100.0
"Das, Kumar",2931,Saha Institute of Nuclear Physics,1,0.39,2,100.0
"Dolas, Prakash M.",2931,Vikram Sarabhai Space Center (VSSC),1,0.09,2,100.0
"Shah, Siddhi Y.",2931,Physical Research Laboratory - India,1,0.28,2,100.0
"Labde, Sachin",2931,Indian Institute of Geomagnetism,1,0.42,2,100.0
"Vyas, Mukesh K.",2931,Aryabhatta Research Institute of Observational Sciences,1,0.28,2,100.0
"Phukon, Prabwal",2931,Indian Institute of Technology (IIT) - Kanpur,1,0.12,2,100.0
"Basu, Basudhara",2931,Bose Institute,1,0.31,2,100.0
"Kapoor, Richa",2931,University of Delhi,1,0.28,2,100.0
"Sandimani, P. R.",2931,Tata Institute of Fundamental Research,1,0.11,2,100.0
"Malu, Siddharth",2931,Raman Research Institute,1,0.09,2,100.0
"Chatterjee, Bhaswar",2931,Bhabha Atomic Research Center,1,0.31,2,100.0
"Padinhatteeri, Sreejith",2931,University of Calicut,1,0.08,2,100.0
"Seemala, G. K.",2931,Indian Institute of Geomagnetism,1,0.28,2,100.0
"Chandran, S. B. Rakesh",2931,University of Kerala,2,0.09,2,50.0
"Dash, N.",2931,Bhabha Atomic Research Center,1,0.31,2,100.0
"Dash, N.",2931,Homi Bhabha National Institute,1,0.31,2,100.0
"Daiboo, Soobash",2931,Raman Research Institute,1,0.08,2,100.0
"Krishan, Vinod",2931,Indian Institute of Astrophysics,1,0.08,2,100.0
"Hazra, P.",2931,University of Calcutta,1,0.17,2,100.0
"Gangopadhyay, G.",2931,University of Calcutta,1,0.25,2,100.0
"Suryanarayanan, Saikishan",2931,Indian Institute of Science (IISC) - Bangalore,1,0.4,2,100.0
"Suryanarayanan, Saikishan",2931,Jawaharlal Nehru Center for Advanced Scientific Research,1,0.4,2,100.0
"Suryanarayanan, Saikishan",2931,Council of Scientific & Industrial Research (CSIR) - India,1,0.4,2,100.0
"Samartha, C. A.",2931,Indian Institute of Science (IISC) - Bangalore,1,0.14,2,100.0
"Kaur, Nimardeep",2931,Guru Nanak Dev University,1,0.42,2,100.0
"Ray, Dwijesh",2931,Physical Research Laboratory - India,1,0.28,2,100.0
"Malu, Siddharth S.",2931,Raman Research Institute,1,0.09,2,100.0
"Mohantya, Subhendra",2931,Physical Research Laboratory - India,1,0.39,2,100.0
"Chakrabarti, Sandip",2931,SN Bose National Centre for Basic Science,1,0.28,2,100.0
"Shah, B.",2931,Physical Research Laboratory - India,1,0.24,2,100.0
"Prasobh, C. B.",2931,Cochin University Science & Technology,1,0.17,2,100.0
"Kalyaan, A.",2931,Physical Research Laboratory - India,1,0.42,2,100.0
"Sen, Sourav",2931,Indian Institute of Science Education & Research (IISER) - Kolkata,1,0.19,2,100.0
"Rahman, M. A.",2931,Tata Institute of Fundamental Research,1,0.1,2,100.0
"Shimna, K.",2931,Council of Scientific & Industrial Research (CSIR) - India,1,0.28,2,100.0
"Anupama, C. C.",2931,Indian Institute of Astrophysics,1,0.08,2,100.0
"Ansari, Rizwan Ul Haq",2931,University of Hyderabad,2,0.04,2,50.0
"Rao, Kamesh K.",2931,Tata Institute of Fundamental Research,1,0.1,2,100.0
"Pandya, Siddharth H.",2931,Saurashtra University,1,0.17,2,100.0
"Viswanathan, K. S.",2931,Vikram Sarabhai Space Center (VSSC),1,0.08,2,100.0
"Mageshwaran, T.",2931,Indian Institute of Astrophysics,1,0.28,2,100.0
"Dikshit, P. K. S.",2931,Banaras Hindu University,1,0.42,2,100.0
"Anathipindika, Sumedh",2931,Indian Institute of Technology (IIT) - Kharagpur,1,0.28,2,100.0
"Mukherjee, Saumitra",2931,Jawaharlal Nehru University,2,0.03,2,50.0
"Dalvi, Prathamesh",2931,Birla Institute of Technology Science,1,0.31,2,100.0
"Tamhane, P.",2931,Tata Institute of Fundamental Research,1,0.28,2,100.0
"Tamhane, P.",2931,Indian Institute of Science Education & Research (IISER) - Pune,1,0.28,2,100.0
"Khan, Manoranjan",2931,Raman Research Institute,1,0.08,2,100.0
"Biswas, Sukumar",2931,Tata Institute of Fundamental Research,1,0.31,2,100.0
"Nityananda, Rajaram",2931,Tata Institute of Fundamental Research,1,0.08,2,100.0
"Kheto, Apurba",2931,Saha Institute of Nuclear Physics,2,0.13,2,100.0
"Sharma, A. K.",2931,India Meteorological Department (IMD),1,0.17,2,100.0
"Dwivedi, S. B.",2931,Banaras Hindu University,1,0.42,2,100.0
"Roy, Subhankar",2931,Gauhati University,1,0.18,2,100.0
"Ghosh, S.",2931,Physical Research Laboratory - India,1,0.28,2,100.0
"Prasad, Prabhunath",2931,University of Gorakhpur,1,0.24,2,100.0
"Ghosh, A.",2931,University of Calcutta,1,0.17,2,100.0
"Patil, A.",2931,Symbiosis International University,1,0.41,2,100.0
"Ghoshal, Debashis",2931,Jawaharlal Nehru University,1,0.12,2,100.0
"Malhotra, A.",2931,Symbiosis International University,1,0.41,2,100.0
"Athiray, P. S.",2931,Manipal University,1,0.28,2,100.0
"Athiray, P. S.",2931,Indian Institute of Astrophysics,1,0.28,2,100.0
"Das, R. K.",2931,SN Bose National Centre for Basic Science,2,0.1,2,100.0
"Mahapatra, Subhash",2931,Indian Institute of Technology (IIT) - Kanpur,1,0.12,2,100.0
"Sudersan, P. V.",2931,Tata Institute of Fundamental Research,1,0.1,2,100.0
"D'Costa, S. L. A.",2931,Tata Institute of Fundamental Research,1,0.11,2,100.0
"Kumar, Deepak",2931,Raman Research Institute,1,0.28,2,100.0
"Hameeda, Mir",2931,University of Kashmir,1,0.13,2,100.0
"Gupta, Anuradha",2931,Tata Institute of Fundamental Research,2,0.1,2,100.0
"Bhavya, Bhaskaran",2931,Cochin University Science & Technology,1,0.11,2,100.0
"Bhavya, Bhaskaran",2931,Indian Institute of Astrophysics,1,0.11,2,100.0
"Mukherjee, D.",2931,Inter-University Centre for Astronomy & Astrophysics,1,0.17,2,100.0
"Banerjee, Kinjal",2931,Inter-University Centre for Astronomy & Astrophysics,1,0.1,2,100.0
"Rao, Shobha K.",2931,Tata Institute of Fundamental Research,1,0.1,2,100.0
"Srivastava, Nandita",2931,Indian Institute of Science Education & Research (IISER) - Kolkata,1,0.4,2,100.0
"Bhattacharya, Swastik",2931,Institute of Mathematical Sciences (IMSc) India,1,0.15,2,100.0
"Ramesh, D. S.",2931,Indian Institute of Geomagnetism,1,0.28,2,100.0
"Mohan, C.",2931,Indian Institute of Technology (IIT),1,0.08,2,100.0
"Mir, Hameeda",2931,University of Kashmir,1,0.17,2,100.0
"Soni, V. K.",2931,India Meteorological Department (IMD),1,0.17,2,100.0
"Chordia, Pravin A.",2931,Inter-University Centre for Astronomy & Astrophysics,2,0.04,2,100.0
"Gahlot, Shilpa",2931,Indian Institute of Technology (IIT) - Roorkee,1,0.24,2,100.0
"Bora, Saradi",2931,Dibrugarh University,1,0.24,2,100.0
"Mishra, Sandhya",2931,Lucknow University,1,0.17,2,100.0
"Bhattacharya, Pinaki",2931,Jadavpur University,1,0.11,2,100.0
"Upadhyay, S. H.",2931,Indian Institute of Technology (IIT) - Roorkee,1,0.24,2,100.0
"Dey, Sandhya",2931,Bose Institute,1,0.31,2,100.0
"Joarder, P. S.",2931,Bose Institute,1,0.11,2,100.0
"Soni, Vikram",2931,Jamia Millia Islamia,2,0.07,2,100.0
"Puthiyaveettil, Shalima",2931,Indian Institute of Astrophysics,1,0.08,2,100.0
"Basu, Prasad",2931,SN Bose National Centre for Basic Science,1,0.12,2,100.0
"Alam, Md. Shah",2931,Jamia Millia Islamia,2,0.09,2,50.0
"Singh, Naveen K.",2931,Jamia Millia Islamia,1,0.31,2,100.0
"Patel, A. R.",2931,Physical Research Laboratory - India,1,0.24,2,100.0
"Singh, R. S.",2931,Banaras Hindu University,1,0.42,2,100.0
"Konar, Sushan",2931,Indian Institute of Technology (IIT) - Kharagpur,1,0.08,2,100.0
"Dass, N. D. Hari",2931,Indian Institute of Science (IISC) - Bangalore,1,0.4,2,100.0
"Shalima, P.",2931,Inter-University Centre for Astronomy & Astrophysics,2,0.07,2,50.0
"Shalima, P.",2931,Indian Institute of Astrophysics,3,0.09,2,66.67
"Bora, Swaroop Nandan",2931,Indian Institute of Technology (IIT) - Guwahati,1,0.27,2,100.0
"Ajunwadkar, Mihir",2931,University of Pune,1,0.31,2,100.0
"Poojary, S. S.",2931,Tata Institute of Fundamental Research,1,0.11,2,100.0
"Das, Tapas K.",2931,SN Bose National Centre for Basic Science,1,0.28,2,100.0
"Jain, S. K.",2931,University of Rajasthan,1,0.13,2,100.0
"Bakalkar, C. B.",2931,Tata Institute of Fundamental Research,1,0.11,2,100.0
"Jha, S. K.",2931,Banaras Hindu University,1,0.17,2,100.0
"Thakur, Lata",2931,Indian Institute of Technology (IIT) - Roorkee,1,0.31,2,100.0
"Khanchandani, Himanshu",2931,Indian Institute of Technology (IIT) - Roorkee,1,0.31,2,100.0
"Kundu, Esha",2931,Tata Institute of Fundamental Research,2,0.09,2,50.0
"Nadkarni-Ghosh, Sharvari",2931,SN Bose National Centre for Basic Science,1,0.13,2,100.0
"Khan, M. S.",2931,University of Kashmir,1,0.11,2,100.0
"Das, Samiran",2931,Gauhati University,1,0.17,2,100.0
"Vijayan, M. S. M.",2931,Council of Scientific & Industrial Research (CSIR) - India,1,0.28,2,100.0
"Vishwanath, P. R.",2931,Tata Institute of Fundamental Research,1,0.1,2,100.0
"Marhas, Kuljeet",2931,Physical Research Laboratory - India,1,0.28,2,100.0
"Rajaram, Girija",2931,Indian Institute of Geomagnetism,1,0.17,2,100.0
"Joshi, J. S.",2931,Tata Institute of Fundamental Research,1,0.11,2,100.0
"Petrov, A. N.",2931,Inter-University Centre for Astronomy & Astrophysics,1,0.08,2,100.0
"Maini, H. K.",2931,Council of Scientific & Industrial Research (CSIR) - India,1,0.12,2,100.0
"Maini, H. K.",2931,National Physics Laboratory - India,1,0.12,2,100.0
"George, Koshy",2931,Indian Institute of Astrophysics,1,0.28,2,100.0
"Katyal, N.",2931,Jawaharlal Nehru University,1,0.13,2,100.0
"Katyal, N.",2931,Inter-University Centre for Astronomy & Astrophysics,1,0.13,2,100.0
"Jeena, K.",2931,University of Calicut,1,0.09,2,100.0
"Ramadevi, M. C.",2931,University of Calicut,2,0.05,2,100.0
"Thomas, Neethal",2931,Indian Institute of Geomagnetism,1,0.28,2,100.0
