Data set,"102 competencies of the Indian Institute of Technology, Bombay (2015), based on publications in 2011-2015"
Entity,"Indian Institute of Technology, Bombay"
Year,2015

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Competency ID,"Authors (Indian Institute of Technology, Bombay)",Keywords,Subject Areas,Publications worldwide,Publications in competencies (fractionalized count),Average annual growth,"Publications (Indian Institute of Technology, Bombay)","Publications from Indian Institute of Technology, Bombay (fractionalized count)",% Share of publications worldwide,"Average annual growth (Indian Institute of Technology, Bombay)","Rank of Indian Institute of Technology, Bombay by number of publications",Relative Publication Share,Relative Reference Share,State of the Art,"Citations of publications from the Indian Institute of Technology, Bombay"
64 (EC),"Patwardhan S.C., Bavdekar V.A., Deshpande A.P.","Kalman filters; Estimation; Covariance matrix","Control and Systems Engineering (100.0)",372,153.9,6.4%,9,5.0,3.3%,-67.5%,2,0.63,0.30,-0.66,82
65 (EC),"Kulkarni S.S., Emmadi M., Jana S.","Glycosylation; Disaccharides; Lipopolysaccharides","Organic Chemistry (100.0)",515,154.8,-6.6%,12,7.1,4.6%,36.5%,2,0.98,0.55,2.19,56
66 (EC),"Kottantharayil A., Saseendran S.S., Kottantharayil A.","Silicon; Solar cells; Passivation","Condensed Matter Physics (54.0); Electrical and Electronic Engineering (46.0)",353,144.3,-3.5%,7,3.6,2.5%,51.2%,8,0.53,0.00,0.18,3
67 (EC),"Agarwal V.K., Shreelakshmi M.P., Thale S.S.","Energy storage; Control; Controllers","Electrical and Electronic Engineering (100.0)",540,136.9,-18.0%,6,2.5,1.8%,-25.6%,7,0.57,0.00,0.10,12
68 (EC),"Mitra M., Mujumdar P.M., Yelve N.P.","Cracks; Damage detection; Structural health monitoring","Mechanical Engineering (71.6); General Physics and Astronomy (28.4)",291,139.3,-6.5%,8,5.9,4.2%,83.3%,5,0.71,0.83,2.15,8
69 (EC),"Shukla A.K., Chakraborty H., Gundra K.","electrons; models; excitation","Condensed Matter Physics (53.2); General Chemistry (46.8)",446,141.0,-0.7%,13,7.2,5.1%,-9.4%,1,1.03,0.00,2.22,48
70 (EC),"Padhi P., Shaikh I.","Implied volatility; Volatility; Realized volatility","Economics and Econometrics (61.7); Finance (38.3)",355,129.5,7.3%,8,6.3,4.8%,56.7%,1,1.39,1.50,0.92,41
71 (EC),"Iyer S.R., Pal Y., Khaparde S.A.","student; Students; course","Education (100.0)",368,116.0,3.7%,6,4.8,4.1%,40.3%,2,0.90,0.00,1.99,4
72 (EC),"Jangid R.S., Sinha R., Narkhede D.I.","Towers; Damping; Earthquakes","Civil and Structural Engineering (72.9); Mechanical Engineering (27.1)",272,126.4,13.0%,7,3.2,2.5%,19.4%,7,0.36,0.00,-5.26,18
73 (EC),"Maji S.K., Ghosh D., Jacob R.S.","Amyloid; alpha-Synuclein; Proteins","Biochemistry (78.4); General Chemistry (21.6)",618,126.0,-1.8%,16,8.0,6.3%,37.7%,1,1.19,0.96,-0.36,114
74 (EC),"Suresh K.G., Gupta S.B., Pal L.","Magnetocaloric effects; Entropy; Magnetization","Condensed Matter Physics (100.0)",339,126.0,8.3%,22,15.2,12.0%,67.5%,1,1.59,0.78,1.86,91
75 (EC),"Raja V.S., Padekar B.S., Pustode M.D.","Stress corrosion cracking; Magnesium alloys; Hydrogen embrittlement","General Materials Science (100.0)",332,123.4,3.1%,9,8.3,6.7%,7.2%,4,0.58,0.35,-7.67,45
76 (EC),"Mitra M., Mujumdar P.M., Bijudas C.R.","Surface waves; Damage detection; Structural health monitoring","Mechanical Engineering (67.8); Civil and Structural Engineering (32.2)",321,122.6,-15.1%,14,7.4,6.0%,-37.2%,2,0.79,0.00,0.74,43
77 (EC),"Khaparde S.A., Ravikumar G.V.V., Joshi R.K.","Wind power; Wind; Electric utilities","Electrical and Electronic Engineering (100.0)",327,119.4,12.8%,7,5.3,4.5%,31.2%,2,0.88,0.75,1.83,17
78 (EC),"Pawaskar D.N., Joglekar M.M., Kulkarni S.S.","Electrostatic actuators; MEMS; Electrostatics","Mechanical Engineering (100.0)",331,118.4,-2.9%,9,4.2,3.6%,-56.5%,5,0.36,0.00,-0.14,58
79 (EC),"Malakar P., Venkatesh K.V., Karmakar R.","Escherichia coli; Gene expression; Growth","Molecular Biology (100.0)",425,117.2,3.0%,11,5.9,5.0%,58.8%,2,0.59,0.00,-0.09,26
80 (EC),"Bhattacharyya P., Balamurali A.R., Sharma R.","Semantics; Computational linguistics; Linguistics","General Computer Science (56.7); Software (43.3)",446,114.5,-0.2%,3,2.4,2.1%,0.0%,5,0.67,0.00,1.28,9
81 (EC),"Srivastava S., Ray S.K., Patankar S.","Malaria; Plasmodium vivax; India","Infectious Diseases (72.7); Biochemistry (27.3)",277,100.1,14.8%,17,8.8,8.8%,11.8%,1,1.25,1.58,1.87,209
