Rank,Instituion,Teaching,International Outlook,Research,Citation,Industry Income,Overall
47,University of MinnesotaUnited States of America,66.1,28.7,74,84.7,-,70.5
48,LMU MunichGermany,65.4,54.7,66.5,85.5,42,70.4
49,University of ManchesterUnited Kingdom,65.9,77.9,67.7,76.9,43.2,70.1
50,Pohang University of Science and TechnologySouth Korea,63.9,28.8,63.9,88.2,100,69.4
51,Brown UniversityUnited States of America,63.7,36.9,60.3,94.1,29.9,68.9
52,Tsinghua UniversityChina,74.5,37.2,76.4,55.2,99.2,67.1
53,Ohio State UniversityUnited States of America,66.7,46.3,60.9,80.1,49.5,67
54,Boston UniversityUnited States of America,65.4,39.2,50.9,94.2,30.6,66.8
54,Kyoto UniversityJapan,77.1,26.3,74.8,57.8,76.4,66.8
56,University of Southern CaliforniaUnited States of America,68.4,43.4,57.1,81.9,33.5,66.3
57,King’s College LondonUnited Kingdom,53.5,86,59.3,82.8,42.4,66.2
58,KU LeuvenBelgium,59.7,56.6,71,67.2,99.7,66.1
59,Seoul National UniversitySouth Korea,76.7,27,81.4,48,81.7,65.9
59,École Normale SupérieureFrance,61.6,67.3,46.9,90.3,47.2,65.9
61,Pennsylvania State UniversityUnited States of America,55,34.9,69.2,81.4,59.7,65.8
62,University of SydneyAustralia,59.5,83,70.1,62.9,69.2,65.7
62,École PolytechniqueFrance,56.5,83,54.7,80.7,75.8,65.7
64,Leiden UniversityNetherlands,54,54.8,67.1,78.4,46.1,65.1
65,Hong Kong University of Science and TechnologyHong Kong,56.9,78.1,64.6,68.9,55.6,64.4
65,The University of QueenslandAustralia,54.4,77.8,66.1,69.6,64,64.4
67,Utrecht UniversityNetherlands,48,47.3,64.7,82.4,82.6,64.1
68,Korea Advanced Institute of Science and Technology (KAIST)South Korea,69.9,31.1,68.9,58.4,100,64
69,Purdue UniversityUnited States of America,59.8,54.8,71.9,63.1,-,63.8
70,University of GöttingenGermany,50,51,52.5,92.5,34.4,63.2
70,Wageningen University and Research CenterNetherlands,54.9,79.2,53.7,73.8,100,63.2
72,Erasmus University RotterdamNetherlands,44.5,62.8,64.1,80.2,62,62.9
72,University of MassachusettsUnited States of America,57.1,31.7,62.6,77.8,52.8,62.9
74,University of BristolUnited Kingdom,50.1,71.9,51.7,85.4,38.7,62.5
75,Rice UniversityUnited States of America,49.5,59,39.3,100,36.5,62
76,University of PittsburghUnited States of America,54.6,29.4,55.1,85.2,39.3,61.7
77,Delft University of TechnologyNetherlands,59.9,67.7,75.1,45.1,99.9,61.6
78,Heidelberg UniversityGermany,61.4,61.3,49,75.5,40.7,61.4
79,Emory UniversityUnited States of America,56.7,36.6,44.4,90.9,38.3,61.3
80,Durham UniversityUnited Kingdom,42.3,77.7,44.5,93.3,34.3,60.7
81,Pierre and Marie Curie UniversityFrance,59.2,64.4,43.5,80.6,28.6,60.5
82,Lund UniversitySweden,43.6,64.4,61.3,77.1,34.2,60.3
83,University of AmsterdamNetherlands,45.6,57,61.3,75.1,49,60.1
84,University of MontrealCanada,54,74.6,57.9,60.9,95,59.8
85,University of New South WalesAustralia,52.6,84.8,63.8,56.7,50.5,59.6
86,Nanyang Technological UniversitySingapore,45.7,90.5,66.9,54.5,99.5,59.4
87,Tufts UniversityUnited States of America,52.6,39.6,36.4,94.8,39.4,59.1
88,McMaster UniversityCanada,42.3,66.9,47.9,81.7,98,59
89,University of GroningenNetherlands,43.8,49.8,61,71.6,85.2,58.8
89,University of ZurichSwitzerland,50,84.1,41.6,80,38.3,58.8
91,University of Colorado BoulderUnited States of America,42.3,34.7,44.4,97.1,-,58.7
92,Paris-Sud UniversityFrance,48,63.9,45.9,82.9,28.4,58.6
93,Ghent UniversityBelgium,46.4,49.1,56.7,71.3,95.9,58.4
94,Michigan State UniversityUnited States of America,51.8,36.8,56.8,73.8,32.6,58.3
94,University of Notre DameUnited States of America,48.3,41.6,39.6,93.5,29.8,58.3
96,"University of California, IrvineUnited States of America",44,35.2,47.2,90.3,42.1,58.2
97,"University of Maryland, College ParkUnited States of America",44.9,40.4,51.4,83.9,32.1,57.9
98,University of ArizonaUnited States of America,47,31.3,53.7,76.9,83.9,57.7
99,Humboldt University of BerlinGermany,55.4,57.5,58.7,59.5,-,57.5
99,Monash UniversityAustralia,47.8,66.4,60.6,60.9,70,57.5
99,"Rutgers, the State University of New JerseyUnited States of America",50.9,27.9,61.3,69.5,35.8,57.5
102,University of RochesterUnited States of America,46,45.9,37.8,92.3,39.6,57.2
103,University of YorkUnited Kingdom,41.9,71.9,43.9,83.4,38.4,57.1
104,Case Western Reserve UniversityUnited States of America,56.5,34.2,42,80.4,-,56.9
105,Technical University of MunichGermany,51.2,61.5,42.4,76.5,49.7,56.8
106,Uppsala UniversitySweden,48.6,56.3,63.9,58.2,44.1,56.6
106,Vanderbilt UniversityUnited States of America,51.5,27.5,40.9,85,53,56.6
108,University of St AndrewsUnited Kingdom,43.2,86.3,43.8,76.6,38.9,56.5
109,University of HelsinkiFinland,42.8,48.3,53,77.7,31.1,56.4
110,Trinity College DublinRepublic of Ireland,41.9,84.5,33.5,88.1,32.8,56.2
110,University of SheffieldUnited Kingdom,49.5,68.1,46.2,71,41.5,56.2
110,University of SussexUnited Kingdom,34.9,76.7,39.5,91.1,32.1,56.2
113,University of Cape TownSouth Africa,34.7,75.1,45.5,79.7,87.3,55.8
114,Eindhoven University of TechnologyNetherlands,44.1,69.8,51.8,63.8,100,55.6
115,Maastricht UniversityNetherlands,39.7,85.2,53.2,62.5,99.1,55.5
116,Aarhus UniversityDenmark,35.7,66.4,54.6,71.6,69.7,55.3
117,Stockholm UniversitySweden,31.3,52.2,43.8,93,32,55.2
118,University of VirginiaUnited States of America,55.9,27.9,43,73.5,48.6,55
119,"Royal Holloway, University of LondonUnited Kingdom",30.5,92.5,27.7,99,31.9,54.9
120,University of NottinghamUnited Kingdom,48.1,70.1,50.8,62.8,38.3,54.8
121,University of AlbertaCanada,50.9,67.6,53.9,56.6,50.6,54.7
122,"University of California, Santa CruzUnited States of America",32.1,32.5,39.6,99.9,-,54.5
122,University of FloridaUnited States of America,52,31.2,62.9,56,-,54.5
124,Chinese University of Hong KongHong Kong,53.7,62.6,63.1,45.1,44.5,54.4
124,Dartmouth CollegeUnited States of America,47.5,31.5,35.9,87,38.6,54.4
124,University of WarwickUnited Kingdom,48.9,80.9,50.5,58.8,35.3,54.4
127,Radboud University NijmegenNetherlands,35.7,53.4,54.3,73.3,41.7,54
128,Free University of BerlinGermany,53.1,60.9,56.5,51.5,32.8,53.7
128,Tokyo Institute of TechnologyJapan,58,29.6,56.1,52,65.3,53.7
130,University of CopenhagenDenmark,42.2,73.5,40.4,74.3,39.7,53.6
130,University of LausanneSwitzerland,33,82.7,44.8,76.2,45.8,53.6
130,University of SouthamptonUnited Kingdom,37.9,77.4,38.9,79.2,41.8,53.6
133,University of GenevaSwitzerland,36.2,95.3,42.5,73.1,32.4,53.5
134,Indiana UniversityUnited States of America,48.3,36,44.2,72.5,-,53.2
134,National Taiwan UniversityTaiwan,56.4,24.6,65.7,45.5,44,53.2
134,University of UtahUnited States of America,43.3,25.2,41.3,81,63.3,53.2
137,Hebrew University of JerusalemIsrael,48.8,50.3,55.8,57,33.6,53.1
137,Tohoku UniversityJapan,57.7,32,55.6,48.9,80.7,53.1
139,University of GlasgowUnited Kingdom,37.3,69.7,40.2,78.1,44.1,53
140,KTH Royal Institute of TechnologySweden,47.5,86.1,49.7,49.1,100,52.9
140,VU University AmsterdamNetherlands,40.5,47.1,45.1,74.2,58.5,52.9
142,University of BaselSwitzerland,37.1,89.8,23.2,87.8,64.2,52.8
142,University of LeedsUnited Kingdom,41.5,66.6,48.6,65.8,41.3,52.8
144,University of FreiburgGermany,48.3,54.9,33,72.4,81.1,52.3
145,Lancaster UniversityUnited Kingdom,37.7,76.2,40.9,73.2,31.8,52.1
145,Queen Mary University of LondonUnited Kingdom,33.1,87,30,85.4,42.7,52.1
147,Osaka UniversityJapan,59.5,23.6,55.7,46.4,69.6,52
148,Arizona State UniversityUnited States of America,38.4,27.4,45.2,79.9,31.8,51.9
149,Technical University of DenmarkDenmark,37.9,77,30,76.9,98.7,51.7
150,Boston CollegeUnited States of America,34.5,52.4,33.2,88.7,-,51.6
151,Karlsruhe Institute of TechnologyGermany,46.3,64.5,38.9,63.4,82.9,51.5
151,University of BernSwitzerland,43,77.3,36,69.7,42,51.5
153,University of ExeterUnited Kingdom,33.2,74.1,38.1,78.1,37.1,51.3
154,RWTH Aachen UniversityGermany,45.3,53.9,32.4,73.8,63.1,51.1
154,"University of California, RiversideUnited States of America",29.1,62.8,32.5,90.3,33.5,51.1
156,Texas A&M UniversityUnited States of America,46.4,47.2,58.3,49.3,45.5,50.9
156,Yeshiva UniversityUnited States of America,51.7,28.4,30.1,78.8,-,50.9
158,Tel Aviv UniversityIsrael,50.7,39.5,59.8,43.7,49.2,50.5
158,University of BirminghamUnited Kingdom,44.8,69.7,46.7,56.3,38.4,50.5
158,University of São PauloBrazil,63,24.5,65.7,30.2,40,50.5
161,University of AucklandNew Zealand,34,88,40.9,64.2,76.6,50.3
162,Stony Brook UniversityUnited States of America,38.8,52.8,29.9,82.9,31.6,50.2
162,University of ViennaAustria,44.3,86.3,46.7,52.4,29.1,50.2
164,Université Catholique de LouvainBelgium,38.6,64.3,40.5,68.8,34.5,50
165,University of DelawareUnited States of America,30,37.3,41.6,76.6,97.7,49.7
166,Paris Diderot University – Paris 7France,31.9,66.8,27.1,87.9,-,49.6
167,University of Texas at DallasUnited States of America,32.6,46.8,32.2,85.2,40,49.5
168,George Washington UniversityUnited States of America,48.1,36.6,28,77.1,30,49.4
169,University of IowaUnited States of America,49,26.4,40.9,65.7,-,49.3
170,École Normale Supérieure de LyonFrance,40.8,61,25.9,79.6,28.9,49.2
171,University of BonnGermany,40.9,54,26.1,80.4,-,49
171,University of LiverpoolUnited Kingdom,38.7,73.7,37.5,64.8,46.4,49
171,University of OttawaCanada,40.8,58.1,41.4,63.1,43,49
174,Georgetown UniversityUnited States of America,56.4,32.9,35.6,59.8,-,48.9
174,Rensselaer Polytechnic InstituteUnited States of America,36.2,32.9,40.2,73,66.8,48.9
176,University of AberdeenUnited Kingdom,31.9,84.1,34.3,71.5,48.9,48.8
176,University of AdelaideAustralia,37.3,82.2,43.7,55.9,63.2,48.8
176,University of East AngliaUnited Kingdom,29.6,68.9,27.7,85.5,30.7,48.8
176,University of ReadingUnited Kingdom,39.3,72.4,41.1,61.3,35.2,48.8
180,Joseph Fourier UniversityFrance,36.6,56.3,26.5,81.8,36.3,48.6
180,Newcastle UniversityUnited Kingdom,37.9,74.4,30.5,72.1,37.4,48.6
182,City University of Hong KongHong Kong,35.2,64,41.8,64.1,53.6,48.5
183,Yonsei UniversitySouth Korea,48.3,33.4,50.6,48.6,56.1,48.2
184,Colorado School of MinesUnited States of America,24.9,51.2,22.5,94.3,66,48
184,University of Illinois at ChicagoUnited States of America,53.9,29.1,42.6,52.9,40.4,48
184,William & MaryUnited States of America,41.3,25.8,22.6,87.1,29.9,48
187,University College DublinRepublic of Ireland,31.1,76.5,31.8,74.9,35.3,47.9
187,University of TwenteNetherlands,35.8,61.5,46.4,55.6,79.7,47.9
189,Medical University of South CarolinaUnited States of America,46.2,27.7,39.6,59.7,77.1,47.7
190,University of Western AustraliaAustralia,35,88.4,39.9,55.7,60,47.3
190,Wake Forest UniversityUnited States of America,37.5,19,22.4,89.1,48,47.3
192,University of AntwerpBelgium,33.8,58.5,35.5,64.8,100,47.1
193,Iowa State UniversityUnited States of America,35.7,30.5,34.3,74.9,44,46.9
193,Technion Israel Institute of TechnologyIsrael,44.8,55.9,50.2,44,40.8,46.9
193,University of MiamiUnited States of America,48.7,33.1,27,69.7,-,46.9
196,University of LeicesterUnited Kingdom,33,83.7,32.5,66.5,34.9,46.7
196,University of VictoriaCanada,20.2,65.9,33.7,82.7,30.6,46.7
198,University at BuffaloUnited States of America,46.3,50.7,40.6,52.1,42.4,46.6
199,Goethe University FrankfurtGermany,33.3,57.6,29.7,73.9,41.4,46.4
200,"Birkbeck, University of LondonUnited Kingdom",27.6,83.2,30.5,72.8,29.4,46.2
201-225,Autonomous University of BarcelonaSpain,39,47.1,35.7,62.8,37.3,-
201-225,Brandeis UniversityUnited States of America,27.3,45.3,27.9,83.1,37.4,-
201-225,Cardiff UniversityUnited Kingdom,32.5,68.1,38.2,60.2,39.8,-
201-225,Fudan UniversityChina,45.3,38.6,39.5,51.3,46.3,-
201-225,Johannes Gutenberg University of MainzGermany,33.5,57,18.4,85.2,-,-
201-225,Lomonosov Moscow State UniversityRussian Federation,63.5,50.3,48.1,19.7,70.1,-
201-225,Middle East Technical UniversityTurkey,50.8,28,46,44.6,50.6,-
201-225,Nagoya UniversityJapan,44.2,25.3,39.2,53.3,35.5,-
201-225,Northeastern UniversityUnited States of America,40.1,41,21.2,76.4,33.8,-
201-225,Pompeu Fabra UniversitySpain,27.3,49.9,23.2,77.5,34.2,-
201-225,Queen’s UniversityCanada,39.5,58,35.4,51.2,77.3,-
201-225,"St George’s, University of LondonUnited Kingdom",20,57.9,22.6,89.7,44.1,-
201-225,Sungkyunkwan University (SKKU)South Korea,47.1,30.9,48.7,39.3,98.7,-
201-225,Tilburg UniversityNetherlands,38.2,56.6,54.5,33.7,54.8,-
201-225,University of BarcelonaSpain,32.5,46,33.4,71.4,30.9,-
201-225,University of DundeeUnited Kingdom,24.8,66.6,23.2,81.1,49.9,-
201-225,University of Erlangen-NurembergGermany,35,49,18.7,74.6,45.2,-
201-225,University of GeorgiaUnited States of America,45.4,36.2,40.1,46.8,31.3,-
201-225,University of GothenburgSweden,28.3,48.4,41.9,63.8,38.6,-
201-225,University of InnsbruckAustria,36.6,88.7,17.9,71.6,38.2,-
201-225,University of KonstanzGermany,32.6,58.5,35.6,64.5,51.9,-
201-225,University of OsloNorway,33.5,59,39.8,62.3,31.4,-
201-225,University of Science and Technology of ChinaChina,39.2,22,27.7,72.7,50.1,-
201-225,University of StrasbourgFrance,29.7,68.3,29.2,72,34.8,-
201-225,University of TübingenGermany,36.3,56.3,25.1,73.8,31.6,-
226-250,Bilkent UniversityTurkey,34.7,42,30.5,60.1,39.9,-
226-250,Carleton UniversityCanada,18.3,56.8,26.7,75.1,-,-
226-250,Chalmers University of TechnologySweden,29.9,65.3,41.5,47.7,78.5,-
226-250,Florida Institute of TechnologyUnited States of America,16.2,58.4,11.9,92.5,28.7,-
226-250,Georgia Health Sciences UniversityUnited States of America,49.4,32.6,17.5,62,43.6,-
226-250,Indian Institute of Technology KharagpurIndia,44.2,16.1,45.3,39,72.4,-
226-250,Korea UniversitySouth Korea,44.7,27.3,43.7,39.4,52.1,-
226-250,Koç UniversityTurkey,20.4,52.8,22.3,79.2,37.9,-
226-250,Laval UniversityCanada,36.4,54.4,27.3,57.5,56.6,-
226-250,Mines ParisTechFrance,39.5,62.4,25.6,51.7,99.4,-
226-250,National Research Nuclear University MePhIRussian Federation,20.9,18.8,10.6,100,59.6,-
226-250,National Tsing Hua UniversityTaiwan,45.5,20.1,44.1,44.4,44,-
226-250,Simon Fraser UniversityCanada,24,55.6,35.3,61,41.6,-
226-250,Technical University of DarmstadtGermany,37.8,64.4,31.8,44.4,84.4,-
226-250,Tulane UniversityUnited States of America,42.8,31.2,22.6,66.8,-,-
226-250,University of BergenNorway,28.3,71,26.8,66.2,41.1,-
226-250,University of CalgaryCanada,37.3,62.2,35.8,47.1,42.8,-
226-250,University of CincinnatiUnited States of America,34.9,23.9,26.5,69.5,35.8,-
226-250,University of MissouriUnited States of America,40.4,30.8,45.8,45.2,31.1,-
226-250,University of OtagoNew Zealand,28.8,85.4,30.9,54.8,37.2,-
226-250,University of South FloridaUnited States of America,32.6,19.7,42,48.4,98.9,-
226-250,University of the WitwatersrandSouth Africa,28.6,65.1,38.3,49.8,98.4,-
226-250,University of WaterlooCanada,34.7,58.3,42.1,41.8,39.4,-
226-250,University of Western OntarioCanada,39.4,51.3,37.2,44.8,44.6,-
226-250,University of WürzburgGermany,33,44.8,19.4,70.9,30.4,-
226-250,Université Libre de BruxellesBelgium,25.6,78.2,30.6,59.3,54.9,-
251-275,Aalto UniversityFinland,34.4,52,26.8,50.1,73.7,-
251-275,Dalhousie UniversityCanada,30.2,59.1,29.8,54.3,65,-
251-275,Hong Kong Polytechnic UniversityHong Kong,34.6,65.4,41.2,39.8,42.2,-
251-275,Indian Institute of Technology BombayIndia,47.3,19.9,33.1,45.6,52.7,-
251-275,Macquarie UniversityAustralia,22,86.8,29.6,54.8,37.2,-
251-275,Nanjing UniversityChina,41.3,48.4,25.3,52.1,47.7,-
251-275,National Chiao Tung UniversityTaiwan,39.6,27.2,49.6,31.5,99,-
251-275,Norwegian University of Science and TechnologyNorway,34.2,57.5,27.7,50.8,45.2,-
251-275,Queensland University of TechnologyAustralia,27.6,69.2,37,47,58.9,-
251-275,State University of CampinasBrazil,51.7,20.9,46.8,26.5,44.9,-
251-275,Stellenbosch UniversitySouth Africa,31.5,47.8,35,48.9,96.6,-
251-275,Tokyo Metropolitan UniversityJapan,19,19.6,9.8,97.1,31.1,-
251-275,Umeå UniversitySweden,23.5,52.4,34.5,59.6,29.7,-
251-275,University of ConnecticutUnited States of America,42.5,40.5,29.7,50,32.6,-
251-275,University of EssexUnited Kingdom,33.7,86.4,34.6,39.6,31,-
251-275,University of IcelandIceland,11.4,59.9,28,71,74.4,-
251-275,University of KielGermany,32.1,44.6,27,62.5,35.6,-
251-275,University of MilanItaly,36.3,35.7,24.2,61,38.2,-
251-275,University of Milan-BicoccaItaly,26.1,36.2,21.1,76,39,-
251-275,University of MünsterGermany,35.9,43.2,20.4,63.6,38.2,-
251-275,University of OregonUnited States of America,31.5,30.2,21.7,70.4,-,-
251-275,University of TriesteItaly,19.6,48.5,14.3,82.2,33.6,-
251-275,Victoria University of WellingtonNew Zealand,22.3,84.8,29.1,55.6,43,-
251-275,Vienna University of TechnologyAustria,44.8,71.4,32.4,34.2,65.5,-
276-300,Aberystwyth UniversityUnited Kingdom,23.8,63.1,21.7,64.3,34.9,-
276-300,Bangor UniversityUnited Kingdom,27.6,70.3,25.7,53.8,31.6,-
276-300,Bayreuth UniversityGermany,25.6,50.4,14.9,72.1,35.4,-
276-300,Bielefeld UniversityGermany,27.4,47.5,20.3,63.5,35.1,-
276-300,Boğaziçi UniversityTurkey,35.4,36.7,33.9,48.1,38.4,-
276-300,Colorado State UniversityUnited States of America,30.8,29.8,32,55.8,-,-
276-300,Drexel UniversityUnited States of America,34.7,36.6,14.9,65.1,34.7,-
276-300,Istanbul Technical UniversityTurkey,34.9,20.8,25.5,52.9,98,-
276-300,Montpellier UniversityFrance,22.2,54.2,25.8,64.4,32.8,-
276-300,Oregon State UniversityUnited States of America,27.1,34.2,24.2,64.1,31,-
276-300,Queen’s University BelfastUnited Kingdom,28,87.1,23.8,52.2,48.1,-
276-300,Ruhr University BochumGermany,36.7,48.3,32.9,42.4,54.3,-
276-300,Shanghai Jiao Tong UniversityChina,43.4,20.7,37.9,31.3,76.1,-
276-300,Swedish University of Agricultural SciencesSweden,28.4,46.8,25.3,54.6,99.8,-
276-300,Tokyo Medical and Dental University (TMDU)Japan,47.5,21.9,21.6,47.1,45.4,-
276-300,TU Dresden Germany,29.7,48.9,15.6,63.9,36.1,-
276-300,University of BathUnited Kingdom,28,75.9,28.8,50.2,42.8,-
276-300,University of BolognaItaly,34.4,37.6,27.4,53.9,35.1,-
276-300,University of KansasUnited States of America,36.1,28.1,20.5,57.2,34.5,-
276-300,University of MontanaUnited States of America,28.9,24.9,14.9,72.1,34.1,-
276-300,University of NewcastleAustralia,21.1,70.5,29,49.8,72.9,-
276-300,University of South CarolinaUnited States of America,37.5,31.3,28,53.2,30.8,-
276-300,University of Southern DenmarkDenmark,18.6,67.3,19.6,67.3,75.5,-
276-300,University of TrentoItaly,28.7,51.2,21.9,62.1,45.3,-
276-300,University of TurinItaly,22.6,36.3,23.4,66.2,40.4,-
276-300,Virginia Polytechnic Institute and State UniversityUnited States of America,38.5,27.8,44.4,37.2,27.9,-
301-350,Autonomous University of MadridSpain,32,45.7,24,51.9,34.7,-
301-350,Brunel University LondonUnited Kingdom,19.3,89.4,20.1,58.2,33.4,-
301-350,Charles University in PragueCzech Republic,34.7,50.3,26.2,42,28.1,-
301-350,Claude Bernard University Lyon 1France,23.6,50,17.1,62.6,-,-
301-350,Creighton UniversityUnited States of America,42.4,26,9.3,61,-,-
301-350,Hokkaido UniversityJapan,45.1,24.9,34.2,32.3,41.3,-
301-350,Hong Kong Baptist UniversityHong Kong,22.9,62,15.1,57.6,29.6,-
301-350,Johannes Kepler University of LinzAustria,22,59,13.8,59.3,-,-
301-350,King Abdulaziz UniversitySaudi Arabia,19.7,71,10.3,63.4,40.2,-
301-350,Kyushu UniversityJapan,44,21.7,28.8,30.7,73.1,-
301-350,Linköping UniversitySweden,21.1,47.7,27,53.3,38,-
301-350,Medical University of ViennaAustria,23.7,66.2,13.4,66,33.2,-
301-350,Murdoch UniversityAustralia,19.4,83.3,18.9,49.6,44.2,-
301-350,National Cheng Kung UniversityTaiwan,33.1,22.9,40.3,30.4,99.9,-
301-350,National Sun Yat-Sen UniversityTaiwan,27.9,23.9,32.5,48.5,43.9,-
301-350,"National University of Ireland, GalwayRepublic of Ireland",22.6,69.3,19.8,51.9,41.1,-
301-350,North Carolina State UniversityUnited States of America,34.8,29.2,28.8,47.6,35.7,-
301-350,Polytechnic University of MilanItaly,27.2,38.1,23.8,47.7,68.1,-
301-350,Renmin University of ChinaChina,36.1,45.8,12,59.6,44,-
301-350,Sapienza University of RomeItaly,35.3,33.2,30.6,39.1,36,-
301-350,Sharif University of TechnologyIran,32.9,16.7,42.8,34.2,93,-
301-350,State University of New York AlbanyUnited States of America,30.2,27.8,30,52.9,-,-
301-350,Sun Yat-sen UniversityChina,33.1,24.2,17.8,52.2,43.5,-
301-350,UiT The Arctic University of NorwayNorway,21.7,61.8,19.4,56.4,29.1,-
301-350,University College CorkRepublic of Ireland,25.3,71.5,19.5,47.4,38.8,-
301-350,University of CanterburyNew Zealand,19.9,88,24,48.4,49.8,-
301-350,University of CreteGreece,17.1,44.4,16.3,68.6,34.1,-
301-350,University of Eastern FinlandFinland,22.4,39.5,19.1,58.1,36.7,-
301-350,University of FribourgSwitzerland,20.8,59.5,11,69.4,-,-
301-350,University of GrazAustria,26.9,59.7,17.6,57.4,29.5,-
301-350,University of GuelphCanada,24.4,39,31.3,48.2,48.1,-
301-350,University of KentuckyUnited States of America,39.1,21.7,27.8,45.5,-,-
301-350,University of ManitobaCanada,31.6,38.6,32.4,44.4,43.5,-
301-350,"University of Maryland, Baltimore CountyUnited States of America",19.4,32.6,16.4,65.2,32.6,-
301-350,University of PaduaItaly,21,37,21.4,64.5,31.7,-
301-350,University of PaviaItaly,25.6,34.4,18.3,56.3,60.6,-
301-350,University of PisaItaly,22.6,29.6,23.2,63.8,39.4,-
301-350,University of PortsmouthUnited Kingdom,12.8,70.2,10.5,72.3,29.2,-
301-350,University of South AustraliaAustralia,28.4,81,25,34.1,83.7,-
301-350,University of TampereFinland,25.6,35,23.9,51.2,49.3,-
301-350,University of TsukubaJapan,39.9,30.7,26.2,45.3,33,-
301-350,University of VermontUnited States of America,28.5,19.9,20.6,58.6,-,-
301-350,University of WaikatoNew Zealand,17.7,85.6,19.9,61.9,28.2,-
301-350,University of WollongongAustralia,22.5,83.7,27.3,47.4,54,-
301-350,Vrije Universiteit BrusselBelgium,26.7,48.4,26.8,53.8,37.5,-
301-350,Washington State UniversityUnited States of America,29.9,33.9,30.6,47.1,55.8,-
301-350,Wayne State UniversityUnited States of America,34.3,28.1,16.2,58.4,-,-
301-350,York UniversityCanada,20.9,50.7,30.1,50.5,41.9,-
301-350,Zhejiang UniversityChina,40.3,20.1,34.5,32.6,89,-
351-400,Aalborg UniversityDenmark,21.7,67.2,24.9,41,39,-
