Rank,Title,Teaching,International Outlook,Research,Citations,Industry Income,Overall
27,King’s College LondonUnited Kingdom,64.5,93.8,75.8,93.8,40.1,78.2
28,Karolinska InstituteSweden,60.6,73.1,81.1,92.2,75.8,77.5
29,LMU MunichGermany,70.5,62.8,77.4,85.7,100,77.3
30,New York UniversityUnited States of America,74.7,49.3,72.3,95.3,30.4,77.2
31,École Polytechnique Fédérale de LausanneSwitzerland,61.3,98.6,67.5,94.6,65.4,76.1
32,University of WashingtonUnited States of America,67.1,51.2,70,98.6,43.1,75.6
33,University of MelbourneAustralia,62,87.1,75.5,86.6,64.6,75.4
34,University of British ColumbiaCanada,60.2,90.5,73.2,91.5,42.6,75.3
35,KU LeuvenBelgium,59.9,68.6,76.9,87.3,100,74.8
36,University of Illinois at Urbana-ChampaignUnited States of America,64.5,45.8,81.2,86.8,52.8,74.5
37,Heidelberg UniversityGermany,68.8,62.8,69.6,88.2,68.2,74.4
38,McGill UniversityCanada,66.1,85.5,72.1,78.9,40.3,72.6
39,"University of California, San DiegoUnited States of America",56.9,42.9,69.8,98.7,56.7,72.2
39,"University of California, Santa BarbaraUnited States of America",52.6,61.5,66,99.2,90.4,72.2
41,Georgia Institute of TechnologyUnited States of America,57.8,71.5,72.7,86,73.7,72.1
42,Peking UniversityChina,77.8,49.2,72.4,69.1,100,72
43,University of TokyoJapan,81.4,30.3,83,60.9,50.8,71.1
44,"University of California, DavisUnited States of America",60.1,58.4,72.7,84.3,57.3,71
44,University of Hong KongHong Kong,64.6,99.5,72.8,70.1,53.7,71
46,University of Texas at AustinUnited States of America,59.3,31.7,69.7,92.2,63.1,70.3
47,Tsinghua UniversityChina,73.3,39.5,83,58.8,100,70
47,Wageningen University and Research CenterNetherlands,52.6,70.3,66.9,87.8,100,70
49,Humboldt University of BerlinGermany,63.7,62.6,77,73.6,36.1,69.9
50,University of Wisconsin-MadisonUnited States of America,65.1,33,68.2,86.6,48.5,69.7
51,Brown UniversityUnited States of America,62.8,57.8,55.7,96.4,31.4,69.6
52,Australian National UniversityAustralia,54.7,93.3,77.3,72.3,48,69.5
53,Technical University of MunichGermany,61,63.8,66,80.1,99.2,69.4
54,École Normale SupérieureFrance,70.6,85.5,47.7,87.1,37.1,69
55,Nanyang Technological UniversitySingapore,48.4,94.6,61.3,85.6,99.9,68.2
56,University of ManchesterUnited Kingdom,58.4,87,66,77.3,42,68.1
56,University of SydneyAustralia,54.3,84.4,68.1,77.5,72.4,68.1
58,University of AmsterdamNetherlands,52.2,66.5,64.7,87.4,62.8,67.8
59,Hong Kong University of Science and TechnologyHong Kong,49.4,80.5,66.1,82.6,68.1,67.2
60,The University of QueenslandAustralia,49.2,89.3,62.8,82.4,76.7,67
60,Washington University in St LouisUnited States of America,54.3,44.9,55.6,99.2,33.5,67
62,Utrecht UniversityNetherlands,48.1,55.8,64.3,88.1,89.1,66.6
63,University of North Carolina at Chapel HillUnited States of America,58,39,54.5,95.9,39.4,66.4
64,Boston UniversityUnited States of America,57.8,51,49.5,97.7,30.3,66.1
65,Delft University of TechnologyNetherlands,55,84,73.8,61.5,100,65.9
65,University of MinnesotaUnited States of America,53.5,35.3,61,88,98.5,65.9
67,Leiden UniversityNetherlands,50.5,64.3,63.1,85.2,49.8,65.7
68,University of Southern CaliforniaUnited States of America,49.3,56.3,58.9,93,38,65.5
69,University of BristolUnited Kingdom,47.6,82.4,51.6,91.2,40,64.3
