Rank,Title,Teaching,International Outlook,Research,Citations,Industry Income,Overall
301-350,VŠB - Technical University of OstravaCzech Republic,18.8,22.3,15.7,85.5,32.1,-
301-350,Yonsei UniversitySouth Korea,37.2,41.5,34.1,39.4,75.9,-
301-350,York UniversityCanada,30.2,58.2,30.8,49.1,33.2,-
351-400,Bilkent UniversityTurkey,22.6,47.5,17.5,64.1,30.2,-
351-400,"Binghamton University, State University of New YorkUnited States of America",22.7,53.6,17.4,62,34,-
351-400,University of CreteGreece,18.6,47,19.2,73.6,34.5,-
351-400,University of CyprusCyprus,18,74.7,28.5,56.7,30,-
351-400,Drexel UniversityUnited States of America,31.2,46.3,14.6,57.7,36.3,-
351-400,University of Eastern FinlandFinland,24.8,46.1,20.7,65.1,33.3,-
351-400,University of FlorenceItaly,21.7,38.5,20.4,72.1,35.9,-
351-400,University of St GallenSwitzerland,25.8,97.6,11.2,53.5,41.8,-
351-400,Graz University of TechnologyAustria,26,69.3,15.8,52.9,77.2,-
351-400,University of GuelphCanada,28,53.6,34.2,44.4,47.4,-
351-400,Hanyang UniversitySouth Korea,33.9,54.3,32.6,31.1,87.9,-
351-400,Hong Kong Baptist UniversityHong Kong,22.6,75,12.1,67.9,28.8,-
351-400,University of HoustonUnited States of America,34.9,33.9,26.5,52,42.3,-
351-400,Indian Institute of Technology BombayIndia,37.8,17.7,28.6,48.5,42.3,-
351-400,Instituto Superior Técnico LisboaPortugal,22.2,43.7,25,59.8,38.8,-
351-400,University of JyväskyläFinland,28.2,47.1,25.5,55.5,34.2,-
351-400,La Trobe UniversityAustralia,27,78,28.5,45.4,43.7,-
351-400,Loughborough UniversityUnited Kingdom,31.2,72.9,32.2,41.3,36.6,-
351-400,University of ManitobaCanada,27.1,57.8,26.9,49.7,41.8,-
351-400,University of MissouriUnited States of America,31.2,31,21,60.2,31.1,-
351-400,University of Modena and Reggio EmiliaItaly,18.7,34.2,15.6,72.9,32.3,-
351-400,University of MontanaUnited States of America,30.8,21.5,13.6,65.5,31,-
351-400,"National University of Ireland, MaynoothRepublic of Ireland",24.6,75.6,22.8,50.2,36.6,-
351-400,University of Nebraska Medical CenterUnited States of America,37,37.7,13.3,64.4,33.6,-
351-400,University of New MexicoUnited States of America,25.6,28.6,15.4,74.5,37,-
351-400,Norwegian University of Science and TechnologyNorway,16.3,59.9,25.8,59.8,51.8,-
351-400,University of OuluFinland,23.1,56.9,15.9,62.3,30.9,-
351-400,"University of Palermo, ArgentinaArgentina",16,51.8,7.7,88.2,-,-
351-400,Panthéon-Sorbonne University – Paris 1France,53.2,47.6,47.6,6.8,28.3,-
351-400,Polytechnic University of TurinItaly,23.7,50.6,18.6,65.9,42.5,-
351-400,University of Rome IIIItaly,23.1,35.9,21,64.8,37.5,-
351-400,Sabancı UniversityTurkey,22.3,42.7,32.3,52.8,70,-
351-400,San Diego State UniversityUnited States of America,20.3,25.9,27,62.7,29.3,-
351-400,University of South AustraliaAustralia,26.4,89,26.7,41.2,85.9,-
351-400,University of South CarolinaUnited States of America,31.1,24.5,21.5,58.7,30.3,-
351-400,University of South DakotaUnited States of America,29.3,17.1,12.1,70.4,28,-
351-400,State University of CampinasBrazil,44.6,21.1,42.3,22.6,49.4,-
351-400,University of StirlingUnited Kingdom,22.6,77.7,23.5,59.1,30.4,-
351-400,Sun Yat-sen UniversityChina,31.9,37,24.6,45.7,79.4,-
351-400,Swansea UniversityUnited Kingdom,22.2,72.4,23.8,58.2,32.7,-
351-400,Swinburne University of TechnologyAustralia,21.5,84.8,20.2,53.4,32.2,-
351-400,University of TartuEstonia,23.8,46.1,22.8,64.2,31.5,-
351-400,Temple UniversityUnited States of America,34,28.6,18.2,58.3,41.6,-
351-400,University of Texas at San AntonioUnited States of America,18.1,29.6,16.6,74.9,28.6,-
351-400,UiT The Arctic University of NorwayNorway,26.5,66.1,18.7,58.8,36.8,-
351-400,Université Libre de BruxellesBelgium,26.1,84.5,28.3,47.9,39.1,-
351-400,Lille 2 University – Health and LawFrance,15.1,39.4,9.5,81.7,31.5,-
351-400,University College CorkRepublic of Ireland,28.6,75.5,23.8,48.4,47.1,-
351-400,Verona UniversityItaly,23.6,38.3,13.1,76.1,36.6,-
351-400,Victoria University of WellingtonNew Zealand,26,88.8,28.7,44.3,45.6,-
351-400,Washington State UniversityUnited States of America,29,39.6,28.2,49.6,57.1,-
351-400,Wayne State UniversityUnited States of America,31.9,29.6,14.2,65.3,41.7,-
401-500,American UniversityUnited States of America,42.2,28.9,16.5,41.1,35.9,-
401-500,Aston UniversityUnited Kingdom,18.4,92.5,20.4,51.9,34.6,-
401-500,University of AveiroPortugal,24.8,45.9,26.5,43.6,40.1,-
401-500,University of Bari Aldo MoroItaly,28.7,31.7,21.6,48.8,45.4,-
401-500,Bar-Ilan UniversityIsrael,22.6,49.4,21.3,42.3,28.9,-
401-500,Bournemouth UniversityUnited Kingdom,32,70.6,12.6,35.2,28.8,-
401-500,University of BresciaItaly,15.6,36.6,14.8,72.3,35.8,-
401-500,Brno University of TechnologyCzech Republic,18,35.8,14.7,55.8,33.7,-
401-500,Brunel University LondonUnited Kingdom,24.8,91.8,23.3,39.5,34.7,-
401-500,Ca’ Foscari University of VeniceItaly,23.9,38.1,27.8,48.9,32.3,-
401-500,University of CagliariItaly,19.4,32.6,13.2,56.8,33.6,-
401-500,University of CanterburyNew Zealand,23.5,91,22.5,38.9,52.1,-
401-500,Catholic University of the Sacred HeartItaly,18.6,39,11.3,55.4,38.7,-
401-500,Charles University in PragueCzech Republic,31.5,52.8,21.5,41,28.2,-
401-500,"China Medical University, TaiwanTaiwan",24,25.7,29.4,45,60.4,-
401-500,City University LondonUnited Kingdom,23.5,89.6,21.2,43.5,28.9,-
401-500,Claude Bernard University Lyon 1France,21.3,50.5,13.2,66.5,34.5,-
401-500,University of CoimbraPortugal,28.3,46.2,26.5,42.4,34.8,-
401-500,Complutense University of MadridSpain,33.2,39.1,27.6,31.2,30.9,-
401-500,Concordia UniversityCanada,19.3,77.4,23.4,36.4,30.9,-
401-500,Curtin UniversityAustralia,20.1,93.1,20.2,44.6,37.8,-
401-500,Dublin City UniversityRepublic of Ireland,26.1,76.7,25.2,36.3,51.7,-
401-500,East China University of Science and TechnologyChina,24.1,21.7,17.1,46.4,64.7,-
401-500,Ewha Womans UniversitySouth Korea,23.9,34.3,18.3,50.4,57.6,-
401-500,Federico Santa María Technical UniversityChile,17.2,54.1,10.1,70.5,35.1,-
401-500,University of FerraraItaly,17.7,41.8,17.2,63.3,35.9,-
401-500,Florida International UniversityUnited States of America,25.7,32.8,18.1,49.4,32.7,-
401-500,University of GenoaItaly,27.2,38.8,14.2,59.3,42.3,-
401-500,Georgia State UniversityUnited States of America,26.3,29.5,19.5,52.9,28.7,-
401-500,University of GrazAustria,24.9,68.9,16.3,53.3,29.3,-
401-500,Heriot-Watt UniversityUnited Kingdom,23.4,90.1,22.4,36.4,45.6,-
401-500,Hokkaido UniversityJapan,40.3,27.9,32.8,29.3,53.7,-
401-500,Howard UniversityUnited States of America,38.8,30.3,11,44.5,-,-
401-500,University of HullUnited Kingdom,22.4,73.2,16.1,41.1,31.8,-
401-500,University of IdahoUnited States of America,28.3,32,19.4,40.8,32.4,-
401-500,Indian Institute of Technology DelhiIndia,35.8,15.5,25.8,33.4,62.8,-
401-500,Indian Institute of Technology KharagpurIndia,33.2,13.3,30.5,41.4,31.7,-
401-500,Indian Institute of Technology MadrasIndia,34.6,16.1,20.7,31.4,88.9,-
401-500,University of IoanninaGreece,14.5,36.9,17.7,56.4,32.9,-
401-500,Iran University of Science and TechnologyIran,25.9,12.2,26,42.3,61.2,-
401-500,Johannes Kepler University of LinzAustria,19.2,58.5,13.8,51.6,37.4,-
401-500,University of KaiserslauternGermany,29.6,44.1,22.6,47.5,80.2,-
401-500,Keele UniversityUnited Kingdom,20,72.7,17.6,53,29.3,-
401-500,University of KwaZulu-NatalSouth Africa,20.3,58.6,25.7,41.5,38.2,-
401-500,Kyung Hee UniversitySouth Korea,26.1,46.4,27.6,39.2,89.4,-
401-500,Kyushu UniversityJapan,36.5,26.4,27.5,31.8,83.2,-
401-500,Lehigh UniversityUnited States of America,23.9,36,15,58.2,38.9,-
401-500,Louisiana State UniversityUnited States of America,26.8,26.1,27.7,37.8,-,-
401-500,University of MacauMacau,18.5,98.4,17,49.7,34.9,-
401-500,Makerere UniversityUganda,15.1,58,10.6,70.7,28,-
401-500,Marche Polytechnic UniversityItaly,15.2,27.3,11,80.2,28,-
401-500,"University of Maryland, Baltimore CountyUnited States of America",21.3,28.2,18.2,61.3,31.7,-
401-500,Murdoch UniversityAustralia,18.7,88.3,19.6,51.2,36.5,-
401-500,University of NantesFrance,19.6,35.1,12.2,69.4,-,-
401-500,National and Kapodistrian University of AthensGreece,26.7,39,16.3,45.8,-,-
401-500,National Autonomous University of MexicoMexico,42.7,35.9,40.2,14.8,63.7,-
401-500,National Cheng Kung UniversityTaiwan,29.8,27.7,40.2,27.2,100,-
401-500,National Institute of Applied Sciences of Lyon (INSA Lyon)France,27,63.6,10.6,41.8,40.3,-
401-500,National Yang-Ming UniversityTaiwan,41.5,15.8,18.5,33.3,30.2,-
401-500,University of NeuchâtelSwitzerland,24.2,91.4,14.7,48.2,-,-
401-500,New University of LisbonPortugal,26.9,44.5,21.9,38.3,41.3,-
401-500,University of Nice Sophia AntipolisFrance,21.4,79.5,16.1,53.7,28.5,-
401-500,Novosibirsk State UniversityRussian Federation,41.4,32.4,30.8,26.2,38.2,-
401-500,The Open UniversityUnited Kingdom,21,51.5,13.8,60.3,28.4,-
401-500,Oxford Brookes UniversityUnited Kingdom,25.7,68.9,18.8,42.7,28.4,-
401-500,University of PalermoItaly,15.3,23.6,9.1,77.4,28,-
401-500,University of ParmaItaly,17.7,36.8,16.6,56.4,37.1,-
401-500,University of PisaItaly,21.6,31.1,18.9,64.5,31.4,-
401-500,Polytechnic University of CataloniaSpain,25.2,63.9,14.8,44.7,40.9,-
401-500,Pontifical Catholic University of ChileChile,28.2,52.4,21.3,37,28,-
401-500,University of PortoPortugal,32,45.4,28.2,37.2,38.7,-
401-500,University of PortsmouthUnited Kingdom,17.2,79.3,10.9,58.2,28.9,-
401-500,RMIT UniversityAustralia,24.7,82.1,17.7,44.6,37,-
401-500,University of Rome II – Tor VergataItaly,23.5,36.5,17.2,64.5,34.7,-
401-500,University of Rovira i VirgiliSpain,20.8,41.5,14.8,66.9,30.9,-
401-500,Saint Petersburg State UniversityRussian Federation,47.9,33,31.4,14.5,29.5,-
401-500,University of SalentoItaly,29.6,24.5,13.2,53,36.2,-
401-500,University of San FranciscoUnited States of America,34.2,40.1,12.9,43.8,28.6,-
401-500,University of SaskatchewanCanada,30.8,52.9,22.4,39.7,62.9,-
401-500,Sharif University of TechnologyIran,26.6,15.9,30.1,33.7,87.8,-
401-500,University of SienaItaly,23.7,39,17.8,45.2,33.2,-
401-500,Southern Cross UniversityAustralia,18.9,52.7,18.3,53.3,37.7,-
401-500,State University of New York AlbanyUnited States of America,25.6,31.4,35.3,35.5,28,-
401-500,University of StrathclydeUnited Kingdom,25.9,71,28,31.8,44.1,-
401-500,University of TampereFinland,23.5,41.9,13.7,63.7,40,-
401-500,Tampere University of TechnologyFinland,23.1,54,17.2,45.5,67.5,-
401-500,Tokyo Medical and Dental University (TMDU)Japan,39.3,23.1,18.3,36.6,59.5,-
401-500,Tokyo Metropolitan UniversityJapan,21.6,19.9,11.4,72.2,30.9,-
401-500,University of TsukubaJapan,40,34.4,30,33.7,42.9,-
401-500,University of UlsanSouth Korea,19.5,18.6,20.5,54,64.7,-
401-500,Ulster UniversityUnited Kingdom,19.1,79,13.2,44.1,29.2,-
401-500,Université du Québec à MontréalCanada,26.8,42.9,24.5,41.6,29.2,-
401-500,Universiti Teknologi MalaysiaMalaysia,26.3,51.7,14.6,44.7,31.1,-
401-500,University of Urbino Carlo BoItaly,17.2,35,8.7,66.8,31.2,-
401-500,University of ValenciaSpain,22.7,40.5,16.9,49.6,31.3,-
401-500,University of WaikatoNew Zealand,19.3,87,18.2,53.7,30.7,-
401-500,Western Sydney UniversityAustralia,20.1,54,24.6,52.3,30.7,-
401-500,Wuhan UniversityChina,38.2,36.7,26.8,18,97.8,-
401-500,Xiamen UniversityChina,26.7,25,15.6,47,-,-
501-600,American University of BeirutLebanon,27.7,93,11.2,31.9,-,-
501-600,Amirkabir University of TechnologyIran,24.5,7.7,25.7,34.8,55.7,-
501-600,"University of the Andes, ColombiaColombia",21.2,51.7,13.8,31.2,28,-
501-600,University of ArkansasUnited States of America,25.5,25.9,17.4,30.3,36.9,-
501-600,Auburn UniversityUnited States of America,30.2,27.9,19.4,21,37.2,-
501-600,Babeş-Bolyai UniversityRomania,27.9,35.4,12.5,32.1,28.6,-
501-600,University of the Basque CountrySpain,18.2,34.9,11.9,43.1,30.3,-
501-600,Bauman Moscow State Technical UniversityRussian Federation,44,15.6,23.7,3.1,68.1,-
501-600,Ben-Gurion University of the NegevIsrael,25.1,52.9,21.3,30.1,28.7,-
501-600,Blaise Pascal UniversityFrance,20.2,66.6,2.9,46.9,-,-
501-600,Boğaziçi UniversityTurkey,21.2,38.3,17.2,45.4,35.5,-
501-600,University of BurgundyFrance,21.4,50.9,8.8,46.3,-,-
501-600,University of CanberraAustralia,18.4,54.6,19.3,29.8,36.2,-
501-600,Carleton UniversityCanada,19.9,61.3,24,32,30.4,-
501-600,University of CataniaItaly,19.2,25.3,15.9,52.9,29.5,-
501-600,Central Queensland UniversityAustralia,20.9,50.8,11.4,43.7,32.5,-
501-600,University of ChileChile,28.3,44.1,19.6,30.5,-,-
501-600,China Agricultural UniversityChina,35.8,17.6,24.9,22.6,52.3,-
501-600,Chung-Ang UniversitySouth Korea,29.9,43.7,27.6,17.4,61.3,-
501-600,Czech Technical University in PragueCzech Republic,20.6,25,9.3,46.5,28.2,-
501-600,De Montfort UniversityUnited Kingdom,16.8,58.4,10.1,40.1,28.5,-
501-600,East China Normal UniversityChina,24.6,30.6,14.7,43.3,42,-
501-600,Edith Cowan UniversityAustralia,18.9,68.7,16.1,35,34.5,-
501-600,Federal University of Rio de JaneiroBrazil,32.4,25.1,19.7,18.3,42.9,-
501-600,University of GranadaSpain,24.3,36.4,14.7,45.8,29.4,-
501-600,University of HaifaIsrael,25.5,34.7,29.5,26.2,30.3,-
501-600,Harbin Institute of TechnologyChina,29.4,25.6,27.3,15.7,99.8,-
501-600,University of HertfordshireUnited Kingdom,15.5,78.9,9.5,50.5,29.3,-
501-600,Hiroshima UniversityJapan,27.8,22.2,18.9,41.7,42.2,-
501-600,Huazhong University of Science and TechnologyChina,29.3,17.3,22.7,31.6,71.8,-
501-600,Indian Institute of Technology GuwahatiIndia,24.3,12.9,20.7,42.6,32.3,-
501-600,Indian Institute of Technology KanpurIndia,33.1,16.4,15,31.5,28,-
501-600,Indian Institute of Technology RoorkeeIndia,29.7,13.9,17.5,37.2,81.4,-
501-600,Isfahan University of TechnologyIran,18.1,17.2,23,39.5,99.5,-
501-600,Istanbul Technical UniversityTurkey,19.2,22.9,25.8,26.5,72.1,-
501-600,Jadavpur UniversityIndia,32.8,7.7,22.2,31.8,33.8,-
501-600,Kanazawa UniversityJapan,24.7,18.4,14.8,35.5,30.4,-
501-600,Kansas State UniversityUnited States of America,22.9,41.7,17.5,39.3,43.1,-
501-600,Keio UniversityJapan,25,22.7,17.5,28.5,41.4,-
501-600,Kent State UniversityUnited States of America,18.4,32.4,14.2,53.8,28.5,-
501-600,King Fahd University of Petroleum and MineralsSaudi Arabia,25.4,84.5,16.1,24.4,81.2,-
501-600,King Saud UniversitySaudi Arabia,20,75.5,17.5,22.3,57.4,-
501-600,University of La LagunaSpain,16.9,44.7,10,44.8,28.5,-
501-600,Lappeenranta University of TechnologyFinland,27.1,53,27.5,20.8,80.3,-
501-600,University of LimerickRepublic of Ireland,19.8,76.5,16.3,36.6,34,-
501-600,University of LisbonPortugal,25.9,46.6,18.3,32.4,35.4,-
501-600,Liverpool John Moores UniversityUnited Kingdom,16.4,62.1,11.6,45.9,28.8,-
501-600,Mahidol UniversityThailand,26.8,44.1,15.1,28.3,71.6,-
501-600,Manchester Metropolitan UniversityUnited Kingdom,22.7,57.8,10.6,30.8,28.3,-
501-600,University of MariborSlovenia,17.1,33.6,11.5,42.1,38.7,-
501-600,Masaryk UniversityCzech Republic,21.2,48.9,22.9,27.8,28.5,-
501-600,Massey UniversityNew Zealand,23.1,80.5,17.1,31.9,35.8,-
501-600,Memorial University of NewfoundlandCanada,18.1,53.3,15.8,35.6,48.3,-
501-600,Middle East Technical UniversityTurkey,29.9,26.7,17.3,28.8,60,-
501-600,University of MinhoPortugal,23.9,43.6,20.1,35.3,51.6,-
501-600,Missouri University of Science and TechnologyUnited States of America,23.5,40.6,18.4,28.7,52.8,-
501-600,Montana State UniversityUnited States of America,17.7,23.5,21.8,48,43,-
501-600,Monterrey Institute of Technology and Higher EducationMexico,23.9,59.6,12.7,23.4,75.8,-
501-600,National Central UniversityTaiwan,26.3,27.1,23.2,17.5,75.3,-
501-600,National Sun Yat-Sen UniversityTaiwan,26.1,19.7,33,25.8,44.3,-
501-600,National Taiwan Normal UniversityTaiwan,26.2,38.1,31.3,16.2,81.9,-
501-600,National Technical University of AthensGreece,20.2,31.3,15,36.2,40.3,-
501-600,New Jersey Institute of TechnologyUnited States of America,18.9,48.5,16.6,32.2,32.2,-
501-600,New Mexico State UniversityUnited States of America,19.5,30.5,19.2,47.2,34.6,-
501-600,University of North Carolina at GreensboroUnited States of America,18.2,17.4,15.3,43.1,28.9,-
501-600,Oklahoma State UniversityUnited States of America,27.5,25.6,22.7,33.1,33.7,-
501-600,Osaka City UniversityJapan,26.3,21.3,13.4,34.4,40.7,-
501-600,Otto von Guericke University of MagdeburgGermany,22.9,43.9,14.4,39.7,37.7,-
501-600,University of OviedoSpain,19.5,36.2,10.8,41.9,34.1,-
501-600,Palacký University in OlomoucCzech Republic,19.2,48.8,11.8,42.9,28.7,-
501-600,Panjab UniversityIndia,24.6,14.1,8.8,41,28.1,-
501-600,Paris Dauphine UniversityFrance,21.9,69.3,11.1,27.6,30.6,-
501-600,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,24.5,31.3,24.1,23.1,100,-
501-600,Portland State UniversityUnited States of America,16.8,31.6,14.4,43.3,44.6,-
501-600,University of PretoriaSouth Africa,25.6,46,21.2,17.5,52.4,-
501-600,Pusan National UniversitySouth Korea,27.5,32.9,24.7,20.4,66.8,-
501-600,Quaid-i-azam UniversityPakistan,17.9,35.4,9.9,45.6,-,-
501-600,University of ReginaCanada,15.6,47.7,15.8,34.2,34.4,-
501-600,Renmin University of ChinaChina,34.7,40.1,13.7,30.7,42.5,-
501-600,University of Rennes 1France,17.8,53,10.3,44.7,31.7,-
501-600,University of SalamancaSpain,26.1,40.8,16.9,25.9,31.6,-
501-600,University of Santiago de CompostelaSpain,22.9,37.1,14.1,46.9,32.3,-
501-600,Semmelweis UniversityHungary,19.6,81.7,10.6,41.5,30.7,-
501-600,University of SevilleSpain,21.5,32,14.9,32.6,36.7,-
501-600,Université de SherbrookeCanada,25.6,39.8,9.5,41.3,29.6,-
501-600,Soochow UniversityChina,19.2,16,13.7,45.8,75.3,-
501-600,South China University of TechnologyChina,19.5,17.5,22.1,28.1,86.8,-
501-600,Tallinn University of TechnologyEstonia,16.3,37.9,15,38.7,44.8,-
501-600,Tehran University of Medical SciencesIran,51.8,14.1,20,9.3,30,-
501-600,University of Texas at ArlingtonUnited States of America,20.1,50.3,10.1,50.9,33.4,-
501-600,Tianjin UniversityChina,36.5,14.7,34.4,12.2,100,-
501-600,Tokyo University of Agriculture and TechnologyJapan,34.9,19.4,24.1,16.9,39.9,-
501-600,University of ToledoUnited States of America,31.6,37.7,13.4,29.9,32.9,-
501-600,Tongji UniversityChina,28.9,37.2,29.2,13.1,63.5,-
501-600,University of TulsaUnited States of America,29.7,43.8,12.9,24.6,71.7,-
501-600,United Arab Emirates UniversityUnited Arab Emirates,18.8,95,14.8,21.7,30.1,-
501-600,University of WarsawPoland,26.1,41.6,15.8,42.2,28.5,-
501-600,University of Wisconsin-MilwaukeeUnited States of America,17.3,26,13.8,45.5,29,-
501-600,Xi’an Jiaotong UniversityChina,28.7,25.8,22.5,25.5,70.4,-
501-600,University of ZaragozaSpain,20.1,33.5,12.7,49.5,36.7,-
601-800,University of A CoruñaSpain,18.3,23.4,10,16.6,38.2,-
601-800,Adam Mickiewicz UniversityPoland,20,25.7,11,15.3,28.7,-
601-800,AGH University of Science and TechnologyPoland,14.2,17.9,3.7,35.7,-,-
601-800,Ajou UniversitySouth Korea,19.5,20,11.9,23.9,45.7,-
601-800,University of AlcaláSpain,17.6,50,11.2,28.3,43.3,-
601-800,Alexandria UniversityEgypt,20.3,33.7,8.2,14.1,29.7,-
601-800,Alexandru Ioan Cuza UniversityRomania,24.9,46.9,13.6,7,28.2,-
601-800,Aligarh Muslim UniversityIndia,28.3,18.7,10,20.9,29.6,-
601-800,American University of SharjahUnited Arab Emirates,12.4,95.6,10.6,13.3,33.3,-
601-800,Amrita UniversityIndia,20.4,29.6,5.8,20.7,28,-
601-800,Anadolu UniversityTurkey,12.2,14.3,22.6,10.9,100,-
601-800,Andhra UniversityIndia,34.8,7.2,6.9,1.2,31.3,-
601-800,University of AntioquiaColombia,18.1,42,21.1,14.8,43.6,-
601-800,Aristotle University of ThessalonikiGreece,22.6,36.6,15,29.5,33.6,-
601-800,"Asia University, TaiwanTaiwan",14.4,18.3,15.9,30.5,38.4,-
601-800,Athens University of Economics and BusinessGreece,13.4,39.2,18.8,31.2,66.5,-
601-800,Auckland University of TechnologyNew Zealand,17.3,95.6,9.8,21.7,28.5,-
601-800,Austral University of ChileChile,16.7,45.2,9.7,14.2,41.1,-
601-800,Beijing Institute of TechnologyChina,25.9,16.9,21.7,9.1,87.6,-
601-800,Belarusian State UniversityBelarus,20.2,48.2,8.7,6,28,-
601-800,University of BelgradeSerbia,20.4,30.5,13.2,14,45.6,-
601-800,"Birla Institute of Technology and Science, PilaniIndia",18.3,13.7,8.3,17.4,29.6,-
601-800,University of BradfordUnited Kingdom,18.7,79.1,15.9,22.7,32.7,-
601-800,University of BrasíliaBrazil,21.9,24.1,7.4,10.4,-,-
601-800,University of BrightonUnited Kingdom,16.7,62.8,10.7,20.1,29.4,-
601-800,University of BucharestRomania,34.3,21.3,11.5,9.9,29.5,-
601-800,Budapest University of Technology and EconomicsHungary,17.1,30.4,13.7,21.6,39.7,-
601-800,Cairo UniversityEgypt,18.9,31,11.1,11.9,30.3,-
601-800,University of CalcuttaIndia,34.7,13.1,8.7,19.8,29.2,-
601-800,"California State University, Long BeachUnited States of America",11.6,18.9,10.4,23.3,-,-
601-800,Capital Medical UniversityChina,26.3,18.8,14.9,16.3,28.8,-
601-800,University of Castilla-La ManchaSpain,18.4,28.6,10.3,30.5,29.7,-
601-800,University of Central LancashireUnited Kingdom,15.7,54.1,9.4,28.2,28.9,-
601-800,University of Cergy-PontoiseFrance,18.7,49.1,6.3,13.2,28.6,-
601-800,Chang Gung UniversityTaiwan,19.3,15.7,24.7,27.6,31.9,-
601-800,Carlos III University of MadridSpain,23.2,44.7,17.4,24.8,34.8,-
601-800,"University of Chemistry and Technology, PragueCzech Republic",21.6,46.3,12,17.4,38.9,-
601-800,Chiang Mai UniversityThailand,17.8,34.9,9.4,30,32.3,-
601-800,Chiba UniversityJapan,26.9,21,16.8,24.8,55.3,-
601-800,China University of Geosciences (Wuhan)China,21.1,16.1,21.4,21.5,64.5,-
601-800,China University of Petroleum (Beijing)China,23.6,15.9,26.6,4,100,-
601-800,Chonbuk National UniversitySouth Korea,19.7,27.2,14.7,24.5,33.3,-
601-800,Chongqing UniversityChina,19.5,15.5,15.5,8.7,73.8,-
601-800,Chonnam National UniversitySouth Korea,17.5,20.4,11.7,29.1,31.4,-
601-800,Chulalongkorn UniversityThailand,23.8,32.8,14.1,16.7,37.8,-
601-800,Chung Yuan Christian UniversityTaiwan,15.9,18.7,22.1,17.4,41.9,-
601-800,Chungnam National UniversitySouth Korea,23.2,19.8,17.7,13.2,39.9,-
601-800,Clemson UniversityUnited States of America,21.4,34.6,19.7,27,35.8,-
601-800,Comenius University in BratislavaSlovakia,23,46.9,10.3,19.6,28,-
601-800,Coventry UniversityUnited Kingdom,17.1,69.6,7.7,18.4,29.1,-
601-800,Dalian University of TechnologyChina,22.6,20.7,19,23.5,93.3,-
601-800,University of DebrecenHungary,17.3,49,11.4,20.9,-,-
601-800,University of DelhiIndia,29.8,15.4,10.8,19.1,28.2,-
601-800,University of DhakaBangladesh,21.7,37.2,7.2,9.6,-,-
601-800,Dublin Institute of TechnologyRepublic of Ireland,16.1,70.5,8.8,20.7,28.1,-
601-800,Ehime UniversityJapan,19.2,20.9,11.3,17.5,37.8,-
601-800,University of Electronic Science and Technology of ChinaChina,20.5,13.4,12.9,8.8,28,-
601-800,Eötvös Loránd UniversityHungary,21.3,43,12.1,30.6,29.3,-
601-800,Erciyes UniversityTurkey,15.5,17.2,10.9,18,30.3,-
601-800,Federal University of BahiaBrazil,18.2,19.7,8.1,14.3,-,-
601-800,Federal University of Minas GeraisBrazil,27.9,21.6,15.4,23.1,30.7,-
601-800,Federal University of Paraná (UFPR)Brazil,24.6,15.5,9.6,7,-,-
601-800,Federal University of Rio Grande do SulBrazil,32.6,18.9,13.7,16.8,-,-
601-800,Federal University of Santa CatarinaBrazil,26,21,12.2,14.2,42.9,-
601-800,Federal University of São CarlosBrazil,29,16.8,10.8,11.5,-,-
601-800,Federal University of ViçosaBrazil,39.7,15,14.5,3.9,59,-
601-800,Federal University of LavrasBrazil,25.8,14.5,16.4,3,-,-
601-800,Feng Chia UniversityTaiwan,14.6,21.1,13.7,34.4,33.9,-
601-800,Florida Institute of TechnologyUnited States of America,20.4,62.4,13.5,24.6,33.4,-
601-800,Fu Jen Catholic UniversityTaiwan,14.4,19.1,9.8,18.2,47,-
601-800,Gdańsk University of TechnologyPoland,15.5,16.1,9.5,15.2,36.8,-
601-800,University of GhanaGhana,15.6,48.4,15.6,19.5,-,-
601-800,Gifu UniversityJapan,25.4,18.5,16.9,14.7,32.8,-
601-800,Glasgow Caledonian UniversityUnited Kingdom,17.1,55,10.4,24.2,29.9,-
601-800,University of GreenwichUnited Kingdom,15.7,81.8,9.5,17.7,30,-
601-800,Hacettepe UniversityTurkey,21,19.6,11.8,19.7,28.2,-
601-800,University of HuddersfieldUnited Kingdom,17.4,55.2,5.4,16.5,28,-
601-800,Hunan UniversityChina,18.3,14.8,15,21.2,46.7,-
601-800,University of IbadanNigeria,22.7,26.1,11.1,4.6,29.2,-
601-800,University of IndonesiaIndonesia,18.1,37.2,8,13.9,40,-
601-800,Inha UniversitySouth Korea,20.7,23.5,20,22.5,64.7,-
601-800,I-Shou UniversityTaiwan,12.8,24.8,11.5,13.3,41,-
601-800,Istanbul UniversityTurkey,26,20,23.3,10,100,-
601-800,Jagiellonian UniversityPoland,24,33.5,14.4,30.7,28,-
601-800,Jilin UniversityChina,28.2,20.3,14.4,14.6,42.1,-
601-800,University of JordanJordan,19,53.7,7.7,7.8,28.8,-
601-800,Jordan University of Science and TechnologyJordan,16.4,62.2,6.2,16.4,31.4,-
601-800,Juntendo UniversityJapan,32.3,16.7,10.5,24,51.1,-
601-800,K.N. Toosi University of TechnologyIran,20.9,7.1,18.1,22.5,45.5,-
601-800,Kaohsiung Medical UniversityTaiwan,20.6,19.9,22.2,20.5,33.2,-
601-800,Khon Kaen UniversityThailand,18.2,31.5,7.4,19.9,35.7,-
601-800,King Mongkut’s University of Technology ThonburiThailand,18.2,28.5,11.4,36.2,70.3,-
