Rank,Title,Teaching,International Outlook,Research,Citations,Industry Income,Overall
27,University of EdinburghUnited Kingdom,67.5,91.5,74.7,96,35,79.2
28,Karolinska InstituteSweden,62.1,74.2,76,95.9,72.1,77.6
29,Peking UniversityChina,84.6,50.3,80.3,71.6,100,77.2
30,École Polytechnique Fédérale de LausanneSwitzerland,62.9,98.6,66.1,96.5,69.8,76.8
30,LMU MunichGermany,70.5,65.4,73.4,87.4,100,76.8
32,New York UniversityUnited States,75.1,54.3,68.8,95.3,33.6,76.7
33,Georgia Institute of TechnologyUnited States,60.8,72.8,79.2,90.8,62.3,76.3
33,University of MelbourneAustralia,65.4,88.3,73.6,88.1,63.7,76.3
35,Tsinghua UniversityChina,78.9,39.4,89.6,67.4,99.7,76.2
36,University of British ColumbiaCanada,61.2,92,72.5,92.9,41.1,75.9
36,University of Illinois at Urbana-ChampaignUnited States,65.6,49.7,81.4,89.3,50.3,75.9
36,King’s College LondonUnited Kingdom,61.5,93.8,71,93.5,42.5,75.9
39,University of TokyoJapan,83.4,30.6,89.2,62.4,53.4,74.1
40,KU LeuvenBelgium,57,67.4,73.7,90.1,99.8,73.8
41,"University of California, San DiegoUnited States",61.2,47.7,66.2,98.9,67.3,73.2
42,McGill UniversityCanada,66.4,86.4,70.3,81.8,41.9,73.1
43,Heidelberg UniversityGermany,66.7,62.7,65,90.8,60,73
43,University of Hong KongHong Kong,66.5,99.4,74.5,73.2,52.9,73
45,University of Wisconsin-MadisonUnited States,68.2,42,71.4,87.9,47.4,72.6
46,Technical University of MunichGermany,61,66.6,70.5,82,100,71.6
47,Australian National UniversityAustralia,54,93.9,73.9,81.7,53.5,71.3
48,"University of California, Santa BarbaraUnited States",52.2,63.3,62.6,99.2,87.6,71.2
49,Hong Kong University of Science and TechnologyHong Kong,53.2,82.8,66.7,91.2,62,71.1
50,University of Texas at AustinUnited States,63.9,35.7,65.9,93,51.3,70.8
51,Brown UniversityUnited States,66.3,58,54.4,96.7,33.9,70.4
51,"University of California, DavisUnited States",61.4,61.2,67.3,86.6,50,70.4
53,University of MinnesotaUnited States,60.3,38.2,69.8,87,94.2,70.3
54,Nanyang Technological UniversitySingapore,50.6,95.7,60.2,90.7,93.5,70
55,University of ManchesterUnited Kingdom,58.2,87,66.3,82.3,45.1,69.7
56,University of North Carolina at Chapel HillUnited States,61.9,40,59.6,96.1,41,69.3
57,Humboldt University of BerlinGermany,62.5,64.4,69,79.9,39.4,69.2
57,Washington University in St LouisUnited States,60.7,45.5,56.2,99.1,36.9,69.2
59,Delft University of TechnologyNetherlands,56.2,85.9,72.9,67.3,99.9,67.9
60,University of QueenslandAustralia,49.7,88.6,60.1,86.1,70.6,67.2
60,University of Southern CaliforniaUnited States,50.5,62.7,60,94.7,39.4,67.2
60,University of SydneyAustralia,51.3,83.7,63.2,83.2,63.9,67.2
63,University of AmsterdamNetherlands,49.4,69.3,62,90.3,54.6,67.1
64,Boston UniversityUnited States,60.2,54.6,48.5,97.7,34.4,66.9
65,Wageningen University & ResearchNetherlands,51.8,75.6,50.1,92.8,100,66.6
66,École Normale SupérieureFrance,59.8,72.2,52.3,85.8,40,65.8
67,"University of Maryland, College ParkUnited States",51,36.7,63.2,91.1,38.5,65.3
68,Pennsylvania State UniversityUnited States,55.6,42.7,63.3,82.9,51.9,65
69,Erasmus University RotterdamNetherlands,38.8,77.1,56.8,95.6,57.7,64.6
70,Purdue UniversityUnited States,57.2,67.7,66.8,69,62.5,64.5
71,University of BristolUnited Kingdom,45.9,83.2,51.7,92.7,40.9,64.4
72,Ohio State UniversityUnited States,57,54.6,53.1,86.2,50.6,64.2
72,"Seoul National UniversityKorea, Republic of",70.2,32.4,69.8,58.8,85.2,64.2
74,Monash UniversityAustralia,49.5,87.1,57.4,78.5,76,64
75,Free University of BerlinGermany,58.1,67.2,67.3,66.9,38.9,63.7
76,Chinese University of Hong KongHong Kong,52.2,84,60.4,74.6,44.7,63.6
77,Leiden UniversityNetherlands,46.1,68.1,57.9,86.1,47.3,63.3
78,University of New South WalesAustralia,43.2,91,58.6,81.4,49.7,63
78,RWTH Aachen UniversityGermany,53.3,53.4,63.7,71.3,99.4,63
80,University of GroningenNetherlands,41.9,66.4,55.1,87.1,79.9,62.2
80,University of PittsburghUnited States,49.2,35.4,51.9,94.2,39.6,62.2
82,Dartmouth CollegeUnited States,58.6,37.9,41.1,94.2,39.9,62
82,Emory UniversityUnited States,52.9,52.7,39.7,97.4,43.2,62
82,Technical University of BerlinGermany,49.8,60.8,59.3,74.3,98,62
82,University of WarwickUnited Kingdom,46.8,91.4,52.6,80.9,40.8,62
86,Utrecht UniversityNetherlands,46.1,57.6,48.5,90.7,80.7,61.9
87,Rice UniversityUnited States,46.9,69.5,38.7,99.1,43.4,61.7
88,University of GlasgowUnited Kingdom,40.6,88.6,47.8,90.6,39.4,61.4
89,"Korea Advanced Institute of Science and Technology (KAIST)Korea, Republic of",55.7,34.3,53.2,78.5,100,61.3
89,University of TübingenGermany,46,57.8,56.2,82.9,56.3,61.3
91,University of HelsinkiFinland,47,52.2,57.6,83.5,34.9,61.2
91,Kyoto UniversityJapan,70.2,28,70.1,50.4,75.1,61.2
93,Uppsala UniversitySweden,43,59.9,57.1,85.2,40.4,61.1
94,Maastricht UniversityNetherlands,39.2,96,48.6,84.4,85.7,61
95,University of FreiburgGermany,45.9,61.1,49.9,83.6,100,60.9
96,Durham UniversityUnited Kingdom,43,87,49,85,37.4,60.6
96,Lund UniversitySweden,41.3,74.6,53.1,83.2,68.5,60.6
98,Aarhus UniversityDenmark,39,75.7,54.7,83,65.4,60.3
98,University of BaselSwitzerland,40.1,94.4,36.8,92.4,99.3,60.3
98,"University of California, IrvineUnited States",42.5,62.3,45,94.1,45.5,60.3
101,Michigan State UniversityUnited States,51.6,58.8,48.9,81.1,38.5,59.9
102,University of MannheimGermany,39.1,57.7,51.3,88.3,76.4,59.8
103,University of MontrealCanada,46.8,85,47.8,77.4,67.7,59.7
104,Georgetown UniversityUnited States,56.7,47.3,39.3,84.6,74.4,59.6
104,"Pohang University of Science and TechnologyKorea, Republic of",53.8,34.2,48.7,79.2,99.6,59.6
106,University of ZurichSwitzerland,46.4,89.3,38.5,87.5,44.2,59.5
107,University of AlbertaCanada,49.5,82.7,53,69.9,61.3,59.4
108,Vanderbilt UniversityUnited States,50.1,29.8,37.3,96.7,73.5,59.3
109,University of SheffieldUnited Kingdom,42.3,83.1,47.6,82.7,44.7,59.1
110,University of BernSwitzerland,43.2,83.8,43,82.8,75.5,58.9
110,University of St AndrewsUnited Kingdom,45.2,94.3,44.3,80.3,33.7,58.9
112,University of GöttingenGermany,49.7,56.6,48,81.1,34.8,58.8
113,University of BonnGermany,47.2,64.6,40.8,88.3,37.3,58.7
113,McMaster UniversityCanada,43.5,76.2,45.4,82.3,66.1,58.7
113,Queen Mary University of LondonUnited Kingdom,34,94.3,39.7,95.1,40,58.7
116,University of Colorado BoulderUnited States,42.5,39.4,43.7,96.1,38,58.6
116,École PolytechniqueFrance,58.6,92.3,40.6,67.2,71.9,58.6
118,Ghent UniversityBelgium,43,55.1,55.5,75.7,84.4,58.5
119,City University of Hong KongHong Kong,42.1,83.5,44.5,81.6,66.4,58.4
120,University of CopenhagenDenmark,46.8,82.3,33.1,89.8,44.2,58.2
121,Pierre and Marie Curie UniversityFrance,52.9,71.4,33.7,86.2,38.2,58.1
121,Radboud University NijmegenNetherlands,35,68.3,50.6,87.2,45.2,58.1
121,University of SouthamptonUnited Kingdom,39.2,90.2,46.1,82.8,39.2,58.1
121,University of VirginiaUnited States,53.7,44.6,38.6,86.6,41.9,58.1
125,University of Western AustraliaAustralia,32.3,92.9,44.9,89,48.8,58
126,Case Western Reserve UniversityUnited States,50.2,42,38.9,90.2,36.8,57.9
126,University of ExeterUnited Kingdom,34.6,87.6,39.2,94.3,34.9,57.9
128,Université Catholique de LouvainBelgium,39.6,75.6,51.3,78.5,51.5,57.8
129,University of YorkUnited Kingdom,42.5,84.5,45.9,79.8,34.1,57.7
130,University of BirminghamUnited Kingdom,38.6,84.2,42.4,86.8,38,57.6
131,Arizona State UniversityUnited States,38.5,49.7,48.9,87.7,36.6,57.2
132,University of OsloNorway,39.7,71.2,43.1,85.5,42.9,56.9
133,University of LeedsUnited Kingdom,42.3,78.2,43,81.3,39,56.8
134,University of FloridaUnited States,53.6,35.2,48.1,72.9,65.7,56.6
135,Tufts UniversityUnited States,48.1,50.5,34.3,88.5,58.5,56.5
135,Ulm UniversityGermany,38.2,56.9,38.1,91,84,56.5
137,University of GenevaSwitzerland,37.4,98.3,41.1,79.3,66.7,56.4
137,Lancaster UniversityUnited Kingdom,37,89.1,40.9,84.7,35.6,56.4
137,Scuola Normale Superiore di PisaItaly,54,47.3,47.5,70.3,51.6,56.4
137,"Sungkyunkwan University (SKKU)Korea, Republic of",53.7,39.6,50.6,66.5,88.9,56.4
141,"Rutgers, the State University of New JerseyUnited States",47.7,35.6,49.8,77.9,36.6,56.2
142,University of AdelaideAustralia,37.1,86.3,43.9,78.8,67.5,56.1
143,University of Notre DameUnited States,50.2,48.2,40.7,80.2,37.4,55.9
144,Karlsruhe Institute of TechnologyGermany,41.3,59.5,45.2,76.4,98.3,55.8
144,Stockholm UniversitySweden,32.2,72.1,46.2,86.8,33.8,55.8
146,"University of California, Santa CruzUnited States",34.7,48.7,35.3,99.8,40.9,55.6
147,University of NottinghamUnited Kingdom,41,81.6,41.3,78.9,39.8,55.5
148,University of Cape TownSouth Africa,32.4,80.1,37.2,87.3,88.8,55.3
149,University of SussexUnited Kingdom,32.6,88.8,37.9,88.1,33.7,55.1
150,Indiana UniversityUnited States,46.4,47,40.2,82.1,-,55
151,University of LausanneSwitzerland,31.8,90.1,46.6,75.6,76.1,54.9
151,University of RochesterUnited States,43.4,58.9,32.4,89.4,38.9,54.9
153,University of Science and Technology of ChinaChina,51.8,24.2,43.4,74.7,77.6,54.7
153,University of TwenteNetherlands,36.8,83.6,46.7,70.8,84.6,54.7
155,Fudan UniversityChina,55.3,37.5,47,65.7,53.2,54.6
156,University of ArizonaUnited States,42.9,41.7,42.2,83.2,35.6,54.5
156,VU University AmsterdamNetherlands,33.1,58.9,40.2,89.4,50.3,54.5
158,University of LiverpoolUnited Kingdom,35.1,87.7,35.2,85.7,37.4,54.3
159,KTH Royal Institute of TechnologySweden,42.5,83.3,45.3,67.4,51.1,54.1
160,University of Erlangen-NurembergGermany,38.7,49.1,43.6,77.3,96,54
161,University of MünsterGermany,40.8,44.3,38.3,84.4,62.6,53.9
161,University of ViennaAustria,41.1,93,46.6,65.9,33.5,53.9
163,Autonomous University of BarcelonaSpain,39.4,52.3,36.4,86.7,39.9,53.7
164,TU Dresden Germany,42.3,49.4,45.6,70.2,95.7,53.5
165,University of AucklandNew Zealand,32.8,90.5,40.8,75.8,70.5,53.4
165,"University of California, RiversideUnited States",32,62.2,33.7,93.4,40.5,53.4
165,University of East AngliaUnited Kingdom,30.7,84.3,31.1,92.4,32.4,53.4
165,University of MassachusettsUnited States,40.4,51.5,34.8,85.6,50.2,53.4
169,Texas A&M UniversityUnited States,53.1,50.1,57,50.7,46.9,53.2
170,University of CologneGermany,40.2,55.9,38.3,79.2,64.3,53.1
170,University of GothenburgSweden,30.3,59.6,40.5,87.9,39.9,53.1
172,University of LeicesterUnited Kingdom,30.9,87.6,32.4,88.4,35.1,53
173,"Royal Holloway, University of LondonUnited Kingdom",33.3,93,32.3,84.5,35.7,52.9
173,University of WaterlooCanada,37.8,77.5,44.9,70.8,41,52.9
175,Pompeu Fabra UniversitySpain,30.3,65.1,33,93.1,40.5,52.8
176,Technical University of DenmarkDenmark,38.3,85.8,30,80.2,60.6,52.5
177,Eindhoven University of TechnologyNetherlands,36.6,72,43.5,71.7,56.9,52.4
178,University of LuxembourgLuxembourg,29.7,99.9,30,85.8,40.6,52.2
179,Paris-Sud UniversityFrance,40.6,64,31.1,83.2,32.5,52.1
180,University of DundeeUnited Kingdom,26.7,79.1,31,92.3,43.8,52
180,University of HamburgGermany,42,56.7,41.6,70.5,60.6,52
182,Cardiff UniversityUnited Kingdom,31.8,78.9,36.9,80.9,37,51.7
182,University of MiamiUnited States,43.1,65.8,17.1,92.5,38.1,51.7
182,Northeastern UniversityUnited States,38.2,63,25.7,89.8,35.5,51.7
182,University of the WitwatersrandSouth Africa,26.4,69.4,37.3,82.9,100,51.7
186,Hebrew University of JerusalemIsrael,44.3,56.1,39.6,71.1,35.4,51.6
186,University of WürzburgGermany,34.8,51.2,37,83.4,48.1,51.6
188,University of AberdeenUnited Kingdom,31,92,31.2,82.6,44.5,51.5
188,Lomonosov Moscow State UniversityRussian Federation,75.2,59.9,61.6,12.5,89.1,51.5
190,Newcastle UniversityUnited Kingdom,33.6,84.9,32.1,81,38.7,51.3
190,Scuola Superiore Sant’AnnaItaly,44.7,44.9,33.9,74.1,86.6,51.3
192,Hong Kong Polytechnic UniversityHong Kong,35,79.7,41.8,69.9,47.9,51.2
192,University of ReadingUnited Kingdom,36.8,86.6,37.5,71.6,36.6,51.2
194,University of KonstanzGermany,39.8,62.6,44.5,64.4,73.1,51.1
195,University of CalgaryCanada,34.8,71.5,35.2,77.9,48.8,51
195,National Taiwan UniversityTaiwan,51.4,29.9,52.5,54.5,47.8,51
197,University of Duisburg-EssenGermany,34.1,50.6,28.7,87.5,77.8,50.9
198,Brandeis UniversityUnited States,29.8,49.2,24.6,99.7,33.8,50.8
198,Tilburg UniversityNetherlands,38.8,74.3,50.2,57,58,50.8
200,University of Illinois at ChicagoUnited States,46,57.1,35.3,69.6,41.6,50.6
201-250,Aalborg UniversityDenmark,24.2,71.7,35.2,80.1,44.8,-
201-250,Aalto UniversityFinland,34.4,69.6,29,75,52.5,-
201-250,University of AntwerpBelgium,34.5,64.9,39.8,73,54.6,-
201-250,University of BarcelonaSpain,33.7,49.3,33,81.3,35.3,-
201-250,University of BergenNorway,29.8,74,29.3,86.2,36.6,-
201-250,"Birkbeck, University of LondonUnited Kingdom",27.4,88.4,35.1,67,32.6,-
201-250,University of BolognaItaly,35.6,42.8,27.5,81.7,37.4,-
201-250,Boston CollegeUnited States,47.3,60.2,19.3,79.9,43.8,-
201-250,CentraleSupélecFrance,35.8,84,14.7,78.1,56.4,-
201-250,University of CincinnatiUnited States,37.8,31.8,29.6,75.4,41.9,-
201-250,University of DelawareUnited States,26.9,44,36.8,78.1,92.5,-
201-250,École Normale Supérieure de LyonFrance,44.5,68.4,30.4,64.5,34.9,-
201-250,Florida State UniversityUnited States,40.8,45.7,39.5,67.1,34.2,-
201-250,George Washington UniversityUnited States,47.1,48,27.7,70.7,32.9,-
201-250,Goethe University FrankfurtGermany,32.4,59.4,27.5,79.7,38.2,-
201-250,University of Hawai’i at MānoaUnited States,34.2,63.5,38.7,73.2,53.2,-
201-250,University of IcelandIceland,16.9,60.3,27.6,92,52.7,-
201-250,Indian Institute of ScienceIndia,50.1,18.1,49.2,47.3,48,-
201-250,University of IowaUnited States,40.9,34.6,27.1,74.9,53.8,-
201-250,University of KielGermany,31.6,51.2,27.2,90.8,33.5,-
201-250,King Abdulaziz UniversitySaudi Arabia,26.4,92.1,12.4,93.3,66,-
201-250,"Korea UniversityKorea, Republic of",40.9,44,45.4,49.2,98.6,-
201-250,Université Libre de BruxellesBelgium,26.3,83.3,42.8,74.4,44.5,-
201-250,Nanjing UniversityChina,41.7,51.4,36.9,61.5,73.9,-
201-250,"National University of Ireland, GalwayIreland",27.7,78.1,27.8,76.7,41.4,-
201-250,University of NewcastleAustralia,29.3,79.8,28.5,73.5,63.7,-
201-250,North Carolina State UniversityUnited States,37.5,50.2,32.7,68.4,42,-
201-250,University of OtagoNew Zealand,30.5,88.6,30.7,80.1,35.6,-
201-250,University of OuluFinland,30.3,54.2,32.6,75.1,39.9,-
201-250,Paris Descartes UniversityFrance,24.6,51.7,32.5,84.6,38.6,-
201-250,Paris Diderot University – Paris 7France,28.9,65.7,24,91.8,32.9,-
201-250,Polytechnic University of MilanItaly,32.6,52.6,30.3,76.4,59.3,-
201-250,Queen’s UniversityCanada,38.9,64.7,34.8,60.9,41.7,-
201-250,Queen’s University BelfastUnited Kingdom,31.2,94.3,31.9,78.3,37.1,-
201-250,Queensland University of TechnologyAustralia,28.4,77.9,37.9,67.4,58.9,-
201-250,Royal College of Surgeons in IrelandIreland,35.5,89.5,18.6,81.7,37.1,-
201-250,Shanghai Jiao Tong UniversityChina,51.9,29.3,56.5,41.5,90.5,-
201-250,Simon Fraser UniversityCanada,23.8,89.3,31.9,77,47.5,-
201-250,University of South FloridaUnited States,27.8,44.4,34.9,75.2,95.8,-
201-250,"St George’s, University of LondonUnited Kingdom",21.3,67.7,20.7,100,35.5,-
201-250,Stony Brook UniversityUnited States,34.7,55.6,24.5,86.8,35.6,-
201-250,University of StuttgartGermany,42.3,47.2,44.5,53.4,100,-
201-250,Technical University of DarmstadtGermany,38.2,54.7,43,52.5,95.1,-
201-250,Tel Aviv UniversityIsrael,41,49.1,51.1,55.1,45.3,-
201-250,University of Texas at DallasUnited States,26.9,53.1,32.5,90.4,43.3,-
201-250,Tohoku UniversityJapan,48.6,32.4,47.3,50.4,69.5,-
201-250,University of TrentoItaly,23.6,57.3,27.7,89.3,41.3,-
201-250,University College DublinIreland,31.5,88.1,37.8,72.5,37.4,-
201-250,University of UtahUnited States,37.9,32.5,30.5,86.7,47.8,-
201-250,Wake Forest UniversityUnited States,37.8,26.1,20.3,92.6,41.3,-
201-250,Western UniversityCanada,40.1,73.6,34.9,69.3,55.1,-
201-250,Zhejiang UniversityChina,51.7,22,54.2,44.5,89.2,-
251-300,University of BathUnited Kingdom,31.8,85.5,31,65.1,37.2,-
251-300,Bayreuth UniversityGermany,32.6,53.8,31.4,66.3,63.5,-
251-300,Bielefeld UniversityGermany,37.6,46.2,43.7,55.6,59.3,-
251-300,University at BuffaloUnited States,38,64.6,29,66.1,42.8,-
251-300,Chalmers University of TechnologySweden,38.8,75.8,28.5,61.9,70.8,-
251-300,Charles Darwin UniversityAustralia,18.4,77.2,19,91.7,44.3,-
251-300,Colorado School of MinesUnited States,32.6,39.9,27.8,73.5,74.9,-
251-300,Copenhagen Business SchoolDenmark,19.8,89.9,24.4,76.8,39.4,-
251-300,Dalhousie UniversityCanada,29.1,80.1,29.6,70.7,47.6,-
251-300,Deakin UniversityAustralia,23,76.8,24.5,75.5,34.1,-
251-300,Free University of Bozen-BolzanoItaly,22.8,79.9,8.1,96.1,32.3,-
251-300,University of FribourgSwitzerland,33.7,86.8,32.7,56.8,59.7,-
251-300,Griffith UniversityAustralia,22.6,82.3,28.5,74.8,41.3,-
251-300,University of HohenheimGermany,34.1,51.1,30.1,66.5,49.6,-
251-300,James Cook UniversityAustralia,21.7,74.1,22.3,84.2,43.2,-
251-300,Johannes Gutenberg University of MainzGermany,35.8,54.5,22,76.3,57.8,-
251-300,Koç UniversityTurkey,25.2,54.4,29.8,70.3,81.9,-
251-300,Laval UniversityCanada,37,65.5,27.3,67.2,54.7,-
251-300,Macquarie UniversityAustralia,32.5,75,36.5,62.3,41.3,-
251-300,University of MarburgGermany,35.1,49.6,27.2,73.7,37.4,-
251-300,Mines ParisTechFrance,43.5,63.4,20.3,64.5,98.6,-
251-300,National Tsing Hua UniversityTaiwan,38.7,26.6,40.1,55.8,47.3,-
251-300,Norwegian University of Science and TechnologyNorway,30.1,65.3,32.8,65.5,46.5,-
251-300,Oregon Health and Science UniversityUnited States,29.7,23.2,15.3,97.6,44.9,-
251-300,Osaka UniversityJapan,52.6,28.8,49.6,38.2,73.9,-
251-300,University of OttawaCanada,38.1,71.8,21,67.5,41.5,-
251-300,Rensselaer Polytechnic InstituteUnited States,33.6,43.1,33.5,67.3,79.1,-
251-300,Ruhr University BochumGermany,36.7,51.6,36.2,56.9,59.2,-
251-300,Rush UniversityUnited States,38.4,22.3,13.6,89.8,44,-
251-300,University of São PauloBrazil,57.2,28.3,60.2,25.7,39.6,-
251-300,Sapienza University of RomeItaly,38.3,37.6,35.3,67.2,41,-
251-300,University of South AustraliaAustralia,29.9,90.1,29.9,58.4,82.9,-
251-300,University of Southern DenmarkDenmark,21.4,76.9,23.6,81.6,69.9,-
251-300,University of SurreyUnited Kingdom,30,91.8,32.6,60.9,37.6,-
251-300,Swedish University of Agricultural SciencesSweden,31.3,46.8,22.3,77.7,98.9,-
251-300,Syracuse UniversityUnited States,32.9,41.4,25.9,75.4,36.4,-
251-300,University of TampereFinland,26.2,40.1,29.3,75.9,52.2,-
251-300,University of Technology SydneyAustralia,27.1,92.3,22.5,73.8,44.2,-
251-300,"University of Tennessee, KnoxvilleUnited States",30.5,39.5,21.5,83,42.1,-
251-300,Tokyo Institute of TechnologyJapan,48.4,32.9,50.5,41.7,64.1,-
251-300,Umeå UniversitySweden,22.6,59.9,28.6,79.7,35.2,-
251-300,Vienna University of TechnologyAustria,38.1,79.1,25.5,57.7,70.9,-
251-300,Virginia Polytechnic Institute and State UniversityUnited States,34.9,31.4,39.9,62.1,44.1,-
251-300,William & MaryUnited States,40.8,28.8,16.8,82.2,32.7,-
251-300,University of WollongongAustralia,28.3,87,32.1,64.1,49.2,-
251-300,"Yonsei UniversityKorea, Republic of",44.2,48.3,40.1,44,79.8,-
301-350,Aberystwyth UniversityUnited Kingdom,20.5,75.1,21.3,77.5,34.9,-
301-350,Aix-Marseille UniversityFrance,34.5,57.2,21.2,69.5,35.1,-
301-350,University of Alaska FairbanksUnited States,28.3,55,24,70.5,50.5,-
301-350,Anglia Ruskin UniversityUnited Kingdom,14.7,67,10.5,99.2,32.8,-
301-350,Bangor UniversityUnited Kingdom,25.2,81.3,21.9,65.9,33.6,-
301-350,University of BordeauxFrance,29.8,54.4,19.6,76.6,34.6,-
301-350,University of BremenGermany,36.2,50.4,29.4,61.7,47,-
301-350,Brunel University LondonUnited Kingdom,24.9,92.3,26,61.3,37.2,-
301-350,Central European UniversityHungary,39.8,97,27,48.8,32.2,-
301-350,Clark UniversityUnited States,24.4,59,8,93.7,32.8,-
301-350,Colorado State UniversityUnited States,29.6,35.1,32.6,63.4,43.6,-
301-350,University of ConnecticutUnited States,37,40.6,28.2,62.5,35.1,-
301-350,University of CreteGreece,18.7,46.9,19.1,83,37.8,-
301-350,University of DenverUnited States,37.7,28.7,23.6,67.2,34.9,-
301-350,University of EssexUnited Kingdom,32.3,95.2,36,47.7,32.8,-
301-350,Federal University of Toulouse Midi-PyrénéesFrance,30.9,62.8,26.2,62.4,36.2,-
301-350,George Mason UniversityUnited States,28.1,38.7,24.6,73.4,33.4,-
301-350,University of GeorgiaUnited States,33,41.7,35,57.2,34.9,-
301-350,"Goldsmiths, University of LondonUnited Kingdom",28.4,75.4,30.6,63.8,32.2,-
301-350,"Gwangju Institute of Science and TechnologyKorea, Republic of",39.5,35.2,39.9,51.9,44.9,-
301-350,University of InnsbruckAustria,26.1,96.2,18.7,70.8,43.1,-
301-350,Justus Liebig University GiessenGermany,33.2,46.9,29.4,60.5,41.5,-
301-350,University of KentUnited Kingdom,22.8,89.3,22.3,68.7,32.5,-
301-350,University of LiègeBelgium,27.1,70.3,33.3,55.4,99.4,-
301-350,Linköping UniversitySweden,23.9,62.1,15.3,79.6,41.7,-
301-350,Loughborough UniversityUnited Kingdom,32.9,73.2,34.4,54,37,-
301-350,University of MilanItaly,32.8,39.4,24.5,69.9,42.9,-
301-350,Moscow Institute of Physics and TechnologyRussian Federation,47.7,50,33.1,40.8,98.7,-
301-350,Nagoya UniversityJapan,44.4,28.3,41.8,41.2,83.6,-
301-350,University of NavarraSpain,29.7,55.6,23.9,65.3,55.6,-
301-350,University of Nebraska-LincolnUnited States,31.2,48,29.1,67.2,38.5,-
301-350,University of OregonUnited States,24.8,35.5,24.5,77.7,33.3,-
301-350,Oregon State UniversityUnited States,29.3,46,28.2,69.7,36,-
301-350,University of PaduaItaly,24.5,39,20.4,80.6,35.5,-
301-350,University of PaviaItaly,25.3,43.3,22.1,73.6,59.3,-
301-350,Royal Veterinary CollegeUnited Kingdom,26.4,83.3,18.3,69.1,41.8,-
301-350,Sabancı UniversityTurkey,24.3,46.7,32.9,61.6,77.7,-
301-350,Saint Louis UniversityUnited States,36,28.9,11.9,80.4,33.9,-
301-350,University of StirlingUnited Kingdom,22.6,75.1,24.7,69.6,33.7,-
301-350,University of StrasbourgFrance,27.2,69.6,21.3,67.8,35.7,-
301-350,Swansea UniversityUnited Kingdom,21,75.8,26.1,71.8,35.7,-
301-350,University of TartuEstonia,23.6,48.4,23.1,80.9,34.5,-
301-350,University of TasmaniaAustralia,22.3,77.3,29.6,66.3,51.7,-
301-350,Technical University of DortmundGermany,35.5,41.5,29.8,57.1,48.7,-
301-350,Technion Israel Institute of TechnologyIsrael,33.2,62.5,36.1,55.9,38.7,-
301-350,Temple UniversityUnited States,37.2,31.1,21.6,68.4,37.4,-
301-350,University of TurkuFinland,27,49.6,22.7,72.6,34.5,-
301-350,University of VictoriaCanada,22.1,73.7,22.5,77.9,37.9,-
301-350,Vrije Universiteit BrusselBelgium,27.3,70,23.7,66.7,48.3,-
301-350,York UniversityCanada,29.9,73.5,39.7,50.7,37.4,-
351-400,Aston UniversityUnited Kingdom,20.6,93.5,23.9,56.2,34.3,-
351-400,Autonomous University of MadridSpain,32.3,51.6,28.3,57.4,35.8,-
351-400,Bilkent UniversityTurkey,23.4,51.9,19.9,68.3,39.7,-
351-400,"Binghamton University, State University of New YorkUnited States",24.3,40.3,20.4,68.5,35.9,-
351-400,University of CalabriaItaly,14.7,31.1,25.8,84.2,33.4,-
