Name,,Publications,publication,Citations,h-index
"189. Narasimhappa, Mundla",,10,2016,54,3
"190. Paik, Pradip",,10,2017,47,4
"191. Pallu, Reddanna",,10,2017,115,5
"192. Rambabu, A.",,10,2016,13,2
"193. Ramesh, Subburethinam",,10,2015,46,6
"194. Rana, Suvashisa",,10,2016,4,1
"195. Samlan, C. T.",,10,2016,6,1
"196. Shamanna, Bindiganavale Ramaswamy",,10,2017,20,14
"197. Sridevi, Parikipandla",,10,2015,132,8
"198. Vendamani, V. S.",,10,2017,32,3
"199. Vindal, Vaibhav",,10,2016,29,6
"200. Yehya, Fahem",,10,2015,55,5
"201. Ade, Ramesh",,9,2016,6,2
"202. Babu, Kollapalli Ramesh",,9,2015,48,5
"203. Bashyam, Leena",,9,2014,79,8
"204. Bhavani, Sridharan Durga",,9,2016,4,4
"205. Bolligarla, Ramababu",,9,2016,80,8
"206. Deepthi, K. N.",,9,2016,41,4
"207. Ghanta, Susanta",,9,2016,57,6
"208. Guha, Anirban",,9,2014,69,7
"209. Kumar, Rahul V.",,9,2017,50,20
"210. Kurian, Joji",,9,2015,20,7
"211. Madhavachary, Rudrakshula",,9,2016,176,6
"212. Marka, Sandeep Kumar",,9,2016,45,4
"213. Nath, Naba K.",,9,2014,96,12
"214. Pabbathi, Ashok",,9,2016,79,6
"215. Purushotham, Pallinti",,9,2015,84,6
"216. Rajaram, Guruswamy",,9,2015,4,7
"217. Ramamoorthy, Raj Kumar",,9,2016,21,3
"218. Ramana, Ch V.",,9,2013,78,14
"219. Rana, Anup",,9,2015,77,5
"220. Reddy, Polimera Obula Venkataramana",,9,2016,62,3
"221. Roy, Partha Sarathi P S",,9,2016,18,33
"222. Sathiyendiran, Malaichamy",,9,2017,10,19
"223. Sengupta, Debashree",,9,2015,114,7
"224. Shaik, Ummar Pasha",,9,2016,44,4
"225. Sivaramakrishna, D.",,9,2017,26,3
"226. Sobha Rani, T.",,9,2016,3,4
"227. Srinivas, Dharavath",,9,2016,91,6
"228. Surampudi, Bapi Raju",,9,2016,4,1
"229. Vakulabharanam, Vamsi",,9,2016,22,6
"230. Vargeese, Anuj A.",,9,2017,66,8
"231. Vasu, Kuraganti",,9,2015,59,5
"232. Yadav, Meera Ramu",,9,2015,463,11
"233. Yeggoni, Daniel Pushparaju Raju",,9,2017,60,4
"234. Alkathy, Mahamoud S.",,8,2017,4,2
"235. Bhaskar, Cherukuvada",,8,2016,49,4
"236. Chatterjee, Tanmay K.",,8,2016,79,14
"237. Ghazi, Irfan Ahmad",,8,2015,90,8
"238. Jyothi, Lankipalli",,8,2016,62,6
"239. Karnati, Roy",,8,2016,31,4
"240. Keesara, Srinivas",,8,2017,9,2
"241. Khara, Dinesh Chandra",,8,2015,121,6
"242. Kumar, Ashutosh Anand",,8,2014,91,21
"243. Kumar, Varun Rakesh",,8,2016,23,4
"244. Kurapati, Sathish Kumar",,8,2016,20,3
"245. Madhuprakash, Jogi",,8,2016,42,4
"246. Mahanta, Sanjeev Pran",,8,2014,80,5
"247. Maity, Sudhangshu",,8,2015,151,8
"248. Manna, Paulami",,8,2016,154,7
"249. Manoj Kumar, G.",,8,2014,26,3
"250. Maurya, Radheshyam P.",,8,2016,80,9
"251. Mishra, Krishnaveni P.",,8,2016,45,6
"252. Mishra, Seema",,8,2015,18,4
"253. Mondal, Navendu",,8,2017,71,3
"254. Mudalkar, Shalini",,8,2017,64,4
"255. Nareddy, Pavan Kumar",,8,2017,60,3
"256. Nayak, Sanatan",,8,2016,137,5
"257. Patra, Satyajit",,8,2016,114,6
"258. Peters, James F.",,8,2013,47,20
"259. Petnikota, Shaikshavali",,8,2016,120,6
"260. Potluri, Anupama",,8,2015,18,3
"260. Potluri, Anupama",,8,2015,18,3
"261. Prakash, Kamal S.",,8,2015,46,4
"262. Prashant, Tiwari Shuvan",,8,2013,13,2
"263. Prathibha, Yarikipati",,8,2017,75,4
"264. Praveena, K.",,8,2016,32,10
"265. Rajeswari, Mandava Sri Raj",,8,2012,30,8
"266. Ramana, Gedela Venkata",,8,2016,13,2
"267. Ramesh, S.",,8,2014,37,6
"268. Rasna, M. V.",,8,2017,29,4
"269. Reddy, Samala Nagaprasad",,8,2016,76,4
"270. Sahoo, Rasmita",,8,2016,15,2
"271. Sahoo, Suchismita",,8,2016,50,4
"272. Sai Prasad, P. S V S",,8,2017,3,2
"273. Saipriya, S.",,8,2013,25,3
"274. Sankar, I. V.",,8,2016,10,2
"275. Sarma, Monima",,8,2016,77,9
"276. Sathyanarayana, Paladugu M.",,8,2015,100,11
"277. Sattibabu, Bhumireddi",,8,2016,18,3
"278. Sendilkumar, Arunachalam",,8,2016,47,5
"279. Sepuri, Naresh Babu Venkata",,8,2016,110,17
"280. Thakuria, Ranjit",,8,2014,113,12
"281. Tumuluri, Anil",,8,2016,9,3
"282. Zuhail, K. P.",,8,2016,23,4
"283. Abhilash, T. S.",,7,2014,14,4
"284. Alee, K. Shadak",,7,2014,10,3
"285. Anumandla, Kiran Kumar",,7,2015,22,3
"286. Arora, Pankaj Kumar",,7,2013,135,12
"287. Ashok, Karumuri",,7,2016,38,18
"288. Avasthi, Tiruvayipati Suma",,7,2012,83,7
"289. Bala Murali Krishna, M.",,7,2014,94,4
"290. Basu, Rakhee",,7,2016,1,1
"291. Bhukya, Sreedhar",,7,2011,6,1
"292. Bitla, Yugandhar",,7,2014,37,3
"293. Chandrasekaran, Sambamurthy",,7,2016,24,4
"294. Chandrasekhar, Naisa",,7,2016,109,11
"295. Chaurasia, Sachchida Nand",,7,2017,7,2
"296. Desai, Narayana Rao",,7,2017,33,5
"297. Devendra Kumar, Namburi Devendra",,7,2014,43,6
"298. Durgaprasad, Gummadi",,7,2015,69,7
"299. Ghosh, Suman Kr",,7,2016,28,4
"300. Gupta, Geetika",,7,2016,62,5
"301. Jagota, Anita",,7,2016,43,8
"302. Kakularam, Kumar Reddy Eddy",,7,2015,50,4
"303. Kandi, Ravinder",,7,2016,56,4
"304. Khan, Nooruddin",,7,2016,93,10
"305. Kshirsagar, Sachin D.",,7,2013,36,4
"306. Kumar, Abhay V Anil",,7,2015,136,4
"307. Kumar, Ajeet Guru Sampath",,7,2016,27,4
"308. Kumar, Ashutosh Sudheer",,7,2016,59,6
"309. Kumar, Dilip",,7,2016,36,4
"310. Kumar, Kota Arun",,7,2017,9,7
"311. Kumar, Sravan Sudalai",,7,2014,88,5
"312. Latheef, Shaik Abdul A",,7,2016,7,4
"313. Maddileti, D.",,7,2015,76,4
"314. Maloth, Swamy",,7,2015,22,4
"315. Manikanta, E.",,7,2016,1,1
"316. Mittapalli, Sudhir",,7,2016,51,5
