University,Faculty Student-14,Faculty Student-15,FS-14,FS-15,b2-c2,B2/D2,E2^2,,ABS
Ruprecht-Karls-Universitaet Heidelberg,86.8,77.6,,,9.2,0.1059907834,0.0112340462,,0.1059907834
Hokkaido University,86.7,85.8,,,0.9,0.0103806228,0.0001077573,,0.0103806228
Emory University,86.7,85.1,,,1.6,0.0184544406,0.0003405664,,0.0184544406
Dartmouth College,86.3,86.4,,,-0.1,-0.0011587486,1.34269820575262E-006,,0.0011587486
Copenhagen Business School,86.3,63.4,,,22.9,0.2653534183,0.0704124366,,0.2653534183
Novosibirsk State University,85.8,89,,,-3.2,-0.0372960373,0.0013909944,,0.0372960373
Seoul National University,85.6,84.2,,,1.4,0.0163551402,0.0002674906,,0.0163551402
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),85.5,89,,,-3.5,-0.0409356725,0.0016757293,,0.0409356725
University Ulm,85.3,79.5,,,5.8,0.0679953107,0.0046233623,,0.0679953107
National Research Tomsk Polytechnic University,85.2,91.4,,,-6.2,-0.0727699531,0.0052954661,,0.0727699531
Brown University,85,81.7,,,3.3,0.0388235294,0.0015072664,,0.0388235294
University of Michigan,85,81.3,,,3.7,0.0435294118,0.0018948097,,0.0435294118
Ural Federal University,85,74.6,,,10.4,0.1223529412,0.0149702422,,0.1223529412
Nagasaki University,84.4,87.2,,,-2.8,-0.0331753555,0.0011006042,,0.0331753555
Mahidol University,84.4,85,,,-0.6,-0.0071090047,5.05379483839077E-005,,0.0071090047
Yonsei University,84.3,83.8,,,0.5,0.0059311981,3.51791109253654E-005,,0.0059311981
Al-Farabi Kazakh National University,84,92.2,,,-8.2,-0.0976190476,0.0095294785,,0.0976190476
Korea University,83.7,83.2,,,0.5,0.0059737157,3.56852786806153E-005,,0.0059737157
University of Zurich,83.1,90.8,,,-7.7,-0.0926594465,0.008585773,,0.0926594465
University of Tsukuba,83,79,,,4,0.0481927711,0.0023225432,,0.0481927711
Lincoln University,83,70.6,,,12.4,0.1493975904,0.02231964,,0.1493975904
University of Bristol,82.5,79.7,,,2.8,0.0339393939,0.0011518825,,0.0339393939
