# RANK     2014,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
140,Sungkyunkwan University (SKKU),62.2,62.9,95.6,87.2,18.4,42.3,34.1
141,University of Cape Town,62,70.5,64.4,34.4,69.3,54.9,70.4
141,Eberhard Karls Universität Tübingen,62,67.8,60.1,90.5,42.9,31.7,34.6
141,University of Virginia,62,54.7,49.3,70.5,55.4,37.6,81.7
144,Zhejiang University,61.9,78.3,81.7,29.2,33.3,19.2,69.1
145,University of Bern,61.8,40.8,47.4,67.3,99.1,43.8,99.9
146,Georg-August-University Goettingen,61.5,73.8,40.1,79.5,40.9,36.6,40.5
147,RWTH Aachen University,61.2,75.3,97,31.1,34,47.2,54.7
147,University of Science and Technology of China,61.2,67.5,57.9,61.9,12.4,2.4,75.9
147,Eindhoven University of Technology,61.2,50.2,62.1,99.7,100,25.8,42.7
150,Freie Universitaet Berlin,61.1,92.7,51.4,29.4,53.3,53.5,37.4
151,Universiti Malaya (UM),61,64.4,64,93.1,79.2,77,11.1
151,Wageningen University,61,50.9,40.5,100,44.7,71.7,53
153,"University of California, Irvine",60.8,65.1,45.5,24.3,55.5,52,99
154,Université Catholique de Louvain (UCL),60.7,75,77.8,48.9,80.5,64.4,28.7
155,University of Bergen,60.3,45.4,20.7,81.4,74,19.3,95.1
156,University of Vienna,60,83.6,49.2,36.5,91.6,94.4,24.4
156,Radboud University,60,49,32.4,65.5,54.3,38.7,96.3
156,Emory University,60,43.7,21.7,86.7,17.5,40.9,99.8
159,University of Otago,59.9,62.3,61,32.3,100,72.1,68.6
160,Lancaster University,59.7,61.2,62.7,39.5,85.1,94,60
161,The University of Exeter,59.6,56.7,83.4,39.6,85.9,89.4,58.7
162,Nanjing University,59.3,77.3,67.7,35.7,51,16,55.1
162,The Hong Kong Polytechnic University,59.3,62.8,69.7,39,99.2,82.1,50.9
164,University of Rochester,59,38.1,17.6,100,37.6,72.5,81.6
165,Texas A&M University,58.8,73.2,66.5,18.3,8.6,25.2,86.7
166,University of Barcelona,58.7,86,70.4,30.4,6,33.8,45.3
167,Pontificia Universidad Católica de Chile (UC),58.3,87.2,94,43,18.8,7.8,20
167,National Tsing Hua University,58.3,66.8,54.1,33,46.4,14.8,82
169,University of Waterloo,57.8,64.4,84,20.7,79.8,76.7,57.8
170,Queen's University Belfast,57.7,56.7,52.7,52.7,97.3,94.3,47.3
171,Vrije Universiteit Amsterdam,57.6,68.9,69.1,46.4,45.1,17.3,53.2
171,University of Calgary,57.6,61.3,66.9,26.1,52.1,56.5,78
