University,Award-16,Award-17,,,,,,,
The University of Texas at Austin,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
University of Bristol,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
Cardiff University,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
Tufts University,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
University of Basel,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
Weizmann Institute of Science,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
Hokkaido University,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
London School of Economics and Political Science,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
University of Delaware,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
University of Lorraine,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
Stockholm School of Economics,16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
University of Gothenburg,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
The University of Texas Health Science Center at Houston,15.4,15.2,,,0.2,0.012987013,0.0001686625,,0.012987013
Erasmus University,14.9,14.7,,,0.2,0.0134228188,0.0001801721,,0.0134228188
University of Goettingen,14.9,14.7,,,0.2,0.0134228188,0.0001801721,,0.0134228188
KTH Royal Institute of Technology,14.9,14.7,,,0.2,0.0134228188,0.0001801721,,0.0134228188
Polytechnic Institute of Milan,14.9,14.7,,,0.2,0.0134228188,0.0001801721,,0.0134228188
The University of Western Australia,14.1,13.9,,,0.2,0.0141843972,0.0002011971,,0.0141843972
The Chinese University of Hong Kong,14.1,13.9,,,0.2,0.0141843972,0.0002011971,,0.0141843972
Virginia Commonwealth University,14.1,13.9,,,0.2,0.0141843972,0.0002011971,,0.0141843972
The University of Melbourne,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
Ghent University,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
The University of Sheffield,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
University of Liverpool,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
University of Muenster,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
Catholic University of Louvain,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
Sapienza University of Rome,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
Trinity College Dublin,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
University of Kiel,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
University of Leipzig,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
University of Aberdeen,13.3,13.1,,,0.2,0.015037594,0.0002261292,,0.015037594
Boston University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
University of Utah,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Technical University of Denmark,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Saint Louis University,11.5,11.4,,,0.1,0.0086956522,7.56143667296781E-005,,0.0086956522
Case Western Reserve University,10.9,10.7,,,0.2,0.0183486239,0.000336672,,0.0183486239
Leiden University,9.4,9.3,,,0.1,0.0106382979,0.0001131734,,0.0106382979
University of Birmingham,9.4,9.3,,,0.1,0.0106382979,0.0001131734,,0.0106382979
University Paris Diderot - Paris 7,9.4,9.3,,,0.1,0.0106382979,0.0001131734,,0.0106382979
University of Innsbruck,9.4,9.3,,,0.1,0.0106382979,0.0001131734,,0.0106382979
University of Paris Descartes (Paris 5),9.4,9.3,,,0.1,0.0106382979,0.0001131734,,0.0106382979
Medical University of Vienna,9.4,9.3,,,0.1,0.0106382979,0.0001131734,,0.0106382979
University of Lisbon,8.1,8,,,0.1,0.012345679,0.0001524158,,0.012345679
University of Rochester,7.7,7.6,,,0.1,0.012987013,0.0001686625,,0.012987013
University of Mainz,7.7,7.6,,,0.1,0.012987013,0.0001686625,,0.012987013
University of Halle-Wittenberg,6.7,6.6,,,0.1,0.0149253731,0.0002227668,,0.0149253731
,,,,,,,,,
,,,,,,,0.5627357516,,
,,,,,,,0.0041075602,,3.3151374971
,,,,,,,0.0640902507,,0.0241980839
