University,PUB-16,PUB-17,,,,,,
The University of Texas Southwestern Medical Center at Dallas,34.9,35.6,,,-0.7,-0.0200573066,0.0004022955,0.0200573066
Istanbul University,34.6,35.6,,,-1,-0.0289017341,0.0008353102,0.0289017341
University of Chile,34,35.6,,,-1.6,-0.0470588235,0.0022145329,0.0470588235
Linkoping University,35.2,35.5,,,-0.3,-0.0085227273,7.26368801652879E-005,0.0085227273
University of Otago,35.1,35.5,,,-0.4,-0.0113960114,0.0001298691,0.0113960114
"The University of Newcastle, Australia",34.5,35.5,,,-1,-0.0289855072,0.0008401596,0.0289855072
University College Dublin,34.2,35.5,,,-1.3,-0.0380116959,0.001444889,0.0380116959
Temple University,35.1,35.4,,,-0.3,-0.0085470085,7.30513551026358E-005,0.0085470085
Oregon Health and Science University,34.2,35.4,,,-1.2,-0.0350877193,0.001231148,0.0350877193
University of Hawaii at Manoa,36.5,35.3,,,1.2,0.0328767123,0.0010808782,0.0328767123
University of Muenster,35.7,35.3,,,0.4,0.0112044818,0.0001255404,0.0112044818
University of Wollongong,34.4,35.3,,,-0.9,-0.0261627907,0.0006844916,0.0261627907
Chang Gung University,34.3,35.3,,,-1,-0.029154519,0.000849986,0.029154519
Durham University,35.5,35.2,,,0.3,0.0084507042,7.14144019043827E-005,0.0084507042
University of Bochum,35.5,35.1,,,0.4,0.0112676056,0.0001269589,0.0112676056
University of Buenos Aires,35.2,35.1,,,0.1,0.0028409091,8.07076446281014E-006,0.0028409091
University of Ljubljana,36,35,,,1,0.0277777778,0.0007716049,0.0277777778
London School of Hygiene & Tropical Medicine,34,34.9,,,-0.9,-0.0264705882,0.000700692,0.0264705882
Carnegie Mellon University,33.9,34.9,,,-1,-0.0294985251,0.000870163,0.0294985251
University of Lorraine,33.1,34.8,,,-1.7,-0.0513595166,0.0026377999,0.0513595166
Dalhousie University,34.5,34.6,,,-0.1,-0.0028985507,8.40159630329786E-006,0.0028985507
Cairo University,33.1,34.5,,,-1.4,-0.0422960725,0.0017889577,0.0422960725
Louisiana State University - Baton Rouge,32.6,34.5,,,-1.9,-0.0582822086,0.0033968158,0.0582822086
Aalto University,34.5,34.4,,,0.1,0.0028985507,8.40159630329786E-006,0.0028985507
Ben-Gurion University of the Negev,33.9,34.4,,,-0.5,-0.0147492625,0.0002175407,0.0147492625
University of Turku,33.5,34.4,,,-0.9,-0.0268656716,0.0007217643,0.0268656716
Erasmus University,35.1,34.3,,,0.8,0.0227920228,0.0005194763,0.0227920228
Tufts University,34.8,34.3,,,0.5,0.0143678161,0.0002064341,0.0143678161
Umea University,33.8,34.3,,,-0.5,-0.0147928994,0.0002188299,0.0147928994
Saint Petersburg State University,33.6,34.3,,,-0.7,-0.0208333333,0.0004340278,0.0208333333
University of Roma - Tor Vergata,34.3,34.1,,,0.2,0.0058309038,3.39994390092549E-005,0.0058309038
Polytechnic Institute of Milan,34.2,34,,,0.2,0.0058479532,3.41985568209031E-005,0.0058479532
University of Coimbra,33.9,34,,,-0.1,-0.0029498525,8.70162981526465E-006,0.0029498525
Simon Fraser University,33.4,34,,,-0.6,-0.0179640719,0.0003227079,0.0179640719
Aalborg University,32.7,34,,,-1.3,-0.0397553517,0.001580488,0.0397553517
Keio University,32.5,34,,,-1.5,-0.0461538462,0.0021301775,0.0461538462
The Hong Kong University of Science and Technology,32.8,33.9,,,-1.1,-0.0335365854,0.0011247026,0.0335365854
Aristotle University of Thessaloniki,33.6,33.8,,,-0.2,-0.005952381,3.54308390022661E-005,0.005952381
University of York,33.5,33.8,,,-0.3,-0.0089552239,0.000080196,0.0089552239
University of KwaZulu-Natal,32.8,33.6,,,-0.8,-0.0243902439,0.000594884,0.0243902439
"University of California, Riverside",32.3,33.6,,,-1.3,-0.040247678,0.0016198756,0.040247678
Medical University of Vienna,33.9,33.4,,,0.5,0.0147492625,0.0002175407,0.0147492625
Queen's University,33.9,33.4,,,0.5,0.0147492625,0.0002175407,0.0147492625
The University of Texas Health Science Center at Houston,33.3,33.4,,,-0.1,-0.003003003,0.000009018,0.003003003
University of Wuerzburg,34.1,33.3,,,0.8,0.0234604106,0.0005503909,0.0234604106
University of Saskatchewan,33.5,33.2,,,0.3,0.0089552239,0.000080196,0.0089552239
Technion-Israel Institute of Technology,34.9,33,,,1.9,0.0544412607,0.0029638509,0.0544412607
Nanjing University of Science and Technology,30.8,33,,,-2.2,-0.0714285714,0.0051020408,0.0714285714
University of Jena,34.1,32.9,,,1.2,0.0351906158,0.0012383794,0.0351906158
University of Leipzig,34,32.9,,,1.1,0.0323529412,0.0010467128,0.0323529412
Universit̩ libre de Bruxelles (ULB),32.9,32.9,,,0,0,0,0
University of Delaware,31.8,32.8,,,-1,-0.0314465409,0.0009888849,0.0314465409
Stellenbosch University,31.2,32.8,,,-1.6,-0.0512820513,0.0026298488,0.0512820513
Yeshiva University,32.3,32.7,,,-0.4,-0.0123839009,0.000153361,0.0123839009
Vrije Universiteit Brussel (VUB),31.8,32.6,,,-0.8,-0.0251572327,0.0006328864,0.0251572327
Polytechnic University of Valencia,31.8,32.4,,,-0.6,-0.0188679245,0.0003559986,0.0188679245
University of Tasmania,31.6,32.4,,,-0.8,-0.0253164557,0.0006409229,0.0253164557
RMIT University,30.5,32.4,,,-1.9,-0.062295082,0.0038806772,0.062295082
Queen's University Belfast,32.1,32.3,,,-0.2,-0.0062305296,3.88194990343633E-005,0.0062305296
University of Twente,31.3,32.2,,,-0.9,-0.0287539936,0.0008267921,0.0287539936
University of Notre Dame,31.1,32,,,-0.9,-0.0289389068,0.0008374603,0.0289389068
University of Milan - Bicocca,30.8,32,,,-1.2,-0.038961039,0.0015179626,0.038961039
Georgetown University,31.6,31.9,,,-0.3,-0.0094936709,9.01297868931244E-005,0.0094936709
Trinity College Dublin,31.1,31.9,,,-0.8,-0.0257234727,0.000661697,0.0257234727
Washington State University,30.6,31.9,,,-1.3,-0.0424836601,0.0018048614,0.0424836601
University of Liege,31.6,31.8,,,-0.2,-0.0063291139,4.00576830636113E-005,0.0063291139
University of Warsaw,30.8,31.8,,,-1,-0.0324675325,0.0010541407,0.0324675325
Amirkabir University of Technology,31.5,31.7,,,-0.2,-0.0063492063,4.03124212648019E-005,0.0063492063
University of Pavia,31.9,31.6,,,0.3,0.0094043887,8.84425270978059E-005,0.0094043887
Novosibirsk State University,31.3,31.6,,,-0.3,-0.0095846645,9.18657942818651E-005,0.0095846645
La Trobe University,30.5,31.6,,,-1.1,-0.0360655738,0.0013007256,0.0360655738
University of Sussex,29.8,31.6,,,-1.8,-0.0604026846,0.0036484843,0.0604026846
Medical University of South Carolina,31,31.5,,,-0.5,-0.0161290323,0.0002601457,0.0161290323
Ocean University of China,29.2,31.5,,,-2.3,-0.0787671233,0.0062042597,0.0787671233
University of Aberdeen,30.9,31.3,,,-0.4,-0.0129449838,0.0001675726,0.0129449838
University of Santiago Compostela,30.9,31.3,,,-0.4,-0.0129449838,0.0001675726,0.0129449838
University of Ulm,30.3,31.3,,,-1,-0.0330033003,0.0010892178,0.0330033003
University of Guelph,31.4,31.2,,,0.2,0.0063694268,4.05695971439001E-005,0.0063694268
Flinders University,31,31.2,,,-0.2,-0.0064516129,4.16233090530694E-005,0.0064516129
Eindhoven University of Technology,30.6,31.1,,,-0.5,-0.0163398693,0.0002669913,0.0163398693
University of Leicester,32.3,31,,,1.3,0.040247678,0.0016198756,0.040247678
University of Central Florida,28.7,31,,,-2.3,-0.0801393728,0.0064223191,0.0801393728
Hannover Medical School,30.8,30.9,,,-0.1,-0.0032467532,1.05414066453023E-005,0.0032467532
Rice University,29.4,30.9,,,-1.5,-0.0510204082,0.002603082,0.0510204082
University of Kiel,29.4,30.9,,,-1.5,-0.0510204082,0.002603082,0.0510204082
University of Duesseldorf,31.2,30.8,,,0.4,0.0128205128,0.0001643655,0.0128205128
National Tsing Hua University,31.4,30.7,,,0.7,0.0222929936,0.0004969776,0.0222929936
Kobe University,31.3,30.7,,,0.6,0.0191693291,0.0003674632,0.0191693291
University of Aveiro,30.1,30.7,,,-0.6,-0.0199335548,0.0003973466,0.0199335548
National Chiao Tung University,31.2,30.6,,,0.6,0.0192307692,0.0003698225,0.0192307692
Drexel University,30.5,30.6,,,-0.1,-0.0032786885,1.07497984412795E-005,0.0032786885
Pohang University of Science and Technology,30.1,30.5,,,-0.4,-0.0132890365,0.0001765985,0.0132890365
Technical University of Berlin,29.8,30.5,,,-0.7,-0.0234899329,0.0005517769,0.0234899329
University of Victoria,29.4,30.3,,,-0.9,-0.0306122449,0.0009371095,0.0306122449
University of Colorado at Denver,31.4,30.1,,,1.3,0.0414012739,0.0017140655,0.0414012739
University of Minho,29.3,30.1,,,-0.8,-0.0273037543,0.000745495,0.0273037543
University of Oulu,29.1,30.1,,,-1,-0.0343642612,0.0011809024,0.0343642612
Florida International University,28.9,30.1,,,-1.2,-0.0415224913,0.0017241173,0.0415224913
Swedish University of Agricultural Sciences,28.4,30.1,,,-1.7,-0.0598591549,0.0035831184,0.0598591549
University of Bremen,30.6,30,,,0.6,0.0196078431,0.0003844675,0.0196078431
Chalmers University of Technology,30.2,30,,,0.2,0.0066225166,4.38577255383533E-005,0.0066225166
University of St Andrews,29.6,30,,,-0.4,-0.0135135135,0.000182615,0.0135135135
West Virginia University,29.4,30,,,-0.6,-0.0204081633,0.0004164931,0.0204081633
Wuhan University of Technology,27.3,29.9,,,-2.6,-0.0952380952,0.0090702948,0.0952380952
University of Palermo,29,29.8,,,-0.8,-0.0275862069,0.0007609988,0.0275862069
Vienna University of Technology,28.6,29.8,,,-1.2,-0.041958042,0.0017604773,0.041958042
London School of Economics and Political Science,29.9,29.7,,,0.2,0.0066889632,4.47422288341291E-005,0.0066889632
The University of Texas at Dallas,27.4,29.7,,,-2.3,-0.0839416058,0.0070461932,0.0839416058
University of Eastern Finland,29.4,29.6,,,-0.2,-0.0068027211,0.000046277,0.0068027211
University of Western Sydney,29.3,29.4,,,-0.1,-0.0034129693,1.16483593285881E-005,0.0034129693
"University of California, Santa Cruz",28.8,29.1,,,-0.3,-0.0104166667,0.0001085069,0.0104166667
Ewha Womans University,28.2,29.1,,,-0.9,-0.0319148936,0.0010185604,0.0319148936
Okayama University,28,28.9,,,-0.9,-0.0321428571,0.0010331633,0.0321428571
University of Surrey,28.1,28.8,,,-0.7,-0.024911032,0.0006205595,0.024911032
Chiba University,28.5,28.7,,,-0.2,-0.0070175439,4.92459218220988E-005,0.0070175439
University of Marburg,28.2,28.7,,,-0.5,-0.0177304965,0.0003143705,0.0177304965
Oklahoma State University,28.2,28.7,,,-0.5,-0.0177304965,0.0003143705,0.0177304965
University of East Anglia,27.6,28.7,,,-1.1,-0.0398550725,0.0015884268,0.0398550725
University of Oregon,27.1,28.7,,,-1.6,-0.0590405904,0.0034857913,0.0590405904
The University of Reading,28.4,28.4,,,0,0,0,0
Ecole Normale Superieure - Paris,26.2,28.3,,,-2.1,-0.0801526718,0.0064244508,0.0801526718
James Cook University,28.3,28.2,,,0.1,0.0035335689,1.24861092035114E-005,0.0035335689
George Mason University,28.1,28.1,,,0,0,0,0
"University of Science, Malaysia",29.3,28,,,1.3,0.0443686007,0.0019685727,0.0443686007
Weizmann Institute of Science,27.5,28,,,-0.5,-0.0181818182,0.0003305785,0.0181818182
University of Vermont,26.8,28,,,-1.2,-0.0447761194,0.0020049009,0.0447761194
University of Massachusetts Medical School - Worcester,26.7,27.9,,,-1.2,-0.0449438202,0.002019947,0.0449438202
Pompeu Fabra University,27.2,27.8,,,-0.6,-0.0220588235,0.0004865917,0.0220588235
China University of Geosciences (Wuhan),25.2,27.6,,,-2.4,-0.0952380952,0.0090702948,0.0952380952
University of Stuttgart,26.9,27.3,,,-0.4,-0.0148698885,0.0002211136,0.0148698885
University of Potsdam,26,27.3,,,-1.3,-0.05,0.0025,0.05
Thomas Jefferson University,27.3,27.2,,,0.1,0.0036630037,1.34175958351786E-005,0.0036630037
University of Regensburg,27.5,27,,,0.5,0.0181818182,0.0003305785,0.0181818182
Technical University Darmstadt,27.4,26.9,,,0.5,0.0182481752,0.0003329959,0.0182481752
Kaohsiung Medical University,27.3,26.9,,,0.4,0.0146520147,0.0002146815,0.0146520147
University at Albany (State University of New York),25.8,26.9,,,-1.1,-0.0426356589,0.0018177994,0.0426356589
University of North Texas,26.1,26.4,,,-0.3,-0.0114942529,0.0001321178,0.0114942529
University of Tartu,25.3,26.3,,,-1,-0.0395256917,0.0015622803,0.0395256917
University of Innsbruck,25.6,26.2,,,-0.6,-0.0234375,0.0005493164,0.0234375
University of Hannover,24.7,26.1,,,-1.4,-0.0566801619,0.0032126408,0.0566801619
University of Halle-Wittenberg,25.1,25.9,,,-0.8,-0.03187251,0.0010158569,0.03187251
Dartmouth College,25.4,25.8,,,-0.4,-0.0157480315,0.0002480005,0.0157480315
King Abdullah University of Science and Technology,24.5,25.8,,,-1.3,-0.0530612245,0.0028154935,0.0530612245
Brigham Young University,26.9,25.7,,,1.2,0.0446096654,0.0019900222,0.0446096654
University of Ferrara,25,25.5,,,-0.5,-0.02,0.0004,0.02
Saint Louis University,24,25.4,,,-1.4,-0.0583333333,0.0034027778,0.0583333333
University of Nice Sophia Antipolis,25.6,25.3,,,0.3,0.01171875,0.0001373291,0.01171875
Ecole Polytechnique,25.8,25.2,,,0.6,0.023255814,0.0005408329,0.023255814
University of Rostock,25.1,25.2,,,-0.1,-0.0039840637,1.58727639243815E-005,0.0039840637
Swinburne University of Technology,23.3,25.1,,,-1.8,-0.0772532189,0.0059680598,0.0772532189
The University of Texas Health Science Center at San Antonio,26.1,24.9,,,1.2,0.0459770115,0.0021138856,0.0459770115
Rush University,24.9,24.8,,,0.1,0.0040160643,1.61287721165781E-005,0.0040160643
Victoria University of Wellington,24.6,24.8,,,-0.2,-0.0081300813,6.60982219578289E-005,0.0081300813
Boston College,22.9,24.6,,,-1.7,-0.0742358079,0.0055109552,0.0742358079
The University of Dundee,24.8,24.3,,,0.5,0.0201612903,0.0004064776,0.0201612903
University of Canterbury,24.5,24.3,,,0.2,0.0081632653,6.6638900458142E-005,0.0081632653
Brunel University,23.8,23.8,,,0,0,0,0
Tokyo University of Science,22.8,23.7,,,-0.9,-0.0394736842,0.0015581717,0.0394736842
University of Konstanz,23.5,23.6,,,-0.1,-0.0042553191,1.81077410593034E-005,0.0042553191
King Fahd University of Petroleum & Minerals,22.9,23.4,,,-0.5,-0.0218340611,0.0004767262,0.0218340611
Ecole Normale Superieure - Lyon,21.6,23.3,,,-1.7,-0.0787037037,0.006194273,0.0787037037
University of Wyoming,22.4,23.1,,,-0.7,-0.03125,0.0009765625,0.03125
University of Bayreuth,22.4,23,,,-0.6,-0.0267857143,0.0007174745,0.0267857143
