University,N&S-16,N&S-17,,,,,,,
Technical University of Berlin,7.4,8.5,,,-1.1,-0.1486486486,0.0220964207,,0.1486486486
Laval University,9,8.4,,,0.6,0.0666666667,0.0044444444,,0.0666666667
Linkoping University,9,8.4,,,0.6,0.0666666667,0.0044444444,,0.0666666667
University of Otago,9.5,8.3,,,1.2,0.1263157895,0.0159556787,,0.1263157895
University of Rostock,9.3,8.3,,,1,0.1075268817,0.0115620303,,0.1075268817
University of Fribourg,8.2,8.3,,,-0.1,-0.012195122,0.000148721,,0.012195122
University of South Carolina - Columbia,8.6,8.2,,,0.4,0.0465116279,0.0021633315,,0.0465116279
University of KwaZulu-Natal,8.3,8.2,,,0.1,0.0120481928,0.0001451589,,0.0120481928
University of Saskatchewan,8.3,8.1,,,0.2,0.0240963855,0.0005806358,,0.0240963855
The University of Texas Health Science Center at San Antonio,8.2,8.1,,,0.1,0.012195122,0.000148721,,0.012195122
Temple University,7.5,8.1,,,-0.6,-0.08,0.0064,,0.08
University of Buenos Aires,8.6,8,,,0.6,0.0697674419,0.0048674959,,0.0697674419
Brigham Young University,8.2,8,,,0.2,0.0243902439,0.000594884,,0.0243902439
University of Ljubljana,8.1,8,,,0.1,0.012345679,0.0001524158,,0.012345679
La Trobe University,6.2,8,,,-1.8,-0.2903225806,0.0842872008,,0.2903225806
University of Coimbra,8,7.9,,,0.1,0.0125,0.00015625,,0.0125
China University of Geosciences (Wuhan),7.9,7.9,,,0,0,0,,0
University at Albany (State University of New York),8,7.8,,,0.2,0.025,0.000625,,0.025
University of Manitoba,8,7.7,,,0.3,0.0375,0.00140625,,0.0375
Harbin Institute of Technology,6,7.7,,,-1.7,-0.2833333333,0.0802777778,,0.2833333333
Polytechnic University of Valencia,7.6,7.5,,,0.1,0.0131578947,0.0001731302,,0.0131578947
West Virginia University,5.8,7.5,,,-1.7,-0.2931034483,0.0859096314,,0.2931034483
University of Canterbury,9.3,7.4,,,1.9,0.2043010753,0.0417389294,,0.2043010753
Vita-Salute San Raffaele University,7.5,7.3,,,0.2,0.0266666667,0.0007111111,,0.0266666667
Bielefeld University,7.4,7.2,,,0.2,0.027027027,0.0007304602,,0.027027027
University of Hannover,9.8,7.1,,,2.7,0.2755102041,0.0759058726,,0.2755102041
Saint Petersburg State University,6.8,7.1,,,-0.3,-0.0441176471,0.0019463668,,0.0441176471
Polytechnic Institute of Milan,5.4,7.1,,,-1.7,-0.3148148148,0.0991083676,,0.3148148148
University of Turin,7.7,7,,,0.7,0.0909090909,0.0082644628,,0.0909090909
Flinders University,6.2,7,,,-0.8,-0.1290322581,0.0166493236,,0.1290322581
Florida International University,6.5,6.9,,,-0.4,-0.0615384615,0.0037869822,,0.0615384615
University of Santiago Compostela,6.2,6.9,,,-0.7,-0.1129032258,0.0127471384,,0.1129032258
Beijing Normal University,5.4,6.9,,,-1.5,-0.2777777778,0.0771604938,,0.2777777778
Medical University of South Carolina,4,6.9,,,-2.9,-0.725,0.525625,,0.725
Beihang University,2.1,6.9,,,-4.8,-2.2857142857,5.2244897959,,2.2857142857
"National University of Ireland, Galway",6.9,6.8,,,0.1,0.0144927536,0.0002100399,,0.0144927536
University of Oulu,6.8,6.8,,,0,0,0,,0
Washington State University,7.2,6.7,,,0.5,0.0694444444,0.0048225309,,0.0694444444
University of Palermo,7.1,6.6,,,0.5,0.0704225352,0.0049593335,,0.0704225352
Virginia Commonwealth University,6.7,6.6,,,0.1,0.0149253731,0.0002227668,,0.0149253731
Thomas Jefferson University,8.2,6.4,,,1.8,0.2195121951,0.0481856038,,0.2195121951
RWTH Aachen University,6.4,6.4,,,0,0,0,,0
George Mason University,7,6.3,,,0.7,0.1,0.01,,0.1
Dalian University of Technology,6.9,6.3,,,0.6,0.0869565217,0.0075614367,,0.0869565217
Aalborg University,6.4,6.3,,,0.1,0.015625,0.0002441406,,0.015625
Georgetown University,6.9,6.2,,,0.7,0.1014492754,0.0102919555,,0.1014492754
University of Granada,5.3,6.2,,,-0.9,-0.1698113208,0.0288358847,,0.1698113208
Ewha Womans University,8.8,6.1,,,2.7,0.3068181818,0.0941373967,,0.3068181818
UNESP,7,6.1,,,0.9,0.1285714286,0.0165306122,,0.1285714286
University of Eastern Finland,5,6.1,,,-1.1,-0.22,0.0484,,0.22
Tianjin University,4.1,6,,,-1.9,-0.4634146341,0.2147531231,,0.4634146341
University of Pisa,6.2,5.9,,,0.3,0.0483870968,0.0023413111,,0.0483870968
Federal University of Rio Grande do Sul,5.5,5.9,,,-0.4,-0.0727272727,0.0052892562,,0.0727272727
"The University of Newcastle, Australia",5.7,5.8,,,-0.1,-0.0175438596,0.000307787,,0.0175438596
University of Pavia,5.3,5.8,,,-0.5,-0.0943396226,0.0088999644,,0.0943396226
Lanzhou University,6,5.7,,,0.3,0.05,0.0025,,0.05
Yonsei University,5.8,5.7,,,0.1,0.0172413793,0.0002972652,,0.0172413793
Bangor University,7,5.5,,,1.5,0.2142857143,0.0459183673,,0.2142857143
University of Valencia,6.9,5.5,,,1.4,0.2028985507,0.0411678219,,0.2028985507
University of Milan - Bicocca,5.7,5.5,,,0.2,0.0350877193,0.001231148,,0.0350877193
Stellenbosch University,5.4,5.5,,,-0.1,-0.0185185185,0.0003429355,,0.0185185185
Nankai University,5.7,5.4,,,0.3,0.0526315789,0.0027700831,,0.0526315789
University of Roma - Tor Vergata,8.2,5.1,,,3.1,0.3780487805,0.1429208804,,0.3780487805
Osaka City University,6.2,5.1,,,1.1,0.1774193548,0.0314776275,,0.1774193548
Jagiellonian University,4.7,5.1,,,-0.4,-0.085106383,0.0072430964,,0.085106383
Novosibirsk State University,4.1,5,,,-0.9,-0.2195121951,0.0481856038,,0.2195121951
University of Naples Federico II,5.8,4.9,,,0.9,0.1551724138,0.024078478,,0.1551724138
National and Kapodistrian University of Athens,5.4,4.9,,,0.5,0.0925925926,0.0085733882,,0.0925925926
Oklahoma State University,4.7,4.9,,,-0.2,-0.0425531915,0.0018107741,,0.0425531915
Maastricht University,4.2,4.9,,,-0.7,-0.1666666667,0.0277777778,,0.1666666667
Queensland University of Technology,4,4.9,,,-0.9,-0.225,0.050625,,0.225
University of Ferrara,4,4.7,,,-0.7,-0.175,0.030625,,0.175
Tokyo University of Science,6.6,4.5,,,2.1,0.3181818182,0.1012396694,,0.3181818182
Kyung Hee University,5.1,4.5,,,0.6,0.1176470588,0.0138408304,,0.1176470588
University of North Texas,4.6,4.5,,,0.1,0.0217391304,0.0004725898,,0.0217391304
University of Belgrade,4.4,4.5,,,-0.1,-0.0227272727,0.0005165289,,0.0227272727
Saint Louis University,4.1,4.5,,,-0.4,-0.0975609756,0.009518144,,0.0975609756
Wuhan University,4.2,4.4,,,-0.2,-0.0476190476,0.0022675737,,0.0476190476
Wayne State University,6.6,4.3,,,2.3,0.3484848485,0.1214416896,,0.3484848485
University of Surrey,5.3,4.3,,,1,0.1886792453,0.0355998576,,0.1886792453
Southeast University,4.4,4.3,,,0.1,0.0227272727,0.0005165289,,0.0227272727
MINES ParisTech,3.7,4.2,,,-0.5,-0.1351351351,0.0182615047,,0.1351351351
University of Campinas,3.7,4.2,,,-0.5,-0.1351351351,0.0182615047,,0.1351351351
King Saud University,6.2,3.9,,,2.3,0.3709677419,0.1376170656,,0.3709677419
