,Int_Stud,Int_Stud-14
"University of California, Los Angeles (UCLA)",49,40.6
Instituto Tecnológico y de Estudios Superiores de Monterrey,47.7,40.5
The National University of Science and Technology “MISiS”,46,40.4
Al Azhar University,62.6,40.3
Drexel University,58.1,40.2
Rheinische Friedrich-Wilhelms-Universitt Bonn,39.1,40.2
Universit Paul-Valery Montpellier 3,39.6,40.1
Université de Cergy-Pontoise,41.5,40
Plymouth University,42,39.9
Universitat Pompeu Fabra,39.8,39.7
Ben Gurion University of The Negev,60.1,39.6
Radboud University,38.8,38.7
American University,38.3,38.5
University of Windsor,37.5,38
National Taiwan Normal University,56.5,37.9
Ludwig-Maximilians-Universität München,39.9,37.9
Tsinghua University,36.1,37.9
"University of California, Riverside",36.1,37.9
University of Miami,49.7,37.6
Qafqaz University,37.1,37.6
University of Virginia,35.9,37.6
Karl-Franzens-Universitaet Graz,38.9,37.4
Korea University,39.2,37.2
Aalto University,38.7,37.1
École Normale Supérieure de Lyon,38.4,37.1
Technische Universität Dresden,42.2,37
Laval University,38.9,36.8
Georg-August-University Goettingen,37.9,36.6
University Hamburg,37,36.6
Smith College,38,36.2
Moscow Institute of Physics and Technology State University,38,36.1
Kuwait University,39.4,35.9
University of Minnesota,37.6,35.8
Chung-Ang University(CAU),36.7,35.7
University of Wisconsin-Madison,36.1,35.7
University of Victoria,44.3,35
University of Szeged,38.4,34.6
"University of Maryland, College Park",37,34.6
"University of California, Santa Barbara (UCSB)",44.7,34
