,Rank,Rank-14
Vienna University of Technology,197,246
University of Pisa,367,245
Charles University in Prague,279,244
Chulalongkorn University,253,243
University of Canterbury,211,242
University of East Anglia (UEA),239,240
Beijing Normal University,232,240
University of Miami,280,239
University of Milan,306,238
University of Notre Dame,195,237
Dalhousie University,277,235
Indian Institute of Technology Delhi (IITD),179,235
Technische Universität Dresden,227,234
Saint-Petersburg State University,256,233
University of Dundee,261,230
University College Cork,233,230
Politecnico di Milano,187,229
Université Paris 1 Panthéon-Sorbonne,240,228
Université Paris-Sorbonne (Paris IV),222,227
Université de Strasbourg,241,226
King Fahd University of Petroleum & Minerals,199,225
Simon Fraser University,225,222
Indian Institute of Technology Bombay (IITB),202,222
Waseda University,212,220
Universidad de Chile,209,220
Hanyang University,193,219
University of Ottawa,284,218
Universität Frankfurt am Main,243,217
Université Joseph Fourier - Grenoble 1,235,215
The University of Arizona,216,215
Tufts University,252,214
University Complutense Madrid,226,212
University of Twente,188,212
University of Leicester,235,211
Université Paris Diderot - Paris 7,261,210
Université Paris-Sud,241,209
University of Turku,233,208
University of Gothenburg,247,206
University of Antwerp,208,205
Sapienza University of Rome,213,202
National Chiao Tung University,182,202
University of Reading,156,202
Georgetown University,213,200
University of Sussex,187,200
University of Tsukuba,219,198
Universidad de Buenos Aires (UBA),124,198
Keio University,219,197
Tel Aviv University,203,195
Michigan State University,164,195
University Hamburg,219,192
University of Florida,180,192
Technische Universität Berlin,178,192
The University of Western Ontario,192,191
Technion - Israel Institute of Technology,198,190
Case Western Reserve University,215,189
Queen`s University at Kingston,206,187
Aalto University,139,187
"University of Illinois, Chicago (UIC)",185,186
Vanderbilt University,216,182
Alma Mater Studiorum - University of Bologna,204,182
Stockholm University,182,182
University of Colorado Boulder,175,182
Vrije Universiteit Brussel (VUB),194,181
École Normale Supérieure de Lyon,188,179
University of Bath,159,179
Rheinische Friedrich-Wilhelms-Universitt Bonn,210,177
Chalmers University of Technology,132,175
Universite libre de Bruxelles,207,173
