University,Teaching-16,Teaching-17,,,B2-C2,D2/B2,,,,ABS()
Liverpool John Moores UniversityUnited Kingdom,16.4,16.1,,,0.3,0.0182926829,0.0003346222,,,0.0182926829
University of GhanaGhana,15.6,16.1,,,-0.5,-0.0320512821,0.0010272847,,,0.0320512821
AGH University of Science and TechnologyPoland,14.2,16.1,,,-1.9,-0.1338028169,0.0179031938,,,0.1338028169
University of Electronic Science and Technology of ChinaChina,20.5,16,,,4.5,0.2195121951,0.0481856038,,,0.2195121951
University of MariborSlovenia,17.1,16,,,1.1,0.0643274854,0.0041380254,,,0.0643274854
"University of Santiago, Chile (USACH)Chile",17.6,15.9,,,1.7,0.0965909091,0.0093298037,,,0.0965909091
University of HertfordshireUnited Kingdom,15.5,15.9,,,-0.4,-0.0258064516,0.0006659729,,,0.0258064516
University of LincolnUnited Kingdom,17.9,15.8,,,2.1,0.1173184358,0.0137636154,,,0.1173184358
National Taipei University of TechnologyTaiwan,17.8,15.8,,,2,0.1123595506,0.0126246686,,,0.1123595506
Budapest University of Technology and EconomicsHungary,17.1,15.8,,,1.3,0.0760233918,0.0057795561,,,0.0760233918
University of BrightonUnited Kingdom,16.7,15.8,,,0.9,0.0538922156,0.0029043709,,,0.0538922156
University of West BohemiaCzech Republic,16.3,15.8,,,0.5,0.0306748466,0.0009409462,,,0.0306748466
VÅ B - Technical University of OstravaCzech Republic,18.8,15.6,,,3.2,0.170212766,0.0289723857,,,0.170212766
University of WestminsterUnited Kingdom,17.3,15.6,,,1.7,0.098265896,0.0096561863,,,0.098265896
University of the West of EnglandUnited Kingdom,16.9,15.6,,,1.3,0.0769230769,0.0059171598,,,0.0769230769
University of PardubiceCzech Republic,15.9,15.6,,,0.3,0.0188679245,0.0003559986,,,0.0188679245
University of VigoSpain,18.4,15.5,,,2.9,0.1576086957,0.0248405009,,,0.1576086957
University of Central LancashireUnited Kingdom,15.7,15.4,,,0.3,0.0191082803,0.0003651264,,,0.0191082803
University of GreenwichUnited Kingdom,15.7,15.4,,,0.3,0.0191082803,0.0003651264,,,0.0191082803
Erciyes UniversityTurkey,15.5,15.4,,,0.1,0.0064516129,4.16233090530694E-005,,,0.0064516129
University of CataniaItaly,19.2,15.3,,,3.9,0.203125,0.0412597656,,,0.203125
University of PatrasGreece,18.5,15.3,,,3.2,0.172972973,0.0299196494,,,0.172972973
University of ParmaItaly,17.7,15.1,,,2.6,0.1468926554,0.0215774522,,,0.1468926554
Makerere UniversityUganda,15.9,15.1,,,0.8,0.0503144654,0.0025315454,,,0.0503144654
University of BresciaItaly,15.6,15.1,,,0.5,0.0320512821,0.0010272847,,,0.0320512821
Dublin Institute of TechnologyIreland,16.1,15,,,1.1,0.0683229814,0.0046680298,,,0.0683229814
Chung Yuan Christian UniversityTaiwan,15.9,14.9,,,1,0.0628930818,0.0039555397,,,0.0628930818
GdaÅ„sk University of TechnologyPoland,15.5,14.8,,,0.7,0.0451612903,0.0020395421,,,0.0451612903
Universiti Teknologi MARAMalaysia,15.2,14.8,,,0.4,0.0263157895,0.0006925208,,,0.0263157895
Feng Chia UniversityTaiwan,14.6,14.8,,,-0.2,-0.0136986301,0.0001876525,,,0.0136986301
Tallinn University of TechnologyEstonia,16.3,14.7,,,1.6,0.0981595092,0.0096352892,,,0.0981595092
Prince of Songkla UniversityThailand,15.3,14.6,,,0.7,0.045751634,0.002093212,,,0.045751634
Pontifical Catholic University of ParanÃ¡Brazil,18.4,14.4,,,4,0.2173913043,0.0472589792,,,0.2173913043
University of IoanninaGreece,14.5,14.3,,,0.2,0.0137931034,0.0001902497,,,0.0137931034
Federico Santa MarÃ­a Technical UniversityChile,17.2,14.2,,,3,0.1744186047,0.0304218496,,,0.1744186047
University of Marrakech Cadi AyyadMorocco,17.4,14.1,,,3.3,0.1896551724,0.0359690844,,,0.1896551724
