University,Industry Income-16,Industry Income-17,,,B2-C2,D2/B2,E2^2,,,
UmeÃ¥ UniversitySweden,31.1,35.2,,,-4.1,-0.1318327974,0.0173798865,,,0.1318327974
University of Rovira i VirgiliSpain,30.9,35.2,,,-4.3,-0.1391585761,0.0193651093,,,0.1391585761
Aix-Marseille UniversityFrance,33.1,35.1,,,-2,-0.0604229607,0.0036509342,,,0.0604229607
Central Queensland UniversityAustralia,32.5,35.1,,,-2.6,-0.08,0.0064,,,0.08
University of LeicesterUnited Kingdom,31.7,35.1,,,-3.4,-0.1072555205,0.0115037467,,,0.1072555205
University of ConnecticutUnited States,30.9,35.1,,,-4.2,-0.1359223301,0.0184748798,,,0.1359223301
Shantou UniversityChina,30.7,35.1,,,-4.4,-0.1433224756,0.020541332,,,0.1433224756
University of CanberraAustralia,36.2,35,,,1.2,0.0331491713,0.0010988676,,,0.0331491713
University of EdinburghUnited Kingdom,36.1,35,,,1.1,0.0304709141,0.0009284766,,,0.0304709141
University of Urbino Carlo BoItaly,31.2,35,,,-3.8,-0.1217948718,0.0148339908,,,0.1217948718
Slovak University of Technology in BratislavaSlovakia,33.2,34.9,,,-1.7,-0.0512048193,0.0026219335,,,0.0512048193
University of ExeterUnited Kingdom,31.9,34.9,,,-3,-0.0940438871,0.0088442527,,,0.0940438871
Ã‰cole Normale SupÃ©rieure de LyonFrance,31.7,34.9,,,-3.2,-0.1009463722,0.0101901701,,,0.1009463722
University of HelsinkiFinland,31.6,34.9,,,-3.3,-0.1044303797,0.0109057042,,,0.1044303797
Aberystwyth UniversityUnited Kingdom,31.3,34.9,,,-3.6,-0.1150159744,0.0132286744,,,0.1150159744
University of GeorgiaUnited States,30.9,34.9,,,-4,-0.1294498382,0.0167572606,,,0.1294498382
University of ReginaCanada,34.4,34.8,,,-0.4,-0.011627907,0.0001352082,,,0.011627907
London School of Economics and Political ScienceUnited Kingdom,32.2,34.8,,,-2.6,-0.0807453416,0.0065198102,,,0.0807453416
