University,Rank-16,Rank-17,,,,,,,
University of ManchesterUnited Kingdom,56,55,,,1,0.0178571429,0.0003188776,,0.0178571429
University of SydneyAustralia,56,60,,,-4,-0.0714285714,0.0051020408,,0.0714285714
University of AmsterdamNetherlands,58,63,,,-5,-0.0862068966,0.007431629,,0.0862068966
Hong Kong University of Science and TechnologyHong Kong,59,49,,,10,0.1694915254,0.0287273772,,0.1694915254
University of QueenslandAustralia,60,60,,,0,0,0,,0
Washington University in St LouisUnited States,60,57,,,3,0.05,0.0025,,0.05
Utrecht UniversityNetherlands,62,86,,,-24,-0.3870967742,0.1498439126,,0.3870967742
University of North Carolina at Chapel HillUnited States,63,56,,,7,0.1111111111,0.012345679,,0.1111111111
Boston UniversityUnited States,64,64,,,0,0,0,,0
Delft University of TechnologyNetherlands,65,59,,,6,0.0923076923,0.0085207101,,0.0923076923
University of MinnesotaUnited States,65,53,,,12,0.1846153846,0.0340828402,,0.1846153846
Leiden UniversityNetherlands,67,77,,,-10,-0.1492537313,0.0222766763,,0.1492537313
University of Southern CaliforniaUnited States,68,60,,,8,0.1176470588,0.0138408304,,0.1176470588
University of BristolUnited Kingdom,69,71,,,-2,-0.0289855072,0.0008401596,,0.0289855072
Durham UniversityUnited Kingdom,70,96,,,-26,-0.3714285714,0.1379591837,,0.3714285714
Erasmus University RotterdamNetherlands,71,69,,,2,0.0281690141,0.0007934934,,0.0281690141
Free University of BerlinGermany,72,75,,,-3,-0.0416666667,0.0017361111,,0.0416666667
Monash UniversityAustralia,73,74,,,-1,-0.0136986301,0.0001876525,,0.0136986301
University of GroningenNetherlands,74,80,,,-6,-0.0810810811,0.0065741417,,0.0810810811
Pennsylvania State UniversityUnited States,75,68,,,7,0.0933333333,0.0087111111,,0.0933333333
University of GlasgowUnited Kingdom,76,88,,,-12,-0.1578947368,0.0249307479,,0.1578947368
University of HelsinkiFinland,76,91,,,-15,-0.1973684211,0.0389542936,,0.1973684211
University of TÃ¼bingenGermany,78,89,,,-11,-0.141025641,0.0198882314,,0.141025641
University of PittsburghUnited States,79,80,,,-1,-0.0126582278,0.0001602307,,0.0126582278
University of WarwickUnited Kingdom,80,82,,,-2,-0.025,0.000625,,0.025
Uppsala UniversitySweden,81,93,,,-12,-0.1481481481,0.0219478738,,0.1481481481
University of CopenhagenDenmark,82,120,,,-38,-0.4634146341,0.2147531231,,0.4634146341
University of New South WalesAustralia,82,78,,,4,0.0487804878,0.002379536,,0.0487804878
University of FreiburgGermany,84,95,,,-11,-0.130952381,0.0171485261,,0.130952381
"Seoul National UniversityKorea, Republic of",85,72,,,13,0.1529411765,0.0233910035,,0.1529411765
University of St AndrewsUnited Kingdom,86,110,,,-24,-0.2790697674,0.0778799351,,0.2790697674
Vanderbilt UniversityUnited States,87,108,,,-21,-0.2413793103,0.0582639715,,0.2413793103
