University,Overall-16,Overall-17,,,,,,,
Heidelberg UniversityGermany,74.4,73,,,1.4,0.0188172043,0.0003540872,,0.0188172043
University of Hong KongHong Kong,71,73,,,-2,-0.0281690141,0.0007934934,,0.0281690141
University of Wisconsin-MadisonUnited States,69.7,72.6,,,-2.9,-0.0416068867,0.001731133,,0.0416068867
Technical University of MunichGermany,69.4,71.6,,,-2.2,-0.0317002882,0.0010049083,,0.0317002882
Australian National UniversityAustralia,69.5,71.3,,,-1.8,-0.0258992806,0.0006707727,,0.0258992806
"University of California, Santa BarbaraUnited States",72.2,71.2,,,1,0.0138504155,0.000191834,,0.0138504155
Hong Kong University of Science and TechnologyHong Kong,67.2,71.1,,,-3.9,-0.0580357143,0.0033681441,,0.0580357143
University of Texas at AustinUnited States,70.3,70.8,,,-0.5,-0.0071123755,5.05858857285076E-005,,0.0071123755
"University of California, DavisUnited States",71,70.4,,,0.6,0.0084507042,7.14144019043827E-005,,0.0084507042
Brown UniversityUnited States,69.6,70.4,,,-0.8,-0.0114942529,0.0001321178,,0.0114942529
University of MinnesotaUnited States,65.9,70.3,,,-4.4,-0.06676783,0.0044579431,,0.06676783
Nanyang Technological UniversitySingapore,68.2,70,,,-1.8,-0.0263929619,0.0006965884,,0.0263929619
University of ManchesterUnited Kingdom,68.1,69.7,,,-1.6,-0.0234948605,0.0005520085,,0.0234948605
University of North Carolina at Chapel HillUnited States,66.4,69.3,,,-2.9,-0.0436746988,0.0019074793,,0.0436746988
Humboldt University of BerlinGermany,69.9,69.2,,,0.7,0.0100143062,0.0001002863,,0.0100143062
Washington University in St LouisUnited States,67,69.2,,,-2.2,-0.0328358209,0.0010781911,,0.0328358209
Delft University of TechnologyNetherlands,65.9,67.9,,,-2,-0.0303490137,0.0009210626,,0.0303490137
University of SydneyAustralia,68.1,67.2,,,0.9,0.013215859,0.0001746589,,0.013215859
University of QueenslandAustralia,67,67.2,,,-0.2,-0.0029850746,8.91067052795748E-006,,0.0029850746
University of Southern CaliforniaUnited States,65.5,67.2,,,-1.7,-0.0259541985,0.0006736204,,0.0259541985
University of AmsterdamNetherlands,67.8,67.1,,,0.7,0.0103244838,0.000106595,,0.0103244838
Boston UniversityUnited States,66.1,66.9,,,-0.8,-0.0121028744,0.0001464796,,0.0121028744
Wageningen University & ResearchNetherlands,70,66.6,,,3.4,0.0485714286,0.0023591837,,0.0485714286
Ã‰cole Normale SupÃ©rieureFrance,69,65.8,,,3.2,0.0463768116,0.0021508087,,0.0463768116
"University of Maryland, College ParkUnited States",56.7,65.3,,,-8.6,-0.151675485,0.0230054528,,0.151675485
Pennsylvania State UniversityUnited States,62.3,65,,,-2.7,-0.0433386838,0.0018782415,,0.0433386838
Erasmus University RotterdamNetherlands,63.5,64.6,,,-1.1,-0.0173228346,0.0003000806,,0.0173228346
Purdue UniversityUnited States,57,64.5,,,-7.5,-0.1315789474,0.0173130194,,0.1315789474
University of BristolUnited Kingdom,64.3,64.4,,,-0.1,-0.00155521,2.41867799897973E-006,,0.00155521
"Seoul National UniversityKorea, Republic of",60.5,64.2,,,-3.7,-0.0611570248,0.0037401817,,0.0611570248
Ohio State UniversityUnited States,59.7,64.2,,,-4.5,-0.0753768844,0.0056816747,,0.0753768844
Monash UniversityAustralia,62.8,64,,,-1.2,-0.0191082803,0.0003651264,,0.0191082803
Free University of BerlinGermany,63.2,63.7,,,-0.5,-0.0079113924,6.25901297868931E-005,,0.0079113924
Chinese University of Hong KongHong Kong,54.5,63.6,,,-9.1,-0.1669724771,0.0278798081,,0.1669724771
Leiden UniversityNetherlands,65.7,63.3,,,2.4,0.0365296804,0.0013344175,,0.0365296804
University of New South WalesAustralia,61,63,,,-2,-0.0327868852,0.0010749798,,0.0327868852
RWTH Aachen UniversityGermany,57.2,63,,,-5.8,-0.1013986014,0.0102816764,,0.1013986014
University of GroningenNetherlands,62.4,62.2,,,0.2,0.0032051282,1.02728468113079E-005,,0.0032051282
University of PittsburghUnited States,61.5,62.2,,,-0.7,-0.0113821138,0.0001295525,,0.0113821138
University of WarwickUnited Kingdom,61.3,62,,,-0.7,-0.0114192496,0.0001303993,,0.0114192496
Emory UniversityUnited States,59.7,62,,,-2.3,-0.0385259631,0.0014842498,,0.0385259631
Dartmouth CollegeUnited States,57.8,62,,,-4.2,-0.0726643599,0.0052801092,,0.0726643599
Utrecht UniversityNetherlands,66.6,61.9,,,4.7,0.0705705706,0.0049802054,,0.0705705706
Rice UniversityUnited States,57.9,61.7,,,-3.8,-0.0656303972,0.004307349,,0.0656303972
University of GlasgowUnited Kingdom,61.9,61.4,,,0.5,0.0080775444,6.52467239619899E-005,,0.0080775444
University of TÃ¼bingenGermany,61.7,61.3,,,0.4,0.0064829822,4.20290578398652E-005,,0.0064829822
"Korea Advanced Institute of Science and Technology (KAIST)Korea, Republic of",53,61.3,,,-8.3,-0.1566037736,0.0245247419,,0.1566037736
University of HelsinkiFinland,61.9,61.2,,,0.7,0.0113085622,0.0001278836,,0.0113085622
Kyoto UniversityJapan,59.9,61.2,,,-1.3,-0.0217028381,0.0004710132,,0.0217028381
Uppsala UniversitySweden,61.2,61.1,,,0.1,0.0016339869,2.6699132812167E-006,,0.0016339869
