Name,Publications,publication,Citations,h-index
"206. Kumar, Arun",1,2016,4,1
"241. Modi, D. R.",1,2014,4,1
"245. Naresh Bharagava, Ram",1,2012,4,1
"26. Arora, Naveen Kumar",8,2016,3,1
"74. Pandey, Vivek",4,2016,3,1
"81. Tripathi, Chandra Bhushan",4,2017,3,1
"86. Khan, R. A.",3,2016,3,1
"95. Shree, Raj",3,2016,3,1
"139. Sagar, Sadhana Singh",2,2015,3,1
"165. Arya, Ekta",1,2013,3,1
"189. Dhiraj, K.",1,2012,3,1
"232. Mishra, Akanksha",1,2015,3,1
"307. Singh, Ragini",1,2015,3,1
"310. Singh, Samipta",1,2016,3,1
"316. Singh, Vinayak",1,2013,3,1
324. Sweta,1,2015,3,1
"63. Singh, Pooja",5,2016,2,1
104. Yogita,3,2012,2,1
"210. Kumar, Devesh",1,2016,2,1
"237. Mishra, Sandhya",1,2016,2,1
"244. Narayan, Hitesh",1,2015,2,1
"248. Nill, Shikha",1,2015,2,1
"274. Sahu, Roshan Kumar Umar",1,2014,2,1
"275. Saini, O. P.",1,2014,2,1
"285. Sharma, Neha N.",1,2015,2,1
"326. Tiwari, Rashmi",1,2013,2,1
"33. Roy, Subhadeep",8,2017,1,1
"52. Priya, Yuvana Satya",6,2016,1,1
"57. Kumar, Narander Vinay",5,2016,1,1
"59. Raj, Deepa",5,2016,1,1
"80. Sukhadeve, Pramod Premdas",4,2015,1,1
"90. Kumar, Sanjay",3,2014,1,1
"112. Chauhan, Seema V S",2,2013,1,1
"119. Gupta, Seema",2,2015,1,1
"125. Kumar, Vikas",2,2014,1,1
"129. Malik, Bibhuti Bhushan",2,2015,1,1
"141. Saxena, Gaurav",2,2017,1,1
"146. Shukla, Manjari",2,2015,1,1
"157. Tiwari, Virendra",2,2016,1,1
"159. Yadav, Ram Kumar",2,2014,1,1
"167. Babu, G. Sunil",1,2012,1,1
"196. Giri, Arvind Kumar Umar",1,2015,1,1
"197. Goutam, Rajesh Kumar",1,2011,1,1
"229. Mani, Sujata",1,2016,1,1
"264. Rajvanshi, Sandeep Kumar",1,2011,1,1
"267. Rao, Yashwant",1,2012,1,1
"320. Srivastava, Amit K.",1,2012,1,1
"348. Yadav, Yogesh Chandra",1,2012,1,1
"84. Dubey, Durgesh Kumar",3,2016,0,1
"98. Singh, Rana Pratap Ratap",3,2016,0,1
"127. Mahadeva, A.",2,2015,0,1
"131. Mishra, Jitendra",2,2016,0,1
"138. Sagar, Sadhana Singh",2,2017,0,1
"148. Singh, Jitendra Nath",2,2015,0,1
"151. Singh, Nilu",2,2016,0,1
"163. Anjum, Md Meraj",1,2016,0,1
"170. Barsainya, Manjari",1,2016,0,1
"174. Bhushan, Shashi",1,2015,0,1
"178. Chandra, Rishabh",1,2016,0,1
"187. Das, Amar Jyoti",1,2013,0,1
"193. Gautam, Neelam",1,2011,0,1
"218. Kumar, Neeraj",1,2012,0,1
"220. Kumar, Rajesh",1,2015,0,1
