# RANK20182017201620152018,UNIVERSITY,OVERALL SCORE,Academic Reputation,Citations per Faculty,Employer Reputation,Faculty Student,International Faculty,International Students
=192,Keio University,48.5,63,,80.2,60.7,,
=192,Scuola Normale Superiore di Pisa,48.5,,98.3,,91.2,,
=192,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,48.5,,96,,86.3,,49.8
=195,Stockholm University,48.1,65.8,49.2,,,64.3,
=195,Technische Universität Dresden,48.1,41.5,79,77,,92.4,38.5
=195,Texas A&M University,48.1,69.7,57,54.1,,,
=195,Universitat Autònoma de Barcelona,48.1,72.1,43.7,41.5,,21.5,28.6
199,Instituto Tecnológico y de Estudios Superiores de Monterrey,48,42.8,,84.9,77.1,98.4,23.2
200,Maastricht University,47.9,30.8,73.3,39,35.4,95.9,100
201,Universidad de Chile,47.8,82.7,,85.1,,,
202,Queen's University Belfast,47.4,35.2,50.9,50.5,41.7,98.8,94.5
203,Waseda University,47.2,69,,89,29.9,28.3,34.2
204,Radboud University,47.1,38.6,73.6,,55.5,44.7,40.4
=205,Tel Aviv University,47,49.1,96,45.5,,29.7,
=205,Universite libre de Bruxelles,47,46.2,44.4,67,,91.7,95.3
=207,National Chiao Tung University,46.9,33.3,76.8,38.4,49.5,35.2,53.1
=207,"University of Illinois, Chicago (UIC)",46.9,55,46.9,33.1,36.2,35.4,61.1
209,Arizona State University,46.7,51.4,73,34.2,,51,64
=210,University of Antwerp,46.6,35,22.6,38,93,65.3,45.7
=210,The University of Western Ontario,46.6,39.2,72.1,69.3,,99.1,47.6
212,Vanderbilt University,46.5,35.8,33.4,,100,21.7,36
213,Case Western Reserve University,46.4,,54.9,,97.8,25.4,61.4
214,University of Canterbury,46.3,47.1,56.8,48.5,,99,64.7
215,Sapienza University of Rome,46.1,78.2,40.1,49.5,,,
216,University of Notre Dame,45.9,36.3,72,34.1,42.3,79.3,
217,University of Calgary,45.8,42.8,43.5,56.9,35,82.5,61.3
218,Vrije Universiteit Amsterdam,45.6,50.5,55.8,43.5,35.8,38.2,
219,Victoria University of Wellington,45.5,54,45.8,41.6,,100,58.7
220,Sciences Po,45.2,31.6,,72.1,82.5,62.2,98.5
221,King Saud University,44.5,35.9,,37.7,89.3,98.3,
222,National Cheng Kung University (NCKU),44.3,49.9,49.3,42,40.2,,26.7
223,Universität Hamburg,44.2,56.6,,44,51.7,23,26.6
=224,Queen's University at Kingston,44,43.9,61.9,70.5,,73.8,25.6
=224,Technion - Israel Institute of Technology,44,40.6,79.4,40,,63.1,
=224,"The University of Newcastle, Australia (UON)",44,40,49.1,37,28.4,99.5,74.6
227,Georgetown University,43.8,41.8,27.5,53.2,62.5,21.1,52.1
228,University of Sussex,43.7,36.6,54.7,,31.7,94.1,97.9
229,Universiti Putra Malaysia (UPM),43.6,49,,34.4,56,43,73
=230,Universiti Kebangsaan Malaysia (UKM),43.4,49.6,,35.1,66.5,44.7,39.9
=230,The University of Arizona,43.4,51.3,66.4,,,,
232,University of Wollongong,43.3,33.1,59.4,49.3,,98,81.8
233,University Complutense Madrid,43.2,68.9,,76.8,,,33.8
234,Loughborough University,43.1,35.3,41.4,69.2,32.1,79,66.1
235,American University of Beirut (AUB),43,,,83.7,64.6,99.2,68
=236,Al-Farabi Kazakh National University,42.9,38.6,,50.8,99,30.9,
=236,Université Grenoble-Alpes,42.9,69.5,38.2,,,20.9,32.5
238,University of Leicester,42.8,28.7,50.9,,46.2,87.1,91.1
239,Rheinische Friedrich-Wilhelms-Universität Bonn,42.6,56.6,23.7,,47.9,,31.2
=240,Macquarie University,42.5,41.2,47.2,55.6,,85.9,78.2
=240,Saint Petersburg State University,42.5,42.4,,35.2,97.7,,28.6
242,Université Paris-Sud,42.3,34.7,24.1,34,78.1,42.5,46.7
=243,National University of Ireland Galway,42,28.4,,45.1,73.5,89.8,66.2
=243,Tufts University,42,,62.8,,66.1,56.3,33.3
=245,Chulalongkorn University,41.8,74.5,,48.1,,,
=245,Simon Fraser University,41.8,31.5,78,,,94.2,91.9
=247,Queensland University of Technology (QUT),41.6,46.7,36.8,63,,97.2,42.9
=247,RMIT University,41.6,43.8,23,74.8,,100,84.4
