,Emp_Rep,Emp_Rep-14
University of Texas at Austin,85.8,88.5
RMIT University,85.3,88.5
Technische Universität Darmstadt,88.1,88.2
Keio University,82.3,88
Universidad de Chile,92.8,87.9
Ludwig-Maximilians-Universität München,91.6,87.7
American University of Beirut (AUB),92.9,87.6
Politecnico di Milano,89.8,87.3
Osaka University,80.9,87
Carnegie Mellon University,83.9,86.8
Chalmers University of Technology,86.5,86.6
Indian Institute of Technology Delhi (IITD),81.6,86.3
Korea University,84.6,86
Université Paris Dauphine,80,85.7
The University of Adelaide,76.5,85.7
Universidad Nacional de Colombia,92.1,85.6
University of Amsterdam,88.1,85.1
Duke University,84.6,85
Lund University,84.2,84.9
Universidad de los Andes,87.7,84.6
University of Wollongong,78.6,84.4
KAIST - Korea Advanced Institute of Science & Technology,86.6,84.1
ESCP Europe,84.5,84.1
University of Waterloo,79.4,84
Boston University,85.6,83.6
The University of Exeter,76.7,83.4
National Taiwan University (NTU),75,83
California Institute of Technology (Caltech),89.6,82.3
Zhejiang University,80.1,81.7
KU Leuven,76.4,81.6
University Complutense Madrid,79,81.5
The University of Sheffield,79.7,81.3
Technische Universität Berlin,82.3,80.3
Northwestern University,81.1,80
Georgia Institute of Technology,78.2,79.8
Tohoku University,72.1,79.2
University of Copenhagen,77.7,78.3
Purdue University,77.2,78.2
Pontificia Universidad Javeriana,73.1,77.8
Université Catholique de Louvain (UCL),72.4,77.8
Copenhagen Business School,78,77.6
University of Delhi,72.1,77.3
Queensland University of Technology (QUT),71.6,76.7
University of Illinois at Urbana-Champaign,75.8,76.3
Lomonosov Moscow State University,82.1,76.2
Ruprecht-Karls-Universitaet Heidelberg,80.5,76.2
Brown University,71.2,75.6
University College Dublin,72.4,75.4
Johns Hopkins University,74,74.9
Newcastle University,73.2,74.9
Universidad Adolfo Ibàñez,76.3,74.7
"Ecole normale supérieure, Paris",78.9,74.6
University of Zurich,72.7,74.3
Singapore Management University,70,74
University of Strathclyde,69.5,74
Stockholm School of Economics,81.2,73.7
Pennsylvania State University,73.3,72.8
The University of Western Australia,70.3,72.2
Université de Montréal,75.6,72.1
Université Paris-Sorbonne (Paris IV),78.6,71.8
Hokkaido University,64.7,71.8
Kyushu University,66.4,71.6
Indian Institute of Technology Madras (IITM),66.9,71.5
University of Alberta,68.7,71.2
Oxford Brookes University,81.4,71
Vienna University of Technology,71.1,71
City University London,79.4,70.9
Technische Universität Dresden,67.8,70.8
University of Barcelona,74.1,70.4
Institut National des Sciences Appliquées de Lyon (INSA),68.7,70.3
University of Southern California,65.1,70.2
Humboldt-Universität zu Berlin,76.6,70
Westfälische Wilhelms-Universitat Münster,69.8,69.8
The Hong Kong Polytechnic University,59.6,69.7
Loughborough University,69,69.6
Universite libre de Bruxelles,62.3,69.5
University of Cologne,67.5,69.4
Vrije Universiteit Amsterdam,66.8,69.1
Macquarie University,63.6,69.1
École des Ponts ParisTech,74.5,68.8
University of St Andrews,68.2,68.4
University of Navarra,85.2,68.3
The American University in Cairo,77.4,68.2
Cairo University,70.4,68
Pohang University of Science And Technology (POSTECH),64.9,67.7
Aarhus University,63.8,67.7
Nanjing University,63.6,67.7
University of Canterbury,57.8,67.5
University of Reading,68.2,67.1
Victoria University of Wellington,58.4,67
University of Calgary,67.6,66.9
Bandung Institute of Technology (ITB),59,66.9
University of Wisconsin-Madison,62.1,66.6
Texas A&M University,68.3,66.5
Hitotsubashi University,59.8,66.5
Utrecht University,69,66.2
Czech Technical University in Prague,68.7,66.1
Georgetown University,66.5,66.1
Dartmouth College,65.3,66
Linköping University,60.6,66
National Technical University of Athens,64.4,65.9
"University of California, San Diego (UCSD)",71.3,65.8
Bauman Moscow State Technical University,65.5,65.8
Chulalongkorn University,59,65.7
University of Liverpool,69.5,65.6
Queen`s University at Kingston,67.5,65.5
