"185. Chakraborty, Shounak",,3,2014,3,1
"186. Choudhury, Trirup Dutta",,3,2012,28,4
"187. Darlong, Lalawmkima",,3,2016,1,1
"188. Das, Ajit Kumar",,3,2014,1,2
"189. Das, Arpita Kr",,3,2012,4,2
"190. Das, Indrani",,3,2015,3,1
"191. Das, Pulak K.",,3,2015,5,3
"192. Das, Tapati H.",,3,2013,28,3
"193. Deb, Debasis L.",,3,2012,8,11
"194. Deb, Panna",,3,2016,0,2
"195. Deb, Rajdeep",,3,2015,12,4
"196. Devi, Moonmee Leleeka",,3,2015,0,0
"197. Dey, Mithra",,3,2016,1,1
"198. Dhar, Debadatta",,3,2017,0,0
"199. Hemachandran, Kattamanchi",,3,2016,13,2
"200. Jena, Ananta Kumar",,3,2014,3,1
"201. Kaithwas, Gaurav",,3,2012,41,8
"202. Kshetrimayum, K. S.",,3,2016,5,2
"203. Mahadani, Pradosh",,3,2014,22,2
"204. Mahato, Ashim Kumar",,3,2015,1,1
"205. Mandal, Raju",,3,2016,2,1
"206. Mazumdar, Mehnaz",,3,2012,19,3
"207. Mitra, Susweta Das",,3,2016,10,3
"208. Naiding, Momota",,3,2016,4,1
"209. Nath, Anupam",,3,2016,6,2
"210. Nath, Keshab Divya",,3,2015,1,1
"211. Nath, Rumki",,3,2015,12,1
"212. Nath, Siddhartha Sankar",,3,2015,4,6
"213. Pal, Sudip Kumar",,3,2016,9,2
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"214. Paul, Debolina",,3,2016,15,3
"215. Purkayastha, Pinki",,3,2015,4,1
"216. Rajkumar, Bibhas",,3,2012,6,2
"217. Roy Choudhury, S.",,3,2015,6,1
"218. Roy, Saswati",,3,2013,20,3
"219. Roychoudhury, Shubhadeep",,3,2016,9,2
"220. Sahu, Jatindra Kumar",,3,2012,37,5
"221. Sajem, Albert L.",,3,2013,17,4
"222. Sarkar, Sunita",,3,2016,0,0
"223. Sharma, Gauri Dutt",,3,2013,3,2
"224. Sharma, Gauri Dutt",,3,2016,2,1
"225. Singh, Supriya",,3,2015,5,2
"226. Singh, Yashwant Dilipkumar",,3,2016,10,2
"227. Singha, Hilloljyoti",,3,2016,0,1
"228. Sinha, Manoj Kumar",,3,2015,0,0
"229. Srivastava, Shilpee K.",,3,2015,10,6
"230. Thounaojam, Dalton Meitei",,3,2016,4,1
"231. Ahanthem, Monika",,2,2014,0,0
"232. Athokpam, Florida Devi",,2,2014,4,2
"233. Azad, Abul Kalam",,2,2015,3,1
"234. Baruah, Lalit",,2,2014,0,0
"235. Bedamani Singh, Ngangbam",,2,2015,0,0
"236. Bhattacharjee, Abhinandan",,2,2015,4,1
"237. Bhattacharjee, Amrita",,2,2015,0,0
"238. Bhattacharjee, Anindita",,2,2015,1,1
"239. Bhattacharjee, Partha Pratim",,2,2017,1,2
"240. Bhattacharjee, Somenath",,2,2015,0,0
"241. Bhattacharjee, Sujata",,2,2012,2,1
"242. Biswas, Somava",,2,2015,7,1
"243. Borah, Nepolion",,2,2014,4,2
"244. Borthakur, Achinta K.",,2,2015,2,3
"245. Brahma, Biplab",,2,2016,0,0
"246. Chakdar, Biswajit",,2,2016,0,0
"247. Chakrabarty, Anirban",,2,2017,0,0
"248. Chakrabarty, Rupam",,2,2014,18,2
"249. Chakraborty, Mohua",,2,2015,5,1
"250. Chakraborty, Paromita",,2,2016,1,1
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"251. Chakraborty, Sreejita",,2,2016,9,1
"252. Chakravarty, Pinaki",,2,2016,0,0
"253. Chakravorty, Atanu",,2,2016,7,2
"254. Chanu, Laishram Jenny",,2,2016,1,1
"255. Chatterjee, Hirak",,2,2015,8,2
"256. Chaturvedi, Richa K.",,2,2016,1,6
"257. Choudhury, Manabendra Ray",,2,2016,0,0
"258. Choudhury, Monisha Nath",,2,2016,0,0
"259. Dalal, Arpita",,2,2016,0,0
"260. Das Roy, Lopamudra",,2,2013,2,3
"260. Das Roy, Lopamudra",,2,2013,2,3
"261. Das, A.",,2,2016,1,1
"262. Das, Abhijeet C.",,2,2013,14,3
"263. Das, Arabinda",,2,2014,8,1
"264. Das, Ashesh Kumar",,2,2015,1,1
"265. Das, Bhaskar K.",,2,2013,0,1
"266. Das, Mukta Chandra",,2,2014,4,1
"267. Das, Raima",,2,2015,6,1
"268. Das, Sudipa",,2,2016,0,0
"269. Das, Supriya",,2,2013,3,1
"270. Dasgupta, Somnath K.",,2,2015,22,22
"271. Dattagupta, Shovan",,2,2014,0,0
"272. Deb, Daizy",,2,2016,1,1
"273. Deb, Mitrajit",,2,2015,0,0
"274. Deb, Shoubhonik",,2,2016,0,0
"275. Deka, Himangshu",,2,2016,3,1
"276. Deka, Jyotirupa",,2,2016,1,1
"277. Devi, Heisanam Pushparani",,2,2016,6,1
"278. Devi, Konthoujam Deepika",,2,2016,1,1
"279. Devi, Supriya Saraju",,2,2012,0,0
"280. Dewan, Babul",,2,2016,0,0
"281. Dey, Pradip K.",,2,2013,35,2
"282. Duttagupta, Sumita",,2,2014,14,3
"283. Fujail, Abul Kashim Md",,2,2015,2,1
"284. Ghosh Tarafdar, Ramananda",,2,2016,2,1
"285. Ghosh, Soumitra",,2,2014,4,1
"286. Halder, Binata",,2,2016,0,0
"287. Halder, Prabir Kumar",,2,2015,1,1
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"288. Handique, Mousum",,2,2016,1,1
"289. Hansa, Jagadish",,2,2012,15,2
"290. Hazarika, Subrata",,2,2014,0,3
"291. Hazarika, Sushmita",,2,2012,6,2
"292. Ingti, Birson",,2,2017,0,0
"293. Kalita, Alakesh",,2,2016,0,0
"294. Kalita, Rinku Moni",,2,2015,0,0
"295. Kannan, Ravi",,2,2015,3,3
"296. Kapfo, Wethroe",,2,2015,6,5
"297. Karmakar, Biplab",,2,2015,2,1
"298. Kumar, Gautam V Prasanna",,2,2015,0,7
"299. Laskar, Sahinur Rahman",,2,2016,0,0
"300. Laskar, Shaheen",,2,2015,6,1
"301. Mazumder, Afjal Hussain",,2,2015,3,3
"302. Mazumder, Gulshana A.",,2,2017,0,0
"303. Mazumder, Nazira",,2,2014,0,0
"304. Nandiraju Rao, V. S.",,2,2013,13,2
"305. Nath, Abhijit",,2,2016,1,1
"306. Nath, Joyobrato",,2,2015,3,1
"307. Nath, Surjatapa",,2,2016,0,0
"308. Pal, Ramkrishna",,2,2016,3,1
"309. Palit, Partha",,2,2016,0,4
"310. Paswan, Raju Prasad",,2,2014,0,0
"311. Pathak, Karabi",,2,2016,0,0
"312. Paul, Abhijit",,2,2016,0,0
"313. Paul, Amab",,2,2016,1,1
"314. Paul, Arnab",,2,2016,0,0
"315. Paul, Sanjib Kumar",,2,2014,2,1
"316. Poddar, Chanchal",,2,2015,0,0
"317. Rao, Nandiraju V S",,2,2016,8,2
"318. Ray, Kaushik",,2,2016,0,0
"319. Roy, Amit Kumar",,2,2014,0,0
"320. Roy, Arindam",,2,2015,0,0
"321. Roy, Prasenjit",,2,2016,6,3
"322. Saha, Sandip",,2,2014,8,8
"323. Sahu, Jagajjit",,2,2015,9,5
"324. Sanjoy Singh, T.",,2,2015,7,2
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"325. Sapana Devi, Maisnam",,2,2014,4,2
"326. Sarma, Bedabrat",,2,2014,12,2
"327. Sarma, Kishore V S S R S S",,2,2014,5,4
"328. Sen, Nabendu",,2,2012,6,2
"329. Sharma, Bechan Indrajit",,2,2016,0,21
"330. Sharma, Gouri Dutta",,2,2013,7,1
"331. Sharma, Parul",,2,2014,12,2
"332. Singh, Leichombam Mohindro",,2,2016,3,1
"333. Singh, Th Rupachandra",,2,2013,10,1
"334. Singha, Ranjit",,2,2016,0,0
"335. Sujata Devi, L.",,2,2013,2,1
"336. Swain, Bhagaban",,2,2016,0,0
"337. Takhelmayum, Kiranbala",,2,2015,4,2
"338. Talukdar, Bandana",,2,2016,0,0
"339. Thingbaijam, Rosalind",,2,2012,3,1
"340. Thoudam, Romila",,2,2014,2,1
"341. Thounaojam, Thorny Chanu",,2,2014,5,2
"342. Upadhyaya, Kalpana",,2,2013,11,2
"343. Victor, Robin",,2,2016,0,0
"344. Yadav, Shailendra Kumar",,2,2015,3,1
"345. Yadav, Sushama Singh",,2,2013,26,3
"346. Ali, Abdul Latif",,1,2013,12,1
"347. Baruah, Mrinal Kumar Umar",,1,2011,2,2
"348. Bezbaruah, Madhurjya Prashad",,1,2013,1,1
"349. Bhagabati, Dipesh",,1,2013,1,1
"350. Bhattacharjee, Debasish",,1,2013,5,1
"351. Bhattacharjee, Mrinal Kanti",,1,2012,0,1
"352. Bhattacharjee, Pijush Kanti",,1,2014,1,1
"353. Bhattacharjee, Saprativa",,1,2013,0,0
"354. Bhattacharya, Debasis K.",,1,2015,0,11
"355. Bhattacharyya, Sudipa Das",,1,2011,1,1
"356. Bhattacherjee, R. M.",,1,2011,6,2
"357. Bhattacherjeea, R.",,1,2012,1,1
"358. Bhowal, Amalesh",,1,2014,0,0
"359. Bhuyan, Bornalee",,1,2013,13,1
"360. Bichitra Singha, A.",,1,2012,1,1
"361. Biplab, De",,1,2012,20,1
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"362. Biswas, Devajyoti",,1,2011,10,2
