Name,,Publications,publication,citations,h-index
"252. Puri, Nitin K.",,18,2017,35,4
"253. Rajput, Monika",,18,2013,10,3
"254. Rani, Preeti Mercy Nesa",,18,2016,21,2
"255. Shankar, Bhaskaran Ravi",,18,2016,193,10
"256. Sharma, Krishna Kishore",,18,2014,176,17
"257. Singh, Amit Kumar",,18,2016,120,7
"258. Singh, Avnindra K.",,18,2017,38,4
"259. Singh, Chandra Prakash",,18,2016,69,13
"260. Singh, Inderpreet",,18,2017,71,6
"260. Singh, Inderpreet",,18,2017,71,6
"261. Singh, Jay P.",,18,2017,236,17
"262. Vaid, Neelam Bala",,18,2016,48,8
"263. Goel, Anita",,17,2016,15,2
"264. Goel, Neerja",,17,2016,24,8
"265. Goyal, Savi K.",,17,2015,88,7
"266. Javed, Amit",,17,2016,55,7
"267. Jayananda, Mudlappa",,17,2015,269,16
"268. Medwal, Rohit",,17,2015,52,4
"269. Panwar, Amrish K.",,17,2017,43,4
"270. Patel, Monika R.",,17,2016,181,9
"271. Raj, Hanumantharao Guru G",,17,2016,62,23
"272. Sahu, Vikrant B.",,17,2017,147,6
"273. Saxena, Anjali K.",,17,2016,128,9
"274. Sehgal, Sanjay",,17,2016,50,3
"275. Shukla, Saroj K.",,17,2017,124,9
"276. Singh, Harjinder",,17,2016,165,9
"277. Singh, Ved Pal",,17,2016,40,8
"278. Suneja, Amita",,17,2017,35,8
"279. Tyagi, Akhilesh Kumar",,17,2016,263,43
"280. Tyagi, Pawan Kumar",,17,2017,12,2
"281. Agrawal, Vivek A.",,16,2016,29,7
"282. Arun, P. S.",,16,2017,83,12
"283. Chaudhary, Ankita K.",,16,2017,158,7
"284. Faridi, Mma M A",,16,2016,36,12
"285. Gupta, Kirti",,16,2016,34,5
"286. Gupta, Neha",,16,2017,15,2
"287. Gupta, Tarkeshwar",,16,2016,145,16
"288. Jain, Arti D K",,16,2015,147,9
"289. Kumar, Ajay",,16,2017,10,5
"290. Lakhanpaul, Suman",,16,2016,28,8
"291. Majumdar, Dipak Kanti",,16,2016,200,25
"292. Mishra, Kiran L.",,16,2016,35,11
"293. Mitra, Arup P.",,16,2016,22,10
"294. Niranjan, Vandana",,16,2017,13,3
"295. Rajagopal, Raman",,16,2016,152,13
"296. RANDHAWA, Harbans Singh",,16,2015,378,18
"297. Rastogi, Vikas",,16,2017,13,6
"298. Saunthwal, Rakesh K.",,16,2016,112,6
"299. Silotia, Poonam",,16,2016,73,8
"300. Singh, Madhusudan J.",,16,2016,40,15
"301. Singh, Satendra C.",,16,2014,33,13
"302. Srivastava, Preeti Wanti",,16,2016,16,14
"303. Tandon, Rajesh",,16,2016,48,7
"304. Thelma, Bittianda Kuttapa",,16,2017,384,22
"305. Uddin, Moin Alfaz",,16,2015,32,12
"306. Uma, Sitharaman",,16,2016,93,18
"307. Vedeshwar, Agnikumar G.",,16,2016,14,13
"308. Yadav, Harish Kumar",,16,2016,60,11
"309. Agarwal, Kshitij",,15,2016,212,10
"310. Aggarwal, Sourabh",,15,2012,66,5
"311. Anand, Adarsh",,15,2017,28,4
"312. Badoni, Manoj",,15,2016,13,2
"313. Batra, Prerna",,15,2016,34,7
"314. Bhargava, Satish Kumar Bhargava",,15,2014,11,7
"315. Bhat, Vishnu",,15,2016,58,9
"316. Brahmachari, Vani",,15,2017,86,14
"317. Chaturvedi, Sanjay K.",,15,2016,28,11
"318. Datt, Gopal",,15,2016,12,3
"319. Dhaka, Surendra K.",,15,2016,46,10
"320. Dillu, Venus",,15,2014,8,2
"321. Elumalai, Palani V.",,15,2014,143,9
"322. Garg, Naveen",,15,2016,95,6
"323. Gautam, Rajni",,15,2016,65,5
"324. Goel, Nidhi",,15,2016,6,2
"325. Gomber, Sunil",,15,2017,67,13
"326. Goyal, Arun K.",,15,2017,22,3
"327. Kaur, Jasvinder",,15,2016,154,6
"328. Kumar, Anup A.",,15,2016,140,9
"329. Kumar, Manish Sathish Yogendra",,15,2016,69,15
"330. Latha, Narayanan",,15,2016,50,6
"331. Mehta, Ashish",,15,2014,107,22
"332. Murtaza, Qasim",,15,2016,64,3
"333. PENTAL, DEEPAK",,15,2017,85,21
"334. Rajput, Jyoti",,15,2015,22,11
"335. Rath, Shyama K.",,15,2015,59,15
"336. Rathi, Vinita",,15,2016,14,4
"337. Rizwan, Mohammed Ashif",,15,2016,78,6
"338. Saha, Rumpa",,15,2016,24,7
"339. Sharma, Vivek K.",,15,2015,100,6
"340. Shrivastava, Avinash Kumar",,15,2017,7,1
"341. Sindhu, Jayant",,15,2016,164,9
"342. Singh, Pradeep Kumar",,15,2016,208,12
"343. Srivastava, Triranjita",,15,2016,69,8
"344. Thirupathi, Natesan",,15,2016,80,10
"345. Agarwal, Manu",,14,2016,101,21
"346. Aggarwal, Anju P.",,14,2015,37,14
"347. Bhatnagar, Vasudha",,14,2017,18,7
"348. Bhatt, Shuchi",,14,2016,17,4
"349. Bhattacharyya, Asok B.",,14,2016,12,5
"350. Bhowmick, Suman",,14,2016,16,3
"351. Dar, Sajad Ahmad",,14,2016,11,5
"352. Das, Sourin N.",,14,2016,84,57
"353. Dubey, Chandra Shekhar",,14,2016,104,12
"354. Goel, Ashish K.",,14,2015,25,13
355. Inderjit,,14,2016,416,30
"356. Kamra, Komal",,14,2016,61,7
"357. Khatri, Indu",,14,2017,24,3
"358. Kukreti, Shrikant",,14,2017,36,10
"359. Kumar, Akshi John Sanjeev",,14,2016,15,3
"360. Kumar, Arun",,14,2017,70,6
"361. Kumar, Sachin Kesav",,14,2016,9,22
"362. Mishra, Anurag C.",,14,2016,91,17
"363. Mishra, Chandra Bhushan",,14,2017,58,6
"364. Mohan, Man",,14,2017,21,3
"365. Niharika, Neha",,14,2016,173,7
"366. Raghuvanshi, Saurabh",,14,2016,132,15
"367. Rai, Umesh",,14,2016,49,9
"368. Ray, Geeta M.",,14,2017,100,7
"369. Singh, Amarjeet Kumar",,14,2016,131,10
"370. Singh, Dileep Kumar",,14,2017,41,12
"371. Singh, Iqbal I.",,14,2016,37,14
"372. Singh, Kehar Chandramani",,14,2016,52,24
"373. Singh, Vijander",,14,2016,57,8
"374. Tomar, Praveen Kumar",,14,2016,48,5
"375. Walia, R. S.",,14,2016,1,9
"376. Yadav, Harsh",,14,2016,56,5
"377. Aggarwal, Anu G.",,13,2016,60,5
"378. Bhagat, Sunita K.",,13,2017,22,7
"379. Bhargava, Sumeet K.",,13,2015,10,5
"380. Deo, Naokant",,13,2016,40,4
"381. Dutta, Saikat K.",,13,2012,763,22
"382. Gambhir, Jasvinder Kaur",,13,2016,53,10
"383. Goel, Lavika",,13,2014,37,4
"384. Goyal, Surbhi",,13,2016,18,3
"385. Gulati, Shikha",,13,2014,222,8
"386. Jain, Sapna K.",,13,2016,2,7
"387. Jha, Pradip Kumar",,13,2016,59,7
"388. Kalkal, Sunil",,13,2015,45,7
"389. Kapoor, Rupam",,13,2016,144,16
"390. Kapur, Parmad Kumar",,13,2015,161,14
"391. Kaur, Navneet",,13,2016,21,29
"392. Kaushal, Rishabh",,13,2016,1,2
"393. Khanna, Madhu",,13,2015,56,9
"394. Kshatriya, Gautam Kumar",,13,2016,16,6
"395. Kumar, Ajeet Suresh",,13,2015,196,14
"396. Kumar, Anjay Vijay S Anil",,13,2016,3,3
"397. Kumar, Avdhesh T Rajesh",,13,2016,48,5
"398. Kumar, Binod Dinesh",,13,2015,56,9
"399. Kumar, Sunil Y.",,13,2016,18,14
"400. Kumar, Vinod B.",,13,2014,48,11
"401. K̀umar, Vivek B Sameer",,13,2014,143,24
"402. Lal, Devi",,13,2017,114,7
"403. Manohar, Sunny",,13,2015,229,8
"404. Masram, Dhanraj Tukdoji",,13,2017,29,4
"405. Mehata, Mohan Singh",,13,2017,47,13
"406. Mehta, Sumita",,13,2016,26,6
"407. Mittal, Alok Prakash",,13,2016,38,8
"408. Nagpal, Sumit",,13,2016,46,5
"409. Ponnan, Prija",,13,2017,54,7
"410. Rajesh, U. Chinna",,13,2016,205,8
"411. Sehdev, Neeru",,13,2016,52,5
"412. Sehgal, Priti",,13,2016,31,3
"413. Sharma, Alka K.",,13,2012,58,4
"414. Sharma, Neeraj Kumar",,13,2016,37,16
"415. Sharma, Reena C.",,13,2014,37,9
"416. Shkir, Mohd",,13,2014,156,15
"417. Singh, Vikram K.",,13,2016,102,11
"418. Srinivasa Rao, A.",,13,2016,158,10
"419. Ujjain, Sanjeev Kumar Umar",,13,2015,190,8
"420. Verma, Mansi S.",,13,2017,117,12
"421. Vishwakarma, D. K.",,13,2017,12,2
"422. Agarwal, Nitin Kumar",,12,2016,22,10
"423. Arora, Swati K.",,12,2016,42,5
"424. Arya, Kamal Narayan",,12,2014,163,7
"425. Banerjee, Dhiraj Mohan",,12,2016,92,17
"426. Bhandari, Sonia",,12,2016,84,7
"427. Bhatnagar, Ashok Kumar",,12,2016,76,10
"428. Chand, Karam",,12,2016,72,5
"429. Chauhan, Harsh",,12,2015,266,9
"430. Chauhan, Ritika S.",,12,2016,93,10
"431. Chhatwal, Megha",,12,2016,83,6
"432. Chopra, Madhu",,12,2016,47,8
"433. Dabas, Bhawana",,12,2012,18,3
"434. Dass, Bal Kishan",,12,2016,16,3
"435. Datta, Monika",,12,2016,267,17
"436. Deo, Nivedita",,12,2017,40,7
"437. Dhawan, Ashish K.",,12,2016,57,7
"438. Gupta, Neelima",,12,2016,32,4
"439. Gupta, Nikhil",,12,2015,42,8
"439. Gupta, Nikhil",,12,2015,42,8
"440. Gupta, Rakesh Kumar",,12,2016,56,48
"441. Halder, Sumita",,12,2016,77,7
"442. Jindal, Kajal",,12,2016,85,6
"443. Kalayarasan, Raja",,12,2016,46,6
"444. Kashyap, Bineeta",,12,2016,34,9
"445. Khanna, Aditi",,12,2017,41,6
"446. Kulshreshtha, Usha",,12,2016,15,8
"447. Kumar, Rajesh N.",,12,2016,36,32
"448. Kumar, Sanjeev Krishna Krishna",,12,2016,47,37
"449. Kumar, Santosh Ananda",,12,2016,58,21
"450. Kumar, Sarita",,12,2016,129,8
"451. Lalwani, Kavita",,12,2016,92,10
"452. Madan, Sushila",,12,2016,6,2
"453. Malhotra, Shashwat N.",,12,2016,35,11
"454. Mathur, Divya",,12,2016,48,3
"455. Mathur, Parmatma Chand",,12,2015,53,9
"456. Mazumder, Shibnath",,12,2017,52,11
"457. Mishra, Neeraj Kumar",,12,2016,90,17
"458. Mondal, Prakash Chandra",,12,2016,136,8
"459. Nand, Bhaskara",,12,2016,162,8
"460. Panda, Siva S.",,12,2014,132,12
"461. Pandit, Maharaj Krishan",,12,2016,238,12
"462. Rani, Asha Mercy Gnana",,12,2016,26,5
"463. Sharma, Jai Gopal",,12,2016,59,9
"464. Sharma, Pritam Babu",,12,2016,17,5
"465. Shekhar, Shashank",,12,2016,97,8
"466. Singh, Arvind Kumar",,12,2016,100,12
"467. Singh, Paramjeet K.",,12,2014,3,20
"468. Singh, Surendra P.",,12,2016,38,18
"469. Singh, Surjeet S.",,12,2016,16,4
"470. Sinha, Uday Bhanu",,12,2016,15,7
"471. Sonthalia, Sidharth",,12,2015,72,5
"472. Suryakantrao Deshmukh, Pravin",,12,2016,52,5
"473. Tyagi, Asha K.",,12,2016,47,12
"474. Vijayan, Vannan Kandi",,12,2016,54,20
"475. Virdi, Jugsharan Singh",,12,2016,76,14
"476. Yadav, Rekha",,12,2016,103,6
"477. Aggarwal, Aditya Nath",,11,2016,17,7
"478. Aggarwal, Neha D.",,11,2016,34,9
"479. Bhattacharya, Swapan Kumar",,11,2016,36,6
"480. Garg, Nidhi",,11,2016,172,10
"481. Jha, Rajeev Ranjan",,11,2015,152,8
"482. Kapoor, Satwanti K.",,11,2016,26,8
"483. Kar, Supriya K.",,11,2016,21,9
"484. Khanna, Naresh K.",,11,2014,65,7
"Kulshreshtha, Daya Shankar",,11,2016,12,7
"Kumar, Anuj Ashok",,11,2012,58,18
"Kumar, Deepak Jaya",,11,2016,96,21
"Kumar, Manoj Ravi Pavan",,11,2016,23,56
"Kumar, Raj Vinoth S",,11,2016,17,23
"Kumar, Rajesh Senthil",,11,2016,26,13
"Murry, Benrithung",,11,2014,31,6
"Pankaj, Amite",,11,2016,7,7
"Saxena, Amit Kumar",,11,2014,179,20
"Saxena, Mansi B.",,11,2016,18,6
"Saxena, Ratnesh Rajan",,11,2016,9,3
"Seshadri, T. R.",,11,2016,60,12
"Shishodia, Prem Kumar",,11,2016,3,6
"Shukla, Rakesh",,11,2016,6,2
"Singh, Usha Rani",,11,2016,23,13
"Singhal, Archana",,11,2015,10,3
