University,PCP-14,PCP
Tufts University,25.6,25.7
The University of Adelaide,24.5,25.7
The University of Manchester,25.9,25.6
University of Michigan-Ann Arbor,25.6,25.6
University of North Carolina at Chapel Hill,25.6,25.6
Stockholm University,25.3,25.6
King's College London,24.9,25.6
University of Goettingen,24.7,25.6
Monash University,25.1,25.5
University of Science and Technology of China,23.9,25.5
University of Zurich,25.1,25.4
University of Frankfurt,24.7,25.3
University of Sydney,24.7,25.3
University of Freiburg,24.4,25.3
University of Innsbruck,24.5,25.2
Maastricht University,24.8,25.1
Macquarie University,24.3,25.1
Weizmann Institute of Science,24.1,25.1
Brandeis University,24.6,24.8
University of Wisconsin - Madison,24.5,24.6
University of Southampton,24.4,24.3
The Hong Kong University of Science and Technology,22.8,24.3
University of British Columbia,24.4,24.2
Swedish University of Agricultural Sciences,24,24.2
Tokyo Institute of Technology,24.4,24
National Autonomous University of Mexico,23.2,24
University of Wollongong,21.7,24
University of Massachusetts Medical School - Worcester,24.4,23.9
University of Vienna,24.2,23.9
Pierre and Marie  Curie University - Paris 6,23.8,23.9
Duke University,23.7,23.9
James Cook University,23.5,23.9
The University of New South Wales,23.2,23.9
University of Tuebingen,23.5,23.7
University of Liege,23.9,23.5
Kyoto University,23.8,23.5
Rensselaer Polytechnic Institute,23.8,23.5
Seoul National University,23.4,23.5
University of Exeter,22.7,23.5
Technical University of Denmark,22.6,23.4
New York University,23.4,23.3
University of Lisbon,22.8,23.3
Curtin University,21.4,23.3
Tokyo Medical and Dental University,24.5,23.2
University of East Anglia,23.5,23.2
University of Massachusetts Amherst,23.2,23.2
Nagoya University,21.1,23.1
Shanghai Jiao Tong University,21.8,23
"Rutgers, The State University of New Jersey - New Brunswick",24.5,22.9
Case Western Reserve University,23,22.9
The University of Glasgow,22.6,22.9
Vienna University of Technology,22.2,22.9
University of Tasmania,22,22.9
Oregon State University,22.4,22.7
Swinburne University of Technology,22.4,22.6
University of Alberta,22.7,22.5
University of Liverpool,22.7,22.5
McMaster University,22.6,22.5
Eindhoven University of Technology,22.5,22.5
The University of Hong Kong,22.4,22.5
Pennsylvania State University - University Park,22.6,22.4
The University of Texas Southwestern Medical Center at Dallas,22.2,22.4
Purdue University - West Lafayette,22.2,22.4
Oregon Health and Science University,22,22.4
University of Muenster,21.3,22.2
University of Pisa,22.2,22.1
City University of Hong Kong,21.5,22.1
Flinders University,21.3,22.1
Korea University,21.2,22.1
University of Hamburg,20.8,22.1
University of Padua,22,22
The Chinese University of Hong Kong,21.7,22
University of Waterloo,21.3,22
Ecole Polytechnique,21.3,22
The University of Texas at Dallas,21.5,21.9
University of Erlangen-Nuremberg,20.8,21.9
Boston University,21.9,21.8
UNESP,20.7,21.8
Osaka University,22.3,21.7
The University of Sheffield,21.6,21.7
Chang Gung University,21.6,21.7
University of Montreal,21.4,21.7
Delft University of Technology,21.3,21.7
University of Strasbourg,21.2,21.7
University of Buenos Aires,21.2,21.7
TU Dresden,20.6,21.7
Yeshiva University,21.9,21.6
Tohoku University,21.3,21.6
RWTH Aachen University,20.8,21.6
Hanyang University,20.8,21.6
London School of Hygiene & Tropical Medicine,20.8,21.6
University of Malaya,18.5,21.6
Fudan University,21.3,21.5
