University,PUB-14,PUB
Bielefeld University,24.4,24.8
Kanazawa University,25.4,24.6
The University of Dundee,26.1,24.5
University of Arkansas at Little Rock,24.7,24.4
University of Arkansas at Fayetteville,24.4,24.4
San Diego State University,25,24.2
Saint Louis University,24.2,24.2
University of Innsbruck,24.8,24.1
Tokyo Medical and Dental University,24.2,23.9
Brunel University,25.4,23.7
Eotvos Lorand University,23.7,23.5
Medical University of Graz,24.8,23.4
University of Wyoming,23.4,23.3
King Abdullah University of Science and Technology,20,22.4
Boston College,22.5,22.3
Swinburne University of Technology,21.4,22.3
Technical University of Braunschweig,21.3,22.3
University of Konstanz,22.7,22.2
Rensselaer Polytechnic Institute,23.1,22.1
University of New Hampshire - Durham,20.9,22
University of Szeged,21.6,21.8
Ecole Normale Superieure - Lyon,21,21.8
University of Bayreuth,22.7,21.5
The University of Texas Medical Branch at Galveston,22.9,21.3
University of Rhode Island,21.5,21.1
University of Essex,20.1,20.7
King Fahd University of Petroleum & Minerals,20.3,19.9
University of Graz,19.1,19.9
University of Alaska - Fairbanks,20.9,19.3
Rockefeller University,20.8,19
Brandeis University,18.4,18.4
City University of New York City College,17.9,18
"University of Maryland, Baltimore County",17.1,17.8
Scuola Normale Superiore - Pisa,18,17.2
State University of New York Health Science Center at Brooklyn,16.3,15.3
ESPCI ParisTech,15.5,15
Stockholm School of Economics,9.4,10.2
MINES ParisTech,8.1,7.8
