University,Alumini-14,Alumini,,,,,,,
Utah State University,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
University of Colorado at Boulder,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
The Ohio State University - Columbus,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
University of Helsinki,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
The University of Queensland,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
McMaster University,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
Georgia Institute of Technology,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
"University of California, Riverside",12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
Tokyo Institute of Technology,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
University of Bern,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
National Autonomous University of Mexico,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
National Tsing Hua University,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
Rensselaer Polytechnic Institute,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
University of Notre Dame,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
University of Tehran,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
Technical University of Braunschweig,12.9,12.6,,,0.3,0.023255814,0.0005408329,,0.023255814
Boston University,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
Aarhus University,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
Hokkaido University,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
National Taiwan University,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Alberta,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Montreal,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Nottingham,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University Paris Diderot - Paris 7,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Hamburg,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Paris Descartes (Paris 5),11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
Delft University of Technology,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
The George Washington University,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Kansas,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Leipzig,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Lorraine,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
Virginia Polytechnic Institute and State University,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Connecticut,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Duesseldorf,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
University of Oulu,11.8,11.5,,,0.3,0.0254237288,0.000646366,,0.0254237288
"Rutgers, The State University of New Jersey - New Brunswick",10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Pennsylvania State University - University Park,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Catholic University of Louvain,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Indiana University Bloomington,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Tsinghua University,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Oregon State University,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Trinity College Dublin,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
University of Delaware,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
University of Kiel,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Virginia Commonwealth University,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
Claude Bernard University Lyon 1,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
University of Kentucky,10.5,10.3,,,0.2,0.019047619,0.0003628118,,0.019047619
