University,PUB-14,PUB,,,,,,,
University of Nebraska - Lincoln,34.3,33.4,,,0.9,0.0262390671,0.0006884886,,0.0262390671
Louisiana State University - Baton Rouge,34,33.4,,,0.6,0.0176470588,0.0003114187,,0.0176470588
Medical University of Vienna,32.9,33.4,,,-0.5,-0.0151975684,0.0002309661,,0.0151975684
Aalto University,32,33.4,,,-1.4,-0.04375,0.0019140625,,0.04375
University of Quebec,34.7,33.3,,,1.4,0.0403458213,0.0016277853,,0.0403458213
University of Wuerzburg,34.4,33.3,,,1.1,0.0319767442,0.0010225122,,0.0319767442
University of Zaragoza,33.6,33.3,,,0.3,0.0089285714,7.97193877551043E-005,,0.0089285714
Technion-Israel Institute of Technology,33.3,33.3,,,0,0,0,,0
University of Lausanne,33.9,33.2,,,0.7,0.0206489676,0.0004263799,,0.0206489676
University of Turku,32.9,33,,,-0.1,-0.0030395137,9.23864339760376E-006,,0.0030395137
University of the Witwatersrand,31.9,33,,,-1.1,-0.0344827586,0.0011890606,,0.0344827586
University of Chile,31.1,33,,,-1.9,-0.0610932476,0.0037323849,,0.0610932476
Joseph Fourier University (Grenoble 1),39.6,32.9,,,6.7,0.1691919192,0.0286259055,,0.1691919192
University of Coimbra,33.9,32.9,,,1,0.0294985251,0.000870163,,0.0294985251
Ben-Gurion University of the Negev,33.8,32.9,,,0.9,0.0266272189,0.0007090088,,0.0266272189
University of Lorraine,33.7,32.9,,,0.8,0.0237388724,0.0005635341,,0.0237388724
Polytechnic Institute of Milan,33.1,32.9,,,0.2,0.0060422961,3.65093418278412E-005,,0.0060422961
University of KwaZulu-Natal,31,32.8,,,-1.8,-0.0580645161,0.003371488,,0.0580645161
Simon Fraser University,33.3,32.7,,,0.6,0.018018018,0.000324649,,0.018018018
Queen's University,33.9,32.6,,,1.3,0.0383480826,0.0014705754,,0.0383480826
National Tsing Hua University,32.7,32.6,,,0.1,0.003058104,0.000009352,,0.003058104
Keio University,34,32.5,,,1.5,0.0441176471,0.0019463668,,0.0441176471
University of York,33,32.5,,,0.5,0.0151515152,0.0002295684,,0.0151515152
Polytechnic University of Valencia,33.4,32.4,,,1,0.0299401198,0.0008964108,,0.0299401198
London School of Hygiene & Tropical Medicine,31.9,32.4,,,-0.5,-0.0156739812,0.0002456737,,0.0156739812
University of Colorado at Denver,33.2,32.3,,,0.9,0.0271084337,0.0007348672,,0.0271084337
